"","miR200a","CDH1","OVOL2","miR34a","miR101","GSC","TWIST2","SNAI1","NP63","miR205","TCF3","TWIST1","FOXC2","SNAI2","ZEB2","TGFbeta","KLF8","miR141","CLDN7","ZEB1","GRHL2","miR200b","miR200c"
"miR200b",0.099372873546512,0.132547046489428,-0.0504424137851244,-0.0741438236264957,0.0282683806727664,0.117586241123485,0.0403544491068939,0.0563369726940043,0,0,-0.0689423864319272,-0.0685090634510201,-0.0626574323805398,0.0358942745186512,-0.223183733339019,-0.117449889882689,-0.0281044816777734,-0.0196826651582497,-0.0196826651582497,-0.0194788891645349,-0.0168409792025596,-0.12028587521058,-0.121462848151409
"miR200c",0.0846256788903722,0.115208978358452,-0.0478928688433053,0.00912403774876024,0.0271581135566643,-0.0691840912708601,0.0733794784891316,-0.0198796315932878,0,0,0.0825205551624947,0.0823652687700195,0.0837660750206265,-0.102293611212576,-0.200138191715376,0.0689772918889857,-0.0271797266109491,-0.0270495148373789,-0.0270495148373789,-0.0272407919749623,-0.0238087117314616,-0.0536562070337907,-0.115422139911443
"miR200a",0.0865964578037091,-0.000910563474952221,0.0801198270983544,0.0237586042243815,-0.0106506008137407,0.117420811500819,-0.0654339908925513,0.0202151929836204,0,0,-0.0914467714489805,-0.0908537253215273,-0.0955138263937294,0.0786055174518576,-0.186745030503899,-0.117128792593446,0.0107334508551657,-0.0143698907156465,-0.0143698907156465,-0.0140576425062192,-0.0120104540113288,-0.0868252033869167,-0.102464496984627
"miR141",0.0865964578037091,-0.000910563474952221,0.0801198270983544,0.0237586042243815,-0.0106506008137407,0.117420811500819,-0.0654339908925513,0.0202151929836204,0,0,-0.0914467714489805,-0.0908537253215273,-0.0955138263937294,0.0786055174518576,-0.186745030503899,-0.117128792593446,0.0107334508551657,-0.0143698907156465,-0.0143698907156465,-0.0140576425062192,-0.0120104540113288,-0.0868252033869167,-0.102464496984627
"TWIST1",0.0437722947357715,-0.063978050002487,0.0865482822884258,0.00507737228430287,0.00488531598614492,0.018112154172824,-0.0801087684540616,0.0105624804611475,0,0,-0.00037556869236729,-0.100351877236813,0.106295431071075,0.0645585604029116,-0.175923628486226,-0.0182152472793734,-0.00490423746202004,-0.0773185774625027,-0.0773185774625027,-0.0774129791348314,-0.0764194716209682,-0.0462229225648513,-0.116129932840353
"NP63",0.0485209777351517,0.075938669390493,0.168847821798613,0.0265942004504889,0.0348164749838093,0.125992711164683,0.042374474678787,-0.0439745110340114,0.257988251503474,-0.357896892948014,0.109746545202965,0.110664305777406,-0.0135683241463565,-0.0686529180148396,-0.160414007506454,-0.125422730164049,-0.034597164714606,-0.0154461208238343,-0.0154461208238343,-0.0149192139672595,0.142791455062245,0.0651200729950707,-0.0668250672489654
"miR101",0.0905119595128709,0.0581056109720488,-0.0772502262140722,-0.0139467474125119,-0.0814128058714074,0.00127520829963159,-0.0157219130920912,0.0121154844289154,0,0,-0.01629581101615,-0.0160633873722274,-0.00912909684602951,0.0783320047592679,-0.115759700782442,-0.00113435023928062,-0.0184875051581803,0.0727041408568043,0.0727041408568043,0.0728577284115981,0.0756754221799536,-0.106596131265807,-0.0224824534801483
"SNAI1",0.0228338811395846,0.114567396966927,0.0667419173688538,-0.0188024993223805,0.102130790964645,0.0290298306841512,0.0883354621255155,-0.112419051466573,0,0,0.0337050061719592,0.0338996730157506,0.0205676120934222,-0.113067230740839,-0.0929731624131372,-0.0288817085565789,-0.102142957970844,-0.0578484452899316,-0.0578484452899316,-0.0577217423084352,-0.0564577265196866,0.0236950919481395,-0.0712500332674683
"GRHL2",0.0226674912650038,0.00222359238503735,0.192308304989101,-0.00024116968899405,0.109156256873009,0.14828596338419,0.0848059990259997,0.0557082719559725,0.306281053357567,-0.306185595419806,0.0112604776728941,0.0106506158311691,0.00666372135993015,-0.106331385370396,-0.077840877239865,-0.148669007448115,-0.109239887314489,-0.00253684802207703,-0.00253684802207703,-0.0028383981337663,0.0858428063002156,-0.0115596526824261,-0.0256639191497124
"GSC",0.0727257592042021,0.0360835821436149,-0.0841844341252095,0.0126602845134561,-0.0919431189833438,-0.000127671422214321,-0.00416500216243609,-0.0755148940055072,0,0,-0.0166658983491373,-0.0166323563097813,-0.150668015805256,0.000250564639466065,-0.0677688996751575,0.000175956684207707,0.0919733239876309,0.0778066508485567,0.0778066508485567,0.0778573295815883,0.0795001956507966,-0.0789363903343625,0.000480551112698739
"FOXC2",0.0116947945895212,0.133345972439277,-0.0642883186318709,0.00468297015117588,0.0446726025221246,0.000743394968928916,0.104731044835774,0.061308036897749,0,0,0.0237529917766321,0.0236008962381012,0.0913602641542884,-0.0416988277021444,-0.0463685268767852,-0.000892112416633565,-0.0445955780625796,-0.00538921689714922,-0.00538921689714922,-0.00549251697324269,-0.0044908082290282,0.000446355312902731,-0.0187435069042689
"ZEB1",0.0116428740230431,0.133377412651199,-0.064223418425953,0.00491289738165347,0.0446674590561633,0.000892112416633565,0.105029231858675,0.0615743208206211,0,0,0.0236008962381012,0.0237829799244846,0.0910204153633528,-0.041530962253311,-0.0463372286832463,-0.000839743584549994,-0.0446726025221246,-0.00549251697324269,-0.00549251697324269,-0.105408808192546,-0.00458259327826351,0.000566902958290886,-0.0188117453630687
"TCF3",0.0248997946885348,0.118060202629612,-0.0227499490401763,-0.00338267942731134,0.00485529709011814,0.00287527930123908,0.0539083344695065,-0.0357298371484004,0,0,0.0987005674896752,0.0956995994354642,-0.00364125599572712,-0.0343670621861938,-0.0336860941695091,-0.00472411018759036,-0.00585365799013304,0.0182232672903074,0.0182232672903074,0.016646995483995,0.0186038872493406,-0.0116411793847637,-0.00701860547440984
"CLDN7",0.0248997946885348,0.118060202629612,-0.0227499490401763,-0.00338267942731134,0.00485529709011814,0.00287527930123908,0.0539083344695065,-0.0357298371484004,0,0,0.0987005674896752,0.0956995994354642,-0.00364125599572712,-0.0343670621861938,-0.0336860941695091,-0.00472411018759036,-0.00585365799013304,0.0182232672903074,0.0182232672903074,0.016646995483995,0.0186038872493406,-0.0116411793847637,-0.00701860547440984
"CDH1",0.0242437855171445,0.0188722247257094,-0.0217457317937353,-0.000336321811417297,0.00515616086029704,0.00472411018759036,0.0583510632735492,-0.031819704483185,0,0,0.0956995994354642,0.0972666645085054,-0.00819947333248559,-0.0320991203041687,-0.0333765931563942,-0.00356405535607451,-0.00485529709011814,0.016646995483995,0.016646995483995,0.0176529154916958,0.0172046728871031,-0.00998306705911696,-0.00819262836042559
"OVOL2",-0.0872648155444104,-0.162091936886469,0.248447059161977,0.0746231543784998,0.0957310985440147,0.254016229977227,0.0810073233858087,0.0506082616537494,0.300276143134155,-0.300216721576014,-0.0379310220150611,-0.0376576603864013,-0.0585516957101028,-0.0915133784924024,-0.0246806954315901,-0.25379025995959,-0.0956883274134311,-0.0947979475755655,-0.0947979475755655,-0.0945703688367185,0.0529037545051729,0.081453820673765,-0.10602954196644
"miR34a",0.112919459603425,0.0344582457973738,-0.10357285910665,-0.0448893790014944,-0.0665652401336052,-0.0352301175830982,-0.19496703109076,-0.00185287093820803,0,0,-0.0951803339386902,-0.0951323073587338,-0.070158651643587,0.112389299857546,-0.0139953837791177,0.035224687030811,0.0666219011661805,0.111579021390443,0.111579021390443,0.11160377015479,0.113588593069253,-0.113271521236529,0.101424816534181
"SNAI2",-0.0246988311149513,-0.0184823383655727,0.0223778392217537,0.00215800666801297,-0.00497510574601033,-0.00356405535607451,-0.0558625300443114,0.0339965891648451,0,0,-0.0972666645085054,-0.0963122756800687,0.00565978675145113,-0.0666015086863931,0.0335621316223241,0.00415222728325323,0.00515616086029704,-0.0176529154916958,-0.0176529154916958,-0.0170377803213553,-0.0180988670427528,0.0109964726633371,0.00747835596714684
"KLF8",-0.0248997946885348,-0.118060202629612,0.0227499490401763,0.00338267942731134,-0.00485529709011814,-0.00287527930123908,-0.0539083344695065,0.0357298371484004,0,0,-0.0987005674896752,-0.0956995994354642,0.00364125599572712,0.0343670621861938,0.0336860941695091,0.00472411018759036,0.00585365799013304,-0.0182232672903074,-0.0182232672903074,-0.016646995483995,-0.0186038872493406,0.0116411793847637,0.00701860547440984
"ZEB2",-0.150617969966679,-0.147944579623837,-0.091793220455341,-0.0849939845997664,-0.0835893081412535,-0.0740434776223965,-0.0467335715650001,-0.00369235670827718,0,0,0.0209087698786108,0.0212253951404355,0.0294353422357885,0.0701103993692047,0.0734382744939636,0.0742460775521947,0.0836817838042444,0.0877710965938032,0.0877710965938032,0.0879068557526366,0.0890329281240557,0.154140440291137,0.222832344875038
"TGFbeta",-0.0427353976459935,-0.0333234277433501,0.00608107691026409,0.0564009196957297,-0.00179463621947689,-0.0183282843807353,0.017945164216442,-0.00624783439514456,0,0,0.0517461217607299,0.0520932730778628,0.0788779854460734,-0.00655761857205854,0.0759567068081112,-0.0812507827904137,0.00189781395524494,-0.00576108072037706,-0.00576108072037706,-0.00537081824098378,-0.00659994929809882,0.0971839304181424,0.0363739321182536
"TWIST2",-0.0930629941929011,-0.176004825861802,0.074897495567614,0.0389164934945687,-0.0381677386155055,-0.00903001551240689,0.0182687525628519,-0.0224675749063054,0,0,0.142831677719916,0.143186464491641,0.0653257968971332,-0.00315513005407275,0.127730507001976,0.00935447731241944,0.0382416047700335,-0.0587507637436529,-0.0587507637436529,-0.0584682666197427,-0.0592703034621027,0.0555943559509138,0.0354533432118963
"miR205",-0.0750378404709239,0.0136533319786438,-0.082731366583865,-0.0177790970770991,0.0199043048989516,-0.0232978690126188,0.0955998875071349,0.0703750108526674,0,0,0.022994825499402,0.0225788624006829,0.102275305040124,-0.0135674481500655,0.167550034179246,0.0231296417471054,-0.0198905368283589,0.0198871161029055,0.0198871161029055,0.0197274907566365,0.0166616463986281,0.0844552383534532,0.0978892482383874
