"","miR101","SNAI1","TCF3","TWIST2","ZEB2","miR200b","NP63","miR200c","miR200a","miR141","CLDN7","ZEB1","GRHL2","miR205","OVOL2","TGFbeta","GSC","miR34a","CDH1","SNAI2","TWIST1","FOXC2","KLF8"
"TWIST2",-0.0437767345637097,-0.234165067308726,-0.056262736589347,0.0927036247036436,-0.14415706420708,0.104887395868648,-0.10454888068389,0.0228615674100565,0.0228615674100565,-0.101652143550613,0.101652143550613,0.101817552342785,0.112215101094958,0.104475279533658,0.0999555733326504,-0.0225498642484208,-0.0230882689005863,0.0520294073556762,0.0780842650984206,-0.101076438961515,0.0565234834938681,0.134614209631357,0.0442260145859564
"ZEB2",-0.15124583087284,-0.130935048674909,-0.113229663036199,-0.106562470690181,-0.0839895422128027,-0.0260897744900257,-0.0107802616766358,-0.0062933124122684,-0.0062933124122684,-0.00225233342205426,0.00225233342205426,0.00242393496278569,0.00678674626224652,0.0115084922313306,0.0132377120266245,0.0134468031683909,0.0138944935907717,0.0309659505805526,0.0415289654075676,0.105178588019586,0.112399942478289,0.143676962774679,0.151630648954318
"GSC",-0.0488435738169035,-0.105007690636126,-0.196811998006676,-0.0270062846687127,-0.0665447651649995,-0.0462452092591013,0.216855635383748,0.162590631953409,0.162590631953409,0.233056749590955,-0.233056749590955,-0.232920158339069,-0.252032915880418,-0.217882474978376,-0.191781926839157,-0.121972908885531,-0.122254063575619,0.192154737171876,0.045620671255777,-0.104041897890514,0.196369562535171,0.219917789948292,0.048735420414456
"KLF8",0.0424297234543492,0.0142142561727911,0.106753127135514,0.0886698085528342,-0.0626651404339264,0.055776040282813,-0.0476407388791154,0.00404987788755215,0.00404987788755215,-0.0503342805186807,0.0503342805186807,0.0504257115979332,0.0538051420637947,0.046195652173913,0.0443965537633632,-0.0120577787140411,-0.00975580300260373,-0.0349419731334228,-0.134696398792431,-0.0645420031827188,-0.110383330426898,-0.0553584965822167,-0.0446201570707999
"TGFbeta",-0.100820987764851,-0.235128109286266,-0.222826017875448,-0.105965865810854,-0.0529769839639736,-0.115521084023578,0.194710468024759,0.138117557935167,0.138117557935167,0.203178142883332,-0.203178142883332,-0.202793026722348,-0.216910067928341,-0.195476344285321,-0.177380085793939,-0.00412053855109332,0.0954680854025476,0.279793373885113,0.121032273954987,-0.0217369931185573,0.221997846432614,0.249154697747939,0.100890927035405
"GRHL2",-0.0385239894150395,-0.0376352825293449,-0.0370658256307752,0.000138067025100552,-0.0267552156517613,0.0873876432373184,-0.279130350365186,-0.0819505380582774,-0.0819505380582774,-0.0836830344556602,0.0836830344556602,0.0837505065660961,0.137392182428784,0.279569456878889,0.122591877753701,0.138339951857478,0.138796167869939,-0.0778062112337403,0.030403377332439,0.0328274112502301,0.0364646348104966,0.0726953185102961,0.0384509228187985
"miR101",0.10590655448647,0.264569973069128,0.25066891243175,0.0540894122685301,-0.0207342492631197,0.096232334185134,-0.2084197163195,-0.114944947402356,-0.114944947402356,-0.240168767327584,0.240168767327584,0.239917292425637,0.258039577532569,0.2089367224081,0.179226982579842,0.0798087542882806,0.0802749273927755,-0.245051979284223,-0.0399610010982749,0.123081308964809,-0.25015496155716,-0.270694035773567,-0.206117895103745
"OVOL2",0.0381616234381381,-0.121078906643529,-0.0627289168871655,0.0401122756214148,-0.0197695868233246,-0.0553274403875765,0.030702223890065,0.119647511027819,0.119647511027819,0.122491134612773,-0.122491134612773,-0.122365456801768,-0.0562496339730977,-0.0309258650270695,-0.117226118504441,-0.034852799982621,-0.0356540290390584,0.153959114808162,0.10004288570047,-0.059254606748135,0.06340153036821,0.113036467285514,-0.0376187590884238
"miR200a",0.121032283062639,0.208785427587372,0.205347129296042,0.124290489315207,-0.015168966057347,0.147575615080536,-0.194598715912135,-0.119460071914544,-0.119460071914544,-0.244435150342087,0.244435150342087,0.244150131783517,0.262807704180669,0.194751550459851,0.163979422019139,-0.0396137961697664,-0.0393547288122535,-0.253798787285319,-0.106448923997446,-0.0759296179245395,-0.204689010775551,-0.216710447070593,-0.121275429923343
"ZEB1",0.00913414105011163,0.0435186555850522,0.0524089046125394,0.126342028802422,-0.0104556855221111,0.194533572616322,-0.162686399651048,-0.193732194052735,-0.193732194052735,-0.195764023700273,0.195764023700273,0.0958068324252543,0.226527379820415,0.163042762451369,0.135134733128166,0.10220611266955,0.102385630281715,-0.192613148153336,-0.0494646534904248,-0.000329829893218224,-0.0528109309696037,-0.0444942726318861,-0.00895779364572498
