"","ZEB2","KLF8","miR101","SNAI1","miR141","CLDN7","OVOL2","NP63","FOXC2","miR200c","miR200b","TCF3","GSC","miR200a","CDH1","TGFbeta","TWIST1","miR34a","GRHL2","miR205","ZEB1","TWIST2","SNAI2"
"ZEB2",-0.0886660061568505,-0.0741458050941232,-0.0740811715662264,-0.0386445995371681,-0.03802957493289,-0.03802957493289,-0.0375996263241117,-0.0358157202408889,-0.03364322410299,-0.0231792519911427,-0.0166371673277661,-0.0164580020586216,-0.0130455132040771,-0.0105378838912168,-0.00380648033946842,0.0131077095351094,0.0165278219881521,0.0252829177729892,0.0335436500582712,0.0357227546381619,0.0380582979375618,0.0783535739383575,0.0813254016241962
"SNAI1",-0.0817864744172877,-0.219184385588155,-0.219220886606752,0.108961680908853,0.0932664474068756,0.0932664474068756,0.096678445619521,0.0931074666168767,0.224846047961701,0.0884303523736928,-0.0395264164060099,0.199479871792647,0.00781540031255176,0.00375112748587699,0.173941775453192,-0.00779920250413475,-0.199531476389032,0.10732862063469,-0.0881307685063267,-0.0931282948452521,-0.0932623552325799,0.0175474930235114,0.127528377965717
"NP63",-0.0525819610759434,-0.0104485711435121,-0.0105006573324479,0.00712018659345171,0.0156776572887054,0.0156776572887054,0.146947474492164,0.0390470368698291,-0.0236536016329468,0.023648996224438,-0.0855064882574222,-0.0659067221445458,0.0151276609606923,-0.00511086002925599,0.0747187621521022,-0.0152577467145906,0.0658730634437716,-0.0107278834157809,0.0735256401616785,-0.138901937987628,-0.0157261747906308,0.0115335825933393,0.0123723548523575
"GSC",-0.0520891100457966,0.216273884079782,0.216304089084069,-0.215881703525239,0.113283047135844,0.113283047135844,0.11045646006698,0.107000921616928,-0.242339520386322,0.0878526159698869,0.0477544018807263,-0.104160251884218,0.0415941859958996,0.0279191836131063,-0.0346329527608773,-0.0416693643152058,0.104192196683605,-0.147528981531092,-0.102445196134034,-0.10689747135926,-0.113315867648664,0.00405745418799511,-0.116637646528237
"ZEB1",-0.0338888047528757,0.00813481649032297,0.00813555127117458,-0.0450636828076078,-0.244939353137193,-0.244939353137193,-0.168229198324655,-0.172172859111576,-0.0369445371446374,-0.218121000009267,-0.223841240628498,0.0161574155074733,-0.121679898123957,-0.240830835064173,-0.164296077971156,0.121788066060968,-0.0161640258063189,0.240536330139488,0.205021489912416,0.172023416646925,0.144977799189565,-0.135175057737283,-0.00242150585446827
"FOXC2",-0.0338787085614115,0.00833165677582697,0.00813481649032297,-0.0451005093075795,-0.244859008633565,-0.244859008633565,-0.16816162732837,-0.172023416646925,-0.0371330417423929,-0.218077485629743,-0.223827732452632,0.0159489882880051,-0.121596312405174,-0.240780892424037,-0.16428639569136,0.121679898123957,-0.0161574155074733,0.240441546307775,0.204977297110932,0.171779448091761,0.244939353137193,-0.135070095905222,-0.00245493516226592
"TCF3",-0.0221018002716397,0.0658337888924238,0.065103644353607,-0.0417681703326728,0.0264072282720826,0.0264072282720826,0.0303357993201076,0.0277303761414091,-0.00910807234564152,0.0244784532145833,0.0267759658615394,0.0729216804825148,0.01445054444506,0.00243244991191317,-0.221677330442453,-0.0152480793372115,-0.0738897346935506,-0.0323077304744262,-0.0237006247581428,-0.0272101449275362,-0.0266156911327783,-0.0807313351810929,-0.0834238173370606
"KLF8",-0.0221018002716397,0.0658337888924238,0.065103644353607,-0.0417681703326728,0.0264072282720826,0.0264072282720826,0.0303357993201076,0.0277303761414091,-0.00910807234564152,0.0244784532145833,0.0267759658615394,0.0729216804825148,0.01445054444506,0.00243244991191317,-0.221677330442453,-0.0152480793372115,-0.0738897346935506,-0.0323077304744262,-0.0237006247581428,-0.0272101449275362,-0.0266156911327783,-0.0807313351810929,-0.0834238173370606
"TWIST2",-0.0174920035608792,-0.00766946434124312,-0.00765469111033752,-0.077784157978935,-0.129083483420769,-0.129083483420769,-0.118775931729927,-0.118538928561332,-0.11867496996091,-0.0567778880650707,-0.0835656087744096,-0.226786211856682,-0.055886146369938,-0.0716592962385948,0.0580289645691867,0.0559322641531189,0.226846055408539,0.0232062232098595,0.120069034431689,0.118461904101787,0.129105760336826,0.0945571789395712,0.10016029708064
"TGFbeta",-0.0140681271011706,-0.118730511416347,-0.118697965419159,0.223300042619508,-0.000447887591046563,-0.000447887591046563,0.000568543732238299,0.000465676357487028,0.196640291843757,0.00583170562947433,0.0584206554313542,0.112590692290077,-0.0135545043464653,-0.00650577966929766,0.0381601121442581,-0.0863651318007613,-0.112581616438649,0.160125989569673,-0.000214257454039415,-0.000561070197770484,0.000471046023889681,-0.0756180611235966,0.0128348511805157
"miR200b",-0.0116788356649672,0.0613674517051652,0.0613818604080217,-0.177766361640784,-0.2172316619361,-0.2172316619361,-0.148771901450675,-0.157001521080667,-0.138342636554513,-0.104683301970624,-0.131309765844569,-0.0515766183850345,0.0185115849395383,-0.115172232592437,-0.126335668124643,-0.0184627257449196,0.0516195070077181,0.0999092327186071,0.196482908714255,0.156898446618253,0.217271613636949,-0.0386371401496945,0.0460307816799581
"miR101",-0.000246115029436263,0.316556784766059,0.216742870844162,-0.20019390040107,0.129174797060973,0.129174797060973,0.122939095262662,0.11858913333284,-0.22123648363522,0.0671608468383454,0.0779406977924103,-0.201283491364309,0.0534351853128541,0.0670187000202075,-0.0577222736533766,-0.0534527925703979,0.201491908810267,-0.156356347667505,-0.113418293882378,-0.118502528252008,-0.129204789480471,0.026516703097177,-0.125166065075063
"OVOL2",0.00584520570019106,0.148814465080339,0.149101799342208,-0.180872773010745,0.248574501435116,0.248574501435116,0.316717072104747,0.342711253443178,-0.174821813733974,0.227403392899852,0.146734473313619,-0.00341639244840888,0.333006170244427,0.232176043447531,-0.139188625815237,-0.33315911336612,0.00372572271241866,-0.258094335120514,-0.0537510873373755,-0.34241198486854,-0.248658060195946,-0.0617269335808085,-0.112907907214061
"miR141",0.0116788356649672,-0.0613674517051652,-0.0613818604080217,0.177766361640784,0.2172316619361,0.2172316619361,0.148771901450675,0.157001521080667,0.138342636554513,0.104683301970624,0.131309765844569,0.0515766183850345,-0.0185115849395383,0.115172232592437,0.126335668124643,0.0184627257449196,-0.0516195070077181,-0.0999092327186071,-0.196482908714255,-0.156898446618253,-0.217271613636949,0.0386371401496945,-0.0460307816799581
"miR205",0.020849452932776,-0.0206212766709952,-0.020552436318032,0.0495020099238525,0.222723464286902,0.222723464286902,0.152710266300501,0.159295090908434,0.0451560472105385,0.104496958662529,0.108321341963117,-0.0168521690134461,0.0785404629037721,0.122218069640222,0.121545283558027,-0.0786261635862035,0.0169098272647537,-0.223709289232598,-0.196156084939612,-0.159086984675156,-0.222784333095985,0.142218660006903,0.024310939309408
"CDH1",0.0220862138896843,-0.065103644353607,-0.0657086069882678,0.0419694271610294,-0.0266156911327783,-0.0266156911327783,-0.0304732675742608,-0.027704695607254,0.00860027618099608,-0.0246164486713482,-0.0271442709187081,-0.0738897346935506,-0.0152480793372115,-0.00253647725624368,0.12171049353856,0.0150700815059207,0.0733107174292744,0.0324242867658169,0.0238272358025216,0.0277303761414091,0.0266044607658661,0.0813419471968144,0.0830896494569839
"SNAI2",0.0220871653689967,-0.0657086069882678,-0.0655552997842166,0.0419511714293976,-0.0266044607658661,-0.0266044607658661,-0.0304762920117154,-0.027837627432218,0.00897581880826684,-0.0246033940845259,-0.027041349432638,-0.0733107174292744,-0.0150700815059207,-0.00253647725624368,0.121721785665894,0.0152273582483531,0.07349660788992,0.0324727419678289,0.023820105067628,0.027704695607254,0.0266457668611718,0.0810694471780471,-0.0167495406582971
"CLDN7",0.0221018002716397,-0.0658337888924238,-0.065103644353607,0.0417681703326728,-0.0264072282720826,-0.0264072282720826,-0.0303357993201076,-0.0277303761414091,0.00910807234564152,-0.0244784532145833,-0.0267759658615394,-0.0729216804825148,-0.01445054444506,-0.00243244991191317,0.221677330442453,0.0152480793372115,0.0738897346935506,0.0323077304744262,0.0237006247581428,0.0272101449275362,0.0266156911327783,0.0807313351810929,0.0834238173370606
"miR200c",0.0231591439936812,0.0392645639755546,0.0393780325105497,-0.175410746901144,0.216322642236824,0.216322642236824,0.148742420468306,0.156641166929045,-0.173187100746894,0.0993847644707442,0.0831822314613074,-0.0759858001599954,0.168269291067627,0.119380384565045,0.104276622961332,-0.168343147989725,0.0761115081919991,-0.231359119759633,-0.195592327100012,-0.15644568087964,-0.216370182528896,0.118217684691419,0.0803274947193268
"miR200a",0.0231591439936812,0.0392645639755546,0.0393780325105497,-0.175410746901144,0.216322642236824,0.216322642236824,0.148742420468306,0.156641166929045,-0.173187100746894,0.0993847644707442,0.0831822314613074,-0.0759858001599954,0.168269291067627,0.119380384565045,0.104276622961332,-0.168343147989725,0.0761115081919991,-0.231359119759633,-0.195592327100012,-0.15644568087964,-0.216370182528896,0.118217684691419,0.0803274947193268
"TWIST1",0.026205479549072,-0.133613645184951,-0.133752070718985,0.205606403503606,0.212396280117003,0.212396280117003,0.171245032112776,0.179301205809166,0.0966863895396596,0.0962421906507992,0.0577781622338026,0.00473246178382749,0.0673981074401535,0.138140891116218,0.0439832559828191,-0.0675143613688156,-0.104875427463895,-0.0576368950695183,-0.194780082265327,-0.179163724467348,-0.212443049050091,0.130473653067253,0.114408676762652
"GRHL2",0.0474354100289477,0.106463741294785,0.106589627117225,-0.0584434903557859,0.258530963446707,0.258530963446707,0.281151298009848,0.165458892521571,-0.091284784501415,0.226018658195694,0.229321614794235,0.0084653370564786,0.242310896941498,0.252546239941981,0.00378168103417256,-0.242556466435447,-0.00835261377767636,-0.26277909437166,-0.144417573969345,-0.165099623555814,-0.258649530941745,0.0129693860853523,-0.085598551605024
"miR34a",0.0938477895465663,0.0531604428161222,0.0531882931541677,-0.103919467063204,0.149870609460605,0.149870609460605,0.133741821261556,0.133943605163125,-0.115245118486491,0.0922529874112115,0.0762459226624669,-0.026246003661474,0.0688131469873884,0.167138245297297,0.00996188760265443,-0.0688771068254373,0.0262735598958752,-0.132277961638612,-0.136006441048738,-0.133835746628109,-0.14990249729159,-0.00279487468413416,0.0119405162166234
