"","miR200b","miR200a","CDH1","KLF8","TWIST2","GSC","miR141","CLDN7","GRHL2","TCF3","OVOL2","NP63","miR205","FOXC2","SNAI1","TWIST1","ZEB1","miR34a","TGFbeta","ZEB2","SNAI2","miR101","miR200c"
"TWIST1",0.140033606325251,0.136922170546006,0.118719638780977,0.109916398609817,0.0904795080951115,-0.00186763577608306,0.103795111984096,0.103795111984096,0.0981654545907302,-0.00128667618208973,0.0689743839599776,0.0248989642865135,-0.0243804632259432,-0.108102691845353,-0.00996482719900343,-0.0993350202895173,-0.103232033773853,-0.0807621069941319,0.0014085737666762,-0.188770984217665,-0.143800548714206,-0.110638402294525,-0.0335355834064833
"miR200c",0.146188842323135,0.110313181104873,0.076361062967751,0.0339274662392342,0.0355801869791233,-0.0796438012172383,0.0296327979415913,0.0296327979415913,0.0210599930118072,-0.0682830000908464,0.0343137121773407,0.0460812331990605,-0.0456049580968746,0.0389523164599483,0.0553903709692951,0.0675893875377902,-0.028992901146432,-0.0361537832279687,0.0791983871639704,-0.186078560828598,-0.127634724565844,-0.0343993512577854,-0.0772191841305605
"miR200b",0.146188842323135,0.110313181104873,0.076361062967751,0.0339274662392342,0.0355801869791233,-0.0796438012172383,0.0296327979415913,0.0296327979415913,0.0210599930118072,-0.0682830000908464,0.0343137121773407,0.0460812331990605,-0.0456049580968746,0.0389523164599483,0.0553903709692951,0.0675893875377902,-0.028992901146432,-0.0361537832279687,0.0791983871639704,-0.186078560828598,-0.127634724565844,-0.0343993512577854,-0.0772191841305605
"miR205",0.121786937961041,0.117949263234328,0.0643647368824821,0.044003974971413,-0.0279644375395385,0.0330395966922462,0.0414249900862701,0.0414249900862701,0.0287107169578149,-0.0826349284764097,0.0389952470752878,0.0486434024062225,-0.0476226908811011,0.0844021495061038,0.0859673191867168,0.0821407148937731,-0.0405082312882428,-0.0341585718390835,-0.0338648625230667,-0.185568825954013,-0.0708314710741047,-0.0446585841459545,-0.07032873482885
"miR101",0.0179667211711038,0.0426034848747302,0.0407612743395912,-0.187939718080069,0.023058264477091,0.0146258659699552,-0.0270610610361891,-0.0270610610361891,-0.0215395651322175,0.0243891906078912,-0.0348533037426701,-0.0276925627380701,0.0272175469916918,0.00483504136802794,-0.0129247896395439,-0.0235544296332396,0.0263570631455461,0.0194471617856988,-0.0141731079188271,-0.120185380154326,0.0890220904904228,0.0884182251380483,-0.0742583229108273
"TWIST2",0.0210140480006562,-0.00788873986074452,0.0554281366335729,0.0630325467641883,0.0905591893361853,0.0121236473065549,-0.136239226696234,-0.136239226696234,-0.13404627167753,0.189439577113695,-0.0803035257181097,-0.0237924174141096,0.0238369204351801,0.0623010989717792,-0.0424123377528003,-0.190112104648853,0.136485564188283,0.0502854064718462,-0.0122521767496213,-0.118726856251285,-0.0743744150554331,-0.0636851759647827,-0.128683073530254
"miR34a",-0.0724268484331394,-0.0938351454607633,-0.0141844553173246,0.0310224440356506,0.0369156488003705,0.0291298720666512,-0.144748260082264,-0.144748260082264,-0.141283855507975,0.0761773185586309,-0.0857844391246337,-0.0259670709586457,0.0252555830785389,-0.0496643375971714,-0.0926976606195768,-0.0764930342727704,0.144574542794063,0.030679642235355,-0.0286055220735902,-0.0827506409519359,0.0412914509268696,-0.0300774532550729,-0.159550226794276
"GSC",0.0775626217601112,0.0890203128191409,0.0400844143840076,-0.128359760352631,-0.0272877663146282,0.00516795583630066,0.105711644943575,0.105711644943575,0.103405178666339,-0.0150026221869808,0.0747855395673662,0.0172091218606629,-0.0167321012280837,-0.0336968238027965,0.105478648418885,0.0152629723019821,-0.105540785215068,-0.00291484977134558,-0.00551695437551868,-0.0663295209450762,0.0647136171595011,0.128016787400725,0.0177866623472824
"CDH1",0.0256116157366725,0.014377637738002,-0.0173609859690926,0.0356023344024678,0.0301237969271019,-0.000728206691115752,-0.00634602958354905,-0.00634602958354905,-0.00799991115937257,0.0925810369693624,0.00664278400428628,0.0057146600933793,-0.00391702270252157,0.00866886061628988,-0.030008956394694,-0.0927350874341699,0.00700541255510414,-0.00777235074414244,-0.000722373336300006,-0.0320956598017494,-0.0408083138543237,-0.0390735905895857,-0.0190440351705644
"KLF8",0.0240097106085053,0.013713136538503,0.0831781512218984,0.040415327995077,0.0270075700882473,0.00199066225940083,-0.00710307891975942,-0.00710307891975942,-0.00910694618842818,0.0904513177050836,0.00473919817982625,0.00391702270252157,-0.00778985507246377,0.0105984860419425,-0.032855302967167,-0.0925810369693624,0.00634602958354905,-0.00642135736665899,0.000728206691115752,-0.0320310876479341,-0.0419281428944553,-0.0356023344024678,-0.0192584588803069
"FOXC2",-0.0245442546272543,-0.0218506785885823,-0.0220465509316837,-0.0285663353263841,0.0295726633920808,-0.014453326793477,-0.0415519642744526,-0.0415519642744526,-0.025757317134094,0.0892258711668267,-0.042462584747779,-0.0451043383766897,0.0438980494094899,-0.0870346819374139,-0.0903875845668166,-0.0886794538617343,0.0404794289164945,0.0292581791786932,0.0154313882561185,-0.0163821976405245,0.066242264048003,0.0292937885554206,-0.0329018897110638
