"","miR101","ZEB2","OVOL2","miR34a","miR200c","CDH1","miR141","TGFbeta","GRHL2","TWIST1","TCF3","miR200b","NP63","miR205","GSC","CLDN7","ZEB1","SNAI1","miR200a","FOXC2","SNAI2","KLF8","TWIST2"
"miR101",-0.19281383222165,-0.107386938056066,0.0513801177715828,-0.0818784313099785,0.0512266535120385,0.0135624906519297,0.0033275407590772,0.00431704690075432,0.00290943180700569,0.14403550865209,0.144451252353191,0.0670136027493849,0,0,-0.00423823346222461,-0.0033275407590772,-0.00338686642401903,0.139008012402459,-0.0550855056188792,-0.0563660316036341,0.119177611780567,0.0926290753298191,0.0657819681984067
"ZEB2",-0.0920604109754198,-0.0833279976954513,-0.0205314978980746,-0.0199021060915474,-0.00857572347520782,-0.00759511793251643,-0.00456624524412069,-0.00440706852844217,-0.00399283542978495,-0.00320862285114182,-0.00312256572869714,-0.00143366651345456,0,0,0.00438921017596755,0.00456624524412069,0.00457385561287988,0.00558155385179061,0.0111969990058652,0.0140377491639388,0.0826783641698078,0.0920116872390052,0.0986918817231073
"SNAI1",-0.175463629135398,-0.0752988430511956,-0.106154315852304,-0.156434681941352,0.0931986990648497,-0.0865904449060104,-0.104843144082562,0.00448816837976804,-0.107012573295125,0.0604810665246209,0.0618427125579646,0.111503564698369,0,0,-0.00452817501501486,0.104843144082562,0.104608037087646,-0.0335620124812237,0.0137205183436054,-0.0255611462201527,0.150989586828376,0.17580711307963,0.152278017506178
"GSC",0.16668724548478,-0.0586963676254048,-0.0873410856025717,0.0406045211043447,0.0715831211079459,0.0160368982335364,-0.0817510222979279,0.0218347856081558,-0.0831744517500615,-0.0760664878175684,-0.0758732217812791,0.0680693505428975,0,0,-0.0219405242198628,0.0817510222979279,0.0817150645302054,-0.172658591589757,0.0063664057325108,0.193555798075306,-0.038541745529762,-0.166376426247116,-0.0391667392837777
"CDH1",0.144874429971759,-0.0574680734947804,-0.050602875456397,-0.0781550345906864,0.0594812143552107,-0.216574035744919,-0.061547214731799,0.210280900195715,-0.0620831027355736,0.16985062853991,0.166828052178689,-0.15303409436141,0,0,-0.21016018902277,0.061547214731799,0.0620573942572358,0.0934968766688974,0.00119487986418163,-0.0184263872718004,-0.174882213626825,-0.1456734982646,-0.169482703388589
"CLDN7",0.1456734982646,-0.0569047371183916,-0.0501951306347562,-0.0767722531337328,0.0588846493805807,-0.115752538478506,-0.0609071971770318,0.21016018902277,-0.0615149762543867,0.166828052178689,0.163197848887304,-0.153301818117826,0,0,-0.210649585433863,0.0609071971770318,0.061547214731799,0.0925973818646094,0.00104839237930805,-0.0174406653051357,-0.17528342459256,-0.145032759179516,-0.169180906645186
"TWIST2",0.0298479868876341,-0.0289941024633771,0.120389436773314,0.104048601529447,-0.0532153617137138,0.170503602825848,0.131257759586195,-0.0131675402870664,0.131544564160025,-0.167691113062681,-0.168362215751366,-0.023542436682408,0,0,0.0130461058875663,-0.131257759586195,-0.131125712359133,-0.0456310164712759,-0.0777922571041713,-0.06115353117483,0.0278609736231664,-0.0297324080811374,0.0160359352552043
"OVOL2",-0.191569296893647,-0.0258931206778498,0.200829982312621,0.0817589426076528,-0.0959934811485744,-0.0449086600249742,0.108300639703874,-0.262421991095107,0.138686930573732,0.00299249021185273,0.00301227296129522,0.0630868285136338,-0.186889225233431,0.186890305625397,0.262504663052779,-0.108300639703874,-0.108288547460437,0.0703145846099646,-0.114204816834423,0.0380840839080507,0.209076149418458,0.191291832892682,0.175240944706408
"miR141",0.0381957444922977,-0.0209285884245958,-0.0750033603350192,-0.0966292950133214,0.0167668208308483,-0.00711053075519262,-0.0133704901261665,-0.079038964102442,-0.0119347790614803,0.0695229406008326,0.0697580885665808,0.00688669994200153,0,0,0.0790253289783624,0.0133704901261665,0.0133528578112668,0.0479480044106597,-0.001395995856298,0.0582530458270683,-0.130118777352755,-0.0381939434044406,-0.0239046662366186
"miR205",-0.0265182725207292,-0.0153981397761032,0.0692034889763707,-0.00674604087833038,0.00777357600410727,0.010889920505798,-0.00070645649674412,0.000933355747102379,-0.00075577287264291,0.091518254295701,0.0909004873174052,0.0118100945571624,0,0,-0.000968270839944785,0.00070645649674412,0.000836268548768318,0.0992136809264822,-0.0065784828894551,-0.0917271579370186,0.0103104701614728,0.0263818434575838,-0.0716873621905751
"miR200b",-0.0310862747875606,-0.0136181794957839,0.0486585452167181,-0.0205901755951318,0.0198427662392869,-0.065457212429247,-0.0243813068281312,-0.0959986395758238,-0.0212509946470642,0.135990976665566,0.135137640965964,-0.0415765472295813,0,0,0.0961099930891408,0.0243813068281312,0.0245350873973202,0.111919263625041,0.0077871928942869,0.0404914588200057,-0.0591623419600698,0.0306251962961518,-0.0384681201176904
"miR200a",-0.0310862747875606,-0.0136181794957839,0.0486585452167181,-0.0205901755951318,0.0198427662392869,-0.065457212429247,-0.0243813068281312,-0.0959986395758238,-0.0212509946470642,0.135990976665566,0.135137640965964,-0.0415765472295813,0,0,0.0961099930891408,0.0243813068281312,0.0245350873973202,0.111919263625041,0.0077871928942869,0.0404914588200057,-0.0591623419600698,0.0306251962961518,-0.0384681201176904
"GRHL2",0.126089888198927,-0.00197577439276385,-0.137399401395054,-0.0209841217071309,0.0118657630684125,0.0154867488286503,-0.0174921151915201,0.129927285098874,-0.110877686751247,0.0435712249199172,0.0433110942765274,-0.10635387349866,0.186385612021517,-0.186387347620385,-0.129978838062615,0.0174921151915201,0.0175373149548218,0.0224221553032873,0.0126621322218586,-0.0400020089162441,-0.140351717349115,-0.126011539680066,-0.108776600887521
"miR200c",-0.0188455745669157,-0.00195467208299254,0.0825651241924318,0.104760088985324,-0.0101756157299713,0.078152172440579,0.0203329230971946,0.0887069307298395,0.0175709994512457,-0.0689422236588592,-0.0690768051990044,0.0270407585308862,0,0,-0.0887807876519375,-0.0203329230971946,-0.0203077021910722,-0.04835306405957,-0.0127153487307329,-0.0637080763969104,0.101965776124886,0.0189770539804815,-0.000398493896670076
"miR34a",-0.160239316803452,-0.00183717350840052,0.0402208257160342,-0.0766585085499837,-0.0401234609084189,-0.0222519134254761,0.00157488157335582,-0.0294624328108444,0.00131353525414152,0.0683779375725182,0.0688637146189623,0.0631640187157228,0,0,0.0295686302777934,-0.00157488157335582,-0.00163937114198962,0.125590870038106,-0.0415969101584278,-0.0541466207874714,0.175873783101641,0.15999250518698,0.0701351626794612
"TWIST1",0.0136389511471684,0.00596547487919774,-0.0661885452123907,0.0624437635537552,0.0269115749140885,-0.043341260662875,-0.0484865282883381,-0.00507353736903122,-0.0499682420434325,-0.196537061409742,-0.0961294049848643,0.0588860914171347,0,0,0.0049660573217776,0.0484865282883381,0.048424457646271,-0.195995195937538,0.0118327957399007,0.178608227081679,0.110674802140025,-0.0133232612601993,0.0879848789962275
