"","miR200b","ZEB1","GRHL2","TWIST2","miR101","miR200a","NP63","TCF3","GSC","SNAI1","TGFbeta","FOXC2","ZEB2","TWIST1","miR205","OVOL2","KLF8","SNAI2","miR34a","miR141","CLDN7","miR200c","CDH1"
"miR200c",0.0411233010259387,-0.209118598771341,-0.202766125024371,-0.0339306515554502,0.0569133018577686,0.231585371367414,-0.0506159719250619,0.0438601593313121,0.0299279663670565,0.0438549699490285,-0.030277934551767,0.0236024372340954,-0.262062538666823,-0.0443970065738695,0.0508789895188063,0.0718770505236846,-0.0566197245370669,-0.0642259172973991,0.121810101052749,0.209063469888047,0.209063469888047,-0.0218036373958025,0.0303131707474342
"miR101",0.00208818597211718,-0.18583695785221,-0.183894929132834,-0.0498684503471988,-0.00202873471662099,0.215128329633694,-0.0339327910066878,-0.0372274002733833,-0.0867181027703211,-0.0147832763271187,0.0863458350393935,0.00774184596394578,-0.256500424216126,0.0364646578926232,0.0341086255647394,0.0879308756488795,-0.0975685218429132,0.095647440467566,0.0955524423898432,0.185696883365542,0.185696883365542,-0.0317596587844511,0.0182975310376113
"TWIST1",-0.0244174080983544,-0.1971665242333,-0.194657115165332,-0.11990590230872,-0.0205026643426478,0.219198859948304,-0.0293955002994823,-0.124834546686238,-0.0903131963778024,-0.0155894717921791,0.0899613010627417,0.108229147124284,-0.24946374262922,0.0242765720606035,0.0295997582930403,0.108044922047009,0.0207028336400635,0.0893096229515995,0.103201378712266,0.197113091652753,0.197113091652753,-0.00253804678144048,-0.0620773373025636
"miR141",0.000894433658105255,-0.157955918655336,-0.158471624089734,-0.104246347605617,-0.102617509201171,0.196301116572144,-0.0425879392313575,-0.181859011839659,-0.168840499369954,-0.144570940639456,0.168533709078162,-0.0851547484784798,-0.248183561289353,0.181082579877282,0.0426661336511194,0.0501349034789831,0.103006544178298,0.0819199880900247,0.179681501096902,0.15770036168622,0.15770036168622,-0.0453530983138454,-0.00136495868136942
"FOXC2",-0.196163027885223,-0.250727504260702,-0.230452147566749,-0.186045141526743,-0.0780420614295884,0.298321893686814,-0.056326565515647,-0.170454984372411,-0.108316159298199,-0.140983830757993,0.107622506385182,-0.119580976648763,-0.182898730491194,0.169857868554475,0.0567873950087345,0.0835830881055792,0.0785538461718988,0.0554491984280166,0.26745659369213,0.250874164862563,0.250874164862563,0.171465898495232,0.201532265998559
"GRHL2",-0.127108003037148,-0.201071008214327,-0.180641569164119,-0.0731465434223618,-0.0388457271609535,0.251332112135656,0.11920644916722,-0.0996114479240116,-0.168655867106172,-0.116567539963811,0.168200759759598,-0.0991400618920988,-0.152852138159187,0.0988888628034844,-0.118933960144883,0.090670217009718,0.0391459164298473,0.0203134981147369,0.221803502419115,0.20100004240238,0.20100004240238,0.153705635512722,0.127335975976713
"SNAI1",-0.0227946242864203,-0.0935509605007593,-0.0933121824347278,-0.0213698165028744,0.00724465142699573,0.105093021451296,-0.0107085643724217,-0.00488182815543185,-0.0515054424888102,-0.0907734515245727,0.0514377239403681,0.0249048718320084,-0.121099617663718,0.0047484737033858,0.010751446019077,0.0764285064337331,-0.00721002225550645,0.0979304597177497,-0.0135137303125625,0.0934835554411333,0.0934835554411333,-0.0126755848015667,0.121649628408893
"miR200a",0.163387830098932,0.303601595014329,0.284932892652263,0.0858102586301533,-0.0290082888185926,-0.101545997578154,0.0648598785307478,-0.030371747843772,-0.0381689591385271,-0.0403562369663676,0.0385882392039757,-0.0267497442605139,-0.101303128966802,0.030222377123391,-0.0652650677967865,-0.111538067168996,0.0288587985264561,0.0240072449693506,-0.19344240128117,-0.304011155746494,-0.304011155746494,-0.217352645621702,-0.202504036630048
"NP63",0.195086078506735,0.165462215186566,0.0614291124086257,0.100356799014127,0.0677115777099618,-0.082034779983182,-0.138985770760787,0.143914874566254,0.143833960946873,0.0444181950177165,-0.143387219081512,0.00622546952891684,-0.0785247829677952,-0.143957508920568,0.0386740768656881,-0.1286867145097,-0.0675306467378691,-0.0769498298492496,-0.160735546538267,-0.165795730601899,-0.165795730601899,-0.129816174252457,-0.204170353957327
"TWIST2",0.0638155621122724,-0.0532764449690774,-0.0532048810066281,0.111515679457454,0.032027468511456,0.0626182878370217,-0.0168402717212174,0.0243816703118338,-0.00420412464928846,-0.119169238924438,0.00425788324861771,-0.0899220803281083,-0.0753596645984583,-0.0244016181624529,0.0168368484119043,0.0449458920086787,-0.0319857558594872,-0.157640957839908,0.0750582653633299,0.0532040180874044,0.0532040180874044,-0.0114144585474094,-0.141012150178172
"OVOL2",-0.0772749246899282,-0.0852085019331222,-0.0513699044023563,-0.120724199355034,-0.116444071167881,0.107209971076417,-0.0216537097445067,-0.108009799823677,-0.0489250527255543,-0.103065733982532,0.0488506479636496,-0.0671818180131176,-0.0433822190239779,0.107853336259905,0.0217217744383776,-0.0568405797036331,0.116541677081264,0.10161989675247,0.123712022571237,0.0851409755849389,0.0851409755849389,0.0748913866584353,0.135374536902612
"ZEB2",-0.277008086054901,-0.24083635484614,-0.232731926777027,-0.178285275013688,-0.111404842427613,-0.0510619830701061,-0.0421090476132644,-0.0372719124374172,-0.00964864674683629,-0.00304889018955743,0.00904454178898816,0.0105759777082427,0.0190147635328537,0.0372443092094633,0.0424576686234907,0.111035761824477,0.111445611268286,0.116176530628897,0.196410474349897,0.241304024281181,0.241304024281181,0.274360992117045,0.303611250449453
"TGFbeta",-0.0345551816820163,0.131584469823778,0.129702874816171,-0.0596391056802789,-0.0526656547648576,-0.0784693285014561,0.0149587156838129,-0.10791131899154,-0.14804392571703,-0.080362037832588,0.0483023932435174,-0.0317542307260813,0.0245573940937135,0.108115525648677,-0.0150377562943335,-0.0962017540798317,0.0525153892033699,0.0203975197787679,0.0240176677972334,-0.131683450681189,-0.131683450681189,-0.057473289969314,-0.0555392025755316
"SNAI2",-0.0308530491234581,0.0238483275031428,0.0232170673765442,-0.0886918476080286,-0.0531789447265898,-0.0266449980885508,0.00645479663327834,-0.0975076118163071,0.000301586383095528,0.00255439036238879,-0.000189984530246233,0.0273953422555737,0.0302126527410741,0.0975892222624442,-0.00649820294347068,-0.0180238987621341,0.0533058914159172,-0.0098029976178204,-0.0154107539575451,-0.0238426714817939,-0.0238426714817939,0.0026858994110705,0.11381158561157
