"","miR101","ZEB2","TWIST2","CDH1","TWIST1","OVOL2","FOXC2","miR200a","miR200c","TGFbeta","CLDN7","ZEB1","NP63","miR205","GRHL2","miR141","GSC","miR200b","miR34a","SNAI1","TCF3","SNAI2","KLF8"
"SNAI1",-0.0903599053709774,-0.131734415222256,0.0935095781032747,-0.0183830999587751,-0.153809492679598,0.120950426434292,-0.198247308694962,-0.00409796777245551,0.128732480160617,0.0461021528866101,-0.12715657069285,-0.127173016600869,0,0,0.127677785765873,0.12715657069285,-0.0460765876709157,-0.0523858854281775,0.0792212248570028,0.081070334524218,0.153668985115182,-0.101853926077658,0.0904500660066567
"ZEB2",-0.102175142118283,-0.0921191583213082,-0.0846838821511353,-0.0346190510096622,-0.0293572778335805,-0.016474336177059,-0.00752440243012138,-0.00701059669250273,-0.00455960399410358,-0.000821288212615212,-0.000212387803872354,-0.000158133239492317,0,0,0.000174860956033656,0.000212387803872354,0.000692584913746446,0.000751511652459902,0.0203281137657382,0.0236459663830235,0.0296316863938286,0.088479796132705,0.102060790492004
"GSC",0.0580320111824758,-0.0665902176716044,-0.0702523652792404,0.0679386912916542,-0.0442563604158826,0.0724949850574578,0.0943235197107043,0.00885569457572562,0.0626592101449636,0.0361901189906836,-0.0591562745562256,-0.0591140422786992,0,0,0.0582968420340588,0.0591562745562256,-0.0363227506597034,-0.0856674801706253,-0.0666038978836559,-0.0683222933323763,0.0443809451334906,0.0721485870214579,-0.057883909225971
"NP63",0.0523171321265689,-0.0618182209712194,0.0541928606175059,0.110764116286782,0.0763453755837487,-0.0799100138256172,0.036420962736262,0.0188681105272981,0.0173265570239474,-0.0936792660510037,0.00130622306643509,0.00125431273220718,0.0215802590359401,0.12148890048048,-0.123959520037668,-0.00130622306643509,0.0940558300754461,0.0872899478772087,0.00203035292892638,0.00649915846704115,-0.0765899621427075,-0.0758761157095158,-0.0514261841579303
"miR200b",-0.0582337273832405,-0.0365922217016631,0.0307921020059197,-0.00304890614688015,-0.0805483421339723,-0.0533453453094893,-0.0162952682601831,0.00832312957372324,0.0244930129663225,-0.0894466359195209,-0.0146083487516022,-0.0146050008437099,0,0,0.0122813563586151,0.0146083487516022,0.0896750242478547,-0.0492360708759468,0.0816437390615412,0.0701941245625593,0.0807598274113434,0.0537561205769065,0.0583471959182357
"miR200a",-0.0582337273832405,-0.0365922217016631,0.0307921020059197,-0.00304890614688015,-0.0805483421339723,-0.0533453453094893,-0.0162952682601831,0.00832312957372324,0.0244930129663225,-0.0894466359195209,-0.0146083487516022,-0.0146050008437099,0,0,0.0122813563586151,0.0146083487516022,0.0896750242478547,-0.0492360708759468,0.0816437390615412,0.0701941245625593,0.0807598274113434,0.0537561205769065,0.0583471959182357
"KLF8",-0.0451209576438653,-0.0245500887996443,-0.0885103411059776,-0.200968875073398,-0.0853130103788055,0.029756098678555,-0.0434385903660569,-0.00134611174127985,0.0255289771327528,0.0196710244683947,-0.0263832255065065,-0.0264161406950374,0,0,0.0260339217981207,0.0263832255065065,-0.0193085086083258,-0.0395772831159391,-0.0149032185305407,0.00601678612913267,0.0847805805627358,0.0736328884765481,0.0471623821707615
"SNAI2",-0.0456320894826252,-0.0244812113560674,-0.089093794764125,-0.101088086790659,-0.0850174978334122,0.0297337181420563,-0.0433943340279371,-0.00133581325080349,0.0254972972878093,0.0195607027825088,-0.0263471541554343,-0.0263857179373587,0,0,0.0260018154113545,0.0263471541554343,-0.0194275561704222,-0.0397776711039977,-0.0148616855002447,0.00600896245576769,0.0847658656244895,-0.0266835315243409,0.045997668199978
"miR141",-0.0812454251682222,-0.0185701230630945,0.0105545064560639,-0.0844400710701179,-0.0931147086790846,-0.0593394905779266,-0.0191240394683811,0.00252543736773557,0.0136932149614586,-0.0988488800315867,-0.00982100317240569,-0.0098538126697508,0,0,0.00853237725625337,0.00982100317240569,0.0990988573063799,-0.0109507107688272,0.0898439554914591,0.07731474429029,0.0930718200564009,0.0841097453176684,0.0815317981374957
"GRHL2",-0.0459138960167881,-0.0103594826400075,0.000647024222022752,-0.0239004301859784,0.0286626725380049,0.0269672281094033,0.0455190935545433,0.0983973152464101,-0.0936910835257421,0.0555868526913634,0.0954697174480496,0.0954367456400372,-0.0255409753580788,-0.0256364332958402,-0.0227421401355779,-0.0954697174480496,-0.0550441607397234,0.0584329985351674,0.0829669613249935,-0.0898576381355659,-0.0285875236854701,0.0573093188540112,0.0466718519127343
"miR205",0.0486493644884871,-0.00425176604364043,0.109598942881065,0.0153814219533434,0.0906634380216641,-0.0674418811295458,0.111169611393041,0.00764238242556726,-0.0023518814475922,-0.00619929035323997,0.00809003454668639,0.0080658112451125,0,0,-0.00715843124230865,-0.00809003454668639,0.00646750174825664,-0.0015627179295962,-0.00304648631704038,-0.0937340236590544,-0.0905728321981807,-0.0361541766745674,-0.0487157015558881
"ZEB1",0.0345975384951564,-0.000585070471858999,0.0908821452713444,-0.0584898301766129,0.0734794181267967,-0.071200406083758,0.112880631914997,0.0080514193901707,-0.00771830681921081,-0.0200125222890908,0.0117119870552143,-0.0882948296207382,0,0,-0.00963450899578818,-0.0117119870552143,0.0198787416481786,5.42554872767443e-05,0.00245220161563436,-0.0823348502558817,-0.0736434737254194,-0.0188099660042061,-0.0346599948675433
"FOXC2",0.0346599948675433,-0.000523988513500741,0.0908479531593852,-0.0584699216687175,0.0736434737254194,-0.0712428716505932,0.112905630732621,0.00809345032493869,-0.00775489845653824,-0.0198787416481786,0.0117795784630285,0.0117119870552143,0,0,-0.00969456587985573,-0.0117795784630285,0.020266275435263,8.93083487016688e-05,0.00246626631324336,-0.0822456168136427,-0.0737617702553879,-0.01875377121798,-0.0345863937173114
