"","ZEB2","miR101","SNAI1","miR200a","miR200c","FOXC2","GSC","miR205","miR34a","CLDN7","miR141","ZEB1","GRHL2","CDH1","NP63","TWIST1","TCF3","OVOL2","TGFbeta","miR200b","SNAI2","KLF8","TWIST2"
"TWIST2",-0.11442801548028,-0.0351176945515661,0.0304522231000724,0.107647961978958,0.00951629127335997,-0.0432095709551581,-0.0212540392855128,-0.0819831231037886,-0.0641035953809334,-0.102765602924534,0.102765602924534,0.102916806147046,0.111126998287138,-0.177233468285561,0.0818068226741633,-0.051419101855723,-0.0517197444614822,0.0639362598573318,0.0213492766010758,-0.0164420731148396,0.0374365088662648,0.0348578594903441,0.0334786288946814
"miR101",-0.10165359135693,-0.112942493535698,0.0283680303536759,0.0458478905581566,0.05549061000777,-0.0293826464734315,0.0353600013305827,0.0175128618703562,-0.0346754942457501,0.00817544898482738,-0.00817544898482738,-0.0082878381611894,-0.0101472838629236,-0.00533357270168873,-0.0168410163948155,-0.00269534368477484,-0.00287320778787054,-0.023196349147253,-0.035070739242362,-0.0858257229663497,0.105317863556445,0.012644755810733,0.0283937244807995
"ZEB2",-0.0824744274044101,-0.0638549479516587,-0.0144507492429499,-0.0105259107095259,-0.0100643553844808,-0.00989629071508738,-0.00775555661215731,-0.00546545924031615,-0.00397039014553316,-0.00154418830888775,0.00154418830888775,0.00159255097487357,0.00258880340501063,0.00446185536086923,0.00545771210675556,0.00691350111011192,0.00723662124910229,0.00756692520203016,0.0079729358681414,0.0164609415398193,0.051449168453453,0.0640249838481257,0.0659970892573049
"NP63",-0.0767779326355691,0.00415798841036865,-0.0123233572319451,-0.0316511833464169,0.0797400129486516,0.0276932452395804,-0.0464872648021236,-0.0813958714542841,0.0864096448934979,0.0815122348308038,-0.0815122348308038,-0.0811610766874974,0.0643362481186454,0.140158000338953,-0.0197541715379773,0.0552824406368529,0.0548897557944878,-0.110419665404091,0.0459138604921772,0.0146189059468296,-0.00234300397964361,-0.0044156779766826,0.0236856563193327
"GSC",-0.0751031155933374,0.161730083403857,-0.105887711682123,0.0760945686456015,0.00212214019401885,0.0702542220594954,-0.0304397706250284,-0.0714759881056155,0.018428470516958,-0.0783497731196896,0.0783497731196896,0.0784028651257228,0.0856843354836618,-0.0237615262281889,0.0713438016652623,-0.177782536751745,-0.17772184163291,0.061809878471903,0.0305418420016473,0.0245872692225284,-0.11472100886548,-0.161632647906156,-0.0540572890874233
"GRHL2",-0.0313410043560573,-0.00108944950518763,-0.0600860833669945,-0.00137417719981948,0.0171217253534829,0.0182955021189599,-0.065077021994346,-0.020792203248226,0.0130086342177662,0.0139639091042139,-0.0139639091042139,-0.0142453704322135,0.0262970314351163,0.0730516173441679,0.0218248845749178,-0.0220710749053444,-0.0218571897096683,-0.0825602152888891,0.0657172765440336,-0.0648864503413405,0.0101351983077539,0.00115195225618899,0.0267236577226356
"miR200c",-0.0284436277602571,-0.0763723146905747,0.0275534138040514,0.0216720792979587,0.0047529319435901,0.0433105329409204,0.133816301365847,0.00146826809998656,-0.00824881319752349,-0.0157584543568889,0.0157584543568889,0.0153832654790853,0.00897429955717268,-0.0321887570575298,-0.000547706521880993,-0.0886037582013656,-0.0880550796146197,-0.00790664564162347,-0.133660633699272,-0.0713742820871757,0.0999757731967963,0.0767577474919867,0.0714948027457173
"SNAI1",-0.0242339822261583,-0.103355547314031,-0.0740432239819034,0.0414618681887031,-0.000908159906074956,-0.0351662947485092,-0.00328307243466589,-0.0533179598215575,-0.0872569859964744,-0.0526042365558019,0.0526042365558019,0.0526772007956033,0.0536557700629661,-0.111647404088821,0.0527372198068553,0.0222425998921444,0.022678428810134,0.0525997854958085,0.00297921716110832,-0.0265074939263781,0.0814165809626879,0.103787632021352,-0.008782370607043
"OVOL2",-0.020216108306257,0.0747118367115815,0.0553209374948612,-0.000400121295062689,0.0144219006959994,0.0247513255232984,0.0217790827256268,-0.0219727571637748,0.0176179759175083,0.0120155534810125,-0.0120155534810125,-0.012153187667551,0.0258011922210185,-0.0207050044562473,0.0226307158711938,0.00545233057420783,0.00559260825207273,-0.0809086420320289,-0.0212320699390307,0.00316860416313842,-0.0751640033181598,-0.0747315772333893,-0.074491379174161
"CLDN7",-0.0202092439982609,-0.00395403863678316,-0.00203410225391097,0.0298258324027177,-0.00988089880377855,-0.0212563051229612,-0.0173435759176161,-0.0436594202898551,-0.0226207709275767,-0.0400890858866947,0.0400890858866947,0.0418409053651718,0.0443427894620319,-0.0239669714806161,0.0388039289603753,-0.070833947481283,-0.0702047122441097,0.0383078969117149,0.0161110219933819,0.0044697660576712,0.00744117130609967,0.00361131773080789,0.00556036712847319
