"","miR101","KLF8","TWIST2","OVOL2","miR205","TGFbeta","miR141","CLDN7","TCF3","FOXC2","miR34a","GRHL2","TWIST1","ZEB1","GSC","NP63","ZEB2","SNAI1","SNAI2","CDH1","miR200b","miR200c","miR200a"
"SNAI1",-0.266788129514849,-0.26672043104446,0.0374892771642014,-0.141460547361554,-0.124745029239784,0.0607730043140004,-0.11167204490192,-0.11167204490192,-0.322856698874875,0.199370308321019,-0.160913374957053,0.102154025981222,0.322929762808372,0.1116735119078,-0.0607365104564826,0.124776884177299,-0.280594008558644,0.306226493295928,0.0745023151775771,-0.192737721912293,-0.147137739205906,-0.180552276002467,-0.180552276002467
"SNAI2",-0.322199003272526,-0.322029047322334,-0.227107042509721,-0.176394423200604,-0.15406157977817,-0.122850263253936,-0.134662165256209,-0.134662165256209,-0.310142509794304,0.0830539639667576,-0.0201555728039811,0.121383778456954,0.310351069823321,0.134678104952738,0.122864482795033,0.154053441095009,-0.266005494465613,0.276899195106135,0.130592229849041,-0.301748667165887,-0.34072563287974,-0.196021789932833,-0.196021789932833
"CDH1",-0.322029047322334,-0.321695832609125,-0.227331498448044,-0.176360146242785,-0.154549509927117,-0.122864482795033,-0.134602804745388,-0.134602804745388,-0.30945725083016,0.082803177873292,-0.0199848259016529,0.121276817433551,0.310142509794304,0.134662165256209,0.122796966376267,0.15406157977817,-0.265854209254932,0.276621797037681,0.230608288220089,-0.301744766249172,-0.340686593695368,-0.195907096062894,-0.195907096062894
"TWIST1",-0.061609656064594,-0.0615459205669094,0.0820552876089156,-0.15210442645806,-0.132539053434613,0.0731139203581106,-0.11419702940921,-0.11419702940921,-0.230211262506004,0.0200374745173901,-0.0201852302327599,0.104261789242775,0.130295408020558,0.114166549392131,-0.0730747512446799,0.13254298147295,-0.215323704221237,0.221817756777092,-0.0601434072704099,0.0552388422026749,-0.0817402177769993,-0.155227425942305,-0.155227425942305
"miR200c",0.0222530321907028,0.0222440267514174,0.0240562693477419,-0.124412538994123,-0.0854273093852824,-0.0444043419523977,0.00992499605697603,0.00992499605697603,0.0277574867776693,-0.0179944621066293,0.00866029644534919,-0.0209465042397334,-0.027880236973626,-0.00993950365784291,0.0444804713951757,0.0856370126019165,-0.201586622055403,0.0398894010282206,-0.102746969322928,-0.0988026620654211,-0.0640245945988888,-0.095060157264149,-0.095060157264149
"miR200a",0.0222530321907028,0.0222440267514174,0.0240562693477419,-0.124412538994123,-0.0854273093852824,-0.0444043419523977,0.00992499605697603,0.00992499605697603,0.0277574867776693,-0.0179944621066293,0.00866029644534919,-0.0209465042397334,-0.027880236973626,-0.00993950365784291,0.0444804713951757,0.0856370126019165,-0.201586622055403,0.0398894010282206,-0.102746969322928,-0.0988026620654211,-0.0640245945988888,-0.095060157264149,-0.095060157264149
"miR205",0.0330708303051258,0.0329844669532264,0.136951835424569,0.141348304463181,0.101032345257904,-0.00569060560311278,0.00946706848115241,0.00946706848115241,0.0192840543878637,0.0944249451206205,-0.0164649101715889,0.0074224549042139,-0.0194940951604842,-0.00944222406928175,0.00557475097686298,-0.101071984540433,-0.187282198786164,0.0962995786583523,-0.0670968082499736,-0.0256551603180645,-0.0770360660373939,-0.089343674738202,-0.089343674738202
"miR34a",-0.0383122334353331,-0.0382392463425242,-0.277962553886588,-0.141834501959416,-0.116487062668919,0.0354731665874551,-0.0887246468651253,-0.0887246468651253,-0.068177365824465,-0.109175307590361,0.0933023121769879,0.0757837896992943,0.0683340427000604,0.0887267885851168,-0.0354333425373492,0.116477601393918,-0.0354763971417623,-0.0918414482510874,0.158648798189554,-0.0784203442885145,-0.12695185348298,-0.107665218313786,-0.107665218313786
"FOXC2",0.0049100193642627,0.00483299490471766,0.113536752878661,0.126012098775351,0.0864353234139293,-0.0396999356750177,-0.00259107060466513,-0.00259107060466513,0.0130595375105693,0.0941429175258323,-0.0144913684240453,0.0200339221440679,-0.013194733544819,0.00263145540807616,0.0395729288036203,-0.0865302000742709,-0.00366491728935254,0.1170648999609,-0.0471106704124252,0.080827354441322,0.010255253130556,-0.00329731523154501,-0.00329731523154501
"ZEB1",-0.00491369326852075,-0.0049100193642627,-0.113510512420645,-0.125969633208516,-0.0865302000742709,0.0397024512084365,0.00263145540807616,0.00263145540807616,-0.013194733544819,-0.0941057571212568,0.0144491743312183,-0.0200803812430635,0.0132734561947075,-0.10262318450792,-0.0396999356750177,0.0864842177774552,0.0036623932414865,-0.117031850537849,0.0471031218590515,-0.0808159315269558,-0.0102362732885161,0.00331660001337973,0.00331660001337973
