"","GRHL2","TWIST2","miR141","CLDN7","miR34a","miR205","miR101","ZEB2","miR200a","OVOL2","miR200b","CDH1","GSC","TGFbeta","SNAI1","TCF3","TWIST1","FOXC2","miR200c","SNAI2","KLF8","NP63","ZEB1"
"GSC",-0.112510421289986,-0.0593877335586583,-0.105717540980781,-0.105717540980781,-0.0336874035005536,-0.0889558972394865,0.00799889557404844,-0.10972934530323,0.00164171922388751,-0.0730761820225052,-0.0199142628344259,0.0167884822080674,0.0153159601692675,0.0152829550534746,-0.0192431308141608,0.137739896697709,0.137749480137525,-0.0361706752290803,0.10824224880266,0.0977181498257503,-0.00800181863897946,0.0887202605414654,0.105693890905367
"TCF3",-0.208560134818544,-0.277553135635414,-0.198010096037022,-0.198010096037022,-0.127363052808799,-0.143260869565217,-0.234471232631768,-0.0938097006844448,-0.052220366190172,-0.10657343131616,-0.250513788917581,-0.0277985897013125,-0.182306643522366,-0.182161637178338,0.0223828365571867,0.135914668568203,0.135866265857651,0.0689316779236606,0.148575371630521,0.244541457976156,0.234128511725792,0.145804222166373,0.198598912187407
"KLF8",-0.208560134818544,-0.277553135635414,-0.198010096037022,-0.198010096037022,-0.127363052808799,-0.143260869565217,-0.234471232631768,-0.0938097006844448,-0.052220366190172,-0.10657343131616,-0.250513788917581,-0.0277985897013125,-0.182306643522366,-0.182161637178338,0.0223828365571867,0.135914668568203,0.135866265857651,0.0689316779236606,0.148575371630521,0.244541457976156,0.234128511725792,0.145804222166373,0.198598912187407
"SNAI2",-0.209739295854811,-0.278012875649432,-0.19892619716599,-0.19892619716599,-0.128129406592285,-0.146523277122717,-0.234554204053957,-0.093729355140861,-0.0529456464190325,-0.106743047886221,-0.250997861886245,0.0717208042227161,-0.182229153597104,-0.182239925976722,0.0225050102028566,0.136052188832419,0.13612246449437,0.0691185298888851,0.148914147623226,0.144536541588214,0.234532699423525,0.146927498386383,0.199090221785108
"ZEB2",-0.124254653482065,-0.122932104502942,-0.1160962805909,-0.1160962805909,-0.107994031112374,-0.0835799421631534,-0.0828630692674897,-0.0781001523990576,-0.0628910118953925,-0.0626264002221756,-0.0576822705464742,-0.0483875186502867,-0.000953451066452992,-0.000871548967172868,0.00209214302312234,0.00702592463784584,0.00706327018154825,0.0189728281067884,0.0408083703573135,0.0732888721898812,0.0828322440464927,0.0842074599815606,0.116215346037616
"OVOL2",0.0777898138946006,-0.114210494425502,0.0971917748244916,0.0971917748244916,0.126890096697172,0.056875996499924,-0.121574771298386,-0.0515117323831393,0.117400837012093,-0.0541904345543963,-0.0108110401608335,0.000799431346086939,-0.02796218256516,-0.0278450639584581,-0.0765359524808429,0.0317056204719829,0.0316444737918879,0.0184876097481878,-0.0796661130710193,0.141829729415619,0.121518839819931,-0.0559479398009536,-0.0970829446335564
"miR205",0.284473973904571,0.135436076368364,0.273098093989604,0.273098093989604,0.270080953446685,0.148120964711682,0.0144251139260312,-0.0380960378976829,0.158514395892172,0.0905237975702598,0.141715492571271,0.14616210019128,-0.000788767462609229,-0.000671325786684773,-0.103539317880268,-0.00734900727650227,-0.00739842863476593,-0.104794280033352,-0.126659189060703,0.00979452196443799,-0.0144038359987517,-0.147922768299037,-0.27319312386501
"miR200c",0.186705830537266,-0.0265766097385354,0.171384792088762,0.171384792088762,0.0906105226963367,0.0866429455868546,-0.0941160660113807,-0.0328338159525475,0.0977091169457524,0.051953154062184,0.0246068868584087,0.0671747323400104,0.0875011358540453,0.087438641535347,0.0171141967015792,0.0523179615822949,0.0523371875166014,-0.0377875591340282,-0.0697323545241658,0.131979847644189,0.0941178670992378,-0.0868384316362593,-0.171371177263333
"miR200b",0.186705830537266,-0.0265766097385354,0.171384792088762,0.171384792088762,0.0906105226963367,0.0866429455868546,-0.0941160660113807,-0.0328338159525475,0.0977091169457524,0.051953154062184,0.0246068868584087,0.0671747323400104,0.0875011358540453,0.087438641535347,0.0171141967015792,0.0523179615822949,0.0523371875166014,-0.0377875591340282,-0.0697323545241658,0.131979847644189,0.0941178670992378,-0.0868384316362593,-0.171371177263333
"TGFbeta",-0.167210913962329,-0.150533231033147,-0.15913580777766,-0.15913580777766,-0.155596610240324,-0.132502083524808,-0.0689791814011727,-0.0314623864754674,-0.0696809296342326,-0.107956727815114,-0.147086002467938,0.0467775851974958,0.0154518096474574,-0.0845008408392869,0.042618827689183,0.0824019200667059,0.082433685546705,0.00354700822531606,0.097564276020997,0.0993757475049781,0.0689369408516301,0.1332543320939,0.159310267971745
"miR34a",0.232012644771895,0.0269589431357549,0.219097755957994,0.219097755957994,0.147823187908177,0.160319915350674,-0.0478929259598482,-0.0307184802136667,0.183864761841417,0.114633495630629,0.038688066502137,0.0946232837541813,-0.0383512631787309,-0.038385053281851,-0.0463089232754861,-0.0161153838751867,-0.0161082979863406,-0.0854511619500885,-0.158489813937951,0.142155014367668,0.047921736654378,-0.160711612135733,-0.219180807099887
