"","CDH1","KLF8","TWIST2","TGFbeta","FOXC2","GRHL2","ZEB1","TWIST1","NP63","miR205","miR34a","TCF3","miR141","CLDN7","OVOL2","ZEB2","SNAI1","GSC","miR200b","miR200c","miR101","miR200a","SNAI2"
"miR200a",0.00922559252533434,-0.178305046046043,-0.0865041763835237,-0.0768715480805529,-0.10496862799932,0.00671331383186562,0.00704661542424411,-0.124656449585886,0,0,-0.0205554114841165,0.125971207708843,-0.00638797034488754,-0.00638797034488754,0.0685566930783285,-0.206937267425728,0.1744925085108,0.0785770748508465,-0.124621194932296,-0.0986842282859007,0.177381087975368,-0.107073260416211,0.178279847816863
"miR141",0.137577825045698,-0.116954893044626,-0.107728669871292,-0.0305684767161316,-0.0882151575732089,0.0308681626666527,0.0353743676092767,-0.0800539233811456,0,0,-0.138316774047155,0.0793632686641366,-0.0360374765658231,-0.0360374765658231,-0.0960687419128113,-0.198543265903219,0.166144194452457,0.0293276804248853,-0.147405289629089,-0.0792254176979611,0.116756773380349,-0.119786033928669,0.0923971852246509
"TCF3",0.0591217158753228,-0.191784611662014,-0.229546936557949,0.297352041840809,-0.0156258713585079,0.132016338086281,0.134175074880036,0.181009041557877,0,0,-0.0773166828218505,-0.178153281635321,-0.133973926505681,-0.133973926505681,-0.123516999481252,-0.187978059151487,-0.0218465672570835,-0.295992607365551,-0.306748209809471,-0.0256167329405955,0.185660338081326,-0.162338602481573,0.189312300103632
"CLDN7",0.0591217158753228,-0.191784611662014,-0.229546936557949,0.297352041840809,-0.0156258713585079,0.132016338086281,0.134175074880036,0.181009041557877,0,0,-0.0773166828218505,-0.178153281635321,-0.133973926505681,-0.133973926505681,-0.123516999481252,-0.187978059151487,-0.0218465672570835,-0.295992607365551,-0.306748209809471,-0.0256167329405955,0.185660338081326,-0.162338602481573,0.189312300103632
"SNAI2",0.158270049418784,-0.183657814707769,-0.225850556077764,0.294836197240062,-0.0146623073730864,0.131078219038898,0.132877572028702,0.18009485499618,0,0,-0.075865693554884,-0.180153795873946,-0.132918878124008,-0.132918878124008,-0.122855769678109,-0.186553266146788,-0.0228970763127761,-0.295033978129861,-0.304595607697579,-0.025319824700542,0.182436212959651,-0.16081497623138,0.0878987892845781
"miR205",0.144573264243306,0.0857985670487561,-0.00520761352764875,0.0386800395162327,-0.0420774046949652,0.013954611022554,0.0163568485427562,0.0377528691034399,0,0,-0.00725912525559314,-0.0395485117870197,-0.017418947150227,-0.017418947150227,-0.0878275351608636,-0.181169837651823,0.0203677614383756,-0.0411669463564168,-0.0777256577464373,-0.0827526729542687,-0.0852040367277098,-0.101974907167012,-0.108861729600877
"miR200c",0.120826579701591,0.228902044498062,0.132219935945485,0.121064520955315,0.124617811956796,0.00314502817660017,0.00423018193201631,0.131754028044225,0,0,0.0174201997363947,-0.133642606360328,-0.0050937189743852,-0.0050937189743852,-0.077918630953461,-0.175413985767666,-0.196292495406319,-0.123384764569532,-0.0252997028605943,-0.0875960104044861,-0.227848408101678,-0.0920496237977125,-0.243145821690529
"miR101",0.0151023009259806,-0.34820602860795,-0.145103202291043,0.054651711812554,-0.115644985875688,0.0331253268141482,0.0366399637203292,-0.160031177240581,0,0,-0.102866550301674,0.159458302061898,-0.0374237216716162,-0.0374237216716162,-0.0800098656470758,-0.0972137367671202,0.235569476275058,-0.0559588410749776,-0.110288460065246,-0.0271273765900132,0.248038551137657,-0.0708335923613261,0.15293557507661
"GSC",0.0560679252236234,-0.162871297994382,-0.106647497475496,0.0682659740788138,-0.0747815376503013,0.0787681679754092,0.0810221230762461,-0.153935724296228,0,0,-0.0919357710729283,0.153408635106348,-0.0816017912512084,-0.0816017912512084,-0.0884860339218484,-0.0691556840659028,0.107408983611239,-0.0693343619011485,-0.107374062933179,0.00336894241465964,0.162797247016129,-0.0772900032757712,0.114708280572773
"TWIST1",-0.0644035856196355,-0.0744705663712752,0.0171240900524771,0.047826113664301,-0.198993328941188,0.0796040275603641,0.0806835310083719,-0.176103021301231,0,0,-0.116953574815989,0.0759453505797856,-0.0809499535058329,-0.0809499535058329,-0.0907634936326001,-0.0669005688255083,0.226936981180461,-0.0482281454445529,-0.036286586770771,0.00211739511512948,0.0744008556706826,-0.0745567594971962,-0.04383479154282
"OVOL2",-0.141816913876918,-0.263451202922458,-0.225623602117534,-0.252660401931068,-0.15381382041777,0.0538341468016501,-0.0953394099694746,-0.0443433363986168,0.300276143134155,-0.300216721576014,0.041225226541533,0.0455105186157235,0.0957457908697081,0.0957457908697081,0.249868091002416,-0.0564373981387005,0.180658260245199,0.253926660749411,-0.0944762162668973,-0.120594361454263,0.262754801180906,0.0758398513628233,0.262323927887313
"FOXC2",-0.128884340701867,-0.0592567492353673,0.0230478013728258,-0.0362055643830832,0.038827763950849,-0.0126320749201637,-0.0159918871798733,-0.046542502873293,0,0,0.0079136822764804,0.0484521468570695,0.017250617736716,0.017250617736716,0.0865613917472372,-0.00823022510624547,-0.0138261881745187,0.0390203406013179,-0.0118422869348828,-0.0149875513786044,0.058566952408775,0.00849449147593194,0.080921449789526
