"","KLF8","SNAI2","ZEB2","FOXC2","OVOL2","miR200a","miR34a","TCF3","GSC","TGFbeta","miR141","GRHL2","ZEB1","CDH1","NP63","miR205","miR200b","CLDN7","TWIST1","miR200c","SNAI1","TWIST2","miR101"
"ZEB2",-0.121761878258694,-0.109947182631419,-0.0826738038334922,-0.0250191545802147,-0.0180474249242933,-0.00909408950137764,-0.00721681202173291,-0.00678598710015742,-0.0052097552497431,-0.0048889207104578,-0.00407458477318924,-0.00386316556192835,-0.00355634321026499,-0.00283408378198188,0,0,0.000370908558938066,0.00407458477318924,0.00618683468162754,0.0116369652482096,0.0391506672243686,0.10798117718813,0.122279940843836
"SNAI1",-0.0735131470563816,-0.0497768588778345,-0.0669116078244294,0.0836750258560754,0.0443793461234624,0.0306489547616734,-0.0613748522534211,-0.00618442952372183,0.0292470170888637,0.0289587741607683,0.0286047564736813,0.0268515902864504,0.0287519975374922,-0.0477008331494363,0,0,0.0465712226993302,-0.0286047564736813,0.0064720868283269,-0.0438228501542022,-0.0982491551859141,-0.0226719873134991,0.0734267301149174
"GSC",-0.0778881096046153,0.0324299195240826,-0.0631140070765454,0.239063217865909,-0.108835034576057,0.091894585601448,0.0104376805536858,0.199061531309877,0.0393047526990244,0.0394031568405553,-0.112867695507753,-0.111776774113778,-0.112887001691765,0.0546951014563474,0,0,-0.0262284895168304,0.112867695507753,-0.199428896502823,0.0235698649569712,0.0985923816692435,-0.0182463164502952,0.078020621881488
"OVOL2",-0.14459270665763,-0.157173274241664,-0.0326418583630343,-0.0488147777619745,0.195364805587411,-0.0874988814923494,-0.114231961053903,0.00737676582899272,-0.190759926546472,-0.19090666927134,0.0986982126382549,0.130215730682091,0.0986154690848473,-0.143865379629107,-0.186889225233431,0.186890305625397,0.149329224325617,-0.0986982126382549,-0.00744690466792518,-0.111265954397296,0.0286136663061723,0.131592755597625,0.144619027353373
"TWIST1",0.010822137768295,-0.0666230328788298,-0.0260009863969608,-0.205936417982574,0.0907854884067345,-0.0163612028814523,-0.00222075942937154,-0.1244120793671,0.0160253774469455,0.0156998037761102,0.0788181230587237,0.0777930272588054,0.0788214548824529,-0.0844301888672369,0,0,0.0637588290394872,-0.0788181230587237,0.0242576764326273,-0.0579395738272732,-0.0324281551960637,0.0790580520535964,-0.0107006419758337
"miR200b",0.0811460256695662,0.0940649287195494,-0.0205784342437382,0.0332056007622116,0.0668232942610052,0.00677212247497827,-0.0112865092178369,-0.00276360669114689,0.105015809917911,0.104896502582215,0.00407635706233439,0.00405303227348658,0.00421853155082986,-0.0188928104259986,0,0,0.012012162918364,-0.00407635706233439,0.00304608003364952,-0.0118534393691512,-0.0562677892120159,-0.0744913908892205,-0.0815170497681217
"ZEB1",-0.00779655279384151,-0.0329789218848251,-0.0175925507188501,-0.0975363691783697,0.0705427118973534,0.0015545093752311,-0.00364576574919096,-0.078996683711468,-9.99411003697542e-05,0.00014635248982241,0.00661937527987469,0.00529791697385736,-0.09322020561271,-0.112813880293789,0,0,0.017036884107237,-0.00661937527987469,0.0789708434523443,-0.010147045335273,-0.071310601373153,-0.0505247655420677,0.00793395681309277
"miR205",0.018352224182901,0.00193673024031397,-0.0172980954836768,-0.0912839574801521,0.0728226951729853,0.00406079944875969,-0.00135480065492938,-0.0842666366886207,0.0109648560605207,0.0106807741687575,0.00681465566245549,0.0056594526224512,0.00689477889073836,-0.0347393635694605,0,0,0.0125534069788276,-0.00681465566245549,0.0842625182420988,-0.0118299628755263,-0.0908268601608972,-0.0820063089301033,-0.0184511039626118
"CDH1",-0.0277910161109954,-0.0229915093740447,-0.010910647863778,0.00303231392146696,0.0302914446258869,-0.0100184040586563,-0.0317400339984742,-0.0456757325862487,0.00125646686692701,0.0022773969567443,0.0330356507884248,0.0340034629087923,0.0335345999469494,-0.0145265159231366,0,0,0.0211480350120283,-0.0330356507884248,0.0453941920816006,-0.0218650202396412,0.0345108773173611,0.0130932849433153,0.0283765681798382
"SNAI2",-0.0283765681798382,-0.122877291382789,-0.0107974218255952,0.00330601448032531,0.0306049779753505,-0.0101526798088288,-0.0322891929546107,-0.0453941920816006,0.0022773969567443,0.00198309554556257,0.0335345999469494,0.0344469946191704,0.0333897715215001,-0.0146293769375802,0,0,0.021482610501228,-0.0335345999469494,0.044920398102638,-0.022310741132575,0.0338639119987985,0.0131000411421277,0.0286616779575081
