"","miR200c","miR200a","CDH1","SNAI2","KLF8","TWIST2","TGFbeta","miR141","CLDN7","ZEB1","OVOL2","miR205","TWIST1","TCF3","FOXC2","miR34a","GRHL2","NP63","SNAI1","GSC","miR101","ZEB2","miR200b"
"miR200c",0.116961978966079,0.116961978966079,0.018581767144878,0.110871052956968,0.0861570612428677,0.0291671387749126,0.120281533467665,0.0093944712396075,0.0093944712396075,0.00932104045983511,0.0686213943162788,0.0497630205407752,-0.0419832033361853,-0.0412718437668463,0.0508823381900981,-0.0117994114907223,-0.000320889979156755,-0.0501433297641624,-0.0323238743249104,-0.120247445657466,-0.0860039687750171,-0.253225747440534,-0.0832346429665528
"NP63",0.0633762618674358,0.0633762618674358,0.138469316412928,0.184487112770624,0.222155247947293,0.187032157206824,0.011175041105067,0.0466924467243385,0.0466924467243385,0.0468631061891532,0.090655655361598,0.0925898898225685,0.201707679430701,0.201611191155148,-0.130518848898839,-0.00704443551464344,-0.094060660099557,-0.19267050031268,-0.115754792611016,-0.0111835993783497,-0.222119610028548,-0.244144396788939,0.03649808389162
"miR141",0.106397395267277,0.106397395267277,0.133374119695583,-0.0519753931406295,-0.0418812269354457,0.00997068735539331,-0.0718248603355192,0.0107047349276015,0.0107047349276015,0.0108178942143632,-0.0541129486373857,-0.0346584965616508,0.0531290013724554,0.0525596179333794,-0.0546406974907172,0.000917175876658612,-0.0153702219067596,0.0352094117917912,0.0164406238197894,0.0718373591992588,0.041670499656169,-0.228671270267064,-0.102611024381051
"SNAI2",0.0324692588751188,0.0324692588751188,0.206708154390147,0.136721267139311,0.271303717772641,0.226029404162809,-0.170126866348552,0.129352815095742,0.129352815095742,0.129272773823926,0.115023175082444,0.116155956741563,0.233638142884527,0.233790028992616,-0.166381731092794,-0.0293275771953922,-0.120001425420479,-0.115892805986022,-0.128173520471775,0.170119541130411,-0.271382105619057,-0.196452503164491,0.107106834709661
"CDH1",0.0325634383943371,0.0325634383943371,0.206667297420338,0.236649117556716,0.271261661546702,0.225786931694319,-0.170119541130411,0.128903600419257,0.128903600419257,0.129352815095742,0.114757024586436,0.117131817039457,0.233790028992616,0.233359750108154,-0.166403372532331,-0.0289583947038719,-0.119493717096059,-0.116155956741563,-0.128099161760006,0.169949727107455,-0.271303717772641,-0.196423007305805,0.107340747178002
"TCF3",0.032493379162441,0.032493379162441,0.306694775414255,0.236446940751528,0.271276562455658,0.225913265214813,-0.169949727107455,0.129060861875571,0.129060861875571,0.128903600419257,0.114945752189596,0.115108695652174,0.233359750108154,0.234376207029741,-0.166313761444453,-0.029302765564799,-0.119860564481054,-0.117131817039457,-0.12826345304846,0.170112859244486,-0.271261661546702,-0.196024441252945,0.107371809050293
"TGFbeta",0.0335616349175124,0.0335616349175124,0.0458757114360344,0.203321760682464,0.128735640309224,0.181339716264881,-0.0820811297193433,0.100867801468912,0.100867801468912,0.100876550210208,0.0989626201194569,0.0964579007768291,0.0311541991556713,0.0301740072014136,-0.00661326884526907,0.0222393791985193,-0.0941483728933106,-0.0968912613655454,-0.057414266094979,-0.0177750841440729,-0.129117190191159,-0.179586628080647,0.0431873128314691
"miR34a",0.0890915040433781,0.0890915040433781,0.078503707106373,0.152964787030394,0.160173406793347,0.259187895554405,-0.00977636928810343,0.0337470748389726,0.0337470748389726,0.0338955674250519,-0.0153128108646872,0.00281613547765807,0.204075140548352,0.203568893156353,-0.234780004646982,0.0398275379339571,-0.0298967381714316,-0.00216709201256072,-0.174770041978257,0.00973171808040894,-0.160352033099431,-0.170249150227062,0.0223606623503976
"miR200b",0.0954073555974687,0.0954073555974687,-0.00561834196495546,-0.157549643487951,-0.133990960456243,-0.136255617411411,-0.0692157513035281,-0.0206945598550775,-0.0206945598550775,-0.0207729008997587,0.045367032962483,0.0259615114555987,-0.0426860067507525,-0.043024678978151,0.00782284720965337,-0.0805640907382206,0.0226909177450559,-0.0270455704568427,0.0858033475442232,0.0693748277511237,0.133940529996245,-0.162561585652698,-0.122261637851929
"miR200a",0.0954073555974687,0.0954073555974687,-0.00561834196495546,-0.157549643487951,-0.133990960456243,-0.136255617411411,-0.0692157513035281,-0.0206945598550775,-0.0206945598550775,-0.0207729008997587,0.045367032962483,0.0259615114555987,-0.0426860067507525,-0.043024678978151,0.00782284720965337,-0.0805640907382206,0.0226909177450559,-0.0270455704568427,0.0858033475442232,0.0693748277511237,0.133940529996245,-0.162561585652698,-0.122261637851929
"TWIST2",0.000887820644804431,0.000887820644804431,0.0710231242030689,-0.113574191442743,-0.00888259017541631,-0.110629419963998,0.0366679267173991,0.114756609415621,0.114756609415621,0.114640274409546,0.104828512701449,0.104935167470299,0.158946255818519,0.15891633404259,-0.117288658780162,-0.00598873479841341,-0.10827591287768,-0.105357946170469,-0.100450847276012,-0.036593428759953,0.00882349725179391,-0.110247580326267,-0.109384110874219
"FOXC2",0.0149412058710319,0.0149412058710319,0.139383251620701,0.105104733364024,0.10322667537698,0.146457026481271,-0.00225512318522346,0.0198520103681532,0.0198520103681532,0.0200343796382935,-0.0443732724311824,-0.0243317876837294,0.115238855113811,0.115019161558156,-0.122312175518674,-0.0136336246412854,-0.0223596023435137,0.025890475675055,-0.0981407339269564,0.00211508996804171,-0.103379012641414,-0.0813684308226955,-0.0121259125907841
"GRHL2",-0.0803416934739238,-0.0803416934739238,-0.00293046431197815,0.0780382579802134,0.0754945963926654,0.0221670987165876,-0.0805329318231911,0.0736906467093781,0.0736906467093781,0.073351539306443,-0.0154037922634226,-0.116844861133854,0.00886214074722432,0.00928991113857642,0.0155448088553652,-0.0783658634012067,-0.0926613308678073,0.115517127999536,0.06258337871207,0.0806875907144143,-0.0754813915861158,0.00645362848860756,-0.0442632516698846
"OVOL2",0.00169112549227906,0.00169112549227906,-0.0941319329879293,-0.103135718412255,-0.104388311886384,-0.0928691584886303,0.0168892501604976,-0.0135123022452149,-0.0135123022452149,-0.0136173281348439,-0.0969207104603126,-0.0174569746574981,-0.0526313230713421,-0.0521259637446749,0.0423615525536845,0.0603849127326273,0.0067840815843843,0.0180241804397559,-0.0404782829380609,-0.0169409201340425,0.104435469799592,0.0152896515888948,-0.0279717683955777
"ZEB1",-0.0149318107209073,-0.0149318107209073,-0.139422959846831,-0.105059322225474,-0.103379012641414,-0.146608107906208,0.00215061420591258,-0.0200343796382935,-0.0200343796382935,-0.119790706195245,0.0442127579301261,0.025890475675055,-0.115125278160919,-0.115238855113811,0.122191235292874,0.0138604943288045,0.0226953920915392,-0.0253329403261643,0.0981926687346087,-0.00225512318522346,0.103497312358523,0.0812810987665304,0.0121575456608505
"SNAI1",-0.00836133605693794,-0.00836133605693794,0.0556099168783213,-0.0830212068053294,-0.1269600069489,-0.0686319385272161,-0.0166712791671084,-0.109119461722648,-0.109119461722648,-0.109058387951555,-0.105332423013801,-0.103808038150286,-0.0702082498720064,-0.0707432004899843,0.172382586138564,-0.0271629281706006,0.101683594846793,0.103721049667071,-0.0230878054180319,0.01670621179008,0.126826793829748,0.132385460524238,0.0527798072472919
"GSC",-0.0748825439141793,-0.0748825439141793,-0.0215616013506856,-0.00160437982304223,0.115655646883238,0.0294158173205431,-0.0168328270569986,-0.00308550044633044,-0.00308550044633044,-0.00311204644934703,-0.0340311454228084,-0.0209879400066216,0.247596604999166,0.247218059126434,-0.285847205411464,0.0456375262560583,0.00235283352199729,0.0214668763847132,-0.150701094318845,0.0167985995295096,-0.115828107714168,0.145909353088408,0.0698283108311819
"TWIST1",-0.125847009857905,-0.125847009857905,0.0227890155803792,-0.105272912433052,-0.0247338313335466,-0.111427324515713,0.00457129609115419,0.0988332840875301,0.0988332840875301,0.0986705183283124,0.0929721745294228,0.0918522577057234,0.000392490749013337,0.100063261211487,-0.181048950491645,-0.0236018151324658,-0.0944248626520324,-0.0927242822166826,-0.00305161501348905,-0.00445378875086234,0.0246183107439932,0.162376182059915,-0.0113662923311811
"KLF8",-0.032493379162441,-0.032493379162441,-0.306694775414255,-0.236446940751528,-0.271276562455658,-0.225913265214813,0.169949727107455,-0.129060861875571,-0.129060861875571,-0.128903600419257,-0.114945752189596,-0.115108695652174,-0.233359750108154,-0.234376207029741,0.166313761444453,0.029302765564799,0.119860564481054,0.117131817039457,0.12826345304846,-0.170112859244486,0.271261661546702,0.196024441252945,-0.107371809050293
"CLDN7",-0.032493379162441,-0.032493379162441,-0.306694775414255,-0.236446940751528,-0.271276562455658,-0.225913265214813,0.169949727107455,-0.129060861875571,-0.129060861875571,-0.128903600419257,-0.114945752189596,-0.115108695652174,-0.233359750108154,-0.234376207029741,0.166313761444453,0.029302765564799,0.119860564481054,0.117131817039457,0.12826345304846,-0.170112859244486,0.271261661546702,0.196024441252945,-0.107371809050293
"miR205",-0.104895806446681,-0.104895806446681,-0.00851307440654606,0.036260540951195,0.0462034438742167,0.107326026369477,-0.0260517429749628,0.000974855881039818,0.000974855881039818,0.00108044463149012,-0.0571446380478469,-0.0387392472434491,0.103309397233385,0.103049935102501,-0.113530691969687,-0.00347012708406381,-0.00699333902237776,0.0397599587685705,-0.0860668728318133,0.0259168437526171,-0.0462747875127422,0.211512006191651,0.105110359960685
"miR101",-0.0598034564521773,-0.0598034564521773,0.0216649299729211,-0.0656812046099123,-0.194944995116504,-0.00430139649965732,-0.0337993156388259,-0.0985436423983287,-0.0985436423983287,-0.0985499045518503,-0.094401412736639,-0.0912419783054735,-0.033107347565406,-0.0327199748255349,0.129540466376686,0.0195867610429859,0.0894473149460438,0.0918744578351816,0.0534983929992252,0.0336987027385752,0.0950566467633657,0.221794429047108,0.133184010840433
"ZEB2",-0.250445433978711,-0.250445433978711,-0.248988286775706,-0.182732552969279,-0.169289642872359,-0.142965075957413,-0.0776111470842633,-0.0455395636180683,-0.0455395636180683,-0.0455177144948564,-0.0405343343839114,-0.039703144708167,-0.028579386249985,-0.0282822456196572,0.00936209204642215,0.0269045518555246,0.0398714219172851,0.0400052829170298,0.0466990835700319,0.0774849070064256,0.169523317934755,0.238388199903589,0.238746269422183
