"","KLF8","miR101","ZEB2","ZEB1","miR141","miR34a","miR200c","TWIST1","CDH1","GSC","SNAI1","miR205","NP63","FOXC2","miR200b","miR200a","TGFbeta","TCF3","OVOL2","GRHL2","CLDN7","TWIST2","SNAI2"
"ZEB2",-0.0868936557932877,-0.0867912365106205,-0.083206365839104,-0.043429960311198,-0.0433192417205401,-0.0346543474162768,-0.030892153798257,-0.0199794612551283,-0.0155174031315995,-0.0153734361542024,-0.0150324456641071,-0.0113342472728298,-0.0110940861324517,-0.00876260876488449,0.00765777115233088,0.00845887782278889,0.0153087766021391,0.0195848974673159,0.0238988344167225,0.041087556497389,0.0433192417205401,0.0800611626614733,0.088224656038293
"SNAI1",-0.0179212565119006,-0.0180214003321533,-0.0814215457943062,0.14298615078552,0.142951174276917,0.0265097123569086,0.117744555706453,0.00878508490625428,0.043594125477661,0.0529455583719369,-0.097789979390015,0.0169637359523297,0.0169796634210874,0.0090496046342115,-0.047182571462566,-0.0334131231306403,-0.0530163993894715,-0.00872121783151958,-0.100658884560154,-0.140721857754263,-0.142951174276917,-0.0429348291035695,-0.0707195944595371
"CLDN7",-0.15331806463562,-0.153601181905773,-0.0812909271392952,-0.0651324458700561,-0.0650775872225046,-0.0167917545938926,0.00718777437509207,-0.140951280587279,0.00990921792616339,-0.228709311272383,-0.050481110469175,-0.0102536231884058,-0.00996460584736534,0.0292490035703523,0.235156478408396,0.0719825643897223,0.228383046998321,0.139741212823484,0.0358641357706741,0.0643293133894362,0.0650775872225046,0.158001171802255,0.159314643221451
"SNAI2",-0.153365020021654,-0.15336571371941,-0.0812091071110317,-0.0653656686384387,-0.0653137360787805,-0.0166828155641672,0.00714477076359623,-0.141963927135652,0.109890065162985,-0.228282795346214,-0.0504156937332551,-0.00973348103996934,-0.00975518419506551,0.0290178534386897,0.235365677412051,0.072213989319173,0.228353893051697,0.141859647121143,0.0359818875029067,0.0645972995695307,0.0653137360787805,0.158342230389567,0.0591900687216673
"TWIST1",-0.0998661500460933,-0.0996928691617632,-0.0702433100306147,-0.232275057465722,-0.232169796516053,-0.12584291324369,-0.0893954856360024,-0.0957431583967788,-0.0440847000393487,-0.122302946040057,0.00637423531036039,-0.0343288107885919,-0.034293458443553,-0.0821455968937605,0.183529123100406,0.168040076611975,0.122405412440791,-0.00466776581507184,0.123111990641876,0.225816234108921,0.232169796516053,0.12669834721787,0.196309667891586
"GSC",-0.0215686518531562,-0.0215735236280412,-0.060717900931114,0.191203373206462,0.191157038364833,0.0735772646762806,0.13633095262583,-0.0150484477563258,0.0180570347849793,0.0784607097581038,0.0624792490424747,0.0274704690131447,0.0275528460701765,-0.0691196196807064,-0.081351981577388,-0.0700636551781456,-0.0785853957510994,0.0152321303527991,-0.112445626618746,-0.184360795966788,-0.191157038364833,-0.0430691303833736,-0.123818337858967
"miR200b",-0.0944365389459794,-0.0942780432145576,-0.0598719446742158,-0.207179704744818,-0.207162518817637,-0.204461170734736,-0.077950320142452,0.108557939212472,0.110568785625532,-0.205372696767287,0.0826527875335273,-0.0492624921731146,-0.0493620123437206,0.0624440785725683,0.161658994817627,0.130132184219719,0.205547680859642,-0.108515050589788,0.0703996280571186,0.201535393556002,0.207162518817637,-0.0276394074598586,0.100643160566963
"TGFbeta",-0.0643408197101047,-0.0644536919982268,-0.0282924922743756,-0.0220364434213682,-0.0219800054628098,-0.062090432364976,-0.000218073608624022,-0.00201009679428562,0.0674059871602209,-0.214025162593293,-0.00176936204963428,-0.0029577515032239,-0.00280239582047655,0.0302159115430931,0.126144320612148,0.0248791472288041,0.113964781103912,0.00194883479714451,0.0102214552085692,0.0206571120907833,0.0219800054628098,0.0981942731569123,0.129685243553608
"TWIST2",0.0692407249336492,0.0693580417673113,-0.0224570795730773,-0.120311581006223,-0.120315347634542,-0.0561346568383491,-0.049644570975223,-0.0749587773245941,-0.0733807927534271,-0.0355258794759958,0.0222508937737794,-0.0222716929620369,-0.022333312529673,0.0882781332257678,0.0109723041788041,0.0687422095848299,0.0356085640221722,0.0750257451088153,0.0745976077683146,0.119661762622802,0.120315347634542,-0.125180544234695,-0.114985580957158
"miR205",-0.0497402682051866,-0.0496814409944726,-0.021522729354781,-0.223279267186759,-0.223272434973495,-0.238561386551391,-0.10512400272443,0.129955495403937,0.0174670555828652,-0.0999440307754357,0.127185494747669,-0.0527493138605598,-0.0530069691969983,0.115619465899521,0.125209883424352,0.121682124618746,0.100226525617524,-0.129798994436102,0.0768322287165738,0.21241480264207,0.223272434973495,-0.110366322177308,0.0313370822356368
