"","KLF8","miR101","SNAI2","ZEB2","OVOL2","miR205","NP63","miR141","ZEB1","miR200c","TGFbeta","TWIST1","miR200a","TCF3","GSC","miR200b","GRHL2","CLDN7","FOXC2","miR34a","CDH1","SNAI1","TWIST2"
"NP63",-0.359621248940496,-0.359741869588557,-0.369609397274485,-0.175329957125186,-0.0789083137324207,0.316708134167421,0.21699295789915,0.00746459012001563,0.00730207345272695,0.0682095453418176,-0.0150665098223234,0.0864284958704758,-0.0593881653897615,-0.0864038128232414,0.0152120004681307,-0.228061719163658,-0.156044217110487,-0.00746459012001563,0.121890610300063,-0.0402119798903236,0.133337838632505,0.136784081026435,0.311754499683793
"CDH1",-0.407139659022409,-0.406864676006654,-0.432434381690111,-0.101027107378399,-0.0159753163446638,-0.00693159922928709,-0.00590437786308267,-0.0213501004535283,-0.0216773854321104,0.0376241573948702,-0.207953487379562,0.0734150955724144,-0.0589105527660419,-0.072272997298842,0.208233782815043,-0.303366603390176,0.0220771393591144,0.0213501004535283,0.144447653443431,-0.0492205555444662,0.244080105518589,0.165017517480446,0.376771499150927
"TGFbeta",-0.127463657045776,-0.128082030992359,-0.209382399842817,-0.0865877975811434,0.00440936216479136,0.00153298931775784,0.00112143303539207,0.00854782366919738,0.00866636053656475,0.0488410882696893,-0.102766445328654,0.0691258853092053,-0.0392218405514191,-0.0701151531148913,0.00271127662972308,-0.165506652006069,-0.00876295514024984,-0.00854782366919738,0.0193817670206273,0.032285058282658,0.115937509839207,0.0350298708723191,0.190739259363953
"ZEB2",-0.142667552302852,-0.142640704529725,-0.137701230255915,-0.0861118724727507,-0.0331187715374709,-0.02790189102196,-0.026732073854312,-0.0232874674999899,-0.0231482714004266,-0.0185319789047525,-0.00461926843524374,-0.00133158257467738,0.000118718592340784,0.00261919197276464,0.0058477999244456,0.00621526316424115,0.022895659918844,0.0232874674999899,0.035525385576064,0.0390057385735996,0.0462223046029998,0.0494759311748404,0.153428000289293
"TWIST2",-0.236287662761369,-0.236228569837747,-0.279282193781464,-0.0504446832745659,-0.0552422732908475,-0.0218145843037598,-0.0214414435886304,-0.0786305679239412,-0.0788721702261044,-0.0189092830899776,-0.00364651525799006,0.0508042782446964,-0.0614424136309637,-0.0500462599211707,0.00376904120265418,-0.0875427887202225,0.0795305502558665,0.0786305679239412,0.113305261839755,-0.0252967597238301,0.168767302670478,0.151282304732787,0.218259763296318
"miR34a",-0.235697483061574,-0.235911642557579,-0.287365317671452,-0.0300366070488699,-0.059766425655567,-0.0222356440290406,-0.0222810581490474,-0.0844895279426975,-0.0846408761554321,-0.0780350605537433,0.00470993893006195,0.0411856598507106,-0.102950252033288,-0.0411659768261383,-0.00487587247216985,-0.0782467234304859,0.0848257652079629,0.0844895279426975,0.148661355566732,-0.0241355460830684,0.082912162975124,0.155482199597346,0.317590242261035
"miR200c",0.0257080909232453,0.0265131771953537,-0.0416410830653039,-0.0278367795662198,0.0335340391155372,0.0488808446352045,0.0499471321774118,0.0299551680063435,0.0300902002913353,0.0292396010963704,0.0962925758937051,0.06712861058656,0.0042000007281443,-0.0657901897752256,-0.0955505978917052,-0.0830324785109795,-0.0297746301478508,-0.0299551680063435,-0.042895342161026,-0.0359709803337193,-0.0327483573999693,-0.0634144433450429,-0.031557705862131
"miR205",-0.0638896658890525,-0.0637557401114694,-0.0631545488244892,-0.0107427460818572,-0.0205729870646577,-0.0410493357147344,-0.0408015901989282,-0.00663677669178741,-0.0070616161347757,0.000208401003877587,-0.00736072163099837,0.0221440798975873,-0.00850896194538458,-0.0218434333014833,0.00780668258957637,-0.0152253402614698,0.0113779707028285,0.00663677669178741,0.0892352186018015,0.000977716314841396,-0.0263310369963094,0.084096634562015,0.126982881967477
"ZEB1",0.119121898265745,0.119399645427654,0.12952918595899,-0.0069152948857237,0.033682752746298,0.0456789750143985,0.0456157493562769,0.0238881536728215,-0.0762922610173879,0.0175174458610953,0.00782151246946817,-0.0317419912088613,0.0139283005716527,0.0312906880785844,-0.00761546741397779,0.0124917613652142,-0.0266309145460798,-0.0238881536728215,-0.0983022491031731,-0.0150803403240758,-0.0522926359614623,-0.0953888228599665,-0.17563884081539
"miR200b",-0.120303394217328,-0.120897753210159,-0.221443609104743,0.00256172632559908,-0.0315337833537426,-0.0486468587721111,-0.0491302424579117,-0.0248891134119158,-0.0250263776355025,-0.015025767695446,0.0805671202120586,0.0941630082557672,-0.0125117610872509,-0.0948300002843991,-0.0810932087494643,-0.0166172694387365,0.0252153415812985,0.0248891134119158,0.0136940743031685,0.0989337974279696,0.110609786370677,0.0233150730981135,0.188679121764217
