"","KLF8","TWIST2","SNAI2","ZEB2","NP63","miR200a","miR200b","GRHL2","FOXC2","SNAI1","TGFbeta","GSC","miR200c","TWIST1","TCF3","miR34a","miR141","CLDN7","ZEB1","CDH1","miR205","OVOL2","miR101"
"TWIST2",-0.0475595121850419,-0.104830501065844,-0.0799474314047713,-0.134012304033987,0.108070343849749,0.107382023049293,0.099724835588474,0.0690804080936951,0.0101396211111558,0.0175584379693528,0.0404929580467395,0.0404473860361406,0.0265744239424007,0.0326816036167853,0.0327813428698808,-0.0447861452041064,-0.0789575165950275,-0.0789575165950275,-0.0789546109103244,0.0594517680683404,-0.108010435936769,-0.132381885987623,0.0474700037860256
"GSC",-0.0073081657994686,0.0129694979816473,0.147149927947674,-0.101460094832593,0.208191461887328,0.155761302642035,0.10659722236556,0.170481511160561,0.160910824821456,-0.0661592328179553,0.0400969017883123,0.0401623008140502,-0.0559229005132238,-0.181277897279668,-0.181017547164667,-0.160762599367307,-0.195613337331497,-0.195613337331497,-0.195575690272673,-0.0773223946770646,-0.208499896914819,-0.234722048864524,0.00723021740130818
"NP63",-0.0697143468077318,-0.0240239345416388,-0.0663202642711929,-0.0880524478131518,-0.279663111124321,-0.0380163706357623,-0.0813573107964399,-0.106132315863002,-0.0849613536566354,-0.0799092111165344,-0.109889717811274,-0.109845214790203,0.0947289157081588,0.014254545106786,0.0142433255398613,0.079948480366301,0.0994420066665629,0.0994420066665629,0.0995068097635402,0.131077439715172,0.179582500634209,0.238068823398072,0.069796588158683
"ZEB2",-0.0903311057981185,-0.0715745283274375,-0.071487989995069,-0.0646350783276334,-0.0587964484752011,-0.0410159423322517,-0.040132453507748,-0.0391426318186625,-0.0226643955373735,-0.0174534521202036,-0.0162649131144535,-0.0159576262908386,0.00256217395538459,0.00458460442460928,0.00575205859513228,0.0353099716764296,0.0471634123315714,0.0471634123315714,0.0475368113923046,0.0481348372315158,0.0582154134581574,0.0698057443629808,0.090268460994157
"miR34a",-0.0913445344517987,0.0065233962903581,-0.0953245342239255,-0.0635942718449982,-0.15628801579816,-0.0969131712286385,-0.00303344916208482,-0.121785928211933,-0.0824617984199538,-0.0829688026372139,-0.0114883148783048,-0.0115800308724881,0.146775792190331,-0.0170034497845463,-0.0173223147826173,0.0275627900684032,0.136420254193347,0.136420254193347,0.13635386087361,0.0493612735464862,0.156429934923182,0.179856003736918,0.091251379872819
"GRHL2",0.126342699825278,0.0577089435186554,0.119979657179317,-0.0623197765329141,0.236292141675525,0.102229739389,0.0450977911991432,-0.0637274489120501,0.0843698623992179,0.0683334486510401,0.130827296284746,0.130787938645761,-0.0642392621477996,0.0198141074912131,0.0199297211104974,-0.0742110910792738,-0.0752864357479873,-0.0752864357479873,-0.0752573943541751,-0.0858929604802641,-0.236040479839609,-0.213436352058713,-0.126612958199326
"miR200c",0.0550317610708139,-0.0451221638331373,-0.0101331701754309,-0.0543825752733668,0.24927925673563,0.149515280936299,0.152171557993877,0.210162048993187,0.105703455089875,0.0838673422175819,0.165374797313195,0.165503194731611,-0.101409155691729,-0.0483634295151635,-0.0476284072574472,-0.13589855609671,-0.244882295997835,-0.244882295997835,-0.244733872081274,-0.161498119472467,-0.249567154372026,-0.278744714818183,-0.0549849327865302
"FOXC2",0.11960125556096,-0.0365670555403511,0.123331320574877,-0.0518281440111805,0.230041977602505,0.237270100971558,0.201372317129001,0.180140896608273,0.115083629051806,0.111813419186684,0.0734898802699037,0.0735517554123794,-0.19990788474073,0.00938367100408593,0.00985122395586601,-0.208889636900904,-0.227676273458673,-0.227676273458673,-0.227655443402176,-0.159376183294994,-0.230191069497328,-0.266524728398952,-0.119524231101415
"miR200a",0.0738871982370905,0.0261177127867819,0.162410285009884,-0.0393209842087495,0.213293394170396,0.123713636116921,0.075143473025591,0.184500328087866,-0.0436833730817091,-0.0042479325929931,-0.0587054652701141,-0.0585884304550972,-0.0879548783407283,0.055401485127047,0.0559797420742644,-0.189615872653521,-0.210233427509917,-0.210233427509917,-0.210111340468776,-0.086074526305421,-0.213545748888718,-0.236566563024377,-0.0740474950563694
"SNAI2",-0.0128846468960289,-0.0190513213326276,-0.0969932781016433,-0.0371696174794099,0.0194113652878553,0.0226744497853107,0.0134550182021458,0.00439789849797151,-0.0479246067124547,-0.0347723640646881,0.00645494363493295,0.00641573217312103,0.0153174064719835,0.0406089157359841,0.0407880053261183,-0.0188901512285543,-0.00659196473241878,-0.00659196473241878,-0.00657602503589004,0.0867091191127285,-0.0192784334628913,-0.0281205480259928,0.0129796834885856
