"","miR101","ZEB2","SNAI2","miR34a","GRHL2","CLDN7","miR200b","TWIST1","FOXC2","GSC","miR200a","NP63","miR205","miR200c","TGFbeta","CDH1","TCF3","SNAI1","miR141","ZEB1","OVOL2","KLF8","TWIST2"
"NP63",0.0180344837887478,-0.12970766035955,0.0769770703409378,0.130708180194547,0.219217174780365,0.183702986855441,0.217436982815907,0.170551312259205,-0.138355441749667,0.0660363700984412,0.0711135596474354,-0.00418403674447556,0.0958159632555245,-0.0711135596474354,-0.0662777134050157,0.0302087321463959,-0.170127212629451,0.122001827679618,-0.183702986855441,-0.183936074434621,-0.178670553792501,-0.0175602253315955,-0.0915734273367456
"ZEB2",-0.082820407283926,-0.0793322228530517,-0.0616894057609172,-0.0398134083867121,-0.0325009683196902,-0.0324827195543645,-0.020952794788246,-0.0141415056319075,-0.0120041460282388,-0.0081168186331203,-0.00308149803059429,0,0,0.00308149803059429,0.00822212133219475,0.0130029656407772,0.0139840048606408,0.0155279095795657,0.0324827195543645,0.0326292805269205,0.0330591455623282,0.0830859019292869,0.0926471665843366
"TGFbeta",-0.00250790369824713,-0.0560177636296724,-0.134882110789389,0.0208348374451,-0.167989993679711,-0.169422732003019,-0.151330983265244,-0.0617481743775182,0.159173842851258,-0.268022668615898,-0.120509561420581,0,0,0.120509561420581,0.168253334593318,-0.0444526408280674,0.0614441333546698,-0.14661424553792,0.169422732003019,0.169594104406058,0.151227974956854,0.00225653780506724,0.115238628627959
"miR205",0.0546828241151129,-0.0535970797830024,0.0548267489643731,0.215582046707505,0.214691145124124,0.217078704663278,0.135376331078468,0.0159991810650987,0.0656963551346423,0.0688374026116517,0.0873154319035456,0,0,-0.0873154319035456,-0.068804074568484,-0.100376116309511,-0.0157932587390001,-0.0730122000412135,-0.217078704663278,-0.217247646663998,-0.145865438246075,-0.0543636552059196,-0.169914465184698
"GRHL2",0.00686944051036936,-0.0504248777755951,-0.00454763651014033,0.092395946710488,0.0182268563511697,0.0819212876924681,0.0993208995171626,-0.00112614194128271,0.0739652857826421,-0.0438238539789405,0.0733735615698917,-0.00853631481530386,-0.00853457921643547,-0.0733735615698917,0.0439108842510625,-0.10702607176409,0.00118105841044278,-0.0761155617828386,-0.0819212876924681,-0.0820219499672609,-0.0935570625916133,-0.00695483159272334,-0.0272029556214101
"miR101",-0.083058593489651,-0.0503002557422794,0.158448971726429,0.0470750425661071,0.237127823182186,0.241651180673906,0.168094299868507,0.255595710240414,-0.286588117679855,0.0870685112252802,0.103528023391588,0,0,-0.103528023391588,-0.0873334585292737,0.0144025418392067,-0.255131954143386,0.266359031405894,-0.241651180673906,-0.241960003718631,-0.177848307961026,-0.0167380410107079,-0.0893112072735865
"TWIST2",0.0284631199556947,-0.0472323900070857,-0.159041904390905,0.0119883493684419,-0.178108059112964,-0.182613855471854,-0.0963877849182276,-0.359672325252531,0.32184024012494,-0.0824736074421764,-0.120161422370042,0,0,0.120161422370042,0.0828253578712901,0.0811803937347303,0.359189302298254,-0.302183645683452,0.182613855471854,0.182903024908786,0.153476901097781,-0.028629101549987,0.141385771942657
"miR200c",0.011972351537174,-0.0368264247731166,-0.0958374662601372,0.17523269434644,0.165087426044763,0.160552968268574,0.0323616082358831,-0.0225605095681947,0.110007379531215,-0.0580090142553819,0.0608839234218113,0,0,-0.0608839234218113,0.058336257233293,-0.147194860187298,0.0225176209455111,-0.128072125494128,-0.160552968268574,-0.160630416537817,-0.107287081478211,-0.0119291254286044,-0.0206444718210105
"miR141",0.011972351537174,-0.0368264247731166,-0.0958374662601372,0.17523269434644,0.165087426044763,0.160552968268574,0.0323616082358831,-0.0225605095681947,0.110007379531215,-0.0580090142553819,0.0608839234218113,0,0,-0.0608839234218113,0.058336257233293,-0.147194860187298,0.0225176209455111,-0.128072125494128,-0.160552968268574,-0.160630416537817,-0.107287081478211,-0.0119291254286044,-0.0206444718210105
"miR200b",0.0305969688906381,-0.0362495944824896,0.146979341336734,0.134930472102535,0.245709772369352,0.251792365232643,0.177290382882248,0.039409664437412,-0.121619161059275,0.188249373113803,0.114344798572537,0,0,-0.114344798572537,-0.188559572186614,-0.0489596348262765,-0.0390236668332592,0.101056422276033,-0.251792365232643,-0.252025156428092,-0.167897388124823,-0.0304510807742158,-0.145505155483796
