"","ZEB2","SNAI2","miR101","OVOL2","miR141","miR200b","miR34a","GSC","FOXC2","miR200c","NP63","miR205","TWIST1","TCF3","miR200a","CDH1","TGFbeta","SNAI1","CLDN7","ZEB1","GRHL2","KLF8","TWIST2"
"GSC",-0.130173457874859,-0.016502295043239,0.0428719181195094,0.122538668713891,0.133829463843262,0.121568421650615,0.0905897767236833,0.0668458150461613,0.0548697653601356,0.00577463714640225,0,0,0.131205712611604,0.131002863135499,-0.00577463714640225,-0.0305012681536013,-0.0666428947046195,0.0118685034651369,-0.133829463843262,-0.133886175758797,-0.135260663204564,-0.0425192016178335,-0.0365556804434942
"ZEB2",-0.0846867210151006,-0.0792329398605412,-0.0771198608243228,-0.0309401612144362,-0.0300767223344536,-0.0242571033934478,-0.0220983007088298,-0.0165089117627794,-0.00517928241619074,-0.00441246917601483,0,0,0.00309213738120954,0.00319118425798548,0.00441246917601483,0.00614129258379483,0.0163432601484459,0.0256682911405814,0.0300767223344536,0.0301010264153298,0.030424977181937,0.0769478362039204,0.0960207260165938
"GRHL2",-0.0656605454198093,0.0362971966114114,0.0183393156612705,0.018502324191733,0.214209129794062,0.182741286828044,0.207442443045351,0.0616919450706628,0.0357081527386555,0.189590576595853,-0.0255409753580788,0.0256364332958402,0.0245610771324926,0.0244194504488692,-0.189590576595853,-0.119760375280278,-0.0613077923408503,-0.0662224449342552,-0.214209129794062,-0.214244721878208,-0.102767947541361,-0.0179194028129937,-0.0812376241960353
"SNAI1",-0.064658719382879,0.0342145718067954,0.0625564103780837,0.0709604104644828,0.0605697174723648,0.0537353323752659,0.0753881644075934,0.0277344266697028,-0.0843113524931565,-0.00971446010025484,0,0,0.0140587325338059,0.0140101935570076,0.00971446010025484,0.0767454533395187,-0.0276846623185421,-0.101181246536835,-0.0605697174723648,-0.0605938844639604,-0.0610221522421785,-0.0624075985330352,-0.0454674427394008
"FOXC2",-0.0645308737917533,0.0685811484893765,0.0416167409513269,0.132413887391686,0.194278667362692,0.23485324805848,0.201517810996361,0.169731648417406,0.0885620547594991,0.173165439309373,0,0,0.0833561146025592,0.0829561596679039,-0.173165439309373,-0.120782300608379,-0.169211680114847,-0.0428703599716115,-0.194278667362692,-0.19440492301125,-0.195581597787316,-0.0407797418242708,-0.174637939637456
"miR200c",-0.0532957998108795,0.167480155136939,0.137636969652381,0.14984731360995,0.220451350695057,0.174416495185965,0.214193389952114,0.225658634217687,-0.0212643443573123,0.0885419003304128,0,0,0.163451465122341,0.163429281351987,-0.0885419003304128,-0.0644302757510501,-0.225498421509751,0.0778158110403447,-0.220451350695057,-0.220456484153825,-0.217564110216422,-0.137548716347384,-0.18004942972823
"miR200b",-0.0532957998108795,0.167480155136939,0.137636969652381,0.14984731360995,0.220451350695057,0.174416495185965,0.214193389952114,0.225658634217687,-0.0212643443573123,0.0885419003304128,0,0,0.163451465122341,0.163429281351987,-0.0885419003304128,-0.0644302757510501,-0.225498421509751,0.0778158110403447,-0.220451350695057,-0.220456484153825,-0.217564110216422,-0.137548716347384,-0.18004942972823
"TCF3",-0.0458052094488712,0.13183623582381,0.159504554545627,0.0380450594185864,0.0415271660845828,0.205104536747271,0.0251981426290511,0.209376858161136,-0.0301614242048787,-0.00222521019368598,0,0,0.132683961435334,0.132635558724782,0.00222521019368598,0.0702724759961351,-0.209684996642195,0.00185963733455964,-0.0415271660845828,-0.0415454523004333,-0.0417636890090614,-0.160026086359067,-0.151804906699282
"SNAI2",-0.0457689946666167,0.031907123456925,0.159032917989471,0.038012350854632,0.0414748614226999,0.204905025995245,0.0251100811748358,0.209830259240145,-0.0300078706230954,-0.00226846169587756,0,0,0.132338946139246,0.132402420930686,0.00226846169587756,0.170061573935124,-0.209785015245746,0.00195137006935741,-0.0414748614226999,-0.0414578933586532,-0.041717170727175,-0.159041936060298,-0.151389122388709
"miR141",-0.0454657762310206,0.140120150526112,0.12207167377051,0.138975182183618,0.206385787089504,0.127674546304233,0.205321013315322,0.223005151297421,-0.0232637317514237,0.0838707788834244,0,0,0.164883678814923,0.164766844291061,-0.0838707788834244,0.00431996164475787,-0.222825622163705,0.085302824026438,-0.206385787089504,-0.206430649055261,-0.205387208264349,-0.121799709504093,-0.15617750628673
