"","ZEB2","SNAI1","TCF3","TWIST2","FOXC2","OVOL2","miR101","miR205","miR34a","miR200c","miR200a","GSC","miR200b","miR141","GRHL2","CLDN7","TGFbeta","ZEB1","NP63","CDH1","SNAI2","KLF8","TWIST1"
"TWIST1",-0.0972329073906018,0.173193189336795,0.0188897718043033,0.0229054755445976,-0.172812676289045,0.0430125381567253,-0.0887742774689852,0.0261636077926478,0.0921611355625378,0.0589733976365935,0.0589733976365935,0.0334916601537622,0.0259030493016112,-0.000642550894617447,-0.002158822313801,0.000642550894617447,-0.0338799044060865,0.000945006448705904,-0.0253190795500522,0.0846840481865268,-0.00345326423986876,0.0886119511233197,-0.119192859046046
"TWIST2",-0.0870134409813436,-0.0588924146061606,-0.165037175746006,-0.0351896200130535,-0.0453199323274689,-0.046106366242475,0.0420715082778325,-0.0296552167654748,-0.0440049000420486,0.0453238422949623,0.0453238422949623,0.0352032487641207,0.0249971145480404,-0.00543798661791789,-0.00267673259057825,0.00543798661791789,-0.0349082586835374,0.00549534698631567,0.0294652230985971,-0.116784128223168,0.0164933361595215,-0.0417482352250747,0.165326419579983
"miR101",-0.0848739717749859,0.157555757395159,0.197085543406012,-0.0542377190852513,-0.0522560578967749,0.0497060774510636,-0.186572186912578,0.0293000404488156,0.0926948708990235,0.0474397538480726,0.0474397538480726,0.0239407452066757,0.0332862036315453,-0.00635760084671892,-0.00935824587374741,0.00635760084671892,-0.0242861828308697,0.00650855170529313,-0.0287410440179947,-0.0184170696664324,0.100818153887243,0.0864592060794445,-0.197269954654007
"ZEB2",-0.0843046614507198,-0.0743542453712241,-0.0626059402678185,-0.0536260953522139,-0.0236689972722455,-0.0221266093758445,-0.0211247395224304,-0.0136045243930214,-0.0114153498524079,-0.00946370479378237,-0.00946370479378237,-0.00428359448894172,-0.0041851038643311,-0.00295989298861234,-0.000272527488018085,0.00295989298861234,0.00389009492924248,0.00417436054511933,0.015951905861878,0.0169125153444473,0.0185502233009422,0.0214121101310794,0.0620035404107058
"CLDN7",-0.0555300512451683,0.0289869823465005,-0.0378279406958434,-0.0106951693387922,-0.0221081485118959,0.0276340293095474,-0.0120679798073237,0.0231521739130435,-0.00136550723509678,0.0156002938297069,0.0156002938297069,0.011620396530817,0.026140782260413,0.0218165102485379,0.0199203640518336,-0.0218165102485379,-0.0112216290847412,-0.0232976937324277,-0.0261001507916562,-0.106059701002492,0.00298402121006754,0.0112484298147742,0.0389412030385346
"GRHL2",-0.0434683279790811,0.0832391443474423,0.00273364701012011,0.066341598746203,-0.0249478680948338,-0.130375032935306,0.0692013560061502,-0.025127674070378,-0.00611351352980234,0.00190828934561421,0.00190828934561421,0.116328511886517,0.108431556681529,0.0153101097860267,-0.018600893882104,-0.0153101097860267,-0.116913333141859,-0.0154762789641553,0.0252231320081395,-0.0560158797310377,-0.0777681127259286,-0.0694751356619449,-0.0029272998224214
"GSC",-0.0391408351348008,-0.147665459505054,-0.111147665173158,0.103177898339613,0.164038115152096,0.134197902263813,0.167499492503879,0.132621711780716,-0.156586058233543,-0.0543345103957111,-0.0543345103957111,-0.0318525699280208,0.111589559311705,0.145519546828901,0.128971085018749,-0.145519546828901,0.0313440466624702,-0.145025308518192,-0.131606366659162,-0.0754446810113773,-0.0525113086716152,-0.167447851690098,0.110703632461683
"miR205",-0.0228053374958484,0.0936357878093602,-0.00629178656672459,0.115761088267597,-0.0999827331509298,0.0913707732789746,0.009970720258355,0.064785329796632,-0.0134128209122033,0.00359211619481607,0.00359211619481607,-0.00126491568320155,0.0195403539241277,0.0115516940671292,-0.00205629341507368,-0.0115516940671292,0.0003428398222271,-0.010967229277872,-0.0632592174192661,-0.0152749374769139,-0.0325986426595931,-0.0100796131803151,0.00573167783973641
"SNAI1",-0.01964285390123,0.0117171025252027,0.204827129668913,-0.158172202433024,-0.00779200344236177,-0.150041898483086,-0.1815253132488,-0.151163689646464,0.207160707581114,0.105430413744655,0.105430413744655,0.0550291252962442,-0.094053662427416,-0.163465074030039,-0.152419996310032,0.163465074030039,-0.0551659284733565,0.163665899413873,0.151473662692286,0.0921656142433407,0.135231958894765,0.181455118982267,-0.205089240143624
"FOXC2",-0.0192981651223029,0.0631821312863675,-0.0352573328018419,0.107784804358512,-0.108729166332687,0.091809999890415,0.00983001131315876,0.0641374648059869,-0.0209535909363881,-0.00305782932284758,-0.00305782932284758,-0.0228563562370025,0.0225831368749234,0.0143641186693134,-0.00327702012065647,-0.0143641186693134,0.0217653997775632,-0.0144062038854997,-0.0634597743749758,-0.0141973750037388,-0.032627037400742,-0.010307562962338,0.0346658501519997
