"","ZEB2","KLF8","SNAI1","FOXC2","miR205","NP63","OVOL2","miR200a","TWIST1","GSC","miR200b","miR141","GRHL2","CLDN7","ZEB1","miR34a","TGFbeta","TCF3","miR200c","CDH1","miR101","SNAI2","TWIST2"
"NP63",-0.176389548691004,-0.255484864993094,0.0518594087702828,0.0958839301518272,0.319353675601368,0.219316057372649,-0.0728996545099988,0.082204623457733,-0.1622380465033,0.111873472041313,0.176951843622816,-0.0301419939182088,-0.17582181411427,0.0301419939182088,0.0302081541481071,0.0103177253255771,-0.112184993188806,0.161760092952307,-0.082204623457733,-0.150526595996487,0.255909778639676,0.257740130443338,0.244315575864136
"SNAI2",-0.129873249500112,-0.287750761811877,0.0661900321986039,0.112582910759901,0.00809400159775648,0.0079963373998237,0.0247014397228625,0.0836314739031506,-0.185713987163705,0.213564147193297,0.263633784542287,-0.0404516280105593,-0.0414796822523594,0.0404516280105593,0.0404247190605053,0.0013617769944686,-0.213688675901689,0.185387545379157,-0.0836314739031506,-0.133948873089622,0.288128827088836,0.203148444320346,0.283106241796211
"CDH1",-0.129775247130929,-0.28684817050134,0.065925991982563,0.112054605030011,0.00804264052944626,0.00809400159775648,0.0246691790566797,0.0834869409776176,-0.185387545379157,0.213087440357772,0.263490855958183,-0.0403762241184349,-0.0414069487564453,0.0403762241184349,0.0404516280105593,0.00143676718805867,-0.213564147193297,0.184532299695226,-0.0834869409776176,-0.13391704982168,0.287750761811877,0.302942851936085,0.282962860243637
"TCF3",-0.129534771523617,-0.284717340520712,0.0654659763748905,0.111021090483145,0.0077536231884058,0.00804264052944626,0.0245503505658016,0.0833446995067984,-0.184532299695226,0.21281555346272,0.263033802694468,-0.040489598656708,-0.0414751239341878,0.040489598656708,0.0403762241184349,0.00178113804898582,-0.213087440357772,0.183128621089224,-0.0833446995067984,-0.0338668314190041,0.28684817050134,0.302606588959581,0.282632989384569
"KLF8",-0.129534771523617,-0.284717340520712,0.0654659763748905,0.111021090483145,0.0077536231884058,0.00804264052944626,0.0245503505658016,0.0833446995067984,-0.184532299695226,0.21281555346272,0.263033802694468,-0.040489598656708,-0.0414751239341878,0.040489598656708,0.0403762241184349,0.00178113804898582,-0.213087440357772,0.183128621089224,-0.0833446995067984,-0.0338668314190041,0.28684817050134,0.302606588959581,0.282632989384569
"TWIST2",-0.120197835754274,-0.276382275933963,0.258705013490184,0.286624162959082,0.018824703599316,0.0189239795693963,0.0479415940095775,0.0871902295135754,-0.372620309830216,0.0271128291792661,0.116559783506423,-0.0629366527757026,-0.064642928430025,0.0629366527757026,0.0629031835926412,-0.0791152870697427,-0.0272086122674111,0.372227052203726,-0.0871902295135754,0.0875393322659481,0.276986240373927,0.286512651781174,0.210497299856308
"miR34a",-0.113241747634698,-0.0476939042675753,-0.07460291147935,-0.0621363687183158,-0.0118611354724273,-0.0119822397924455,-0.0224671631231567,0.0060244221722747,-0.0623267423970559,0.0432245073955623,0.112388119444807,-0.000815941528740387,0.000151453860611039,0.000815941528740387,0.000793096515497418,0.0529466435153717,-0.0432926909965011,0.0622314765581261,-0.0060244221722747,-0.0328871666225071,0.0478062659762416,0.162324715378865,0.25368975175874
"ZEB2",-0.0893988471116419,-0.0762326034519232,-0.0335143901107813,-0.02641133649397,-0.00712327045827791,-0.00703030485555091,-0.00677735071734134,-0.00570065473773392,-0.0044698077359242,-0.00192295696860207,-0.00108613787385761,-0.000708195882072989,2.71206755174967e-05,0.000708195882072989,0.000792400929956938,0.000827457813284715,0.00180041172231076,0.00435777110481699,0.00570065473773392,0.0106698466573404,0.0762256429181497,0.0819241301329122,0.0852617412872605
"miR101",-0.0829216850682275,0.15952546476453,-0.231698657520014,-0.246274919750522,-0.0214043212701511,-0.0215434142787592,-0.0188804720744343,0.0436645409251339,0.244056225586592,-0.00141441661655762,0.0142502857633097,-0.00125544144460681,0.000859273010271362,0.00125544144460681,0.00128840014735227,0.10967468723514,0.00141190129405136,-0.243795430981439,-0.0436645409251339,-0.0759515121774289,-0.259954791930439,-0.174210566164807,-0.0627867143456055
"miR200b",-0.0280024324963489,-0.147137190730849,0.154574328420443,0.144700190547385,0.0385857452955623,0.0387776770531596,0.012990847783164,0.0071823314035055,-0.0723925407356127,0.125778185454682,0.0575162427173636,0.00902123082051051,0.0039261767321374,-0.00902123082051051,-0.00908350190730837,-0.021531077742328,-0.125705464792924,0.0722283808349959,-0.0071823314035055,-0.0679082707652317,0.147580258343687,0.144057538437805,0.100619080733293
"GSC",-0.0239862919818251,-0.115067592830985,0.155893222026919,0.180480553743335,-0.020984351518054,-0.021120369449432,-0.0866008859557813,-0.051596962265011,-0.00110295261530662,0.0480295763537767,0.087301084447055,0.132969648390332,0.136346754388288,-0.132969648390332,-0.132874082779472,-0.132808791896429,-0.0482575561350872,0.00092406173874133,0.051596962265011,0.0274948995564612,0.114957490718583,-0.00543381453546756,-0.0637481865748209
"miR200c",-0.0174066845794113,-0.17350770515426,0.242592388443324,0.209513434846691,-0.0431587575140556,-0.0433506892716529,-0.0248719341181624,-0.00446432020261934,-0.0792944774899594,0.119038785448862,0.0933857252560396,0.0204338995973241,0.0227186698969957,-0.0204338995973241,-0.0204787615630817,-0.14404433085082,-0.119144457660479,0.079136233261437,0.00446432020261934,0.00819820455053568,0.173711228082108,0.139738139866495,0.0147361781533503
"miR200a",-0.0174066845794113,-0.17350770515426,0.242592388443324,0.209513434846691,-0.0431587575140556,-0.0433506892716529,-0.0248719341181624,-0.00446432020261934,-0.0792944774899594,0.119038785448862,0.0933857252560396,0.0204338995973241,0.0227186698969957,-0.0204338995973241,-0.0204787615630817,-0.14404433085082,-0.119144457660479,0.079136233261437,0.00446432020261934,0.00819820455053568,0.173711228082108,0.139738139866495,0.0147361781533503
"ZEB1",-0.0157553692999977,0.0256939810721986,-0.125258575505972,-0.127249521786359,0.0381051305124582,0.0381166260866621,0.0283889803103525,0.0165105303385736,0.00567366153653552,0.00107785466246352,-0.00399167212582259,-0.0172797769024385,-0.0213715594542657,0.0172797769024385,-0.0825981591535056,0.0262030015622674,-0.00126606229916561,-0.00578002725432383,-0.0165105303385736,-0.0759075340050576,-0.0258379981191144,0.00727847779729793,0.0875682653270257
