"","ZEB2","TWIST2","SNAI2","miR141","CLDN7","GRHL2","miR34a","FOXC2","OVOL2","CDH1","TCF3","miR205","TGFbeta","miR200b","miR200c","miR200a","GSC","NP63","TWIST1","SNAI1","ZEB1","miR101","KLF8"
"SNAI1",-0.215718862339312,0.164509534900611,0.106886051621527,0.111909360086318,0.111909360086318,0.109592063705336,0.306312334346089,-0.500873560077516,0.0840326763382055,0.265279857213881,0.443326054186793,0.0129404005010421,-0.0156757163836279,0.00666768356911557,0.0404604764294602,0.0404604764294602,0.0155818471565365,-0.0129857325275062,-0.445149586904618,0.409584169325129,-0.111999001866646,-0.322933536577533,-0.321900588948696
"TWIST2",-0.172737279773065,-0.0298822765404977,-0.0800041817989298,0.124265677513369,0.124265677513369,0.122991843913979,0.1878040610419,-0.316608417058451,0.0757055515360706,0.0122191381606734,0.32720581370877,0.0226057640001719,0.0110259862531924,-0.0428175419866732,0.0218023844089889,0.0218023844089889,-0.0111103081171149,-0.0225544143604752,-0.328362789044678,0.326665405744144,-0.124320239815016,-0.0889760280339774,-0.0882981974394852
"TGFbeta",-0.160539605760613,0.189756152716361,0.126132079142773,0.0202800418039496,0.0202800418039496,0.019044256805086,0.227938040568759,-0.352332797116921,0.009488250057187,0.182370590669165,0.259114029734585,0.00247792786198901,-0.115464801560712,0.0647063010483743,0.0640438690332322,0.0640438690332322,0.0153609801509131,-0.00255151739592196,-0.26129223407738,0.404403031144502,-0.0203845120676641,-0.242520405067909,-0.241309278491679
"miR34a",-0.12281642804533,0.0459802433725162,-0.0649374359157463,-0.0572253075133686,-0.0572253075133686,-0.0567775680847948,0.0953594464353207,-0.291097764309846,-0.0474877428978421,0.0252607775498032,0.207009848259113,-0.016486977503423,-0.013853186156934,-0.101953208693398,0.123875411165908,0.123875411165908,0.0137801753984065,0.0164453478934168,-0.207997936092642,0.299041192622419,0.0571624837269504,-0.0956933446822779,-0.0951584261205078
"ZEB2",-0.0860548831894564,-0.0782239910808436,-0.0483500707697492,-0.0298019034112998,-0.0298019034112998,-0.029404233561416,-0.0218111285047011,-0.0186411603114455,-0.0175712866562585,-0.0143195682187792,-0.00928346007642786,-0.00881110281319924,-0.00491529629179553,-0.00331054639521473,0.00483094777612803,0.00483094777612803,0.00491468048653779,0.00881884994675982,0.00927858891855363,0.0215265918991531,0.0297996939494019,0.0595055624689236,0.0595304215181147
"FOXC2",-0.0798367365864601,0.118662353776747,-0.0121201021956629,0.177001387656392,0.177001387656392,0.17411374227132,0.217685853447199,-0.189714991549769,0.0601632740754971,0.159028753634134,0.14479212873581,0.0421693959793816,0.0517700011961936,0.168647646193495,-0.156758799748837,-0.156758799748837,-0.0518709553760223,-0.0420609655104199,-0.146093390565463,0.197454618981163,-0.177049424317291,-0.0446250703428101,-0.0438907704951473
"miR141",-0.0746205102741445,0.147453876199605,0.111974635683194,0.198723043175606,0.198723043175606,0.194502400425792,0.249580659184084,-0.261721895040062,0.0663134540714238,0.173979320180247,0.170213063609557,0.0474428094207393,0.119105719017295,0.0795548750871157,-0.0677586456632963,-0.0677586456632963,-0.119228435134012,-0.047400157919051,-0.171992201991917,0.311001851458895,-0.198803169771163,-0.178897959522604,-0.177894753586219
"SNAI2",-0.0596169386712562,0.0545694460203773,-0.074968710229236,0.0424393459294672,0.0424393459294672,0.0419245519209882,0.0813908773895889,-0.155980426340624,0.0256672951143486,0.0656894033145257,0.191541719178499,0.00761701358944939,-0.0017926313074471,0.00184558899953555,0.00754026522652555,0.00754026522652555,0.0017292897152894,-0.00763871674454556,-0.192353289726196,0.159573794704506,-0.0424912784891254,-0.0753965997007632,-0.0749436150661684
"CDH1",-0.0594161765363269,0.0543119597767488,0.0249677348092928,0.0423414813035187,0.0423414813035187,0.0418546707190315,0.0809928525159185,-0.154869074769074,0.0255967249070738,0.0654354331052107,0.189889660745564,0.00746293038451872,-0.0017292897152894,0.00188011125348383,0.00745074805974388,0.00745074805974388,0.00167814091319434,-0.00761701358944939,-0.191541719178499,0.158885865305208,-0.0424393459294672,-0.0749436150661684,-0.0739827920581777
"CLDN7",-0.0590665962553267,0.0538136442236887,0.0248786932111533,0.0423085661149878,0.0423085661149878,0.0418579171560669,0.0803094088073092,-0.152736330877563,0.0256363344040332,0.164922826391105,0.187033900823009,0.00717391304347826,-0.00167814091319434,0.00199400478521871,0.00718537218134972,0.00718537218134972,0.00162376353418401,-0.00746293038451872,-0.189889660745564,0.157719397157182,-0.0423414813035187,-0.0739827920581777,-0.0729248275223411
"miR200c",0.00980804676877609,-0.0271481550424314,-0.121646607338827,0.172952897953715,0.172952897953715,0.172309977014481,0.0670492359552697,0.132983548010228,0.0552072013056961,-0.0143170277377697,-0.0440361675266749,0.0434636337801101,-0.0511853595262194,0.054749903913678,-0.0886915378038125,-0.0886915378038125,0.051202403431319,-0.0433925479439629,0.044448785655252,-0.152852594175235,-0.172923213170403,0.132352327886409,0.132121788640704
"GRHL2",0.0169335210100808,-0.0288975381482695,0.00360669736337419,-0.0900113898528492,-0.0900113898528492,-0.109670989048793,-0.0969874949792005,-0.00352715046856633,-0.0699281522449135,-0.0174342079529126,-0.0365332416248219,0.129040427738367,0.0582956273066218,-0.0905681780797176,0.0874536244231535,0.0874536244231535,-0.0582950729736784,-0.129076875314603,0.0368569597588181,-0.0235096081156886,0.0899989435412154,0.00337108462040451,0.00325224136145825
"NP63",0.0306592431326218,0.0261978327365452,0.0151490972878901,0.0307661983794469,0.0307661983794469,0.0840439307294209,0.0604627566179992,-0.144409834695373,-0.0564690176745161,0.108521583110186,0.165569871769601,0.0663795123901595,0.00425367741452102,0.0989650470791972,-0.0239469248606784,-0.0239469248606784,-0.00427250561574315,-0.166519237239687,-0.166492120170813,0.147269612619058,-0.0308235372453588,-0.0536862177878469,-0.0531324593581084
"miR205",0.0380653635642855,-0.0989881914432419,0.0228152727842043,-0.174981829147104,-0.174981829147104,-0.172882096286793,-0.207404302230886,0.170029963233359,-0.0579734820552225,-0.064699601525757,-0.129633199439704,-0.0419992905995945,-0.0358610577999204,-0.076882530990775,0.0696915060552721,0.0696915060552721,0.0359388232339785,0.0419101022139043,0.130580442139758,-0.177124203430661,0.175014126882536,0.0231107952746714,0.0226063832338678
"TCF3",0.0590665962553267,-0.0538136442236887,-0.0248786932111533,-0.0423085661149878,-0.0423085661149878,-0.0418579171560669,-0.0803094088073092,0.152736330877563,-0.0256363344040332,-0.164922826391105,-0.187033900823009,-0.00717391304347826,0.00167814091319434,-0.00199400478521871,-0.00718537218134972,-0.00718537218134972,-0.00162376353418401,0.00746293038451872,0.189889660745564,-0.157719397157182,0.0423414813035187,0.0739827920581777,0.0729248275223411
"KLF8",0.0590665962553267,-0.0538136442236887,-0.0248786932111533,-0.0423085661149878,-0.0423085661149878,-0.0418579171560669,-0.0803094088073092,0.152736330877563,-0.0256363344040332,-0.164922826391105,-0.187033900823009,-0.00717391304347826,0.00167814091319434,-0.00199400478521871,-0.00718537218134972,-0.00718537218134972,-0.00162376353418401,0.00746293038451872,0.189889660745564,-0.157719397157182,0.0423414813035187,0.0739827920581777,0.0729248275223411
"OVOL2",0.066245014867894,-0.1244603429125,-0.0932240304980433,-0.0990908323259393,-0.0990908323259393,-0.0315482725386008,-0.165101646486403,0.192250852605152,-0.0966857653726685,-0.162144240157974,-0.106214977595267,-0.0118792287965044,-0.0136908584926623,-0.073700703295497,0.074434232169602,0.074434232169602,0.0137521735279357,0.0118608621330789,0.107178937022647,-0.219164959168531,0.0991368915453239,0.145534124055144,0.144989066314118
"miR200b",0.0746205102741445,-0.147453876199605,-0.111974635683194,-0.198723043175606,-0.198723043175606,-0.194502400425792,-0.249580659184084,0.261721895040062,-0.0663134540714238,-0.173979320180247,-0.170213063609557,-0.0474428094207393,-0.119105719017295,-0.0795548750871157,0.0677586456632963,0.0677586456632963,0.119228435134012,0.047400157919051,0.171992201991917,-0.311001851458895,0.198803169771163,0.178897959522604,0.177894753586219
"miR200a",0.0746205102741445,-0.147453876199605,-0.111974635683194,-0.198723043175606,-0.198723043175606,-0.194502400425792,-0.249580659184084,0.261721895040062,-0.0663134540714238,-0.173979320180247,-0.170213063609557,-0.0474428094207393,-0.119105719017295,-0.0795548750871157,0.0677586456632963,0.0677586456632963,0.119228435134012,0.047400157919051,0.171992201991917,-0.311001851458895,0.198803169771163,0.178897959522604,0.177894753586219
"GSC",0.0798615780878481,-0.0477303101762351,-0.0844977437394952,0.0832180979814531,0.0832180979814531,0.0832754023282425,-0.027272197651426,0.181762304769039,0.0650502139338034,-0.0275986909304749,-0.0569250949852954,0.0139610483348701,0.030220060678452,0.0668915278941318,-0.0810323116337847,-0.0810323116337847,-0.0301998908854674,-0.0138901657509125,0.0573675304568006,-0.159296310439231,-0.0831963785244395,0.159243823465407,0.159066490859592
"ZEB1",0.080016701199309,-0.118893746906518,0.0120770874232638,-0.177049424317291,-0.177049424317291,-0.17416851112786,-0.21802157166404,0.19066832483806,-0.0601539263092126,-0.159257320711119,-0.146093390565463,-0.0420609655104199,-0.0517441598074362,-0.168583525105523,0.156638146241973,0.156638146241973,0.0517700011961936,0.0420954522330316,0.146854776805224,-0.198035816692255,0.0770789632464184,0.0450284650303445,0.0446250703428101
"TWIST1",0.105447808216156,0.0436785293023907,0.0116949050755434,0.12299394728039,0.12299394728039,0.121779225684834,-0.0205831475794668,0.339256028181966,0.0759276612076978,-0.120005846235649,-0.25331769003919,0.0226247222014963,0.0319960142336856,0.0753596618419038,-0.116284222805196,-0.116284222805196,-0.0319762730005165,-0.0225775857414445,0.153740051505446,-0.24731729165998,-0.122979756179321,0.107935900698119,0.107771582618151
"miR101",0.178418659863885,-0.149647227234374,-0.113336648640552,-0.200527853409315,-0.200527853409315,-0.196812919425682,-0.260469857228789,0.423582856176916,-0.0934867509795819,-0.200044576151246,-0.384281132627643,-0.0351497419505787,-0.00901782375903501,-0.0413287624499302,0.0179847515378022,0.0179847515378022,0.00915365117437345,0.0351313711758569,0.386351121606616,-0.435950306731316,0.200625081582414,0.286775585820095,0.385621852135856
