"","miR200a","miR200c","CDH1","ZEB1","miR101","KLF8","GRHL2","NP63","OVOL2","TGFbeta","FOXC2","SNAI1","TCF3","TWIST1","GSC","TWIST2","miR205","SNAI2","miR34a","miR141","CLDN7","miR200b","ZEB2"
"miR141",0.00838844378780002,0.249199502293741,0.18936503628206,-0.235746358150144,0.0343325118648996,0.0343271086013284,-0.210635048802514,-0.171575263318723,-0.163559614328177,0.162231506560698,0.1338554232704,0.146476943282127,-0.0242110619926498,0.0242776133037107,-0.1621576496386,-0.0267538772892368,0.171436645938236,0.0721499268462907,0.117695857846349,0.23571310226508,0.23571310226508,-0.231910966068065,-0.267443384950839
"miR200a",0.323767474414305,-0.0688142089798207,-0.00972584021381161,0.36876847164399,0.0293203016838593,0.0293815386709996,0.316491839374108,0.26517628561856,0.251983312739795,0.0893331425710244,0.0732094498854212,0.0355651858026862,0.0772705152253467,-0.077907928893507,-0.090046714064525,0.100077443182132,-0.261917000031213,0.0230955849166379,-0.309667009658862,-0.367284455672237,-0.367284455672237,0.0330018298029542,-0.264206040775709
"miR200c",-0.0654901744869142,0.273879706501376,0.141062942427079,-0.32202777919512,-0.00370942291202014,-0.00374184249344732,-0.279400429904797,-0.232393371967216,-0.220833944046994,-0.0468926860259753,-0.0616591614518215,-0.0292048339842297,-0.0763116053116686,0.0766828137355856,0.0473483264223029,-0.11566615794579,0.230456282932206,-0.0577524466441771,0.273002178418053,0.321163795765032,0.321163795765032,-0.196967217448764,-0.210114007160273
"miR200b",-0.0654901744869142,0.273879706501376,0.141062942427079,-0.32202777919512,-0.00370942291202014,-0.00374184249344732,-0.279400429904797,-0.232393371967216,-0.220833944046994,-0.0468926860259753,-0.0616591614518215,-0.0292048339842297,-0.0763116053116686,0.0766828137355856,0.0473483264223029,-0.11566615794579,0.230456282932206,-0.0577524466441771,0.273002178418053,0.321163795765032,0.321163795765032,-0.196967217448764,-0.210114007160273
"TGFbeta",0.162818040710607,-0.0419189388118553,0.0683323839366147,0.192351754396539,0.0409304290919347,0.0409352763681117,0.173656922659741,0.168463264942769,0.166260567519672,0.0794694117562971,0.09326206288603,0.068374716843562,0.054541077724867,-0.0549018428191425,-0.17985733024563,0.0914755120011503,-0.166667135207147,-0.00633867025319297,-0.200880488622781,-0.191535376752832,-0.191535376752832,-0.0354083554794594,-0.124151123439768
"TWIST1",-0.0965245860288818,0.21290097651723,-0.0039225430100374,-0.277527571817596,-0.0260346485788622,-0.0260575535233426,-0.247742256897859,-0.226472148400609,-0.215423278697874,0.0448264925820882,-0.0835152443421135,0.0518888971402727,-0.12599530928304,0.0262608169745936,-0.0445222269089592,-0.111392749275828,0.225164111634171,-0.00997648482370155,0.193208231875102,0.27695832356341,0.27695832356341,-0.142626242841088,-0.119545495576664
"NP63",0.0373926552658321,0.0335887346994568,-0.0752403764232823,0.00313766864256359,0.0187639243114338,0.0187090967441329,-0.0832830865352096,0.0304672385474193,0.139065617178104,-0.0972472573132397,-0.0596794907375951,-0.0281058496784879,-0.0729608511019498,0.0730349002436529,0.0972575272411791,-0.0276387176158767,-0.130601589364272,-0.0366962119113471,0.00319217715003443,-0.00319093610971249,-0.00319093610971249,0.0613050080582789,-0.105305044436768
"SNAI1",0.105572394616473,-0.00752914470674867,0.0354281317547643,0.111379734106014,0.0841792057153601,0.0841870050783081,0.103120291284404,0.106194629988648,0.108650734497949,-0.0131745301661828,0.00270249315754277,-0.124513192416868,0.0144278868728514,-0.0144989070599564,0.0131271076668414,-0.00259593647507075,-0.105953267577475,-0.0984077424319598,-0.0951985406260663,-0.111278973965336,-0.111278973965336,0.0392847717427987,-0.0976787845737432
"TWIST2",-0.0286950804696574,0.113589880941216,0.181931893616969,-0.14113430234987,-0.0571811820442209,-0.0571933482343784,-0.130006641987089,-0.127814360103242,-0.127574529330921,0.0362526206446498,0.107816253616195,0.0220408038562674,0.145358620978074,-0.14535149674571,-0.0362130521324532,0.0692038958629914,0.127730489025071,0.0966996845962273,0.0800759749326396,0.141108796895254,0.141108796895254,-0.108585062225265,-0.0881366980381786
"GRHL2",0.155535777480481,-0.13453671594828,-0.117397743175999,0.169643555823554,-0.0249626638845769,-0.0249424165145342,0.0819601660733982,0.0512672160446021,-0.0645872407770633,0.0974350020209349,0.0404330308200201,-0.00598486712505164,0.048234460035262,-0.0485639588502224,-0.0977171574891522,0.0700911264406878,-0.0499047709329163,0.0271261684832623,-0.152916972746986,-0.168993945698807,-0.168993945698807,0.113462591061487,-0.0322404972385506
