"","TWIST2","ZEB2","KLF8","miR101","SNAI2","NP63","ZEB1","miR141","CLDN7","miR200b","SNAI1","GRHL2","TWIST1","TCF3","GSC","TGFbeta","miR200c","miR200a","CDH1","FOXC2","miR34a","miR205","OVOL2"
"TWIST2",0.0153140390284594,-0.171274048354828,-0.0468544903792913,-0.0465581567475966,0.030932237577999,-0.170517072056698,-0.150879454590805,-0.150812193370827,-0.150812193370827,0.0063389187166549,0.1022029547702,-0.135031794974142,0.188893875159052,0.189067706428733,-0.0571077965106323,0.0570955166275368,0.159624281602442,0.159624281602442,0.0218593161315699,-0.125581972027767,0.133759505867955,0.170655716083879,0.194336765330545
"TWIST1",-0.115166799022354,-0.128001385174194,-0.0480039136756478,-0.0477240750061264,-0.0570836400765349,-0.16236680817095,-0.142540190847082,-0.142496877138602,-0.142496877138602,-0.0262175951854045,0.0129160290847307,-0.126759738454182,-0.00859956180595956,0.0915352344066753,-0.0575089556292239,0.0574553722820508,0.137158993035813,0.137158993035813,-0.189964288243147,-0.176018433300335,0.110165373995014,0.162512145589443,0.18626881513063
"SNAI1",-0.0684414080283946,-0.0987049822819661,-0.105766076966216,-0.106098953776838,-0.0842837485507794,0.0934047475774009,0.0809120442003776,0.0808776853784605,0.0808776853784605,0.0308886972890657,-0.0721464026626108,0.0741190004902427,-0.000559467523220238,-0.000830774856693227,0.00209558050376089,-0.00207899238670733,0.0110735901009711,0.0110735901009711,0.0459224997951986,-0.105601889600466,0.0236242194807882,-0.093382694159121,-0.107780002106713
"GSC",0.0330960754864844,-0.0862334677568673,0.0612846546273155,0.0609446047403407,0.00363932423056803,0.0767726484053143,0.0541819441194252,0.0541397118418988,0.0541397118418988,0.0756139645872601,-0.0259304231870455,0.0477907237547181,0.100036969617063,0.0997446747026747,0.00560328629397819,-0.00560023026473811,0.0194775229008013,0.0194775229008013,-0.0458515377231679,-0.139413151984885,-0.042426866396614,-0.0766826083662331,-0.0960196474247642
"ZEB2",-0.0860563163255383,-0.0759622940380043,-0.0602945792894965,-0.0598461220420893,-0.0560318911449623,-0.0513833019470342,-0.0405331225079018,-0.0404557913414778,-0.0404557913414778,-0.0347935524056831,-0.0346952949901029,-0.0340773100586651,-0.0138702089518211,-0.0136217799002355,-0.00296046820832657,0.00290689315090273,0.00383204960746381,0.00383204960746381,0.00612706356450316,0.0096630767269641,0.0274382008086031,0.0513213248785495,0.0613140859315324
"miR205",-0.0894374605692333,-0.0358921777361559,0.0423533719515398,0.0427000770019184,0.0350040610240439,-0.208611267023308,-0.204974149450064,-0.204851169611304,-0.204851169611304,-0.0831169246054375,-0.077082394274294,-0.173441605589588,-0.106639691342365,-0.106524374839749,-0.0497405061414352,0.0497309838433872,0.119037780985365,0.119037780985365,-0.127650115273314,0.118445867757358,0.204019553530444,0.208740094691527,0.23499535721891
"miR200c",-0.106144204495282,-0.03537411394695,-0.0776940721692671,-0.0774653340114197,-0.0772411316564331,-0.20447739460569,-0.199859625090785,-0.199753608007527,-0.199753608007527,-0.0829020783088017,0.0785016485748062,-0.176186570895291,-0.0684608656020698,-0.0684031877991504,-0.157858622935153,0.157869985538553,0.115831191385735,0.115831191385735,-0.119732300583101,0.0377259198850356,0.198468553701387,0.204573360484488,0.226857631829309
"TCF3",0.020155168703011,-0.0327197134737178,0.0168574824460387,0.0160081306355782,0.0247098313989978,-0.0527915305353104,-0.0461316768243326,-0.0464132845484302,-0.0464132845484302,0.00206663554760121,-0.00422003271007445,-0.0416354744456984,0.0744397756928338,0.0736169296134534,-0.0134737503000757,0.0132381149910309,0.0387113929041469,0.0387113929041469,-0.0321398472302764,-0.0283645865709905,0.0271916003999003,0.0533695652173913,0.0602320761654006
"KLF8",0.020155168703011,-0.0327197134737178,0.0168574824460387,0.0160081306355782,0.0247098313989978,-0.0527915305353104,-0.0461316768243326,-0.0464132845484302,-0.0464132845484302,0.00206663554760121,-0.00422003271007445,-0.0416354744456984,0.0744397756928338,0.0736169296134534,-0.0134737503000757,0.0132381149910309,0.0387113929041469,0.0387113929041469,-0.0321398472302764,-0.0283645865709905,0.0271916003999003,0.0533695652173913,0.0602320761654006
"CLDN7",0.020155168703011,-0.0327197134737178,0.0168574824460387,0.0160081306355782,0.0247098313989978,-0.0527915305353104,-0.0461316768243326,-0.0464132845484302,-0.0464132845484302,0.00206663554760121,-0.00422003271007445,-0.0416354744456984,0.0744397756928338,0.0736169296134534,-0.0134737503000757,0.0132381149910309,0.0387113929041469,0.0387113929041469,-0.0321398472302764,-0.0283645865709905,0.0271916003999003,0.0533695652173913,0.0602320761654006
