"","miR200c","NP63","ZEB1","CLDN7","TGFbeta","TWIST2","SNAI2","TWIST1","TCF3","FOXC2","SNAI1","miR101","KLF8","GSC","miR34a","ZEB2","miR141","miR205","CDH1","GRHL2","OVOL2","miR200b","miR200a"
"miR200c",0.356856309921375,0.430922365778474,0.409007634241306,0.403931982682632,0.0977153406413757,0.0808701664790203,-0.0454706711683743,-0.0664949159513429,-0.0701759429120185,-0.0572760464130457,0.126981808753666,-0.0448119182627856,-0.0452964108963362,-0.0919919973089513,-0.247427970712629,-0.296062662214913,-0.403931982682632,-0.417689737379683,-0.205512951207546,-0.428002034802196,-0.448405211851253,-0.260288776879156,-0.356856309921375
"miR205",-0.0665856618887799,-0.330602454808562,-0.299678458094447,-0.2972480535032,-0.114449045646251,-0.107654005126274,0.0370134283549169,-0.0314884891397759,-0.029569293060537,0.0773087197942798,-0.0826365884350729,-0.0166333334571514,-0.0162165364110284,0.11164949002016,0.271662096827235,-0.175316527802903,0.2972480535032,0.324012424088118,0.0197335387342079,0.328448986773035,0.340652150063234,0.0437202465166676,0.0665856618887799
"ZEB1",0.427214995069457,0.500192874654294,0.370856148177497,0.466262526586631,0.271431805317676,0.173272923366969,-0.00753779966295414,0.0856930259629515,0.0825579415013604,-0.051835403445117,0.0587524529998655,-0.0054142066688017,-0.00572428418818155,-0.266393191879696,-0.405191516627584,-0.164249853924554,-0.466262526586631,-0.488099530591758,-0.225563011658717,-0.497367670760668,-0.516804335315835,-0.36296947037827,-0.427214995069457
"FOXC2",0.421690152314601,0.488099530591758,0.466262526586631,0.459522515448927,0.266393191879696,0.170900149830073,-0.00757937661566305,0.0825579415013604,0.0775669545703104,-0.0530414274845206,0.0598784940566916,-0.00572428418818155,-0.00652705022210655,-0.258749983490729,-0.399916032007025,-0.161772753348819,-0.459522515448927,-0.470303379873406,-0.223471965591736,-0.489395213829764,-0.508074322843244,-0.359053638283186,-0.421690152314601
"miR200a",-0.0648223260342229,-0.307809376404752,-0.280982980378963,-0.278981154653192,-0.210029863077942,-0.0966072306311963,-0.0406514999206238,-0.15174780482779,-0.15018754631292,-0.0630148012969563,0.0973714049661925,-0.0392873332513967,-0.0389271156799835,0.207752797356644,0.261002046592503,-0.153720537469122,0.278981154653192,0.302374864231303,0.0215257520143541,0.304526424904697,0.317119364355561,0.0689387619581764,0.0648223260342229
"TGFbeta",0.0753970747255338,0.0245045637191514,0.0253405064473462,0.0247313538915987,0.111719656592842,0.0725785443914575,-0.0063887676201635,0.166204361358681,0.165736955010123,0.0747777555468115,-0.155602348205021,0.0759672962374686,0.0758031813154751,-0.211044165830341,-0.135092339150548,-0.126261857984346,-0.0247313538915987,-0.022847436436513,-0.0281681264749144,-0.0255926973080671,-0.0256261539271886,-0.115831720864846,-0.0753970747255338
"TWIST2",-0.0935855694872472,-0.319327070397206,-0.294793263894963,-0.292495297766637,-0.0971617635318497,0.0421797734073924,0.038182730924976,0.311534591668812,0.313355545461041,0.0448232104587991,-0.277915121402387,0.100576691567954,0.100833919588428,0.0945095816695099,0.0656702774975606,-0.115346158730172,0.292495297766637,0.313341414063228,-0.0618078227958564,0.312761672400478,0.331610905753367,0.0525468567523071,0.0935855694872472
"KLF8",0.0301289826805499,-0.0587664404791824,-0.047906022658226,-0.0480486551418598,0.000998101144696395,0.0800280108950254,0.0758450141781545,0.12240872334856,0.119504560715453,-0.0050188423959349,-0.0426051238433043,-0.0286985372874523,-0.0311869890830118,-0.000128063080531088,0.0129085940952962,-0.11273287721519,0.0480486551418598,0.0581884057971015,-0.223218899034074,0.0528889384684718,0.0634635142144845,-0.0436387175182164,-0.0301289826805499
"CLDN7",0.0301289826805499,-0.0587664404791824,-0.047906022658226,-0.0480486551418598,0.000998101144696395,0.0800280108950254,0.0758450141781545,0.12240872334856,0.119504560715453,-0.0050188423959349,-0.0426051238433043,-0.0286985372874523,-0.0311869890830118,-0.000128063080531088,0.0129085940952962,-0.11273287721519,0.0480486551418598,0.0581884057971015,-0.223218899034074,0.0528889384684718,0.0634635142144845,-0.0436387175182164,-0.0301289826805499
"SNAI2",0.0304091236153228,-0.0594343182922584,-0.0480197194930265,-0.0480456000755625,0.000572517791974857,0.0804546151237483,-0.0244712630544065,0.121719205756975,0.121075390015227,-0.00578379868134575,-0.0428793198201432,-0.0291120457373944,-0.029639949729625,-0.000361810046633912,0.0129610588392087,-0.112412717784248,0.0480456000755625,0.059382773298905,-0.123499516393273,0.0530197860069257,0.0637031859845493,-0.0439895367968625,-0.0304091236153228
"GRHL2",0.179097086492848,-0.149725740811076,0.17556395571478,0.173799854807946,-0.0299784624266893,0.0501323905272975,0.00826087472058564,-0.0136121791676565,-0.0149330647679802,-0.0811471545117494,0.0910054620923628,-0.0201697071361485,-0.0203554547482793,0.0319735066901749,-0.146114632613334,-0.0952818884820762,-0.173799854807946,0.154153253524337,-0.155759427651893,-0.0316572370391921,0.0364904849084251,-0.155663101608466,-0.179097086492848
