"","KLF8","SNAI2","ZEB2","TWIST2","miR34a","CDH1","miR200b","TCF3","GRHL2","NP63","miR205","ZEB1","SNAI1","miR141","CLDN7","GSC","TGFbeta","TWIST1","miR200c","miR200a","FOXC2","OVOL2","miR101"
"TWIST1",-0.105521087256144,-0.132866156314495,-0.0948737098628819,-0.133649389796243,0.0588531097650185,-0.101726677208712,-0.0705170611332132,-0.218163676089511,0.00518302337984095,0,0,0.00543978337262809,0.0170631652589076,-0.00542287745222412,-0.00542287745222412,0.021929304024644,0.0223545239200468,0.118527217390254,-0.0345484077820217,-0.0345484077820217,0.0848563204807374,0.033811351071444,0.105338843567452
"SNAI1",-0.123518817573588,-0.106858088375181,-0.0928695746855128,-0.105657970878947,0.102465605492384,0.0566751653293029,-0.0472703607080495,-0.0655280045272699,0.0641322351264835,0,0,0.0667552437623978,-0.0545717472712322,-0.0659713221468383,-0.0659713221468383,0.00103123503200897,0.00205325819682655,0.0664461575936559,-0.0180529830319951,-0.0180529830319951,-0.0343825126540243,-0.0722609293831866,0.123401827129368
"ZEB2",-0.0944753848075544,-0.0886447507537474,-0.0870697923260983,-0.0755245573102002,-0.0274816032621576,-0.0184051325613999,-0.00801734376380113,-0.00599977599170706,-0.00205486942598033,0,0,0.000245943575894065,0.00115132321204965,0.00168979054237107,0.00168979054237107,0.00223822803062961,0.00409734410376264,0.0085246594898479,0.00880525026599957,0.00880525026599957,0.0157629030648743,0.0467632444248945,0.0945758153662864
"GSC",-0.0573440176679832,0.000285749541406225,-0.0656156281267821,-0.000344403104473424,0.00206030964891283,-0.00109511042430979,-0.0675618892205327,0.090156857107834,-0.0530645270346769,0,0,-0.0535879075972671,0.0223063897315276,0.0535616029215506,0.0535616029215506,0.0299429275406827,0.0301067307079514,-0.0898949097528633,-0.0587789870462911,-0.0587789870462911,-0.147034746695476,0.0685332523265545,0.0572894537892709
"NP63",-0.184981619310071,-0.176690700734445,-0.0555331091398012,-0.193344558291605,0.0399360287688689,-0.100473891863215,-0.110307785293631,-0.121691960338438,-0.0373776858661402,-0.00418403674447556,-0.0958159632555245,0.0516161520716913,0.00297709942236381,-0.050483285365894,-0.050483285365894,0.0831922324063528,0.0845855192967897,0.123327773196062,0.0148374644476905,0.0148374644476905,0.0240968026425207,0.044269392482085,0.1848774469322
"miR34a",-0.00564743791858585,0.0990956055888438,-0.0222999760706258,-0.0170257342387387,0.0492668268324861,0.0464449992992233,0.0247107212789458,-0.079341445526268,-0.0192250092530048,0,0,-0.0219176540648517,0.111745862614308,0.0209241339576705,0.0209241339576705,0.00859085178601839,0.00764472889865407,0.0782667523846211,-0.0614639167813698,-0.0614639167813698,-0.06539575647996,0.0544399071279256,0.00561574615460306
"TCF3",0.188983923991833,0.171840956929597,-0.0179913324779674,0.188695854470569,-0.0449544631989272,-0.0346247007171102,0.162186626148497,0.13110719909677,-0.072836387062361,0,0,-0.0719424731772482,-0.0189783340631301,0.0714048584312437,0.0714048584312437,-0.170782609766156,-0.168607514605743,-0.131542823491736,-0.0437666321738626,-0.0437666321738626,-0.0216585679703396,0.0790391656933525,-0.190310104888868
"KLF8",0.188983923991833,0.171840956929597,-0.0179913324779674,0.188695854470569,-0.0449544631989272,-0.0346247007171102,0.162186626148497,0.13110719909677,-0.072836387062361,0,0,-0.0719424731772482,-0.0189783340631301,0.0714048584312437,0.0714048584312437,-0.170782609766156,-0.168607514605743,-0.131542823491736,-0.0437666321738626,-0.0437666321738626,-0.0216585679703396,0.0790391656933525,-0.190310104888868
"SNAI2",0.190022181495901,0.072394857726554,-0.0176681994172949,0.186526846842201,-0.0470704251920787,0.0644197972854897,0.160599153920105,0.13417230556345,-0.0749636653609227,0,0,-0.0728411108401813,-0.017716441752486,0.0737986923940103,0.0737986923940103,-0.171171092566747,-0.170785441376399,-0.133138573245713,-0.045351732822254,-0.045351732822254,-0.0225466820351781,0.080548096055201,-0.189725972554137
"GRHL2",-0.00764849403804949,-0.0164030834634168,-0.0105739977692763,0.0146374616025345,-0.0768526411539756,-0.0109258847095855,-0.0922565768125533,0.0131343749357415,-0.0461615629347622,0.00853631481530386,-0.00853457921643547,-0.0684591402299352,-0.021275908106727,0.0687458421102017,0.0687458421102017,-0.0449487140287255,-0.0440335103390855,-0.0123713250484648,-0.0788717710148321,-0.0788717710148321,0.0282076104284316,-0.0215192701335217,0.00733774092391595
"miR101",0.0136800104777913,0.112901622828907,-0.00822830827784535,0.0504725927677442,-0.0303892576366243,0.0284301970595508,0.0241411534261268,0.0242531875992097,0.00625106594982019,0,0,0.00727231082634837,-0.015939342014968,-0.00702643890386724,-0.00702643890386724,-0.0126498518939297,-0.0120008986873128,-0.0240600468246825,0.000755802734105291,0.000755802734105291,0.0304199483024172,-0.0569539410359282,-0.113901984585243
"miR200c",0.0226292973179409,0.0929121781676185,-0.00756424583209355,0.0692246679646438,0.00307476678622537,-0.0379980606405931,0.00375083223736088,-0.0136154319705521,0.00663594271987471,0,0,0.0099353165574613,0.0170985842822215,-0.0102721160914325,-0.0102721160914325,-0.0996438886546054,-0.0984610416406976,0.0135281758071612,0.00171155898496481,0.00171155898496481,0.0694245277552861,0.0456106367686015,-0.0234776096986188
"miR200b",0.0226292973179409,0.0929121781676185,-0.00756424583209355,0.0692246679646438,0.00307476678622537,-0.0379980606405931,0.00375083223736088,-0.0136154319705521,0.00663594271987471,0,0,0.0099353165574613,0.0170985842822215,-0.0102721160914325,-0.0102721160914325,-0.0996438886546054,-0.0984610416406976,0.0135281758071612,0.00171155898496481,0.00171155898496481,0.0694245277552861,0.0456106367686015,-0.0234776096986188
"ZEB1",0.000739733138044693,0.0364344175565191,-0.00350019246391713,-0.047256409482108,0.00634366036544992,0.0706993591295678,0.00196604061529835,-0.0989449508632562,0.00173652645745316,0,0,-0.0978923828296043,0.104921229903544,-0.00119663659610434,-0.00119663659610434,-0.0176133232853851,-0.0163635605459235,0.100261602206048,-0.000716820974735864,-0.000716820974735864,-0.0728554707438279,-0.056904136363373,-0.00086097197856051
"FOXC2",0.00142610665532385,0.0364400490169725,-0.00345299276882211,-0.0484602898892327,0.00572175612769538,0.0702368942822269,0.00146213435861907,-0.09895058403135,0.00136220965172396,0,0,0.00119663659610434,0.105468906056969,-0.000775359331048249,-0.000775359331048249,-0.0167828937416329,-0.0176133232853851,0.0989449508632562,-0.00110597798252889,-0.00110597798252889,-0.0725318374021616,-0.056639461038004,-0.000739733138044693
"TWIST2",0.0535445404869999,-0.0322160430549657,-0.00182737583402907,-0.0242905786241926,-0.0782901793892702,-0.120932438316341,-0.0307783838227756,0.215463058727411,-0.0578287483850568,0,0,-0.0571444075968035,-0.126151900247951,0.0571638864461093,0.0571638864461093,0.0232993444102104,0.0244211799525583,-0.215143893117505,-0.0284146661528053,-0.0284146661528053,-0.0218910378572236,0.0680472971483073,-0.0541154824108222
"OVOL2",-0.100738491375416,-0.101883207013131,0.00132284996765506,-0.107116921514834,0.0197765518776479,-0.085931015728878,-0.0316189108087165,-0.00195873479537641,-0.0229800327182494,0.00906664885944927,-0.00906556846748307,0.0134645303486375,-0.0486578638945305,-0.0125236451148971,-0.0125236451148971,0.0148648456956997,0.0153505434470225,0.00316907937490306,0.00778270285376073,0.00778270285376073,-0.0229179463277119,-0.07587865993296,0.101057629811309
"miR205",-0.0173016939466314,0.00476824028950407,0.00321534076931647,-0.0739588433742362,-0.00232584927962561,0.0469369321168638,-0.00321586527608927,-0.102241599961509,-5.05046892687447e-05,0,0,-0.000652908719259057,0.104479324492568,0.000667194256084687,0.000667194256084687,-0.00753546786200953,-0.00902570750651041,0.101652662108867,0.00176801877958329,0.00176801877958329,-0.0754889489953869,-0.0504564816809479,0.0180914805415372
"miR141",-0.00390154243404011,-0.0991017332463714,0.00401968078808143,-0.00367539830071847,-0.0873861284985918,-0.0886525816924005,-0.0581559096661134,0.0950633087698413,0.0110654899860516,0,0,0.0138790765077583,-0.0840218061072774,-0.0135628108088602,-0.0135628108088602,0.116436327989029,0.117387377893584,-0.0941301114969662,0.00896557990759075,0.00896557990759075,-0.0619727682372709,0.0520077029637898,0.00361336837690961
"miR200a",-0.0239287051672642,-0.129634748526853,0.0108995672311654,-0.0218708552840699,-0.101815414803706,-0.031566436053133,-0.0367166643409816,0.090449651371887,0.000607306278791506,0,0,0.000174551590788826,-0.0850122006619654,-0.000280122286327851,-0.000280122286327851,0.117098347320064,0.116784739466233,-0.0903564795364018,0.00483153305209074,0.00483153305209074,-0.0554429272532261,0.0685145009858302,0.0240547813172588
"TGFbeta",-0.025972121451589,-0.0871704428227831,0.0133588681117128,-0.0607924223527339,-0.0893330357421022,-0.071422659940352,-0.107330720847454,0.0440010253297746,-0.0523138565831739,0,0,-0.0532625651162854,-0.0380119478384038,0.0538487307831368,0.0538487307831368,0.21343409395456,0.114776821894683,-0.0433747915812211,-0.0182075626557879,-0.0182075626557879,-0.0621470460192977,0.0624248246659698,0.0255185548950248
"CDH1",-0.190310104888868,-0.171860860345652,0.0178466017883813,-0.186218313763101,0.0459928737949537,-0.0645481169142867,-0.161297664946254,-0.131542823491736,0.073313613306558,0,0,0.0737986923940103,0.0180624101299967,-0.0719424731772482,-0.0719424731772482,0.168607514605743,0.171171092566747,0.13417230556345,0.0443334750501125,0.0443334750501125,0.0210432385002399,-0.0793816713435307,0.190022181495901
"CLDN7",-0.188983923991833,-0.171840956929597,0.0179913324779674,-0.188695854470569,0.0449544631989272,0.0346247007171102,-0.162186626148497,-0.13110719909677,0.072836387062361,0,0,0.0719424731772482,0.0189783340631301,-0.0714048584312437,-0.0714048584312437,0.170782609766156,0.168607514605743,0.131542823491736,0.0437666321738626,0.0437666321738626,0.0216585679703396,-0.0790391656933525,0.190310104888868
