"","CDH1","ZEB1","TWIST2","OVOL2","SNAI2","miR200c","miR101","KLF8","miR200b","TCF3","FOXC2","TGFbeta","SNAI1","GSC","TWIST1","NP63","miR205","ZEB2","miR34a","GRHL2","miR141","CLDN7","miR200a"
"miR101",-0.00436566866095367,0.12816084779194,0.153373504212021,0.115537176877844,0.143101438678229,0.0562930847694539,0.25757710528052,0.357210249869403,0.0135094696207385,0.309925416512878,-0.130497436503483,0.0277536146458567,0.287066831621527,-0.0276387482514038,-0.310493926928295,-0.113976908641217,-0.11379057649761,-0.255029740613436,-0.175059183405503,-0.113114603790481,-0.128138106287046,-0.128138106287046,-0.189239245106252
"TWIST1",-0.0588435760938906,0.0799821584069238,0.00381635766988686,0.0864800949272286,-0.0204195849994937,0.0683058619424628,0.0985792869296366,0.0981829318034104,0.0518258929685426,0.0688427318597868,-0.223705274722301,0.000386795849992584,0.253140840712776,-0.000286209566702755,-0.169366394722205,-0.0805682765600513,-0.0804111550265452,-0.238106367661543,-0.12301597925395,-0.071732084967973,-0.0800133788292757,-0.0800133788292757,-0.143717330240728
"SNAI1",-0.10028355656931,-0.10400242883256,0.12101663904639,-0.105066131171729,0.120549586146775,0.147403047461545,0.233189810002273,0.232994825928573,0.0583650346164378,0.26851940313444,-0.0897627333591496,-0.0418311579751315,0.147931026308516,0.0418606262771913,-0.269225006576109,0.102903924682308,0.10266991341056,-0.208609636286852,-0.12062625365443,0.100171063554173,0.103826465337844,0.103826465337844,-0.0416748126434043
"miR200a",0.0648767657512309,-0.117243104289626,-0.0593254262549623,-0.0770787318363323,0.0423960084456082,0.155473793880208,-0.0857633771494165,-0.0859146685294101,0.112855854862512,-0.204963732858211,0.13278867626266,-0.150853136133539,-0.23999711313572,0.150290687265254,0.204009830733005,0.081625616898906,0.0801221514643939,-0.207501162023485,0.169953393146209,0.116558184019218,0.116997367850327,0.116997367850327,-0.0509859739421394
"miR200c",0.0988434085616117,0.261707694002507,0.135182162537397,0.171073045115577,0.126373870175328,-0.0475140201710782,0.0171091998145302,0.0169705160495362,-0.0725772278706385,-0.0434225886840167,0.0615547981887994,-0.0227789371661515,-0.103985245571034,0.0222858001786049,0.0435335075357847,-0.184474374798873,-0.185124810199619,-0.171634528261823,-0.148222484430298,-0.232095745987529,-0.261467314215836,-0.261467314215836,-0.222904288407752
"miR200b",0.0988434085616117,0.261707694002507,0.135182162537397,0.171073045115577,0.126373870175328,-0.0475140201710782,0.0171091998145302,0.0169705160495362,-0.0725772278706385,-0.0434225886840167,0.0615547981887994,-0.0227789371661515,-0.103985245571034,0.0222858001786049,0.0435335075357847,-0.184474374798873,-0.185124810199619,-0.171634528261823,-0.148222484430298,-0.232095745987529,-0.261467314215836,-0.261467314215836,-0.222904288407752
"TGFbeta",-0.0143926604257608,-0.128782641494422,0.0148200525730623,-0.123773830957269,0.0250426394166903,0.143150572902341,0.11848639928865,0.117866640406016,0.15566465935386,0.167065883784511,-0.0789168980236182,-0.146688848266064,0.209796256076979,0.0470446212142883,-0.168036999887341,0.123165758018706,0.123615471837185,-0.163774064290884,-0.0901362810832297,0.122503788105419,0.128528241821041,0.128528241821041,-0.011531933083851
"OVOL2",-0.0957138854482897,-0.103370463233861,0.0497679098162554,-0.124200022063565,0.0561658192551065,0.123583215616738,0.0732261319024512,0.0731680070326838,0.051923627458305,0.0554825185576814,-0.0584658702999514,-0.0420548847279835,0.0872257514756553,0.0421244669590241,-0.0556839429156413,0.0526425837232455,0.0526544680348738,-0.0578257194025843,0.0726084342687238,0.0591762930711301,0.103192068676186,0.103192068676186,0.0808417308349126
"CDH1",-0.00274872361310715,0.0237275403108649,-0.00214414695763306,0.0274247966515432,0.00432809068483589,-0.000166647969839568,0.00660389018994508,0.006852992451276,-0.0024232867778941,0.082336417404428,0.0126710949654309,0.00606005787805497,0.00915732110355602,-0.00605392002180357,-0.0822248636195674,-0.0249494766631131,-0.0250008377314233,-0.0238541542412351,-0.0169117092684537,-0.0215117320641945,-0.023722727296474,-0.023722727296474,-0.0237323517169159
"CLDN7",0.097064615531664,0.023722727296474,-0.00190551697447753,0.0273432476872151,0.00420343244744051,-0.000228215173627013,0.006852992451276,0.0066592806348552,-0.0025756378657992,0.0813683631933922,0.0122947283963408,0.00605392002180357,0.00923535946557187,-0.00598141684978979,-0.082336417404428,-0.0250008377314233,-0.0252898550724638,-0.0238452477372605,-0.0168322390697782,-0.0213721352716743,-0.0236020382718607,-0.0236020382718607,-0.0235306660493363
"SNAI2",-0.00280559487258997,0.023761305044372,-0.00203229433284983,0.0274318536722707,-0.0956400187473084,-0.000165715499352259,0.00666007970817199,0.00660389018994508,-0.00246103541071605,0.0822248636195674,0.0126825521981273,0.00604497654658885,0.00916400002976279,-0.00606005787805497,-0.0821137827345475,-0.0250552795442069,-0.0249494766631131,-0.0238336974360171,-0.0168932501438776,-0.0215217150930455,-0.0237275403108649,-0.0237275403108649,-0.0237388790103271
