"","miR200c","SNAI2","TWIST2","OVOL2","GRHL2","miR141","CLDN7","SNAI1","TWIST1","FOXC2","TCF3","ZEB1","miR34a","miR205","NP63","GSC","TGFbeta","KLF8","miR101","CDH1","miR200b","miR200a","ZEB2"
"miR205",0.134813005953388,0.00354664447148738,-0.0795477538281823,0.136585693877285,0.0201036423299812,0.00392857338712275,0.00392857338712275,0.0988848926345001,0.0904846128198949,-0.099662314586483,-0.0904145992290214,-0.00396521889463198,-0.00831901957764948,-0.11040231551693,-0.110521233364516,-0.00101453154928208,-0.00116212716902498,-0.0219433071633057,-0.0220872460831379,-0.11813664975281,-0.126841061799883,-0.139763732001626,-0.290858734710258
"miR200c",0.133181239287818,0.0711320377390942,-0.0225750993037496,0.128785597947134,0.00811210087190538,-0.00623944366779901,-0.00623944366779901,0.141790310697591,0.126999834056591,0.0162677720278348,-0.126998355138568,0.00621556192483352,-0.102768281021334,-0.101322957198444,-0.101312294323022,-0.108824446534439,-0.108988068023395,-0.0944198992732188,-0.0944901416996444,-0.145952991298202,-0.118212856778054,-0.126182159363647,-0.270784433673957
"GSC",0.0529349706511557,-0.0150475494919729,-0.0697226808269394,0.170797658572798,0.144721283464224,0.12773800146894,0.12773800146894,0.156044764383899,0.0541622922424554,-0.199061365603488,-0.0539658317262275,-0.127761168889754,-0.129427012566856,-0.159899009981787,-0.159939240637546,0.0313835207627312,0.0312900062679845,-0.108404654738132,-0.108543987499844,-0.0922362415999183,-0.0354923938278698,-0.183297348477219,-0.262436069063917
"SNAI1",0.0558338672887793,-0.125134770579796,-0.15321921764318,0.0879656012098025,0.0646245475654666,0.0600731970875906,0.0600731970875906,0.252701200575461,0.346003263224295,-0.145854189080045,-0.345656337274336,-0.060082385177047,-0.223559326380687,-0.0779248728134449,-0.077866063698032,0.017551011023029,0.017448164697297,-0.143352508895578,-0.143540629529885,-0.198464288917752,0.00373505827381202,-0.108197493616104,-0.17894973723462
"TWIST2",0.0271802678423524,-0.0488880050062577,-0.0494870777431831,0.124954363998124,0.079662176137721,0.0711108633102736,0.0711108633102736,-0.233960920834152,-0.27514016121633,0.0311556009833106,0.274919310013047,-0.071115921354016,0.0669786591157028,-0.108341706430161,-0.108391344415201,0.02265325867805,0.0226562604272512,0.11072087708009,0.11078257704446,0.138283673465808,-0.00262945403914319,-0.0989008866083902,-0.124677033069459
"SNAI2",0.0492292200258479,-0.0447513252143735,0.0596858979876849,0.0333301475307384,0.0119501642618874,0.0104763418391449,0.0104763418391449,-0.129808745748835,-0.161220691895008,0.0448384396174944,0.161091475355291,-0.0104957094274003,0.0406541494420065,-0.0257040148375272,-0.0257881145635249,-0.0114910871025647,-0.0115285749836377,0.0165069766511575,0.016485472020725,-0.00736692457599531,-0.0515669696156958,-0.0609679198942493,-0.113565270157005
"KLF8",0.0489165875337695,0.0551074819510567,0.0593775991563538,0.0331325713157648,0.011864201300087,0.0104634384262083,0.0104634384262083,-0.129457581193985,-0.160746189830722,0.0447753790926943,0.158858484119203,-0.0104378377240176,0.0404364155104224,-0.025036231884058,-0.0252674457568903,-0.0112381893277689,-0.0115463278088274,0.0157828110833793,0.0163937483505526,-0.107391606287272,-0.0512645237050873,-0.0606402509171602,-0.113221122350222
"CLDN7",0.0489165875337695,0.0551074819510567,0.0593775991563538,0.0331325713157648,0.011864201300087,0.0104634384262083,0.0104634384262083,-0.129457581193985,-0.160746189830722,0.0447753790926943,0.158858484119203,-0.0104378377240176,0.0404364155104224,-0.025036231884058,-0.0252674457568903,-0.0112381893277689,-0.0115463278088274,0.0157828110833793,0.0163937483505526,-0.107391606287272,-0.0512645237050873,-0.0606402509171602,-0.113221122350222
"NP63",0.0229457014421898,-0.0159275022318563,-0.0215273100701194,-0.151683303478049,-0.149203229450108,0.0070995198981301,0.0070995198981301,0.131592987553757,0.160646927978009,-0.0359295854635158,-0.160420292726129,-0.00708153788692697,-0.0389442642805013,0.350627447433154,0.250670439694547,-0.0197220661381738,-0.0198110721803148,-0.0268222180008174,-0.0269538041623394,0.0116757238802238,0.0621581755021844,-0.0313872337935068,-0.0840458761834409
"ZEB1",0.0151018919863507,0.0392528606485716,0.101895268563764,-0.12092476700062,-0.0118967506281825,0.00987897376671966,0.00987897376671966,-0.084624495333078,-0.0777507133060635,0.103776320577937,0.0777549198598744,-0.109897424236298,-0.00551113772694652,0.0976573409127657,0.0976458453385617,-0.0466444697425216,-0.0466867764409297,-0.00846894425598818,-0.00850274417516228,0.0433987780707226,-0.018457910382953,-0.0285396367335568,-0.0628000946885341
