"","ZEB2","miR101","TWIST2","TCF3","miR200c","miR200a","ZEB1","miR200b","TGFbeta","GSC","NP63","miR205","GRHL2","miR141","CLDN7","CDH1","TWIST1","FOXC2","OVOL2","miR34a","SNAI1","SNAI2","KLF8"
"GSC",-0.127668847068932,0.048106160558356,-0.0501899099399977,0.210417621801286,0.110657746236245,0.110657746236245,-0.0978316135501891,0.0861989171302835,-0.0456493740238647,-0.0456518188472568,0,0,0.09796735491231,0.0978180992213806,0.0978180992213806,-0.00894526868410992,-0.210500678279692,-0.0536926792737171,0.0983078031077057,-0.000316559616164213,-0.0944907181592558,0.100093022107624,-0.0480613402294138
"miR101",-0.117062172839721,0.107618279693519,-0.10130802078349,0.268410141636933,0.0592797697532486,0.0592797697532486,-0.00377613741497215,0.0233328678806307,-0.00302720802248083,-0.00297438624984921,0,0,0.00343868946336232,0.00374284912519924,0.00374284912519924,-0.0082067498119195,-0.268513804764504,-0.11090894498441,-0.0491310272226533,-0.0726149069907261,-0.241613219359916,0.109392688107709,-0.20756378305636
"NP63",-0.109187730291602,0.0515558841487529,-0.0312085486734338,0.0320529208668399,-0.0292967799906254,-0.0292967799906254,0.0995897567518758,0.0563106465266295,-0.074109914113447,-0.0741612637531437,0.257988251503474,-0.357896892948014,-0.222186948606142,-0.0995595605443837,-0.0995595605443837,-0.124673493838162,-0.0319654082448271,-0.0976712205991986,0.0929524469452096,-0.136788834198195,-0.155370270284776,-0.0101364096134158,-0.0514599359059764
"TWIST2",-0.0864716608310438,0.0198994700667377,-0.155241494685919,0.129735703503213,0.0139376701449506,0.0139376701449506,0.0570463097667323,-0.0304762095244016,0.0235582480716536,0.0235372358272457,0,0,-0.0578347547070054,-0.0570558877644573,-0.0570558877644573,0.131556510053297,-0.129792697362125,-0.110806331297994,-0.0735756017374102,-0.114832390630136,-0.208659164233022,0.124296018144095,-0.0198881728901628
"ZEB2",-0.0862339336916202,-0.0851209623766083,-0.0599644717226165,-0.00975907450049165,-0.00766292560662667,-0.00766292560662667,-0.00176647880947541,-0.00103905372323911,-0.00087797295983613,-0.000789912807978554,0,0,0.00147509238821173,0.00171811614348959,0.00171811614348959,0.00266478649648723,0.00959507885205935,0.0102158297964264,0.0183136907006312,0.0253132084948253,0.0425257109621747,0.0506941971901222,0.0851617312172817
"CLDN7",-0.0330248225451234,0.0474955349153127,-0.0158379964852701,0.0282470214219925,0.0161903230374123,0.0161903230374123,-0.000143269868825477,0.00621593581000893,-0.0014759633317748,-0.00174785022682646,0,0,0.000451078124631059,0.000483393483644627,0.000483393483644627,-0.100253693374932,-0.026262510289369,-0.0827645142840112,-0.0136299468260029,-0.0551642009364899,-0.141773821020571,0.0108310122712227,-0.0482554812720405
"TWIST1",-0.0150293165445637,0.0637463040980378,-0.00497184418117569,0.0778387126524759,-0.0270346768456796,-0.0270346768456796,0.0550581835397965,-0.0256044022850692,0.0206643406460697,0.0206853352908685,0,0,-0.0561277650636572,-0.0550760766672314,-0.0550760766672314,0.109548141311551,-0.177944098782354,-0.229688308736192,-0.0726656363339784,-0.103589890208204,-0.251121281324463,0.00486448592934234,-0.0636586677887214
"OVOL2",-0.00414767557365586,-0.0698715720261674,-0.109722611420312,0.030573988970643,-0.104994283592034,-0.104994283592034,0.110907114606641,-0.0898483036065441,-0.172513504378317,-0.172507992914473,0.300276143134155,-0.300216721576014,-0.157926856975754,-0.110901000550971,-0.110901000550971,-0.140720475358745,-0.0305829811294805,0.0172927874422104,0.144699844776377,-0.139758865280372,-0.0962940660487978,0.0823561347753501,0.0698430579391117
"miR200c",-0.00406946458679243,0.0200102914598508,-0.084277902040708,0.0548915125253011,0.00279344752764756,0.00279344752764756,-0.00163839080384927,-0.0298779090569912,-0.0852364108401565,-0.0851693714800983,0,0,0.00177554131928299,0.00158683302230695,0.00158683302230695,-0.0131490434995315,-0.0550615880980121,-0.00912316542859445,-0.0677369531615524,-0.101238885136677,-0.118520009798997,0.0792916428987751,-0.0199382479455682
"ZEB1",-0.00218377759442668,0.035283462234805,-0.0533802549615666,0.0853137932284516,0.00326828346282947,0.00326828346282947,-0.103538682889999,0.00681084057333637,0.0146415509305313,0.0146179963903366,0,0,0.00291680589715803,0.0035447724538503,0.0035447724538503,-0.0167285452953147,-0.0852939623319149,-0.0858987819049181,-0.0654453683517229,0.003560576782846,-0.0609282072580421,-0.0287572655735926,-0.0353084447837598
