"","miR101","KLF8","SNAI2","TWIST2","ZEB2","TCF3","miR34a","miR200c","ZEB1","miR141","CLDN7","GRHL2","miR200a","GSC","NP63","miR205","TGFbeta","miR200b","FOXC2","CDH1","OVOL2","TWIST1","SNAI1"
"TWIST2",0.0711459548988695,0.0706471411024099,-0.0180147029565955,-0.0573316834736403,-0.116266381210986,0.0424824083343947,0.0390155200530652,0.0298566012520278,-0.0601992809170017,-0.0600678793976514,-0.0600678793976514,-0.0607469878609455,0.088883864297577,0.0308838686064897,0,0,-0.0310516936754617,0.0158430818221493,-0.0796685842908269,-0.0981111587702647,-0.0752183601962881,-0.042961156749253,-0.148175694803089
"NP63",-0.0187435358650313,-0.0195549838610838,-0.0047510088749221,0.000874314290945735,-0.0965320259130527,0.0377526651105657,-0.0152659864564508,0.0313222706894087,-0.000987941388795232,-0.000857317345149837,-0.000857317345149837,0.155370280874084,0.0324225709064772,0.124680512162192,0.257988251503474,-0.357896892948014,-0.124952665252584,0.100060666753571,0.0762704216558477,0.0476983562787094,-0.159881740916733,-0.0387781335274848,0.0541696544322448
"ZEB2",-0.174633207181417,-0.173908317307005,-0.129386701911983,-0.126039376881932,-0.0833430272964938,-0.0776788720745238,-0.0218841524916506,-0.016713634360574,-0.00906705929977017,-0.00854488980458311,-0.00854488980458311,-0.0073351788196777,-0.00124530147143808,-0.000969942257280908,0,0,0.000689750865006801,0.011501049985158,0.0213075603719731,0.0242922482727438,0.0418886281444089,0.0788723057537093,0.151896279158213
"GSC",0.204731984165753,0.204286703941262,-0.0119116164372099,-0.0845776165428032,-0.0679330103172446,0.443589996627798,0.188141511040251,0.0936571581865252,0.112945675033762,0.112881481971922,0.112881481971922,0.111128890108276,-0.0212966169734627,0.0433103892754701,0,0,-0.0434356864743137,0.0968403247837678,0.00119906087607857,0.0443498343661729,0.106967972726183,-0.444851816203571,-0.388784841027794
"GRHL2",0.0518644878765199,0.0520607993338904,0.0389851618745852,0.0412874392143307,-0.0285967764340488,0.0318571070964265,0.0263613698843662,0.0166946861888496,0.0108099056664779,0.0107136105185742,0.0107136105185742,0.129384079271035,0.00148283065882668,0.133138477907932,0.306281053357567,-0.306185595419806,-0.133272072147304,-0.051173942851633,0.00904843979655979,-0.0999884900342103,-0.216994436727372,-0.0325507888121326,-0.0610559052371918
"TWIST1",-0.0924645363605361,-0.0914826113493325,0.0551007696315206,0.135786088148734,-0.0141282401801036,-0.356071590172262,-0.138973677162452,-0.0263870092526167,-0.0879316250313033,-0.0878784392525142,-0.0878784392525142,-0.0859586526642127,0.0583053091511514,0.000264686163604331,0,0,-0.000249331871139529,-0.0273687107512319,0.0240136809407632,0.01114040093152,-0.0943584651805774,0.256922031731977,0.286451483288264
"miR200b",0.177457094138958,0.177284189704679,0.145678844914093,0.0964658781277949,-0.0122853042081717,0.14274715126344,0.051766483103798,0.0168918721783867,0.019847087423511,0.019859363085783,0.019859363085783,0.0175410893945619,-0.00599321983762454,0.102291153464972,0,0,-0.102577491070644,-0.0259244903410643,-0.023794305755537,-0.0647574766436539,-0.0535205969828105,-0.144112192599199,-0.235208294457061
"CLDN7",0.0579032582464707,0.0544611482777626,0.0301046841875445,0.00971910039451371,-0.00524497474557346,-0.0121227382119619,0.0544345944155621,0.0176075309288568,0.0277455135910742,0.0284147890912022,0.0284147890912022,0.0278310749041538,-0.0115570234505957,-0.000764426716894725,0,0,-0.000250617691298134,-0.00185607117820737,-0.0874079838319385,-0.17274066705644,0.0314694327407964,0.00844413221002575,-0.101915534665513
"SNAI2",0.0571807625296212,0.057052428444782,-0.0697752429100267,0.00872989535363322,-0.00480809058631995,-0.00967122384349188,0.0543560795071449,0.0176999351254665,0.0281271530997217,0.0282380453970776,0.0282380453970776,0.0276748040491474,-0.0112601355612557,-0.000365213885926327,0,0,5.28148769852524e-05,-0.00143271322243774,-0.0867760046377577,-0.0728120422257275,0.0313525489220715,0.00857401673431524,-0.102865868642996
"miR200c",0.131858910018257,0.131635575123981,0.103848787113533,0.0645837813074999,-0.00300611104518074,0.112166493389037,0.0487370481922644,0.0181983559305841,0.0301741401948199,0.0299877733221453,0.0299877733221453,0.025135241218339,-0.0148005620538181,0.0839950066347937,0,0,-0.0839506924815349,-0.0459963600085415,-0.015077064243805,0.0129455089055137,-0.0386898329614181,-0.112673762271123,-0.183746646435142
"miR200a",0.131858910018257,0.131635575123981,0.103848787113533,0.0645837813074999,-0.00300611104518074,0.112166493389037,0.0487370481922644,0.0181983559305841,0.0301741401948199,0.0299877733221453,0.0299877733221453,0.025135241218339,-0.0148005620538181,0.0839950066347937,0,0,-0.0839506924815349,-0.0459963600085415,-0.015077064243805,0.0129455089055137,-0.0386898329614181,-0.112673762271123,-0.183746646435142
"miR141",0.113570972862379,0.112524540817424,0.0422368667564626,-0.0622539710778445,-0.00274480716995573,0.200331178758301,0.160413633582006,0.0204219913908687,0.0333407769460163,0.0330789705488339,0.0330789705488339,0.0291478164193641,-0.0173927639021283,0.0924463211770902,0,0,-0.0923645104326124,-0.00695214051599718,-0.037029342720657,0.0933303661112148,0.0892837855755272,-0.201660726061494,-0.254890264523291
"FOXC2",0.0237793779254391,0.0245616041034854,0.0656831674187738,0.129974576592022,-0.000390272066886397,-0.109425984078022,-0.0144935857382403,-0.00549433107411795,-0.00901589235648258,-0.00894404991673033,-0.00894404991673033,-0.00791200570741136,0.00598805042356101,-0.00703914863466798,0,0,0.00700332618376102,-0.00517271346057684,0.0802987389157901,-0.0796476467797292,-0.0653603622988816,0.110208994443052,0.104044571964279
