"","miR200a","SNAI2","KLF8","CDH1","NP63","miR205","ZEB1","TGFbeta","GSC","TWIST1","TCF3","SNAI1","FOXC2","miR141","CLDN7","GRHL2","miR34a","miR200c","OVOL2","ZEB2","miR101","TWIST2","miR200b"
"TWIST2",0.0257041340720333,0.0808990867106339,-0.0244892866444877,-0.0628211661804635,-0.153628753690927,-0.153767397718108,-0.121585688496939,-0.0391731187577419,-0.0392672645281409,-0.202221498124524,0.202287041062273,0.13538417659408,0.162725530265218,0.121625399521215,0.121625399521215,0.135175083952267,0.120721648254407,-0.145569585605993,0.165310784361746,-0.177951687684687,0.0245336063372045,-0.0476771098277316,-0.122885935846537
"GRHL2",0.0163032633862871,-0.0569263598265527,-0.0654471804093899,-0.059385664598807,-0.336328905743954,-0.336174437444667,-0.00436506142328066,-0.149829324154523,-0.149916354426645,-0.0402229575938738,0.0402200672533917,0.112573001633195,0.128017483834619,0.00436921019382526,0.00436921019382526,0.100698361962691,0.0208827371856214,-0.0214813497627102,0.251476295276238,-0.0631212044927335,0.0658019495453554,0.0652999573620144,-0.0439200195229078
"FOXC2",0.0131840547068521,-0.0622397323536511,-0.0780693913672316,0.0125178398514761,-0.121665750677963,-0.121421782122799,-0.00896750637485941,-0.0421724438453425,-0.0422386611030796,-0.107084522429884,0.107135220942728,0.127589888802823,0.147336187256899,0.00902319489324725,0.00902319489324725,0.0304949175600896,0.0253407536089916,-0.0245270615402826,0.147224351263773,-0.0555356864674733,0.0784647835928962,0.12688866184285,-0.000651320636159402
"miR34a",-0.127847004735562,-0.153260446781069,-0.153636689886893,0.0111537429756062,-0.206252333168878,-0.205682764413792,-0.168155011954039,-0.0632877427554657,-0.063135687291425,-0.193894282028003,0.19372185873275,0.157873976792714,0.221814410114311,0.168166196491773,0.168166196491773,0.184698985151321,0.161366720105796,-0.153078634797228,0.219836961826259,-0.0305267714853076,0.153688549137046,0.291858213265846,-0.0167434977451571
"TCF3",0.0681483869440072,0.140263424018794,0.171620737348527,-0.000845356297992958,0.141123188405797,0.141123188405797,0.107354969524417,-0.146073922769742,-0.145258262084588,0.142624537857443,-0.141511275514752,-0.0220732258787586,-0.0548637215399587,-0.107036789368618,-0.107036789368618,-0.119554859538612,-0.0700952414605256,0.038363289384592,-0.155977839635533,-0.0277111163286785,-0.172052863708235,-0.172325378861189,-0.153259306374576
"CDH1",0.0683882867380756,0.139956492392266,0.172052863708235,-0.100715546464661,0.142278812442777,0.141123188405797,0.107396682315805,-0.145576756413379,-0.146073922769742,0.143001695891972,-0.142624537857443,-0.0221266205475063,-0.0547502141619791,-0.107354969524417,-0.107354969524417,-0.119837299560687,-0.0702753739108567,0.0384927928132483,-0.156599941734836,-0.0275552525091243,-0.171570834657088,-0.172156934167197,-0.152976791250403
"SNAI2",0.068347258036634,0.0400119050810936,0.171570834657088,-0.100656622091118,0.14275899474928,0.142278812442777,0.107324867984132,-0.145319511988085,-0.145576756413379,0.143078772424434,-0.143001695891972,-0.0222900316086986,-0.0547591253429652,-0.107396682315805,-0.107396682315805,-0.120002732610218,-0.0703203680270107,0.03858230998003,-0.156804595335933,-0.0274425022105977,-0.171385617356266,-0.171988029196887,-0.152820311875029
"TGFbeta",0.0408059394340959,0.215582627516905,0.164395851790011,-0.0151772719854104,0.0665354567216786,0.0658758764545758,0.0590950382988361,-0.0858864567851278,0.0139167603753784,0.0799491176814908,-0.0796723042129273,-0.117525983610405,-0.132840168782219,-0.0590238475608368,-0.0590238475608368,-0.0652056997611012,-0.141929185465144,0.0260444925223748,-0.0674558391313956,-0.0167023603574548,-0.164391004513834,-0.225185863220251,-0.120078401232922
"OVOL2",0.070425326285938,-0.172852352253014,-0.176257045717698,-0.113157259432033,-0.24592826281713,-0.245721907951585,0.0679456996717715,-0.156445300479241,-0.156461834870776,-0.0529401958056706,0.0527010043805932,0.0999968881905968,0.1199327950745,-0.0680145846989926,-0.0680145846989926,0.0654708687550102,-0.0441202486752474,0.0903668823734122,0.137151404040531,0.0263597726123104,0.176254852326386,0.156458287991032,0.141261737159469
"KLF8",-0.0681483869440072,-0.140263424018794,-0.171620737348527,0.000845356297992958,-0.141123188405797,-0.141123188405797,-0.107354969524417,0.146073922769742,0.145258262084588,-0.142624537857443,0.141511275514752,0.0220732258787586,0.0548637215399587,0.107036789368618,0.107036789368618,0.119554859538612,0.0700952414605256,-0.038363289384592,0.155977839635533,0.0277111163286785,0.172052863708235,0.172325378861189,0.153259306374576
"CLDN7",-0.0681483869440072,-0.140263424018794,-0.171620737348527,0.000845356297992958,-0.141123188405797,-0.141123188405797,-0.107354969524417,0.146073922769742,0.145258262084588,-0.142624537857443,0.141511275514752,0.0220732258787586,0.0548637215399587,0.107036789368618,0.107036789368618,0.119554859538612,0.0700952414605256,-0.038363289384592,0.155977839635533,0.0277111163286785,0.172052863708235,0.172325378861189,0.153259306374576
"ZEB1",-0.0132606993526055,0.0622333819833526,0.0784647835928962,-0.012528174869236,0.121677246252167,0.121665750677963,-0.0909667808689586,0.042111384988721,0.0421724438453425,0.107188484402638,-0.107084522429884,-0.127559200052847,-0.147363888649401,-0.00896750637485941,-0.00896750637485941,-0.0304726323012218,-0.0253120127051819,0.0245389290983347,-0.147193637174552,0.055526347490369,-0.0785573659801992,-0.126988852682544,0.000622765378315683
"GSC",-0.0608528804904702,0.0860159550617154,0.0965031749978766,0.0138141460130973,-0.0878334564155195,-0.0876016512085232,-0.0576578235551043,-0.041972960189583,-0.0418812793123803,-0.0660472716164963,0.0661447032546256,-0.0169542869334991,-0.0560614814850522,0.0576730271750138,0.0576730271750138,0.0646009581352374,0.00316035647815661,0.00872802711487563,0.102417427095574,0.0643423496355271,-0.096395995950406,-0.0392890666284751,-0.0111787707715062
"SNAI1",-0.126916663793903,-0.133425580155335,-0.147878009734171,-0.048700639494917,-0.175474153368713,-0.175052688041587,-0.148703235618391,-0.0561707278271028,-0.05605890440273,-0.0845426832079689,0.0844389630785998,-0.0327163711213608,0.165865178479205,0.148712423707847,0.148712423707847,0.161640409341657,0.156005317767206,-0.0309365309085145,0.185979734163739,0.0950945284075723,0.147939468714201,0.14173353199263,0.0230641366946399
"miR101",-0.0556533077324638,0.0813315143924725,-0.0100794854831851,-0.0207109566480617,-0.0704961322344676,-0.0702389413883622,-0.00443304097324542,-0.0337169867107682,-0.0336532652072761,0.023692188551916,-0.0236278082937403,-0.00617509728896606,-0.0885679806241727,0.0044498499116456,0.0044498499116456,0.0115942896505096,-0.0302553427587793,0.050458450368272,0.0966861744231609,0.107314193164163,-0.0897078447132686,-0.0275555885266289,0.0260410258679784
"TWIST1",-0.0136661852244008,-0.120711425725499,-0.0258946408469129,-0.122516069159119,0.141617307538357,0.141821565531915,0.109203838218566,0.0440908290693514,0.0441889085293817,0.032340028528337,-0.132438879084269,-0.0475486755625275,-0.227974255763794,-0.109267883274695,-0.109267883274695,-0.124003772021365,-0.0939240482888672,0.125595170319915,-0.152894752899752,0.146963281556556,0.0258229384120177,0.0732467197052735,0.12482376616178
"NP63",-0.106151528470313,-0.166448907267226,-0.177715729076599,0.104644360277658,0.1885514762296,0.289314588869325,-0.0793180113293145,0.07236767711785,0.0726398302082425,-0.140475851390714,0.140096630028658,0.00453381216349978,0.0337806811875725,0.0792545653652581,0.0792545653652581,-0.0797127561134529,0.0616651670662791,0.0112381977067512,-0.0917481137505557,0.16316522258855,0.177586884293442,0.191658259816144,0.124600085104254
"ZEB2",-0.311048458240351,-0.217969233258276,-0.205835077721218,-0.202030642351961,-0.177126515920135,-0.175794008947715,-0.128260457460929,-0.122220617124946,-0.121957668279889,-0.0709102062277989,0.070187651143122,0.0879098412648231,0.0956647032109016,0.128151702836402,0.128151702836402,0.144229801089968,0.145722130929331,0.193783675662813,0.194354073588134,0.194355168230911,0.206400869680807,0.229628724255332,0.237679629842998
"miR200b",-0.10829352803876,0.0694838483987723,0.0615513062803862,-0.0647974713705358,-0.127894889427684,-0.127130716689102,-0.0132252648252316,0.035585751297214,0.0358709526425462,-0.0236346789799262,0.0235562963246768,-0.0442170586791165,-0.0489129932149781,0.0132308446717189,0.0132308446717189,0.0276338771575408,0.0256787674299118,0.0937443690992914,0.158801840226157,0.202335412923983,-0.061273938750398,0.00447236719884655,0.0369593357847563
"miR205",-0.130121074780999,-0.0994862034874709,-0.106853773768393,-0.0907537592980611,-0.156699092066411,-0.155470274308012,-0.0417020643965121,-0.0645480150183495,-0.0642813906730075,-0.124093496200283,0.123755783585482,0.143688459416037,0.160271465606841,0.0416710088816738,0.0416710088816738,0.0581234303511978,0.0560516765764991,0.0816268533329617,0.186702869717273,0.214388184726659,0.107458317231689,0.171071162535706,0.110317990606929
"miR200c",-0.136805979123115,-0.206659520746501,-0.191921054082216,-0.0549525116557388,-0.163154549377396,-0.162155793379529,-0.0530479992774413,-0.157992046854375,-0.157895464725477,-0.091227789896398,0.0908210874399152,0.165704271673085,0.170451046082491,0.0529977806590559,0.0529977806590559,0.0673965294062839,0.155036484811277,0.0757715948417866,0.192693163671469,0.214988779091959,0.192513611987191,0.193709112387351,0.109033390735964
