"","ZEB2","miR101","FOXC2","TCF3","TWIST1","miR200c","miR200a","miR34a","ZEB1","CLDN7","GSC","TGFbeta","miR141","GRHL2","miR200b","CDH1","SNAI1","miR205","NP63","OVOL2","SNAI2","TWIST2","KLF8"
"NP63",-0.0995169539864652,0.0636077023097752,0.0358750222268672,-0.0268756320164334,-0.0267073385125627,0.0304435491129979,0.0304435491129979,-0.0179016080980406,0.00467241410855405,0.00430497037019571,-0.0200732425729492,0.0202478313479179,-0.00430497037019571,0.151831323152511,0.0676014026699212,-0.109233729400438,-0.0741140608801587,0.353659901941093,0.253047262216244,0.15453019916631,-0.0583731235954858,-0.0452017504313128,-0.063983271145786
"ZEB2",-0.0857634165439634,-0.0754961356897475,-0.0242305517973406,-0.0149747550620448,-0.0146029233443122,-0.00633513303489039,-0.00633513303489039,-0.00576119358373648,-0.00314288857056483,-0.00306162947187799,-0.00104681718149746,0.00109300257582836,0.00306162947187799,0.00567735297737263,0.00615474084038398,0.0148615782564291,0.0196347962774528,0.0252163688872133,0.0255340013631972,0.0341989880938725,0.0482957310236304,0.0629226472016025,0.0756562279665381
"TGFbeta",-0.0455815426292071,0.0170199033455709,0.127216744855466,0.0791128915383229,0.0782642994297757,0.0222897399294649,0.0222897399294649,-0.0621069035412604,0.00718092390235268,0.0071869279404972,-0.195919133696592,0.0959221744910214,-0.0071869279404972,-0.00810686774565633,-0.0884332772086709,0.0967284625842622,-0.0416747426248947,-0.00832501619785846,-0.00832501619785846,-0.00837260841704593,0.0057380865333836,0.0152385619647685,-0.0174720849660846
"GRHL2",-0.0408457533609436,0.126543426087973,0.113641202217793,0.0107741406942558,0.0100284328498717,0.0223553300640724,0.0223553300640724,-0.029947100870464,-0.0104653340663745,-0.0109162399176694,-0.129132044870915,0.129341028390597,0.0109162399176694,0.105173044618872,0.101737838640421,-0.0746984307800908,-0.111990448352461,0.345422595520099,0.344403798984355,0.261959360762442,-0.108614510947439,-0.0948549172799599,-0.127188700968029
"CDH1",-0.0345183315288221,0.0431105508359393,0.0181521521082923,-0.0514398996010116,-0.0516258225757792,0.0313936095310569,0.0313936095310569,-0.0310145968704454,-0.026872325334678,-0.0276536380041362,0.000920633116045733,-0.000640337680564832,0.0276536380041362,0.0308811371844948,0.0113466842001697,-0.0808041136417299,-0.0537413905502292,0.0418101281729078,0.0404490598626869,0.0472540651927054,-0.0376877626343444,-0.0483998802203578,-0.04410372478696
"OVOL2",-0.0263032466165626,0.103009371035359,0.130094345067827,0.0583710023523815,0.0586839294799263,-0.101235801024994,-0.101235801024994,0.0787122965067359,0.116410959742391,0.11653392019532,-0.222828062432801,0.222728856083594,-0.11653392019532,0.019787682230032,-0.0260001393343653,-0.194668159275114,-0.101480290743064,0.19764152559603,0.19784355889371,0.087275939195027,-0.0830276185759544,-0.0719437305726093,-0.102799902165065
"miR200a",-0.0132963296513449,0.0177020186123136,-0.0933773805236922,-0.090677798580695,-0.0916317007059002,0.0156369598239984,0.0156369598239984,-0.0301149851448441,-0.0182614295092463,-0.0187870510483465,0.0962624323338806,-0.0960533604313263,0.0187870510483465,0.0333823022647419,0.0746869469162636,-0.0319490036496171,0.0167244092750558,0.138758246778378,0.137603101940987,0.171143952652424,-0.0886175705504684,-0.0746347741282446,-0.0186403853858448
"miR200b",-0.00833790165023945,0.0326173111756625,-0.0844793109175867,-0.0850477343485215,-0.0858241663108978,0.00946796939816697,0.00946796939816697,-0.02576124650926,-0.0120305205693108,-0.0124833809102171,0.0910087325510599,-0.0907303487677675,0.0124833809102171,0.0269947409295881,0.043649968310069,0.0266930119905397,0.0113601173908313,0.128301986631865,0.127459619473521,0.159044091891537,-0.107122595733724,-0.0878997470176993,-0.033317934352061
"miR141",-0.00833790165023945,0.0326173111756625,-0.0844793109175867,-0.0850477343485215,-0.0858241663108978,0.00946796939816697,0.00946796939816697,-0.02576124650926,-0.0120305205693108,-0.0124833809102171,0.0910087325510599,-0.0907303487677675,0.0124833809102171,0.0269947409295881,0.043649968310069,0.0266930119905397,0.0113601173908313,0.128301986631865,0.127459619473521,0.159044091891537,-0.107122595733724,-0.0878997470176993,-0.033317934352061
"TWIST1",-0.0036640813050391,0.134857041693135,0.248772589863332,0.120242978581332,0.0194578927610769,0.0356670522256985,0.0356670522256985,-0.089230330444318,-0.0904017000029918,-0.0908174375638747,0.0191947236154038,-0.019031466750625,0.0908174375638747,0.101436189137301,0.0886190321377431,0.0778252731725068,-0.0873351301004596,0.135305769337251,0.134508377554707,0.153742513203848,-0.143047722722665,-0.166432650345436,-0.135599958588021
