"","miR200c","miR200a","CDH1","TWIST2","KLF8","CLDN7","ZEB1","GSC","NP63","miR205","TCF3","TWIST1","FOXC2","SNAI1","OVOL2","SNAI2","ZEB2","miR34a","TGFbeta","miR141","GRHL2","miR101","miR200b"
"GSC",0.149131705900477,0.149131705900477,0.0846821626175044,0.0207607945338599,-0.0245934188460322,-0.102737184128356,-0.102634620025792,-0.0069719045430247,-0.0168385049551342,-0.016706318514781,-0.115397432105876,-0.114606798321057,-0.0425877182845153,0.0167765694243196,0.074597700535896,-0.0470672673651709,-0.215260142336772,0.0257965458121655,0.00732945996411497,0.102737184128356,0.108640666534338,0.0243722402662521,-0.0484035644514053
"miR200b",0.085395737014484,0.085395737014484,0.0829836419829619,0.0430755906198579,0.0243446068903581,0.028147726607083,0.0281024182536065,-0.0550793178642105,-0.0352335443595412,-0.0349705267657968,0.0151790982234235,0.0155118547787276,0.0712672594727255,0.0571593819169458,0.004741629639214,-0.115602844253542,-0.201710739774192,-0.0161954191122637,0.054952056706134,-0.028147726607083,-0.0210238075792606,-0.0248417071389082,-0.116375126866564
"miR141",0.085395737014484,0.085395737014484,0.0829836419829619,0.0430755906198579,0.0243446068903581,0.028147726607083,0.0281024182536065,-0.0550793178642105,-0.0352335443595412,-0.0349705267657968,0.0151790982234235,0.0155118547787276,0.0712672594727255,0.0571593819169458,0.004741629639214,-0.115602844253542,-0.201710739774192,-0.0161954191122637,0.054952056706134,-0.028147726607083,-0.0210238075792606,-0.0248417071389082,-0.116375126866564
"miR200c",0.0862890997648824,0.0862890997648824,0.0301375067408291,-0.0182007374166868,-0.00537655780608857,0.0118920705078334,0.0119467530034085,0.110024085631375,0.0437939513073788,0.0437726255565346,-0.022130045078442,-0.0218771500964109,-0.0894335872755024,-0.0734021504305383,-0.0231047377689205,0.0951819988353741,-0.184397596069225,-0.0115458854289902,-0.109754791930803,-0.0118920705078334,-0.0145598916742422,0.00552064483465382,-0.0673512407467337
"TWIST2",0.0938462940672438,0.0938462940672438,0.146547454375445,0.120904095165443,0.129098814469665,-0.0405173923424315,-0.0405896039882005,0.0244991290967065,-0.0150107886038849,-0.0146273779608162,-0.0596839983382086,-0.059228047466915,0.00206450413224263,-0.0705759754410731,0.0370443037191935,-0.158826352894459,-0.154238756878571,0.0530830809686634,-0.0244191734134402,0.0405173923424315,0.0435708219214548,-0.129784466186401,-0.0926943853794553
"SNAI1",0.0859098916471,0.0859098916471,-0.0174205897516588,0.00198148964137492,-0.0679573763400998,-0.0780991224122792,-0.0780626016869606,-0.0192136390341127,-0.00947126052798307,-0.00929605837164884,0.00747490007812786,0.00802313504765049,0.0648228414666894,-0.105934711658464,0.0687176317463177,0.0564373112840068,-0.0966311713082519,-0.00803228102839278,0.019440603506269,0.0780991224122792,0.0800301080470976,0.0675065731617034,0.0121539997335347
"TCF3",0.0154416219534887,0.0154416219534887,0.102701917740742,0.0360093608539926,0.0288458186396856,0.0100427934956356,0.0101488535475685,0.0119999876892016,0.00617575605260953,0.00681159420289855,-0.076171078824613,-0.0752998300346808,0.004624805504029,-0.0203541367817737,-0.0125331621063006,-0.0360795771483504,-0.0421398587546401,0.00295302523082754,-0.010749307971964,-0.0100427934956356,-0.00979160137118554,-0.029426954088948,-0.0298262248223372
"KLF8",0.0154416219534887,0.0154416219534887,0.102701917740742,0.0360093608539926,0.0288458186396856,0.0100427934956356,0.0101488535475685,0.0119999876892016,0.00617575605260953,0.00681159420289855,-0.076171078824613,-0.0752998300346808,0.004624805504029,-0.0203541367817737,-0.0125331621063006,-0.0360795771483504,-0.0421398587546401,0.00295302523082754,-0.010749307971964,-0.0100427934956356,-0.00979160137118554,-0.029426954088948,-0.0298262248223372
"CDH1",0.0154989431432218,0.0154989431432218,0.00210971959598004,0.036844565795037,0.029426954088948,0.0101488535475685,0.00980231651142272,0.010749307971964,0.00581622857443799,0.00617575605260953,-0.0752998300346808,-0.0755813705393288,0.00501312021816963,-0.0201035925668807,-0.0119902790009161,-0.0356322740612258,-0.0420819664788057,0.00261395238314543,-0.0113610476450208,-0.0101488535475685,-0.00981432643043301,-0.0297666389907629,-0.030253695350537
"GRHL2",-0.0173129645854218,-0.0173129645854218,-0.0578393520151186,-0.0671452689402089,-0.10590612580448,0.0197968329556551,0.0197376583863084,0.0920832986449406,-0.220362017466102,-0.220214491562289,0.0308215558509385,0.0312493262422906,-0.095685156649861,-0.0780720012310279,-0.0918630388511479,0.119868061693367,0.0128046113571671,-0.00794052518888232,-0.0918288598238959,-0.0197968329556551,0.088433991346637,0.10600560201382,-0.000459898322521679
