"","miR200c","miR200b","OVOL2","miR205","GRHL2","GSC","TWIST2","CDH1","KLF8","miR101","SNAI1","TCF3","TWIST1","FOXC2","SNAI2","TGFbeta","ZEB2","miR34a","NP63","miR141","CLDN7","ZEB1","miR200a"
"miR205",0.441122424481154,0.370016196340088,0.529172559419008,0.44940849237435,0.412492161555465,0.243392742734288,0.179307949566304,-0.0742501444645179,0.00307158937249103,0.00213661221497179,-0.0663369700031972,-0.000866661399273271,-0.00155856041496455,0.0393818592441079,0.0118901369259517,-0.252389727339906,-0.341147095712238,-0.445080911547717,-0.467394816821878,-0.514323063218206,-0.514323063218206,-0.523917353972358,-0.441122424481154
"miR200c",0.37946946828328,0.259750639118794,0.44833739098596,0.386147048189278,0.353305991204443,0.0927229228196848,0.0430196168603567,-0.0546226237113778,-0.019868319349359,-0.0204230544093352,-0.0585897773622744,0.0120914609954427,0.0115191197203196,0.0449694852174759,0.109973856354417,-0.0991007521079313,-0.321828887625619,-0.275771636631508,-0.398960270154801,-0.423589886843421,-0.423589886843421,-0.430452874828896,-0.37946946828328
"SNAI1",0.0391278307757665,0.0588327823432258,-0.0842515498677121,-0.0727335791526884,-0.0544407133528169,0.00409182724604368,0.0815195828351884,-0.0359872003823466,-0.00190726070505562,-0.00204920911070985,-0.0856959477458768,0.0330894918810563,0.0331707308001188,-0.101294840859686,-0.101985336485992,-0.00447608609873145,-0.134627772825598,-0.0307575826837413,0.0719666102725119,0.0569529912149655,0.0569529912149655,0.05657828702898,-0.0391278307757665
"FOXC2",0.431594457600423,0.348831976842382,0.506733615552369,0.424962318274046,0.380001637098643,0.257552407478384,0.145592033631088,-0.217460960488047,-0.0243834410347146,-0.0252923296573461,-0.0602870003420209,-0.00598137000004115,-0.00657848581797715,0.0365753058892007,0.0541741609835642,-0.265961999210996,-0.133656295407638,-0.424736935812719,-0.441701271920021,-0.492309865114363,-0.492309865114363,-0.501289319877006,-0.431594457600423
"TWIST1",0.189128556962995,0.129589395255352,0.272643297675703,0.234031779033558,0.199448271639486,0.10686340286541,0.0923804653578275,-0.0877008721061597,0.0198518395463972,0.0194236166713288,-0.0066833221628507,0.0722895858614786,-0.0277978274400482,-0.0256304138332922,-0.0255611660451965,-0.109589886513088,-0.128529451890003,-0.120994211651861,-0.239405335479469,-0.232445846560413,-0.232445846560413,-0.235288879408493,-0.189128556962995
"OVOL2",0.345105588045524,0.0979746943222123,0.443595175499868,0.438969362508978,0.143771768821382,0.349678962173109,-0.0817732356459147,-0.286778174581674,-0.152628853582476,-0.153093852540615,0.0796408653507988,-0.0593338278462673,-0.0596143832019971,-0.0992035525461562,0.156510936436769,-0.354210763319493,-0.120433847135287,-0.313406251863726,-0.448000358954489,-0.364452480019306,-0.364452480019306,-0.369309349976059,-0.345105588045524
"CLDN7",0.0318976724306392,-0.00411710345584368,-0.059236848688582,-0.0526086956521739,-0.0415041735372058,-0.0153748638117925,-0.0950656015485852,-0.183641877072854,-0.0494088672709919,-0.0496919845411454,0.00467694967990698,-0.0823940042190332,-0.0819583798240671,0.0331063957418806,0.080094799977034,0.0146317062986513,-0.113573431522029,0.0263193019921183,0.0517994470972606,0.0461740104827191,0.0461740104827191,0.0457899999498587,-0.0318976724306392
"SNAI2",0.0321916040224987,-0.00386055384534699,-0.0589851010374225,-0.0520048913705015,-0.041222822651952,-0.0148178879382773,-0.0949785661735556,-0.0835972387014993,-0.0491840747355746,-0.0493942651556086,0.00500657559614607,-0.0822292961587284,-0.0819776639498057,0.0334819221701845,-0.019930567105553,0.0146511315017805,-0.113430089005824,0.0261831210230173,0.0518014242914749,0.0457803739210769,0.0457803739210769,0.0457051316976778,-0.0321916040224987
"miR34a",-0.185819562139191,-0.148985286438815,-0.336718118406062,-0.297657147740717,-0.267579658647333,-0.144354939080583,-0.234103223523786,0.0233919625256543,-0.0581276135744891,-0.0576080607164682,0.026823897186437,-0.0779275382544637,-0.0778873848843362,-0.0347882781983049,0.0793467003474594,0.147279593184572,-0.0912526137178277,0.167492158879047,0.303403926176579,0.30718013354959,0.30718013354959,0.310226849221983,0.185819562139191
"TGFbeta",0.0101548709944851,-0.0942774820627076,-0.0268575129255981,-0.0246465758060935,-0.0216868716186814,-0.205566359860831,-0.13030520820781,-0.0108348231159019,-0.0425409839066855,-0.0425929190085821,-0.0235652236673473,0.0114349657429271,0.0115597587000664,0.0689240116147123,0.105072319871485,0.105565925461627,-0.0552425713562276,0.0743502174385994,0.0247228908783203,0.0243206481247874,0.0243206481247874,0.0243777722591338,-0.0101548709944851
"GRHL2",-0.132306701597571,-0.169942329462761,0.00103504600423705,0.0737434887310914,-0.156027799504107,0.0177071568210566,-0.104016931604528,-0.0276305377196899,-0.104794663876253,-0.104612437545869,0.0710092925822163,-0.0368384826789287,-0.0367026366762696,-0.0624611084187468,0.0937947327312247,-0.0163540301060891,-0.00604046303181496,0.136812863579638,-0.0710238053043249,0.156304276096511,0.156304276096511,0.157780583341356,0.132306701597571
"TWIST2",0.078677871667902,0.0999614617927899,0.257867774516016,0.223364297843972,0.189225661503673,0.0918114246483177,0.164464903010734,0.0427970466810465,0.0509881735527652,0.0507856933880002,0.00879275237932718,0.188994872826249,0.18881676701715,-0.0800044844046549,-0.130587081701404,-0.0937268135249267,0.0728527310934736,-0.143686431636405,-0.227254888878325,-0.217367016438668,-0.217367016438668,-0.219470409309839,-0.078677871667902
"CDH1",-0.0322522146041738,0.00380796386970615,0.0590667608486976,0.0517994470972606,0.0412541978854836,0.0146317062986513,0.0949462865570074,0.0835272275120277,0.0496919845411454,0.0491840747355746,-0.00523143277844068,0.0819583798240671,0.0822292961587284,-0.0338651029525861,-0.0801293690680765,-0.0148178879382773,0.113415341076481,-0.0263457920583435,-0.0520048913705015,-0.0457899999498587,-0.0457899999498587,-0.0457803739210769,0.0322522146041738
"TCF3",-0.0318976724306392,0.00411710345584368,0.059236848688582,0.0526086956521739,0.0415041735372058,0.0153748638117925,0.0950656015485852,0.183641877072854,0.0494088672709919,0.0496919845411454,-0.00467694967990698,0.0823940042190332,0.0819583798240671,-0.0331063957418806,-0.080094799977034,-0.0146317062986513,0.113573431522029,-0.0263193019921183,-0.0517994470972606,-0.0461740104827191,-0.0461740104827191,-0.0457899999498587,0.0318976724306392
"KLF8",-0.0318976724306392,0.00411710345584368,0.059236848688582,0.0526086956521739,0.0415041735372058,0.0153748638117925,0.0950656015485852,0.183641877072854,0.0494088672709919,0.0496919845411454,-0.00467694967990698,0.0823940042190332,0.0819583798240671,-0.0331063957418806,-0.080094799977034,-0.0146317062986513,0.113573431522029,-0.0263193019921183,-0.0517994470972606,-0.0461740104827191,-0.0461740104827191,-0.0457899999498587,0.0318976724306392
"ZEB1",-0.438288749305,-0.353198879417656,-0.516701806439098,-0.441701271920021,-0.386114219204713,-0.265961999210996,-0.147545755005134,0.2196816838305,0.0252923296573461,0.0259558367663509,0.060069346284496,0.00657848581797715,0.00692642791175927,-0.0349341672944045,-0.0548030872797287,0.271760303741472,0.13606751833407,0.431277631709497,0.453340540801501,0.501289319877006,0.501289319877006,0.407559116640085,0.438288749305
"miR200b",0.0524977743261908,0.0598176204155593,0.315155439148213,0.278805584764972,0.250834084608273,0.206008912812196,0.106311733720372,-0.165658867229728,-0.00520234722845699,-0.00560398982058264,0.0236832827527576,-0.0191385108394096,-0.0191932308062819,-0.06653908561897,-0.053903042581857,-0.20843369237769,0.202543021295775,-0.257145301730925,-0.283550564327794,-0.293200440983884,-0.293200440983884,-0.295766500786447,-0.0524977743261908
"GSC",-0.0569881742195602,-0.0671492284265831,0.123998150364413,0.105998294628501,0.0764551739851151,0.00952136380808932,-0.0456367816830114,-0.0512672237004772,0.0077882635238102,0.00774246883989095,-0.0269390636948702,-0.137088363643762,-0.136982945805786,-0.0319146783365894,0.101652300705983,-0.00919436867939993,0.211825492531737,-0.0157626557993272,-0.105226249187017,-0.0839957450403729,-0.0839957450403729,-0.083592728449121,0.0569881742195602
"NP63",-0.212030331239951,-0.0710400488166068,-0.0622791438046764,-0.0605678500893248,-0.0727045417267654,0.00249808106581874,-0.0345214667285688,0.100177052421133,0.00752065184407499,0.00787154827480036,0.0145248886664713,0.063429837901213,0.0636115948853934,-0.0352556919006882,-0.0164103578065593,0.001084412130354,0.244593093571179,0.166393723723823,-0.0321933278986374,0.192293804178415,0.192293804178415,0.196160615153549,0.212030331239951
"ZEB2",-0.471459628977094,-0.424004278956317,-0.412234475794737,-0.35191960265429,-0.329153121631093,-0.229187373766284,-0.206870086720946,-0.150202757299005,-0.106375719963207,-0.105491732173972,-0.0173968734187734,-0.0117388872731304,-0.0113248388538211,0.0556904252789307,0.119203110917855,0.236402763971285,0.25342549659748,0.311989342911475,0.366491960881745,0.386875682623881,0.386875682623881,0.394676801593584,0.471459628977094
"miR200a",-0.373499606681563,-0.322954902360549,-0.46179442950154,-0.399156973376569,-0.366905401077236,-0.314315961284011,-0.166838829787877,0.0501095185638627,-0.0193224117378883,-0.0185317341686365,-0.0286329174914898,0.0138683566921497,0.0142898483288683,0.0873328803484668,0.0927786264015644,0.320821051730334,0.284158091926409,0.368529735688471,0.412147909932461,0.44018488592064,0.44018488592064,0.447112600125367,0.373499606681563
"miR141",-0.373499606681563,-0.322954902360549,-0.46179442950154,-0.399156973376569,-0.366905401077236,-0.314315961284011,-0.166838829787877,0.0501095185638627,-0.0193224117378883,-0.0185317341686365,-0.0286329174914898,0.0138683566921497,0.0142898483288683,0.0873328803484668,0.0927786264015644,0.320821051730334,0.284158091926409,0.368529735688471,0.412147909932461,0.44018488592064,0.44018488592064,0.447112600125367,0.373499606681563
"miR101",-0.294777378536332,-0.259850466053172,-0.344429257402145,-0.286049809851254,-0.234953873903042,-0.154836909074687,-0.119789778107893,0.0548841310623369,0.110728225515545,0.0111283105834662,-0.00444473623241656,-0.0229112360099354,-0.0223972851353459,0.108535160843127,0.0845319011859813,0.159773648713654,0.287998805784422,0.207733334888065,0.296027764921587,0.286653385548037,0.286653385548037,0.292002583003625,0.294777378536332
