"","miR200c","miR200b","SNAI2","TWIST2","miR101","TCF3","TWIST1","OVOL2","miR34a","GSC","miR141","CLDN7","miR205","NP63","GRHL2","ZEB1","TGFbeta","SNAI1","FOXC2","KLF8","ZEB2","CDH1","miR200a"
"miR141",0.104139357056868,0.190123783438813,-0.145653348390949,-0.0489497328758586,-0.0138373932916025,-0.144364451587623,-0.143123639365844,0.201070060492556,0.0310268675655796,-0.112530173892927,0.0486305858086126,0.0486305858086126,0.0629726366084833,-0.0641810958229848,-0.0474330704909497,-0.0467988338037738,0.111365507044458,0.148598150393125,0.18531301081586,0.0125802339673706,-0.273464975520269,0.00930671755151903,-0.158698111487301
"miR101",0.148058575106563,0.000300313257634546,0.309181404736233,0.111273543509027,0.363755758368621,-0.204946004895458,-0.206308902225314,-0.141213669708879,-0.116477706126446,0.0395339764352324,-0.0400149294553274,-0.0400149294553274,-0.0362949453044883,0.0378249683991765,0.0387740461960384,0.0384470839657259,-0.0384498724350312,0.27555297174304,0.265916450824669,-0.460673375403472,-0.260236738671944,-0.244992411222641,-0.10146615283313
"TWIST1",0.0141203076566477,0.202004689253189,-0.179279427625665,-0.143074850381753,-0.0246669441637126,-0.128872684184331,-0.228911080681263,0.234557489683573,0.0341935200375087,-0.0353494041529303,0.18499232189585,0.18499232189585,0.0448050224902517,-0.0455002852760165,-0.184696790779536,-0.184799693123948,0.0352544582219745,0.215965715712221,0.146279526409556,0.0234669242463696,-0.25785607537755,0.150038369499288,-0.214246114179323
"miR205",0.0883286540833333,0.169238191577996,-0.113067452672441,0.016391398531215,-0.102331705958791,0.0729274565814974,0.0746983885859453,0.217296754199588,0.0607625596876595,-0.0228728941094102,0.0516558316434311,0.0516558316434311,0.0677618936740093,-0.0697042185179296,-0.0521708183005141,-0.0491943715373454,0.0212604516399609,-0.100851507069933,-0.0925788949549151,0.0995593171985427,-0.241865040733191,0.0542886798872243,-0.146902996483201
"miR200c",0.11259609442859,-0.00839060914555247,0.199229376651297,0.0944488607457151,0.0414420507933483,0.176163287832104,0.174904728594043,-0.178520025165116,-0.00937332983094162,0.148932361057053,-0.0298783309300029,-0.0298783309300029,-0.0581806969697124,0.0592043330102313,0.0306332551881127,0.028235400930293,-0.1479188168338,-0.171169805556226,-0.214144121895309,-0.0405054851076742,-0.190583207408003,-0.155202450114399,-0.0793337496234505
"miR200a",0.11259609442859,-0.00839060914555247,0.199229376651297,0.0944488607457151,0.0414420507933483,0.176163287832104,0.174904728594043,-0.178520025165116,-0.00937332983094162,0.148932361057053,-0.0298783309300029,-0.0298783309300029,-0.0581806969697124,0.0592043330102313,0.0306332551881127,0.028235400930293,-0.1479188168338,-0.171169805556226,-0.214144121895309,-0.0405054851076742,-0.190583207408003,-0.155202450114399,-0.0793337496234505
"miR200b",0.0680150538633008,0.118558532161848,-0.0117836162228026,0.0410258418294143,-0.112709549896276,0.186751999135757,0.188054925914526,0.202924704735198,0.167549910109521,0.0674575625761816,0.0498881669435737,0.0498881669435737,0.0627824407037268,-0.0643605462661935,-0.0484054956883939,-0.0481818498877685,-0.0686017767385305,-0.218573434924547,-0.215063957216966,0.109977299617108,-0.190103867258641,0.0682065178615558,-0.124001079572098
"SNAI1",0.0601685023244423,-0.0288120551796446,0.324478744911693,0.136373380749047,0.381076605486756,-0.227486760752917,-0.226369342413358,0.0868278743614996,-0.16425114531326,-0.0350146424220749,0.0583902656265016,0.0583902656265016,0.00952180973712784,-0.00952548530684115,-0.0606495665361417,-0.0568774737212856,0.0341061990704946,0.217103105269036,0.31716534286578,-0.379480231878552,-0.186385896712281,-0.263942077379894,-0.11048959826369
"TGFbeta",0.0808186423221668,0.115956922334962,0.0186619011619354,-0.0712983686659196,0.141541572452202,-0.216227120668222,-0.215889045202517,-0.0033210099474739,-0.169787371794231,0.00808907263951255,-0.00469183706060809,-0.00469183706060809,-0.000171253049067828,0.000413825957217188,0.0036024875382666,0.00533838619679855,-0.108468303144762,0.247308681492763,0.261786389497915,-0.140088082067121,-0.164981340618929,-0.102465538087881,-0.0752162357757382
"OVOL2",-0.129534023987941,0.247407988342598,-0.300176585658163,-0.230485723777698,-0.216048464322543,-0.182345742499898,-0.182083171461843,0.389223581721827,0.125281848280365,-0.273964227511083,0.195246914399484,0.195246914399484,0.263786039486168,-0.26520891570566,-0.22007939255449,-0.19463972073745,0.273610804892035,0.141228275047897,0.195558702778259,0.213436135269979,-0.0743870529400401,0.31260212706533,-0.187486364797323
