"","SNAI2","ZEB2","KLF8","FOXC2","SNAI1","TCF3","OVOL2","NP63","miR205","miR200c","miR200a","GSC","miR141","ZEB1","CLDN7","TGFbeta","GRHL2","miR200b","CDH1","miR34a","TWIST1","miR101","TWIST2"
"miR34a",-0.314188540231669,-0.112178868637263,-0.072815023501613,-0.223037013287411,-0.256845764277696,-0.160226534139316,-0.0780679972945299,-0.0759063816913664,-0.0759158429663678,0.123176036463231,0.123176036463231,-0.0595019321781095,-0.0635924278781573,-0.0636164627358401,0.0635924278781573,0.059583390462417,0.0708342778550827,0.130499290979635,0.132966150567044,0.135027136369051,0.16039108422474,0.0729494734094188,0.0937618446178813
"ZEB2",-0.0955089046195162,-0.0921357882125222,-0.0842916058675744,-0.0404824165220484,-0.0354586889134379,-0.0348503458187201,-0.0175107775037294,-0.0134239720203488,-0.012935902606032,-0.00446614936747796,-0.00446614936747796,-0.00273033880538709,-0.00210424490301821,-0.00201611192287145,0.00210424490301821,0.00278021903126446,0.00377602481693297,0.0160377822091003,0.0209805722022251,0.0238268095908806,0.0349591350112445,0.0842667468183833,0.0885736965225107
"miR101",-0.160820817218011,-0.0901344366918353,-0.0234500953354209,-0.25890236347858,-0.25061584017506,-0.243158158116213,0.0422915692793851,0.0283921394025359,0.028174314502263,0.0493816173467776,0.0493816173467776,-0.0209457305700065,-0.00594315226394326,-0.00592238828121362,0.00594315226394326,0.0210019061059798,0.00209523320607353,-0.0150500081770477,0.0329268519259297,0.119102361523267,0.243462600354027,-0.0762601420572473,0.0476423831337362
"GSC",0.024326775979251,-0.0273046706140375,-0.0897964429039429,-0.05110833560649,0.117692955046053,0.0109302917307459,-0.0579396121673007,-0.0521496134246799,-0.0520155112388142,0.0324918586798534,0.0324918586798534,-0.00870792784831616,-0.0387502771034012,-0.0388214686569457,0.0387502771034012,0.00867553393837123,0.0426659247238943,-0.00954087517351629,-0.012116076072322,-0.0477020392382855,-0.0111842528858699,0.0896181359431509,-0.00106267230724934
"FOXC2",-0.0579628211482737,-0.0268721678699339,-0.0189355865333766,-0.0946003490070868,-0.0952008717543389,-0.0128340374151563,-0.056350997528879,-0.047186875304886,-0.0466176153428367,0.00408725103008669,0.00408725103008669,-0.00959044816402829,0.00628286421441841,0.00628328931761221,-0.00628286421441841,0.00965015224887322,0.00581428443679199,-0.000921001216396935,0.0679370868845074,-0.00332565992011821,0.012732640389469,0.0187318996292464,-0.0300770880237516
"KLF8",-0.256966478803075,-0.0189905034520695,-0.234689521543464,-0.0310747266648595,-0.000570212812373713,-0.137936387675669,0.0269507016956627,0.0263931473569574,0.0270289855072464,-0.00167817995227952,-0.00167817995227952,-0.20588452471085,0.0224983448545272,0.0226994932288826,-0.0224983448545272,0.205975153675867,-0.0248057749278695,0.20528913567146,0.194228929166113,-0.0133017283270849,0.138323609360084,0.23470442245242,0.254365460088784
"CDH1",-0.257036664533373,-0.0189793703221013,-0.23470442245242,-0.0311523896076876,-0.000640036609966846,-0.138323609360084,0.0271021497722722,0.026316105754492,0.0263931473569574,-0.00173125512795835,-0.00173125512795835,-0.205975153675867,0.0226994932288826,0.0226834498475795,-0.0226994932288826,0.205993567244622,-0.0249129073500362,0.205154534224864,0.0941597604228048,-0.0134500726979458,0.138243928085183,0.234688246980905,0.25429527479962
"TWIST1",-0.324185792849846,-0.00919819422059635,-0.110115588075431,-0.38127110646437,-0.266592017171754,-0.369216936245776,-0.0794778280612712,-0.0771749826072148,-0.0771592704538641,0.0229781432263536,0.0229781432263536,-0.0374074690196898,-0.0652439600995265,-0.0652433430951322,0.0652439600995265,0.0374930143634222,0.0718487145196095,0.133060291719829,0.235433441921583,0.116298943461756,0.269425257665303,0.11025799707807,0.207759205720743
"miR205",-0.0691263037352769,-0.00798546276098111,-0.0311646400225074,-0.107607258622963,-0.106102430548877,-0.0198090527184804,-0.0611039068486379,-0.0505208099771352,-0.0501640564343743,0.00314863434530599,0.00314863434530599,-0.00399194153571058,0.0015379238446695,0.00157829601395932,-0.0015379238446695,0.0040649458207447,0.00710689343843174,0.00795060642977003,0.0571871190187633,0.00352604169546202,0.0198461187371782,0.0310832832417326,-0.0265590635592928
"miR141",-0.122910825677851,-0.00423614229809031,-0.109764415612486,0.12587855173164,0.0822160604278685,0.0776358874199648,-0.0496811515301697,-0.0368260848501083,-0.0360192606098382,-0.00921229017066578,-0.00921229017066578,-0.107391092263181,0.0198291324828425,0.0199659503187102,-0.0198291324828425,0.10744222397848,-0.00989859839143757,0.0596748954446416,0.0534064221139538,-0.0164276660752625,-0.0776225771577526,0.109508661136782,0.0480681227683989
