"","SNAI2","miR101","ZEB2","SNAI1","miR200b","OVOL2","NP63","miR205","CLDN7","miR34a","TGFbeta","miR200c","miR200a","GSC","CDH1","TWIST1","TCF3","miR141","GRHL2","ZEB1","FOXC2","KLF8","TWIST2"
"NP63",-0.333919489985787,-0.275228045565217,-0.11572425064599,-0.0674795073632357,-0.0938229466792814,0.145184116489768,0.282941347642069,0.378513144718595,0.083708677308411,0.104777133844018,-0.0956180261460412,0.0174865864018737,0.0174865864018737,0.0963677308856129,0.146820053502135,0.155239675392043,0.155048942754323,-0.083708677308411,-0.211397054312936,-0.0862115696979489,0.10041201588654,0.274696218162398,0.328244768503507
"SNAI1",-0.137651191284742,-0.211098188765683,-0.103802526468144,0.067489180444228,0.0284619798052334,0.11037398684806,0.114062742177295,0.115350416766856,0.113837405333526,-0.0808767411339516,0.00925052942875801,0.00629828799273271,0.00629828799273271,-0.0095301855668492,-0.0662433153109251,0.190749645128875,0.190708259264447,-0.113837405333526,-0.121126311138327,-0.113106141507961,-0.0619419839925091,0.211098500740201,0.0316597754993148
"ZEB2",-0.124084623899494,-0.100562480776986,-0.0845257015192115,-0.0388858625634951,-0.0338576254088331,-0.0305583191186356,-0.0286732131388276,-0.0257680380536092,-0.01658187170298,-0.0116348341989142,-0.00982612335442009,4.28372963630741e-05,4.28372963630741e-05,0.00925773510152118,0.0101680967054468,0.0106578489891714,0.0106822047785426,0.01658187170298,0.017849715812879,0.0181086098743803,0.038201510150703,0.100740471569194,0.107199327071926
"TWIST2",-0.174905301563488,-0.144176492687892,-0.060432911646763,0.0831524303332484,-0.0765587208291338,-0.106087615112383,-0.105501297875945,-0.107430332673884,-0.0995571943745464,-0.0998810961770419,-0.0240127507793756,-0.0828077612502942,-0.0828077612502942,0.0244207157844377,-0.0934702607023808,0.232461624648386,0.232539991204389,0.0995571943745464,0.106076538051557,0.0983481066842106,0.0556064779766334,0.144149553266829,0.117166217023927
"TGFbeta",0.126502563978058,-0.0441433936478303,-0.0312271596120783,0.220626253271831,0.171117216367739,0.13722445703924,0.146889423517501,0.145453064836661,0.150945419686608,-0.0739770158378155,0.122173397289821,0.0656987403210338,0.0656987403210338,-0.221957500885343,-0.0879983391073648,0.0303969398815853,0.030272146924446,-0.150945419686608,-0.159860648550528,-0.151491444069865,-0.161863753450322,0.0439280360919654,-0.144440512415572
"miR200b",0.100294914335076,-0.0190406656950538,-0.0257998847150601,0.155849453611736,0.106628119548322,0.124212670317253,0.111443490145162,0.116899328069456,0.0644811137731391,0.041875037207791,0.125450615696075,0.0245326326467442,0.0245326326467442,-0.126633462709983,-0.0209801406280529,0.0247648305451308,0.0245089777270525,-0.0644811137731391,-0.0717134603112258,-0.06119503057986,-0.135218794645768,0.0190478700464821,-0.0116655498157811
"CDH1",-0.395133807467936,-0.297520802791701,-0.0158620879166564,-0.0639713173800736,-0.286232709462716,-0.0615145427171485,-0.0665552406425464,-0.0658105051520483,-0.0745735308503903,-0.0267608676108184,-0.226865320856703,-0.0476779172266532,-0.0476779172266532,0.226728242067089,0.112052698703836,0.161420898286846,0.161436834541826,0.0745735308503903,0.077980690049659,0.0744130970373599,0.107109246739857,0.297446395622732,0.357048488766883
"miR205",-0.0102313400170963,0.00592929928315139,-0.015858477510944,-0.0766376666123214,0.0231282771031919,0.107020385350671,0.0881051302413785,0.0958347903345308,0.0283408207621451,0.0376251347872287,0.00874828620197392,0.00781599475337414,0.00781599475337414,-0.0103765991681698,0.0114899192049452,0.007247605118923,0.00703756434630244,-0.0283408207621451,-0.0383937785146114,-0.0238942921475937,0.082297457335464,-0.00579537350556831,0.10280360527967
"TCF3",-0.395057336448357,-0.297446395622732,-0.0158331417787392,-0.0634784435147103,-0.28507158709373,-0.0601887895542136,-0.0658105051520483,-0.0604347826086956,-0.0724998739729446,-0.0253198080081694,-0.226728242067089,-0.0468393294509277,-0.0468393294509277,0.225495688142855,0.212370116909428,0.161436834541826,0.161146418278516,0.0724998739729446,0.0755361229620377,0.0745735308503903,0.106708983880666,0.297163278352579,0.356866007015058
"OVOL2",0.0441252677392576,0.0774872123770672,-0.0122162267451561,-0.125753076171438,0.0463117734798878,-0.0119031828863403,0.0706453002349512,0.0763076345298334,0.0290561302463839,0.0968999054502193,-0.00735487309359963,0.0141848560878143,0.0141848560878143,0.00621262221176542,0.101239338411406,-0.0219235829696714,-0.0220009155356739,-0.0290561302463839,-0.0380902877919438,-0.0259041307463777,0.0986363065745272,-0.0773413518548207,-0.0364460087921245
