"","TWIST2","ZEB2","NP63","CLDN7","ZEB1","GRHL2","CDH1","miR34a","miR200b","miR200c","miR200a","FOXC2","TGFbeta","GSC","TCF3","TWIST1","miR141","miR205","OVOL2","SNAI1","miR101","KLF8","SNAI2"
"miR34a",0.0851982615954779,-0.0923077805469889,-0.141632510510994,-0.16212744756029,-0.162207643075528,-0.152957402657234,-0.0614197802494796,-0.138569235302176,-0.0853204445388599,0.174647924036473,0.174647924036473,0.0584666438262763,0.0263981377979477,0.0264639078200923,-0.100437832444255,-0.0997111351770466,0.16212744756029,0.143382846386256,0.134083813709044,-0.119802431507918,0.0708815533609778,0.0708450598145734,0.00735376150693751
"ZEB2",-0.0983059782281837,-0.0834788972153703,-0.0233534459170892,-0.0218031075594477,-0.0217468890289363,-0.0204062623154802,-0.0170692836976819,-0.0140722970101515,-0.0089420687675735,-0.000666372200160415,-0.000666372200160415,0.00104875353843072,0.00254130487348367,0.0025443838997724,0.0165243444924669,0.0169643724204387,0.0218031075594477,0.0238879981327694,0.0246311996595827,0.030575435256793,0.0788580750566737,0.0789008326212824,0.0844061676259009
"TWIST2",-0.0592149463234322,-0.061268624174521,-0.0487264911582287,-0.038258884238973,-0.0388855435732699,-0.037075157844929,-0.069989829132893,0.041450012947363,-0.0476212664028563,0.0480015721747107,0.0480015721747107,-0.0635509204971372,0.0162585067030104,0.0165758734594566,0.0199221198946609,0.0194148745503467,0.038258884238973,0.0502207656734026,0.0573282633161227,0.100082982059449,-0.0301960911562875,-0.0300987616350271,0.0546503024742711
"TCF3",0.0585022961990389,-0.0356713115866574,-0.00301017843679316,0.00588173888396873,0.00720200366837425,0.00513013583803211,0.147482704634008,0.0520176499646429,0.00429432075629145,0.0137038155099945,0.0137038155099945,-0.0857560967301969,-0.000987898706067809,-0.00135041456613669,-0.00963261728615147,-0.00934220102284073,-0.00588173888396873,-0.000978260869565219,0.00832451962907822,0.129895212779721,-0.0784574597130535,-0.0787703788011178,-0.0465590818588025
"CDH1",0.0586356482484493,-0.0352170798839565,-0.00308722003925849,0.00720200366837425,0.00775550032332925,0.00675010791867361,0.048160179311615,0.0534057294348416,0.00474249919935208,0.0130647903948214,0.0130647903948214,-0.0866820779716092,-0.000813992778944622,-0.000987898706067809,-0.00934220102284073,-0.00788137764966675,-0.00720200366837425,0.00301017843679316,0.00740418131737478,0.129825388982128,-0.0789912502730483,-0.0784574597130535,-0.0466606940355029
"ZEB1",0.16600397238011,-0.0217111841026829,0.0842860733465679,0.115439620309868,0.0164589405872978,0.112918333231747,0.11275530440501,0.127356473079399,0.169344847263379,-0.13500462213816,-0.13500462213816,0.0742120675096268,-0.024698127586063,-0.0251365164555136,-0.104688966871473,-0.103655957442783,-0.115439620309868,-0.0862518165354402,-0.0836615038802774,-0.0716090232201286,-0.0468234421644614,-0.0469806852667061,-0.0826720413401646
"TGFbeta",-0.0394387032177034,-0.0192223542377904,-0.0159231575514302,-0.0182945865007961,-0.0180597428373722,-0.0172194413456151,-0.0463484050978346,-0.173917389885627,0.0462203724798151,0.0188549275341361,0.0188549275341361,0.0590752473758877,-0.0826418274972105,0.0172343687295981,-0.0875107096428038,-0.0871544824742425,0.0182945865007961,0.0155715631115283,0.0143122709392362,-0.247168320167098,0.130545695227311,0.130349726776154,0.0247035186610995
"miR200a",0.0924164292232472,-0.00330278367572407,0.115971271675991,0.163934121354698,0.164180304181716,0.153834390761328,0.10542537314635,0.184659165391319,0.036421465457135,-0.0779368355912531,-0.0779368355912531,-0.033793167185808,-0.109543897762483,-0.109730244458238,0.0116126172996246,0.011350848809452,-0.163934121354698,-0.117652451700871,-0.106880358838745,0.15681655748994,-0.082294548397298,-0.0820820200301643,0.00476459137677042
"miR141",0.0924164292232472,-0.00330278367572407,0.115971271675991,0.163934121354698,0.164180304181716,0.153834390761328,0.10542537314635,0.184659165391319,0.036421465457135,-0.0779368355912531,-0.0779368355912531,-0.033793167185808,-0.109543897762483,-0.109730244458238,0.0116126172996246,0.011350848809452,-0.163934121354698,-0.117652451700871,-0.106880358838745,0.15681655748994,-0.082294548397298,-0.0820820200301643,0.00476459137677042
"miR200c",-0.0924164292232472,0.00330278367572407,-0.115971271675991,-0.163934121354698,-0.164180304181716,-0.153834390761328,-0.10542537314635,-0.184659165391319,-0.036421465457135,0.0779368355912531,0.0779368355912531,0.033793167185808,0.109543897762483,0.109730244458238,-0.0116126172996246,-0.011350848809452,0.163934121354698,0.117652451700871,0.106880358838745,-0.15681655748994,0.082294548397298,0.0820820200301643,-0.00476459137677042
