"","KLF8","SNAI2","TGFbeta","GSC","GRHL2","ZEB1","SNAI1","TWIST1","miR205","ZEB2","NP63","TCF3","FOXC2","miR141","CLDN7","miR34a","OVOL2","TWIST2","miR200c","CDH1","miR101","miR200a","miR200b"
"miR200b",-0.0968748604152561,-0.123480590144983,-0.094659250380542,-0.0948171905677977,0.207615374554999,0.201664297632514,-0.045956191406899,-0.0179414368582648,0.0674594272630919,-0.175329836488586,-0.0673670156761006,0.0177181202367051,0.0397584439439,-0.201567654691355,-0.201567654691355,-0.116822452039741,-0.240279268265351,0.12195155082738,0.0114431139640465,0.0558625389245887,0.0967559886166898,-0.18956434703294,-0.118599162678543
"miR200a",-0.0764006796779779,-0.0574546300229223,-0.0852113710580779,-0.0852659115543964,-0.170313184911831,-0.160004508935081,-0.113152741353453,-0.118015113878125,-0.0556409195422517,-0.153398499865687,0.0557191139620135,0.117501929323945,0.0628558940399952,0.160058745042937,0.160058745042937,0.170412965870306,0.188811231748117,-0.0470554287685003,-0.157072104846616,-0.139639735650291,0.0763412437786947,-0.00286562710341301,0.0215049410999
"miR101",0.0461664469064852,-0.015341244517123,0.0157175393392199,0.0157787455202057,-0.1812106686594,-0.173643072658609,0.168001750724658,0.175426970859796,-0.0454903542364641,-0.151807235083895,0.0454614858761869,-0.175517539697568,-0.0683938312210812,0.173618683218577,0.173618683218577,0.0220046291029307,0.20917353229589,-0.032025126977686,-0.164594901007765,-0.177842206952354,-0.146069416308617,0.00450161850845441,-0.00130822260293106
"miR200c",0.13080769217085,0.167596351100444,0.135241416318922,0.135300501856601,-0.188002342104302,-0.179999097204738,0.0604487090150766,0.026422551671597,-0.062222787133136,-0.151076844179585,0.0622583300512096,-0.0265778380640722,-0.0536142014670898,0.179973429910897,0.179973429910897,0.095983093749389,0.216748062478931,-0.147752581761231,-0.167827366100646,-0.159397171806883,-0.130789681292279,0.00850630573025436,-0.0452398121167032
"miR205",0.0440404247488049,0.0808271017476273,0.0288683223214263,0.0288714964207757,-0.172092404493151,-0.157702556352233,-0.0918425686228197,-0.108919803797332,-0.0594354015497099,-0.131380775575358,0.0595146801147679,0.108454419340349,0.0782585673170951,0.15772243188173,0.15772243188173,0.174693063296883,0.200057407931888,-0.173798617981493,-0.146903989934112,-0.174884126448181,-0.0440692125327714,0.00317556916847503,-0.0168535686385826
"CDH1",-0.170248895363601,-0.127646888959453,-0.181191189677997,-0.180935445667521,-0.056818143979194,-0.054793056177965,-0.0417067803725703,0.0739520392779816,-0.0122350674373796,-0.119067097692848,0.011875539959208,-0.0729161827042764,0.0633964779047673,0.0546246006742831,0.0546246006742831,0.0468193533534519,0.0660012773721353,0.126327282855363,-0.0882526587541097,-0.136480818340542,0.170627401397052,-0.0352449167761427,0.153468503699306
"TCF3",-0.169161129009854,-0.127844875571787,-0.180935445667521,-0.180609181393459,-0.0566460828163202,-0.0546246006742831,-0.0414028414889296,0.0729161827042764,-0.0133333333333333,-0.118764276557714,0.0122350674373796,-0.0707864634399976,0.0630918002059801,0.0542917915458041,0.0542917915458041,0.046665710969346,0.0658498292955259,0.125688596723977,-0.0876985539200227,-0.0361482398624441,0.170248895363601,-0.0350771992209976,0.153363484988226
"KLF8",-0.169161129009854,-0.127844875571787,-0.180935445667521,-0.180609181393459,-0.0566460828163202,-0.0546246006742831,-0.0414028414889296,0.0729161827042764,-0.0133333333333333,-0.118764276557714,0.0122350674373796,-0.0707864634399976,0.0630918002059801,0.0542917915458041,0.0542917915458041,0.046665710969346,0.0658498292955259,0.125688596723977,-0.0876985539200227,-0.0361482398624441,0.170248895363601,-0.0350771992209976,0.153363484988226
"SNAI1",0.138032092714148,-0.0197233707728973,-0.000278515660822217,-0.000301739024697201,-0.093702175467858,-0.0914584196900569,0.066314033320008,0.194013817099926,-0.0153819805332989,-0.0785093740470656,0.0154175110405275,-0.194177827747845,-0.055722458104259,0.0914822778383094,0.0914822778383094,-0.0968587367839304,0.12256032581749,0.0443415783996511,-0.086096832391531,-0.184697663800783,-0.138071089528889,0.00401069589332011,0.0121216675006998
"TGFbeta",0.112626656671436,0.144673235244472,0.103759606945002,0.20374700936808,-0.0838135154426305,-0.0819056036183611,0.0663194803007544,0.0393374659212816,-0.012427017139487,-0.0362455161986693,0.0124297426777808,-0.0394985622841342,-0.0456787114675865,0.0819102353049297,0.0819102353049297,-0.0503384425590138,0.110144045803795,-0.111443620913152,-0.0621903348723558,-0.0388186769176826,-0.112653662924422,0.0171771909205486,-0.101030716005304
"GSC",-0.0930193003043359,0.11817248553864,0.00944626588025096,0.00937536600188092,-0.0918680748522296,-0.0882989194219945,-0.214621407447097,-0.155210725182766,-0.0214925693024094,-0.0313698531022001,0.0215864408325153,0.154808220710494,0.00910358079419151,0.0883529767372283,0.0883529767372283,0.126939981813377,0.130437534117775,-0.120778909005427,-0.0647514194198938,-0.019382044552314,0.0928692496378771,0.0213781854026777,-0.00964204697513635
"ZEB1",-0.0194571612093552,-0.0624426384828973,-0.00966088395450794,-0.00960760038299932,0.179892084554564,0.0623161193819998,0.105444883816433,0.121812929802792,0.0661993099420788,-0.0275013872921651,-0.066317139577669,-0.121350809819858,-0.0848529130931199,-0.162379832579902,-0.162379832579902,-0.186158355580994,-0.217067378855232,0.167106330951247,0.166162614186434,0.195078476562325,0.0195159436774841,-0.18577180644199,-0.173310244355598
"TWIST2",-0.00261613432069549,0.149372831625729,0.0171327516826624,0.0170757184478411,-0.124127900975876,-0.120268064101912,-0.206718613882777,-0.13425564963406,-0.0306391387456495,-0.0211725330113335,0.0307041816225987,0.133902287708807,0.102627510548669,0.120306698946668,0.120306698946668,0.151911283116602,0.163762551470641,-0.17889514899258,-0.0731988956417134,0.0959290696412742,0.00248404425612778,0.0452005182275782,-0.024388396927064
"GRHL2",-0.153499840660583,-0.159947988954232,-0.136147717537434,-0.136134967879735,0.0191502260538094,0.0638379371918725,-0.0153688628221122,0.0339178348828542,0.0602222103910829,-0.0172556407528147,-0.060432217854158,-0.0334467093842704,0.0551298066474669,-0.0638971117612192,-0.0638971117612192,-0.0673031652867921,-0.22292645069163,0.139853856455551,0.068011554224611,0.0980473086019912,0.153595795588177,-0.084071447396685,-0.0186686845566656
"ZEB2",-0.141358877620811,-0.140675848163098,-0.0600903206999165,-0.0599837863903266,-0.0584507301736097,-0.0558911602676495,-0.044428279517242,-0.0213539315094124,-0.0149637143404419,-0.0128492696917205,0.0148939901383967,0.021566638736587,0.0369837575416704,0.0558226669488167,0.0558226669488167,0.0611161602178047,0.0676391617144519,0.104333992673138,0.113108199507969,0.120206663797649,0.141463285627414,0.160292500746516,0.192855856990606
"FOXC2",0.0195136458130216,0.0623116770727796,0.00960760038299932,0.0097063835051973,-0.179857712375632,-0.162379832579902,-0.105333460047288,-0.121350809819858,-0.066212863750699,0.0273153649644376,0.0661993099420788,0.121074784583265,0.0845319823263318,0.162339447776491,0.162339447776491,0.185988356192502,0.216908466828396,-0.16671669990799,-0.166178932078756,-0.195116226574564,-0.0194571612093552,0.185708512799046,0.173372655547891
"NP63",-0.142851449927052,-0.115467778250239,0.0068345631793989,0.00692870418550951,-0.0866327011216578,-0.00145822280670397,-0.0122887448849876,0.105125930144068,-0.128627146541691,0.0338602730258215,0.028444429430771,-0.104827489663871,0.0411253235392839,0.00141784810230448,0.00141784810230448,0.00409451505310282,0.138402698911946,0.138024417594066,0.00601223107772414,-0.107035654561909,0.143098173979906,0.00776508420860501,0.105316555696607
"OVOL2",0.181870799400709,0.163060236350669,0.263841182076847,0.263775044510709,0.037544510007091,0.202744816414754,0.143222757322146,0.0590129194432008,-0.180498186151366,0.0390537524962995,0.180615948875683,-0.0591603908481357,-0.126661336536994,-0.202699300666985,-0.202699300666985,-0.213922740417542,0.0486246724820578,-0.115972461551211,0.216995365271344,-0.0242643603151638,-0.181946471400972,-0.186733081034481,-0.163940580563082
"miR34a",-0.121130346510981,-0.144294632691657,-0.0303218801276833,-0.0302838662616732,-0.0674215115722321,-0.0650949460539952,-0.0840359670189813,-0.0619508389466302,-0.0240224821403599,0.0539002251288455,0.0240073441003576,0.0619862683908603,0.0514227549230128,0.065082333702934,0.065082333702934,0.0740129238269904,0.118795421921382,-0.00535931237437144,-0.0581136813623147,-0.0440088763229763,0.121191809325978,0.10004421236254,0.114735155899971
"CLDN7",0.169161129009854,0.127844875571787,0.180935445667521,0.180609181393459,0.0566460828163202,0.0546246006742831,0.0414028414889296,-0.0729161827042764,0.0133333333333333,0.118764276557714,-0.0122350674373796,0.0707864634399976,-0.0630918002059801,-0.0542917915458041,-0.0542917915458041,-0.046665710969346,-0.0658498292955259,-0.125688596723977,0.0876985539200227,0.0361482398624441,-0.170248895363601,0.0350771992209976,-0.153363484988226
"SNAI2",0.170627401397052,0.0274200361966213,0.181232986510917,0.181191189677997,0.0569279572965545,0.0548192795496736,0.0419539006422208,-0.0739497723211444,0.011875539959208,0.119036174615193,-0.0118918173255302,0.0739520392779816,-0.0638789547038711,-0.054793056177965,-0.054793056177965,-0.0470258648096461,-0.066166613286322,-0.126141862732401,0.0884773841415512,0.136578341258428,-0.170598959789061,0.0352738233612493,-0.153387521589577
"miR141",0.0764006796779779,0.0574546300229223,0.0852113710580779,0.0852659115543964,0.170313184911831,0.160004508935081,0.113152741353453,0.118015113878125,0.0556409195422517,0.153398499865687,-0.0557191139620135,-0.117501929323945,-0.0628558940399952,-0.160058745042937,-0.160058745042937,-0.170412965870306,-0.188811231748117,0.0470554287685003,0.157072104846616,0.139639735650291,-0.0763412437786947,0.00286562710341301,-0.0215049410999
"TWIST1",0.0373487810906235,0.181433354829452,-0.00215944801866287,-0.00216101478320009,-0.130356814985471,-0.126186733189088,-0.200790349246316,-0.241999197788,-0.0329195822219891,0.207930042947507,0.0329863588737292,0.141754930711771,0.171692469890741,0.126196728660275,0.126196728660275,0.144879818221183,0.172667303299269,-0.197020153262805,0.0273915469674285,-0.0631136183417757,-0.0374533471415123,0.159183842053358,0.0388258703608648
