"","miR200a","miR200c","miR200b","CDH1","TWIST2","miR101","SNAI1","GRHL2","TCF3","TWIST1","FOXC2","NP63","miR205","OVOL2","miR141","CLDN7","ZEB1","miR34a","KLF8","GSC","TGFbeta","SNAI2","ZEB2"
"miR200b",0.165226581351502,0.152948158806323,0.136300777675848,0.136818974556591,-0.0207492238609726,-0.0280123672262596,0.144674666217781,0.00938559948157125,-0.0222701085653974,-0.0223159550241282,0.0141638090049442,0,0,-0.0745571616895141,-0.0107732956511914,-0.0107732956511914,-0.01081771122923,-0.118103394252664,0.0280429857198297,-0.146724107600743,-0.147008172685735,-0.0810148436214508,-0.339970135691001
"miR200a",0.165226581351502,0.152948158806323,0.136300777675848,0.136818974556591,-0.0207492238609726,-0.0280123672262596,0.144674666217781,0.00938559948157125,-0.0222701085653974,-0.0223159550241282,0.0141638090049442,0,0,-0.0745571616895141,-0.0107732956511914,-0.0107732956511914,-0.01081771122923,-0.118103394252664,0.0280429857198297,-0.146724107600743,-0.147008172685735,-0.0810148436214508,-0.339970135691001
"miR205",0.153893457691897,0.139532895365108,0.142054013331644,0.071684153643189,0.126731389809269,0.0593127620153976,-0.0807889699723796,0.0104142761925563,0.100725643478105,0.100729761924627,-0.0837396093296451,0,0,0.0634998798545884,-0.0118274334384639,-0.0118274334384639,-0.0118988611225921,-0.00312685887194783,-0.0592839742314311,-0.0332947891753961,-0.0335407818749675,-0.0581250804623811,-0.313107563257166
"miR101",0.0898202286397912,0.173542850589323,0.143037733852639,0.0296922550114414,-0.00991645357714768,-0.0806834790285385,-0.00723134528341184,-0.087637305911557,0.00222768037275432,0.00224841299826855,0.00600202536043475,0,0,0.0886900670026461,0.0860783880531367,0.0860783880531367,0.0860401559579519,0.0231481706474405,-0.0193351295792718,-0.0152104258971238,-0.0153940444400813,0.0746819388007855,-0.276832846772072
"miR200c",0.125478399011286,0.11423444834267,0.0898226714218788,0.03778196079242,0.0475412943518228,0.050719180461749,-0.122516483262508,0.00859623790045231,0.0264674265542628,0.0265073573408993,-0.0105209918379148,0,0,0.0593300869868344,-0.0098850799180863,-0.0098850799180863,-0.00992949549612492,0.0951165397899177,-0.0507389924281767,0.0821931514472008,0.0820556639460645,0.0351742658646571,-0.24707911923927
"NP63",0.0692718367762689,0.0617038477428523,0.119656416572515,-0.0266239202610459,0.00224644826695088,0.000430461528700303,0.012058714379189,0.0858255634056437,0.0621443247994776,0.0619939826026864,0.0310615508186172,-0.00418403674447556,0.0958159632555245,-0.0722721920025012,-0.00640408606988177,-0.00640408606988177,-0.00639967538788855,-0.00767839710704452,-0.000312582259003499,-0.0133408051654317,-0.0134589093367341,-0.00501430324971264,-0.179884525173105
"SNAI1",0.0374938401778532,0.0835472204358658,0.0297885152735801,0.0949685516630873,-0.067168246463719,-0.0920616066959973,-0.0931740142845208,-0.0546109392409374,-0.0241688500870873,-0.0241693610236852,0.0146110225957236,0,0,0.0654334370783222,0.0558184137861065,0.0558184137861065,0.055802894408117,-0.0254500740332395,0.0920669102628019,0.00161898519193489,0.00159185874169437,0.0811849095779203,-0.125171527492715
"CDH1",0.032086413751224,0.00664469474325069,0.020198023286936,0.00192139933716194,0.0297197032748678,0.0143857380948374,0.0293071252272403,0.02484605878123,0.0679005449054828,0.0678421119705558,0.0314501657111562,0,0,-0.0285505384102853,-0.0250737419457977,-0.0250737419457977,-0.0251042243702735,-0.0277001748079074,-0.0142142780967784,-0.0121302340787863,-0.0122714047725687,-0.0424325374590019,-0.0415097068003467
"KLF8",0.0319186961960789,0.00637082683674792,0.0198859254272469,0.101903396513561,0.0295231844652103,0.0142142780967784,0.0292989106628176,0.0249272197071139,0.0680941557476899,0.0679005449054828,0.0314322434935805,0,0,-0.0286087876705197,-0.0251651730250502,-0.0251651730250502,-0.0250737419457977,-0.0276895787814173,-0.0142887826415557,-0.0121121082857829,-0.0121302340787863,-0.0425320545392755,-0.0411912992832574
"CLDN7",0.0319186961960789,0.00637082683674792,0.0198859254272469,0.101903396513561,0.0295231844652103,0.0142142780967784,0.0292989106628176,0.0249272197071139,0.0680941557476899,0.0679005449054828,0.0314322434935805,0,0,-0.0286087876705197,-0.0251651730250502,-0.0251651730250502,-0.0250737419457977,-0.0276895787814173,-0.0142887826415557,-0.0121121082857829,-0.0121302340787863,-0.0425320545392755,-0.0411912992832574
