"","SNAI2","ZEB2","miR101","miR34a","NP63","CLDN7","ZEB1","CDH1","miR200b","miR200c","TCF3","TGFbeta","GSC","TWIST1","miR200a","FOXC2","OVOL2","miR205","miR141","GRHL2","SNAI1","KLF8","TWIST2"
"TWIST1",0.0809184759287879,-0.0958192842068057,-0.0478193351636501,0.0382344261559117,-0.0931474820743369,-0.0888656367298049,-0.088834416307453,-0.0978912884469487,-0.0344145993024163,-0.0924338631031543,0.0166130529507846,0.0286431494189948,-0.0286096206578982,-0.116587727601744,0.0924338631031543,-0.114364763207499,0.0885998040554905,0.0930492811158956,0.0888656367298049,0.100565182805332,-0.2216605753219,0.0477745211418406,-0.0786983216716457
"miR101",0.103349117303726,-0.0932644768998939,-0.0968001196070186,0.0798891601187829,-0.0541558055595876,-0.0386345181500368,-0.0386101287100051,0.0312117544818817,-0.0500691821067168,-0.0612495526317644,0.186454584668903,0.0226803483953597,-0.0226744793095118,-0.18644912871482,0.0612495526317644,-0.203383524380719,0.0564706861974639,0.0540272101365349,0.0386345181500368,0.0501751281658765,-0.197367119938054,-0.0031732966675381,-0.0123698066253596
"ZEB2",-0.100840059319267,-0.0849493651660918,-0.0815625239011809,-0.0540060134483459,-0.0394185103129404,-0.0394076491636484,-0.0393833450827723,-0.0206427417753458,-0.0152486707109832,-0.00848709836521216,-0.00586054650965382,-0.00221557051982686,0.00226175591415775,0.00591737668485313,0.00848709836521216,0.0146071510942433,0.0365604603465469,0.039333291843774,0.0394076491636484,0.0431300832477865,0.0535165060544309,0.0815257325083781,0.0849661689019651
"miR34a",0.10026528566718,-0.0726801497618911,-0.00424518819451542,0.141278905653542,0.148674823422027,0.157970784948737,0.157983873237574,0.0847636767898619,0.103169947872345,0.105673024142624,0.0927678948206038,-0.00172225840791809,0.00178139108837836,-0.0925356351306508,-0.105673024142624,-0.159177954893469,-0.134169505361677,-0.148608594497017,-0.157970784948737,-0.169723035910152,-0.114237165209692,0.00417604252764388,0.0462211825794113
"GSC",0.0169079202446073,-0.0642283475273956,-0.0819471043966138,0.0648831016851805,-0.0248466035170602,-0.00435578450939273,-0.00435506052749228,0.0809329636393828,-0.04056442680114,-0.0287613661489878,0.188189574661578,0.011491930582499,-0.0115292141392281,-0.188148046422375,0.0287613661489878,-0.212138974768057,0.0358155377481574,0.0248619294811592,0.00435578450939273,0.00855247277214769,-0.0798744925116796,0.0820172579549582,0.00886483696287592
"TWIST2",-0.133065384148888,-0.0185823443496038,0.0309793661220299,-0.199708180780657,-0.155179306316414,-0.167140195941317,-0.167157952903392,0.0789625383362004,-0.108994759865175,-0.0938908402777507,-0.0827284060139596,0.00676477631969306,-0.00682344687226051,0.0826115686031906,0.0938908402777507,0.163746565186729,0.139667839323532,0.155283717250464,0.167140195941317,0.177681847732324,0.258691388204748,-0.0309011548995885,0.0654966443819664
"miR205",0.0876384322401652,-0.0176218948133949,0.0454632116821502,0.218040008070876,0.16020295791056,0.203799352914683,0.203793762922013,0.105013661301571,0.108099695780651,0.0946372013458254,0.103311264552274,-0.0143357066321952,0.014400775668856,-0.103204184942703,-0.0946372013458254,-0.121533246859231,-0.131045014228055,-0.160084040062973,-0.203799352914683,-0.226958152345081,-0.118913470982527,-0.0455045158939281,0.0537998095470799
"GRHL2",0.119006960356784,-0.0142909145931028,0.104496406789746,0.231921033849639,0.156061124067131,0.225094266131396,0.225045135953894,0.126762787382333,0.216165126766007,0.214559154927032,0.0285969109633734,-0.14658892167233,0.146579498012291,-0.0285824592609628,-0.214559154927032,-0.0694002794972853,-0.280712712449022,-0.156055917270526,-0.225094266131396,-0.148415186660002,-0.034324105932101,-0.104444467883984,-0.0217227229963768
"ZEB1",0.0835082602501328,-0.0135560712084587,0.0365815607782351,0.205682380611764,0.151487146759568,0.19059768629225,0.0905852344975106,0.132082945200134,0.207451430724228,0.189739607111179,0.10271977691459,-0.0275411978866218,0.0275331939166527,-0.10278407709427,-0.189739607111179,-0.12448114912194,-0.120405233591452,-0.151556120204792,-0.19059768629225,-0.221324328790493,-0.106051314719558,-0.0365624564760932,0.0634176353586634
"OVOL2",-0.0899575171281095,-0.00918243380838187,-0.0976120235042455,-0.11885149431614,-0.336005484938867,-0.166607784792996,-0.16657531236399,-0.141406305148665,-0.107082872982512,-0.182641375294046,-0.00579712250920116,0.223594079202018,-0.223592701336057,0.0057323789655712,0.182641375294046,0.0330267246549558,0.202237241005552,0.335939581028929,0.166607784792996,0.195262083611029,-0.0653778161568775,0.0976482144608931,0.0743794170208397
