"","miR101","ZEB2","miR34a","ZEB1","miR200b","TGFbeta","miR200c","miR200a","FOXC2","TCF3","NP63","miR205","TWIST1","GSC","SNAI1","CDH1","OVOL2","GRHL2","miR141","CLDN7","TWIST2","SNAI2","KLF8"
"GSC",0.128895193733854,-0.136190956666805,-0.0417205391245077,-0.162792609927223,-0.0293216533444925,-0.119933834898594,-0.151689579655429,-0.151689579655429,-0.0978558870638007,-0.0364763234049031,0,0,0.0364395868856085,0.119927111634266,-0.099076583034468,0.0173438242864765,0.141484021267983,0.161500430133998,0.16280467629223,0.16280467629223,-0.0427373195416844,-0.0690401698138749,-0.128838681145187
"TWIST1",0.0829382988822137,-0.100165747810835,-0.0538980713379472,-0.147317548058065,-0.0536654826622042,-0.10609329148405,-0.128211796972299,-0.128211796972299,-0.0317947987348419,-0.108985036745642,0,0,0.00896624697054752,0.106070416721807,-0.0193433463014712,-0.060646135936471,0.128953875440645,0.145993835768334,0.147329271141556,0.147329271141556,-0.105598977906245,-0.0978461737109393,-0.0829044393990688
"ZEB2",-0.0905494235908878,-0.0820570978260729,-0.04659452154664,-0.0384536167456335,-0.0253966647401484,-0.0170929117040199,-0.00658163142883543,-0.00658163142883543,-0.00155729211688138,-0.000957630518512162,0,0,0.000910542659061304,0.0171612660876297,0.027176698871541,0.0318721114449533,0.0369631959199458,0.0379093896731697,0.0384725199196483,0.0384725199196483,0.0668506585415854,0.0671297047855777,0.0906359330820727
"miR34a",0.0779746345220007,-0.0688840811326769,0.0867210050116927,0.143464798856289,0.0209631135589674,0.0834009556002236,0.0987458110576814,0.0987458110576814,0.0893091108197746,0.0161554808758196,0,0,-0.0160460432591977,-0.0835300820657185,0.00188031119318987,-0.0703767306754771,-0.127238614250442,-0.142555309616665,-0.143479790896229,-0.143479790896229,0.021240858890915,-0.129532365160174,-0.0781446176197266
"miR141",0.0491526867612472,-0.0291862936392861,0.222775490538911,0.237288381009962,0.142668331336696,0.0283572101965829,0.108472308127965,0.108472308127965,0.0237677336572475,0.0515904527721281,0,0,-0.0515505219854916,-0.0283492563742031,-0.0943200573069149,-0.101584062832276,-0.159161539074769,-0.232771488283614,-0.237298424733639,-0.237298424733639,0.0746132317317659,0.0222745457324817,-0.0492193270119586
"miR101",-0.100542093605026,-0.0239090042968893,-0.147457377235685,-0.227089701216779,-0.0587985236336769,-0.129001757450967,-0.125843625917883,-0.125843625917883,-0.106072427975685,-0.026958829932347,0,0,0.0268420725149774,0.129140100188812,-0.0181857472537868,0.06469018810395,0.168566508199758,0.224272906841993,0.227118704875195,0.227118704875195,-0.0418394208418683,0.109604967520373,0.000749446663483596
"GRHL2",0.065970264518673,-0.0172516846608258,-0.110686132293859,-0.127263986550383,-0.138373599561707,-0.19252209429235,-0.12390027440697,-0.12390027440697,-0.0367394020194005,-0.0473528411657672,-0.00853631481530386,-0.00853457921643547,0.0472603502703398,0.192517105295859,-0.041051939401505,0.0115050479912497,0.118810159720356,0.0530200634224989,0.127274249298573,0.127274249298573,-0.0568488969086495,-0.0434945735297038,-0.0658531819006
"TWIST2",-0.0260601646523542,-0.0164309745745657,-0.127127135940928,-0.153334071792341,-0.0551445189119429,-0.0907765574663685,-0.0851130939840934,-0.0851130939840934,-0.040688022821761,-0.0334252614988576,0,0,0.0333639931005276,0.090860333557709,0.0749423131040318,-0.0853834552849053,0.133976501512123,0.15169157324474,0.153354842057071,0.153354842057071,-0.106455836269178,-0.0477128960314186,0.0261870406354258
"OVOL2",0.0923880115835225,-0.00512749540551749,0.135403350500219,0.1100432231003,0.0323982486745039,0.0601427898323331,0.104168187333148,0.104168187333148,0.00357670706883155,-0.00682043622128569,0.00906664885944927,0.00906556846748307,0.00687798603784565,-0.0601035206524389,-0.0836587027037202,-0.117601239937589,-0.109267685414278,-0.0406850086535059,-0.110040641610128,-0.110040641610128,-0.0638192899875431,-0.083517321611258,-0.0924242025401701
"CDH1",-0.0179776925484646,-0.00296586706640856,0.0189435044033796,0.0493150619195936,0.0222037690306767,0.0279480748215269,0.0236470901366387,0.0236470901366387,0.0216538463317626,0.0708443604564826,0,0,-0.0709134175613963,-0.0280769698028064,0.0252533076925064,-0.00889166173537055,-0.0435857467387148,-0.0489235553051637,-0.0493551703728512,-0.0493551703728512,0.0280701490758142,0.0145348869060532,0.0178903450022836
"CLDN7",-0.0178903450022836,-0.00294582743246587,0.0187898620192736,0.0493551703728512,0.0221046668666996,0.0280769698028064,0.0235855229328513,0.0235855229328513,0.0215044945186316,0.0710379712986897,0,0,-0.0708443604564826,-0.0274425670476859,0.0250150853242475,0.0909880036016139,-0.0435601170642117,-0.0488878444977748,-0.0493149406979801,-0.0493149406979801,0.0279438155553201,0.0147182078433994,0.01793504772915
"SNAI2",-0.0179367643808672,-0.00292971085253504,0.0188477476946415,0.0493231174651512,0.0221369829879917,0.0280114164136846,0.0236153861400702,0.0236153861400702,0.0216118364785425,0.0709134175613963,0,0,-0.0709020827772106,-0.0279480748215269,0.0251887447391743,-0.00894730112641692,-0.0435605430932596,-0.048887901630696,-0.0493150619195936,-0.0493150619195936,0.0279823184912529,-0.0853721554812611,0.0179776925484646
