"","CDH1","TGFbeta","FOXC2","SNAI1","ZEB1","CLDN7","GRHL2","OVOL2","TWIST1","TCF3","NP63","miR205","miR141","TWIST2","SNAI2","miR34a","miR101","KLF8","ZEB2","GSC","miR200a","miR200b","miR200c"
"miR141",0.0661502094170535,0.185550927606389,0.150713383822439,0.161012430103378,0.00852790182698791,0.00850000259455159,0.0078530085227745,-0.0631221820809863,-0.0226295776940152,-0.022293863302664,0,0,-0.00850000259455159,0.00889517318145176,0.0725462869325371,-0.0196656077273465,-0.0394972287875742,-0.0391316079525899,-0.296870868587667,-0.185482751985991,-0.136312444973588,-0.0718607812646918,-0.146511924308119
"miR205",0.0803536430796238,0.0928633785287279,0.146117142574636,0.139056665791521,0.00185426528984409,0.00181016645877367,0.0017606784710366,-0.0669527604509089,-0.00192281338969452,-0.00165923281228832,0,0,-0.00181016645877367,-0.0772679302121476,-0.00281191980523492,-0.0193662597437923,-0.0344720376245922,-0.0341678884287726,-0.287755072306928,-0.0928046576907657,-0.135379323517317,-0.128594376656861,-0.137669160941405
"TWIST2",0.0127957862728289,0.0704607940599798,0.0538580455611105,0.277356139613598,0.0143747531253048,0.0143094290284616,0.0130986162445795,0.0504852669951485,-0.348646237167838,-0.348503752520559,0,0,-0.0143094290284616,0.129460368270846,0.0892793195758998,-0.112068155866832,-0.0665622980817853,-0.0664032685961544,-0.277968581289358,-0.0701772652036189,-0.124809437695432,-0.0651457474139718,-0.141298096631196
"SNAI1",0.22087266337883,0.0785244941672318,0.158602551577524,0.230203478774255,-0.0649768807757633,-0.0650194239462719,-0.0653363963967422,-0.0740935163382541,-0.279435137715884,-0.279232295886526,0,0,0.0650194239462719,0.0188603319627035,-0.102851798639599,-0.163369662332026,-0.253857301903188,-0.253626752734444,-0.20908155487864,-0.078383787903754,-0.123765844457362,-0.0780168577910976,-0.0656876904912345
"miR200c",0.098726492879023,-0.0370486837304376,-0.0988142577197702,-0.120090498601075,0.0139828689843692,0.0139969301975171,0.0117679963450276,0.0794682870761625,0.0244176665653401,0.0243185790577606,0,0,-0.0139969301975171,-0.0189150872555587,-0.0962694946781101,-0.0110240471988495,0.00869222935607956,0.00855354559108551,-0.182009249822709,0.0370361848666979,-0.084407347917322,-0.132347592849434,-0.0998748522405569
"TGFbeta",0.0393992214468065,-0.0519687911435614,0.100872378571532,0.112336840973743,0.0255835399000238,0.0255421978088001,0.0253426888199987,0.0192397586381767,-0.0386820987388939,-0.0388205054731756,0,0,-0.0255421978088001,0.0923108847738778,0.0257606804331958,-0.119467217677607,-0.0410769485782701,-0.0412092099711003,-0.133916594117533,-0.0479317314386812,-0.0501277915203192,0.0210819077958386,-0.0790511483579669
"miR101",-0.0759619308178907,0.0369988757474339,-0.0927347780179696,-0.239113969532229,-0.0128112788079608,-0.0127859006068468,-0.0114411082022591,-0.0601782387707542,0.241522742577726,0.241595852362434,0,0,0.0127859006068468,-0.0270566450077089,0.107659444552898,0.0866292197083526,0.21800692162234,0.318091989543758,-0.106180741978651,-0.0371464413344683,-0.060093518792538,-0.0140212475867308,-0.045097838768598
"SNAI2",-0.103158099937962,0.0148429089825205,-0.0288862557938062,0.0159482979712034,-0.0279522258619484,-0.0279661088234412,-0.027483678987613,-0.0311122534653475,-0.102926588303846,-0.102754299584223,0,0,0.0279661088234412,0.0795100692450032,-0.0254240052172878,0.0131887978175712,0.0390184272897625,0.0391897706354668,-0.0622726144267799,-0.0147097623704338,-0.0441989561301207,0.0126241438052297,-0.0155857480041603
"TCF3",-0.203420680707937,0.0144581102641262,-0.029304216062375,0.0156585795374554,-0.0280816211688231,-0.0280852784119932,-0.0275896080071153,-0.0311871699346681,-0.102940222558991,-0.1018269602163,0,0,0.0280852784119932,0.0791632756969594,0.0746984270941759,0.0134484123244261,0.0391088932778918,0.0401966596316394,-0.0619966926187744,-0.0138055817160022,-0.0439335802517265,0.0128504698044558,-0.0151818503615393
"KLF8",-0.203420680707937,0.0144581102641262,-0.029304216062375,0.0156585795374554,-0.0280816211688231,-0.0280852784119932,-0.0275896080071153,-0.0311871699346681,-0.102940222558991,-0.1018269602163,0,0,0.0280852784119932,0.0791632756969594,0.0746984270941759,0.0134484123244261,0.0391088932778918,0.0401966596316394,-0.0619966926187744,-0.0138055817160022,-0.0439335802517265,0.0128504698044558,-0.0151818503615393
"CLDN7",-0.203420680707937,0.0144581102641262,-0.029304216062375,0.0156585795374554,-0.0280816211688231,-0.0280852784119932,-0.0275896080071153,-0.0311871699346681,-0.102940222558991,-0.1018269602163,0,0,0.0280852784119932,0.0791632756969594,0.0746984270941759,0.0134484123244261,0.0391088932778918,0.0401966596316394,-0.0619966926187744,-0.0138055817160022,-0.0439335802517265,0.0128504698044558,-0.0151818503615393
"GRHL2",-0.0625250220251329,0.100998263997477,0.0242205419633379,0.00206280999939751,0.11716028753383,0.117145220946063,0.167642683218154,-0.147637491511018,-0.0465372135576046,-0.0463724641501244,-0.306281053357567,0.306185595419806,-0.117145220946063,0.135251359216196,0.141281613694762,-0.115176113888804,0.129585807419726,0.129597251585403,-0.00552298624457376,-0.100757129167075,0.108329692317085,-0.0456204991596722,-0.115779460150855
"GSC",0.0531624002613614,0.00830734470287169,-0.0286971251439323,0.3089026038798,-0.154002867590641,-0.154079368344789,-0.15375349125137,-0.136101453380541,-0.362068098689786,-0.361965875331748,0,0,0.154079368344789,-0.000270382664988295,-0.0100206568999443,-0.0229084278623297,-0.192817789497515,-0.192676508025849,-0.00155199464746279,-0.00804391498237612,-0.0729740332514992,0.090142591369009,0.0891109554662513
"miR34a",0.0685831622340118,0.0397011306553097,0.12639703885719,0.118796611670567,-0.115146267951237,-0.115134607475728,-0.116848046393253,-0.106722288792856,0.0353866086150151,0.0353999930717243,0,0,0.115134607475728,-0.227288783015111,-0.144106424454946,0.00169275797680232,-0.133648767200978,-0.133665093261211,0.000373777298541357,-0.0397331105743341,-0.109146549828635,-0.0106550796313149,0.109444087586064
"OVOL2",0.173178303524205,-0.190944355587465,-0.0936092869760803,-0.106769342438512,-0.109997957802765,-0.109971191825719,-0.157097511903156,0.145277102706466,0.0713467409421013,0.0711453165841415,0.300276143134155,-0.300216721576014,0.109971191825719,-0.197004063835767,-0.189839072719174,0.142266941547137,-0.151165787004739,-0.15128861691821,0.0496148233746672,0.190711496240022,-0.0866305792212806,-0.0365346104034911,0.125632844355863
"CDH1",0.103260550329594,-0.0147097623704338,0.0291548642492439,-0.0158721582124462,0.0279661088234412,0.0280816211688231,0.0275863615700799,0.0311848399642587,0.102754299584223,0.102940222558991,0,0,-0.0280816211688231,-0.0795843874319397,-0.0745486276996588,-0.0133318560330354,-0.0391897706354668,-0.0391088932778918,0.0621570096903159,0.0144581102641262,0.0441989561301207,-0.0127632007346849,0.0154514722539878
"FOXC2",0.0553411107022135,-0.0211527658041625,-0.110508108871542,-0.107115403972105,0.016917511261103,0.0169646977156149,0.0132879716979438,0.0790574956438437,0.00482646898661171,0.00469127295236205,0,0,-0.0169646977156149,0.0596183020838454,-0.0210389496209628,-0.00334574534276146,0.0110562201262275,0.0108559565314104,0.0625256357921964,0.0211256275837784,0.0332568244922917,0.00537787896937764,0.0101289177742291
"ZEB1",0.0553207670356756,-0.0212165688790591,-0.110557430863069,-0.107139482837471,-0.0830949405336369,0.016917511261103,0.0132460451939722,0.07902784987077,0.00478981187483156,0.00482646898661171,0,0,-0.016917511261103,0.0595427613713772,-0.0209985708513291,-0.00329499012965072,0.0110165419602405,0.0110562201262275,0.0625554195570157,0.0211527658041625,0.0332523741580222,0.00538488954166262,0.0101793548959507
"NP63",0.106810415468661,-0.0499354661956926,0.00895083614273469,-0.027544648912251,-0.00586567209969865,-0.00576761924615704,-0.160762623392476,0.155610882571731,0.103366711257913,0.103377930824837,0.257988251503474,-0.357896892948014,0.00576761924615704,-0.0766421034376186,-0.103108402547146,0.0114861787912304,-0.0646776959272204,-0.0645954545762691,0.192505784670541,0.0496051168469771,0.0672929868198389,-0.0569979365315641,0.0740986715862544
"ZEB2",-0.281641829286083,-0.240865669410788,-0.136489811582885,-0.124688273391738,-0.0514019064904617,-0.051320156400242,-0.049416502311641,-0.0452618289951928,-0.00338107232024959,-0.00326903568914238,0,0,0.051320156400242,0.0542658773028712,0.0644929178165526,0.0862027916900148,0.124613424052943,0.124703910991998,0.230694228479689,0.240738197722435,0.24401227209529,0.274489501801916,0.292708687219159
"miR200b",-0.12103334382933,-0.161719168737693,-0.100290985967367,-0.08691608005832,-0.0310125922991184,-0.0310342421034889,-0.0271484821392122,-0.0888842815247491,0.0180745427287539,0.0178808044676657,0,0,0.0310342421034889,-0.0698956993167177,-0.0529063546295897,0.124381351578605,0.0282826327157888,0.0281277391600811,0.244378986918877,0.161679399625794,0.101123617628753,0.100092637909804,0.136500764633548
"miR200a",-0.12103334382933,-0.161719168737693,-0.100290985967367,-0.08691608005832,-0.0310125922991184,-0.0310342421034889,-0.0271484821392122,-0.0888842815247491,0.0180745427287539,0.0178808044676657,0,0,0.0310342421034889,-0.0698956993167177,-0.0529063546295897,0.124381351578605,0.0282826327157888,0.0281277391600811,0.244378986918877,0.161679399625794,0.101123617628753,0.100092637909804,0.136500764633548
"TWIST1",-0.194234022395506,-0.0923984780192259,-0.047979080031461,-0.290889425592282,0.124226363040239,0.124299539761404,0.125189935750829,0.113851384155717,0.22068571719712,0.320595036108621,0,0,-0.124299539761404,-0.0608618113750962,-0.0132770487903173,0.0310994316835114,0.121452775336335,0.121328291942419,0.288009374670194,0.0922051392753323,0.191531438870583,0.0432383042166182,0.0620461981683442
