"","ZEB2","KLF8","SNAI2","ZEB1","miR141","OVOL2","NP63","SNAI1","miR200b","TGFbeta","CDH1","FOXC2","TCF3","TWIST1","GSC","miR200c","miR200a","miR34a","GRHL2","miR205","CLDN7","miR101","TWIST2"
"ZEB2",-0.0903064638241814,-0.0562259070284311,-0.049400790434101,-0.0397233303430067,-0.0397196479065104,-0.036477152064133,-0.0357126890695968,-0.0329397573753326,-0.020474830058474,-0.00588759296704503,-0.00548963963273442,-0.00436503563756821,-0.00276697994892842,0.0027263869666432,0.00583524952013668,0.0123999744055657,0.0123999744055657,0.0267755661632662,0.0351774673026453,0.0355964820661881,0.0397196479065104,0.0562527548015574,0.0584735604917861
"NP63",-0.0818564796285683,0.0294436162887024,0.0399644166676448,0.0294162919739702,0.0293562388422163,-0.0517783462799343,-0.146044337165175,-0.00338988358954906,0.0928671011034695,0.00473266384842242,-0.0783922453199796,-0.02715206938813,0.0541144725791404,-0.0544263765396475,-0.00479086010674534,0.0082630781605562,0.0082630781605562,-0.0223939733522733,0.0352167093802889,0.0458240018255361,-0.0293562388422163,-0.0292517198031494,-0.0222369445521739
"TWIST1",-0.0715740488362446,-0.0277411664870269,-0.0253543637575262,0.243098785987741,0.243059421107384,0.187887537212682,0.199626712133663,0.032087584271402,0.117219409717518,0.037843136538232,-0.0840754499244065,0.11446412599808,0.00263785467921756,-0.102622332691096,-0.037823395305063,-0.0969518010915901,-0.0969518010915901,-0.123306570883034,-0.220189970660701,-0.199705272900416,-0.243059421107384,0.0276475549748026,0.0881375738037601
"miR101",-0.0686404301352895,-0.130400901479736,0.0733799477425116,0.230111116209221,0.230084419659997,0.168110471897243,0.180280612617472,0.0376574513300681,0.130528045782494,0.0327606618057625,0.0269387904034174,0.0327631271079268,0.0182291268289249,-0.0181822056238137,-0.0327371854623706,-0.0805423579042162,-0.0805423579042162,-0.112992052954378,-0.208016841749045,-0.180309480977749,-0.230084419659997,0.0302732995976081,0.0134478174556841
"SNAI1",-0.0469624086722572,-0.0274193154391549,0.0666904543248721,0.0954630776404972,0.0954812221869029,0.0960355426337594,0.093397572877932,-0.0781486665485292,0.0274118157652974,0.00916795411209164,-0.0485512231704879,0.037747412829718,-0.00198294473964906,0.00205294305355829,-0.00915878185913262,-0.0186667193921708,-0.0186667193921708,0.0092847614893791,-0.0898452784781437,-0.0932811798370106,-0.0954812221869029,0.0273959173503108,-0.0512868927265461
"GSC",-0.0324740853634582,0.105187068776917,0.00288200745452825,-0.177482066296955,-0.177443212601631,-0.149174595907369,-0.153407039409339,-0.109777131494283,-0.0585908070974481,-0.0156728007294706,0.00369878053119883,0.03164877091044,-0.00922133873208101,0.00934113172978099,0.0156697447002305,0.115068894159964,0.115068894159964,0.0514661504542442,0.16016715511345,0.153426196864462,0.177443212601631,-0.105188043131894,-0.0185321436267785
"miR200a",-0.0150590826814383,0.107556421847125,0.0934273855583215,-0.255980337945564,-0.255941725407872,-0.166232559242202,-0.179989199687508,-0.135673164784712,-0.114842868382112,-0.13088362859529,-0.0377716280968994,-0.00933040160255909,-0.0600336808880967,0.0602067142968548,0.13089158241767,0.138924811278544,0.138924811278544,0.13462202422512,0.228085732361988,0.179793713638103,0.255941725407872,-0.107680696909263,-0.105799973275174
"miR141",-0.0103575176189331,0.098283395985517,0.0745133893135323,-0.273715286735453,-0.273662836178473,-0.179177096177803,-0.193290625249211,-0.146021179920787,-0.155408588765444,-0.139774104473904,0.0254617809481306,-0.010940461647506,-0.060529106044296,0.0606311513879226,0.139792284639343,0.147020807903172,0.147020807903172,0.145314509244291,0.241888936279021,0.193123573534265,0.273662836178473,-0.0983500362362285,-0.0939751996335142
"TWIST2",-0.00855783758991084,0.0849403037879998,0.084439363470703,0.051364174026383,0.0514036698147544,0.0682634933668646,0.0601692165053373,-0.0858732080631363,-0.00626600527134287,-0.00223270349019741,-0.0549806099494632,-0.0516932931484062,-0.0101191534200818,0.0102374156773236,0.00223406792165246,-0.0208453756699487,-0.0208453756699487,-0.0654664111612994,-0.0484060703231013,-0.0601058852830447,-0.0514036698147544,-0.0849707192633937,-0.0635252728803569
"TCF3",-0.00117384353235659,4.98837204091954e-05,-0.00752758174754345,-0.0959694317773089,-0.0958853151843966,-0.0967571920402143,-0.0931048420876267,-0.0133170950861735,-0.0296575823429509,-0.00971222033613962,-0.0244985714173683,0.0218912875739723,-0.0683900823008587,0.069019317538032,0.00974847192214651,0.0491514909106483,0.0491514909106483,0.0548621169235111,0.0875203105637889,0.0917753623188406,0.0958853151843966,-0.000720424623404278,-0.00325710704511174
