"","miR101","KLF8","TWIST2","ZEB2","FOXC2","CLDN7","GRHL2","miR200b","TGFbeta","NP63","miR205","miR34a","miR200a","CDH1","GSC","miR200c","miR141","ZEB1","TWIST1","TCF3","OVOL2","SNAI1","SNAI2"
"NP63",-0.0745500149945594,-0.0737221187283168,-0.0282152615715243,-0.0925882555081491,-0.107073133281677,-0.0347879196502335,-0.145898307572191,-0.0796334048543459,-0.115643952839953,-0.0242842366743117,0.0756781450969695,0.0116279985315981,0.0511984480053244,0.09816230340685,0.115767191975225,-0.00950186775234651,0.0347879196502335,0.034751616344597,0.0283927984393963,0.0274122082901761,0.180182820451666,0.148492259847994,0.0431423712293165
"ZEB2",-0.117212991909,-0.11719608775555,-0.0948042574560215,-0.0919339842230797,-0.0676449340440282,-0.0295611007600334,-0.0287592730146163,-0.0224100818677334,-0.0162638027456646,-0.0126458337846704,-0.0126303395175492,-0.00838623512861301,0.00753898722584573,0.0129141383307884,0.0160538131527734,0.0169354661560888,0.0295611007600334,0.0295966976461651,0.0384414497482714,0.038491785046305,0.0492145235174865,0.0770348648287849,0.0831671701859973
"ZEB1",-0.070697610608259,-0.0702729072760278,-0.1150708940869,-0.0891852147700168,-0.229591486312344,-0.201415519444222,-0.188298482495636,-0.184916100974434,-0.137649300798199,-0.0794346610358725,-0.0794404088229745,-0.150953762878168,0.230090303867454,0.123746838248246,0.137618428342604,0.172168185739154,0.201415519444222,0.101400886313177,0.0883676315019274,0.0878922909213028,0.243419088461271,0.237910413276623,0.0072699861482298
"miR101",0.265072793622964,0.364571690398358,0.035936950102323,-0.0836894595637827,0.347421456937312,0.112263412702311,0.106517533297152,0.128085972060634,0.0737235724447046,0.043618721199439,0.0435636088752735,-0.0610051043162013,-0.0140357802311308,0.0187516098655305,-0.0737294415305526,-0.100362277993751,-0.112263412702311,-0.112299008101276,-0.278798214615373,-0.27811840273667,-0.172740743806083,-0.342250706734081,-0.126993731568552
"miR34a",0.0626547205870484,0.0626383945268149,-0.0159364060339674,-0.0461991132369307,0.144692745347407,-0.127423205140114,-0.12464215465132,-0.0785404061288429,-0.0769207120255892,-0.0351205530227707,-0.0351470445927747,-0.148036025193562,0.135577191639479,0.070480765971303,0.0770027737045953,0.097537309866761,0.127423205140114,0.127429868268976,-0.0828888036093914,-0.0829541512509714,0.171701714587541,-0.174070479735889,0.0470031670749217
"miR200b",0.0911385207273332,0.0915761850766001,-0.038037090008689,-0.0412070519272886,0.11710606553532,-0.224264800464393,-0.213420833056749,-0.0671753706178297,0.00948452311125656,-0.075803485419379,-0.0759385485080585,-0.215201199815458,0.131712338502872,0.0505055824104874,-0.00936862455657971,0.0957924995033593,0.224264800464393,0.224269933923161,-0.0948706076501464,-0.0954252019089866,0.257923539826713,-0.0962028617724747,-0.0882256054142781
"TGFbeta",0.214034372207577,0.213608504372024,0.0463517395985427,-0.032674893858074,0.307781470935222,-0.103106261786404,-0.101714938675968,0.0844427799306747,0.0661297758957067,-0.0179776198879358,-0.0181329755706832,-0.238419585029872,0.065594660923049,0.0664607625519814,-0.166288331605233,0.0378046754590212,0.103106261786404,0.103134223449763,-0.221756334360079,-0.221123293722954,0.133072608085735,-0.305217423211268,-0.131480793808854
"OVOL2",-0.210494689543147,-0.21005381788944,-0.137444734205626,-0.0307864234570048,-0.288131209021654,-0.202343915569873,-0.0192857895283647,-0.143376642888327,-0.3236694959773,-0.302612883331532,-0.302598838235971,-0.0772117894148517,0.212625454485191,-0.0670120470269861,0.323512419257723,0.190624290734794,0.202343915569873,0.2023986703351,0.142587392141758,0.142056854770346,0.290669712229362,0.306223068620462,0.140180837187082
"miR200c",-0.164457413795589,-0.16437096157845,-0.07860538531507,-0.0278783417972557,-0.285337648781335,-0.176811578694244,-0.173686401230739,-0.0830041799196917,-0.181322368546515,-0.062005505311272,-0.061856225055363,-0.0344512419763757,0.0992465934973044,0.0730304358885588,0.181091707697501,0.0745356631723143,0.176811578694244,0.176901525819619,0.183760536510252,0.183575671757305,0.201057219278757,0.291151269511722,0.09996004504951
"GSC",-0.17406966186034,-0.173980021202456,0.0523281113883137,-0.0193074309783313,-0.327835523463166,0.149236485597703,0.14545750195375,0.0891733236221735,0.0694666379958517,0.0356088322301595,0.0356758833230923,0.167549070043741,-0.0614281631553192,-0.102220538186623,-0.0694403561443869,-0.0949477894821632,-0.149236485597703,-0.149266410182922,0.318794996546157,0.318710342827782,-0.190542068184774,0.210283684758302,0.0308415326362485
