"","miR101","KLF8","ZEB2","CDH1","TCF3","NP63","miR200c","miR200a","miR200b","ZEB1","miR141","miR34a","GSC","GRHL2","FOXC2","TGFbeta","CLDN7","miR205","TWIST1","OVOL2","SNAI1","SNAI2","TWIST2"
"TWIST1",0.116119280287942,0.116259697556278,-0.0948219840024837,0.120487529038407,-0.057348490392156,-0.0689895858597456,0.0199875756986542,0.0761423349115937,0.00558463876666872,-0.063231011872547,-0.0634702861766585,-0.0606943411265737,0.00234532451240756,-0.0581840509036785,-0.1590366941311,-0.00225852575704531,0.0634702861766585,0.069610215917095,-0.0422030058458043,0.0771079516505747,-0.0579041927508825,-0.128682769486116,-0.0831730503648662
"ZEB2",-0.0909927243019621,-0.0906894439018308,-0.0888422905449277,-0.0191466295612679,-0.0165601019063861,-0.0132375224840643,-0.00816525565112627,-0.00704373633944065,-0.00675336066628208,-0.00324459911810696,-0.00309263723868957,-0.00308841240222944,-0.00233749371244356,-0.000935057714602326,-0.00080892569850607,0.00208932419357221,0.00309263723868957,0.0130903269464132,0.015785587804384,0.0195633677331902,0.0323397152918482,0.0642744106760806,0.086848214382857
"GSC",0.0376797837447191,0.0379711158828437,-0.0476834794665695,-0.025129540075087,0.120331652878562,0.0694134368524556,0.05789481399505,-0.000952339558768952,0.00638711711418011,0.06327949500583,0.063234608128002,0.00612001097896516,0.0021315142664977,0.0567808896697511,0.161133974832615,-0.00192125945477966,-0.063234608128002,-0.0688961855641167,-0.120069705523591,-0.0777364103322287,-0.0228578773865563,0.0298329112106192,0.0179311462073057
"FOXC2",0.001155295761272,0.000557928286133782,-0.0465607266644958,-0.0553542295494728,0.0930057053031417,-0.0452337456563939,0.0155235796212016,0.0147928919135787,0.0171970908023693,0.00133154782329617,0.00101569615030255,-0.00316361204454575,0.00822754037905327,0.0112311377769141,-0.0710042224221964,-0.00842619215226459,-0.00101569615030255,0.0456403599150006,-0.0930958359926415,0.0691608748231326,-0.0779870711777219,0.0231464229997276,0.094565605102757
"miR200b",0.0162977787030146,0.0162347406280173,-0.0432721388001215,-0.0196480596643451,0.157189002684547,-0.0385890956986306,0.0255555624808804,0.0127642441399293,0.0793601499542974,0.0113174018969744,0.0112363825259793,-0.0925714279658915,0.118580812518017,0.0168435733809884,0.0410754920612295,-0.118966004773266,-0.0112363825259793,0.0385002384034466,-0.15771993425501,0.0606734068686721,-0.120973655797455,0.0861066397955517,0.0860450331408203
"TCF3",-0.0726571551232082,-0.0666222869962525,-0.0252386965874354,-0.0918959029024587,0.0469107466500282,0.0363757644299238,0.0307010485311632,-0.00887171778986044,0.0228980047065703,0.0403150640142339,0.0400553997491569,0.0454713442913141,0.00727072061258533,0.0372913711287471,0.0798117652735811,-0.00786887178169898,-0.0400553997491569,-0.0385144927536232,-0.0434741542008511,-0.0368682681855833,0.0655648755545402,0.0730010070741317,0.0670247887873079
"KLF8",-0.0726571551232082,-0.0666222869962525,-0.0252386965874354,-0.0918959029024587,0.0469107466500282,0.0363757644299238,0.0307010485311632,-0.00887171778986044,0.0228980047065703,0.0403150640142339,0.0400553997491569,0.0454713442913141,0.00727072061258533,0.0372913711287471,0.0798117652735811,-0.00786887178169898,-0.0400553997491569,-0.0385144927536232,-0.0434741542008511,-0.0368682681855833,0.0655648755545402,0.0730010070741317,0.0670247887873079
"CLDN7",-0.0726571551232082,-0.0666222869962525,-0.0252386965874354,-0.0918959029024587,0.0469107466500282,0.0363757644299238,0.0307010485311632,-0.00887171778986044,0.0228980047065703,0.0403150640142339,0.0400553997491569,0.0454713442913141,0.00727072061258533,0.0372913711287471,0.0798117652735811,-0.00786887178169898,-0.0400553997491569,-0.0385144927536232,-0.0434741542008511,-0.0368682681855833,0.0655648755545402,0.0730010070741317,0.0670247887873079
"SNAI2",-0.0707909405197991,-0.0691017864842124,-0.0249630871441286,0.00903035622130813,0.0468792006815948,0.0370581263401509,0.0314275434481886,-0.00791331675194997,0.0228258807575513,0.040223864696646,0.0398562233089669,0.0451435294925666,0.0079854910504757,0.0373142943475592,0.0791291138856624,-0.00770411649483636,-0.0398562233089669,-0.0367352919080953,-0.0447981343050986,-0.0367704139383733,0.06644372513324,-0.0258372486915782,0.0651404421985828
"miR141",-0.00351647477566427,-0.00341741494352566,-0.0237442366352541,-0.095877235417074,0.151726977253791,-0.0447119681875705,0.0136208710446357,0.00754503736929601,0.0442134591802222,0.00513684079557227,0.00497234692112775,-0.0957020315419842,0.111300342789549,0.01263428215072,0.0410793368522613,-0.111448056633745,-0.00497234692112775,0.0445093735545511,-0.151358726665922,0.0678942069118722,-0.111029939424182,0.109850506922279,0.106326350425192
"TWIST2",-0.107062683160684,-0.10747285757171,-0.0101666782734032,0.118684899953803,-0.00572465456730304,0.111625113662614,0.0633641490844549,-0.0554658440667989,3.81282573811437e-05,0.120599466166066,0.12074205995242,0.11957838143027,3.50723763009084e-05,0.113170687878124,0.0956172452713938,-0.00022472834855383,-0.12074205995242,-0.11195546301133,0.00502078040974352,-0.112274899246148,0.137414348373332,0.0923594376003336,0.0555655861419584
"NP63",-0.0690395560289583,-0.0703088142119727,-0.00723938886330356,-0.121893865093064,0.0661576734582684,-0.0118304238900647,-0.034329848262764,0.0529282681551251,0.137236878880954,-0.0619350879205118,-0.0614963947038014,-0.0562450216713308,0.117643512884512,-0.112157265123469,0.0737117716262313,-0.117727383962683,0.0614963947038014,-0.0881856982079577,-0.0681435368039432,-0.0887448812613891,0.0471402207000496,0.076461727680185,0.0724388680583152
"miR200a",0.0153209490078254,0.015886490594944,-0.00126470233189502,0.0348202896601895,0.0840744041231859,0.0538992763836286,0.00561270555534906,-0.00524278377980971,0.0271690658144415,0.00925517124998605,0.00950581795419392,0.0117896835891288,0.108115243166093,-0.000581375898167659,0.0543268556426697,-0.108292499779128,-0.00950581795419392,-0.0544146486956955,-0.0845106849401402,-0.0758355186875525,-0.0722799574112892,0.0641053325302372,-0.00777988941920666
"miR101",0.0737525226570811,0.173486685402648,0.000620977748094834,-0.074461368757554,0.0490781193580348,-0.0858866023197237,-0.0426467268442193,0.0429967050169254,0.0261931390151726,-0.087426686883052,-0.0876966186585374,-0.0635439711610477,0.00669523811461106,-0.0803112465144876,-0.040384780896675,-0.0063866918871756,0.0876966186585374,0.086718535974983,-0.0484485022568923,0.0915443421417611,-0.0355757071596291,-0.0418332849424395,0.0721780469492412
"miR205",0.0170048742899322,0.0173290497702501,0.0101752437143328,0.047760734531264,-0.0909140265443964,0.0492643459943969,-0.00387704741007151,-0.00560178523149029,-0.00839650068585975,0.00132825466758671,0.00161707095558313,0.00333596327295834,-0.000991056203304986,-0.00700979239355568,0.0792722823574828,0.000970424557534473,-0.00161707095558313,-0.0494823620483063,0.0903539178174082,-0.0724375013407425,0.0752852346536678,-0.0348672543330439,-0.112699874521198
