"","CDH1","KLF8","SNAI1","GSC","miR34a","GRHL2","ZEB1","TCF3","TWIST1","miR141","CLDN7","OVOL2","miR205","NP63","TGFbeta","FOXC2","SNAI2","TWIST2","miR101","ZEB2","miR200b","miR200c","miR200a"
"miR200a",0.0766485237084865,0.0887477993413307,0.265696094965739,0.119153896867834,0.143197937561197,0.0130747257726069,0.00408813957844477,0.0778934250156136,-0.0783030853081435,-0.0040687217126691,-0.0040687217126691,-0.0765927708895554,-0.0630426069133401,-0.0629750753690003,-0.119423190568406,-0.187893461508532,0.0476547180422004,-0.0516419060989506,-0.0895618910527244,-0.291016937184262,-0.111041801969153,-0.1403110096358,-0.1403110096358
"miR141",0.0766485237084865,0.0887477993413307,0.265696094965739,0.119153896867834,0.143197937561197,0.0130747257726069,0.00408813957844477,0.0778934250156136,-0.0783030853081435,-0.0040687217126691,-0.0040687217126691,-0.0765927708895554,-0.0630426069133401,-0.0629750753690003,-0.119423190568406,-0.187893461508532,0.0476547180422004,-0.0516419060989506,-0.0895618910527244,-0.291016937184262,-0.111041801969153,-0.1403110096358,-0.1403110096358
"GSC",0.060140730291127,0.147472725538413,0.210963597661906,0.0203416053310054,0.0993458700223844,0.0624487073622157,0.0574760501809206,0.0372542929181373,-0.0375881160717279,-0.0574507108144048,-0.0574507108144048,-0.0730762260749818,-0.0692228308925398,-0.0692956292220098,-0.0204901283520737,-0.238028842670623,-0.0172025910893158,-0.0605722475121556,-0.148058312879593,-0.261873753696245,-0.137825087450852,-0.143769813587004,-0.143769813587004
"SNAI1",0.292393671397082,0.351437466736197,0.392401961928967,0.0519930780802963,0.183466510918744,-0.120042753095501,-0.1131461674482,0.313148034049527,-0.314234796193213,0.113058841992945,0.113058841992945,0.109676454156677,0.113667619248246,0.11395063811617,-0.0523500153284253,-0.258064736452723,-0.16838378321031,-0.172676441132999,-0.352834176652931,-0.235605981085112,-0.0869884931331984,-0.0479532509666584,-0.0479532509666584
"CDH1",0.135555251354929,0.0891500072212344,0.167904879180123,0.0128859588084099,0.060153708691877,0.00337399603615441,0.00249278341169029,0.0088425733657646,-0.00911348970042596,-0.00251845282177516,-0.00251845282177516,-0.0160103916759805,-0.0121196699338192,-0.0115290176482517,-0.0133258385064274,-0.121512175392487,-0.0447969121774604,-0.0619901125133459,-0.0899878966457111,-0.0935287254276522,-0.0457258127917707,-0.0459354328292332,-0.0459354328292332
"TCF3",0.234764074633527,0.0860953208853679,0.166097675007124,0.0127047008783755,0.0594861590230028,0.00325387786584632,0.00251845282177516,0.00589000802210536,-0.0088425733657646,-0.00253673903762565,-0.00253673903762565,-0.0161478599301337,-0.0109057971014493,-0.0121196699338192,-0.0128859588084099,-0.120442816410469,-0.0443077071617995,-0.0617374454723577,-0.0891500072212344,-0.0927716725898174,-0.0452924257164679,-0.0453176377843316,-0.0453176377843316
"CLDN7",0.234764074633527,0.0860953208853679,0.166097675007124,0.0127047008783755,0.0594861590230028,0.00325387786584632,0.00251845282177516,0.00589000802210536,-0.0088425733657646,-0.00253673903762565,-0.00253673903762565,-0.0161478599301337,-0.0109057971014493,-0.0121196699338192,-0.0128859588084099,-0.120442816410469,-0.0443077071617995,-0.0617374454723577,-0.0891500072212344,-0.0927716725898174,-0.0452924257164679,-0.0453176377843316,-0.0453176377843316
"TWIST2",-0.093117287993138,-0.0321547613552737,-0.11540404203157,0.00354146484999756,-0.0137697152333049,0.087287496659159,0.0807443843442415,-0.029521070806217,0.0298772824244151,-0.0806997228941757,-0.0806997228941757,-0.0927676394414665,-0.0915762963097438,-0.0915745846550872,-0.00353464269272227,0.066912901638059,-0.059237859063635,-0.0713326977654768,0.0324258935930706,-0.0697187542677639,-0.0695598318405402,-0.0760985992739396,-0.0760985992739396
"TWIST1",-0.217117622197517,-0.215961515502781,-0.349956346301201,-0.0182873700551489,-0.0787297614077278,0.0882197817336007,0.0815131585461654,-0.260165286380013,0.160966711135133,-0.0814298629529342,-0.0814298629529342,-0.0921146907612222,-0.0912055792070457,-0.0914805418906815,0.0185327253816783,0.091641174437927,0.159198844374626,0.158395947028544,0.216926510772412,-0.0605849053615323,0.00416611172261364,-0.0722998843878998,-0.0722998843878998
"GRHL2",0.103384457692935,0.0908578376891648,-0.0776388729258483,-0.0722047036665901,-0.0340061119671106,0.0793238785948298,-0.0267780457006032,-0.0320175132464396,0.0312718054020555,0.026578249645429,0.026578249645429,-0.0453259965014772,-0.205904184965334,-0.205444251265211,0.0721165647285811,0.073540248758893,-0.102862665629804,-0.0452008119466242,-0.0913288091227666,-0.0355414111652283,0.00592796033272118,0.00841179794398555,0.00841179794398555
"miR34a",0.0637407571321655,0.107257961466024,0.292703810805131,-0.0130473118365728,0.105462398499394,0.000694876420121453,-0.00183794899686779,0.126881112664008,-0.127285008328232,0.00186031807233486,0.00186031807233486,-0.0404073978321806,-0.0260711817337186,-0.0261374106587285,0.0129037038983121,-0.178430774895558,0.0424049632424798,-0.0797377741176224,-0.107896598528102,-0.0341774761042734,0.00827311891787885,-0.0529771665554897,-0.0529771665554897
"ZEB1",-0.0591513960223887,0.0181328484367487,0.108967673947281,-0.00597482506051344,0.0187108933387513,0.0136035136530452,-0.0995691892769951,0.0123304017757975,-0.0124451806012075,-0.000489434136196383,-0.000489434136196383,-0.0759147125380693,-0.0636278486820166,-0.0633462071140203,0.00588861086970337,-0.0961298418809273,0.0113793458112015,-0.071523884252199,-0.0182452699070452,-0.00472733092013385,-0.00765407459491656,-0.0024080307017639,-0.0024080307017639
"FOXC2",-0.0591815307583834,0.0180729405237693,0.108867581408897,-0.00593900260960648,0.018488304211374,0.0134354299209064,0.000489434136196383,0.0124768641462346,-0.0123304017757975,-0.000359777662087293,-0.000359777662087293,-0.0758353900641696,-0.0631534653803089,-0.0636278486820166,0.00597482506051344,-0.0957886418025526,0.0114892191991959,-0.0716423638959649,-0.0181328484367487,-0.00464454215012762,-0.0075923473608951,-0.00228984960282803,-0.00228984960282803
"OVOL2",-0.0950464129066012,-0.0964952695752366,0.0663255001682566,0.00106960752838843,-0.0184739974048472,-0.0242458830502499,-0.0128033796749976,0.0323254100372839,-0.0322444806077465,0.0127168318202839,0.0127168318202839,-0.0254680571717604,0.0598346553344969,0.0603694493577686,-0.00116054668182758,-0.0616068992135468,0.103051552813742,0.105950806673683,0.0966301631409232,0.00777143213132173,0.0873440818547203,0.0113720109854568,0.0113720109854568
"KLF8",-0.234764074633527,-0.0860953208853679,-0.166097675007124,-0.0127047008783755,-0.0594861590230028,-0.00325387786584632,-0.00251845282177516,-0.00589000802210536,0.0088425733657646,0.00253673903762565,0.00253673903762565,0.0161478599301337,0.0109057971014493,0.0121196699338192,0.0128859588084099,0.120442816410469,0.0443077071617995,0.0617374454723577,0.0891500072212344,0.0927716725898174,0.0452924257164679,0.0453176377843316,0.0453176377843316
