"","miR200a","miR200b","CDH1","TWIST2","miR101","GRHL2","miR141","TCF3","miR205","NP63","FOXC2","OVOL2","SNAI1","TWIST1","miR34a","TGFbeta","GSC","CLDN7","ZEB1","SNAI2","KLF8","ZEB2","miR200c"
"miR205",0.0276863115115367,0.0208483891369818,0.0701385520791345,0.099290794883592,-0.0539398049869878,0.206761038702936,0.199378019480834,-0.0191445330238237,0.0516814159292035,-0.0517706043148938,-0.10281343867842,-0.065544511900521,0.131376528222168,0.0192351388473071,-0.215466302560719,0.019488090902815,0.0196404476715819,-0.199378019480834,-0.199412801657452,0.0266375913594401,0.0539360500586444,-0.266466667918624,-0.0276863115115367
"miR141",0.205060883035438,0.134547037600006,0.104170392368722,0.0223069382693214,0.0284982739992714,-0.173164358073946,-0.164509180727151,-0.0597041562905291,-0.045955827549782,0.0459416103825526,0.0442080985581602,0.0510830695239027,0.0580232740700728,0.0593033695061406,0.0815252449785786,0.0471663631448007,0.0470254668626445,0.164509180727151,0.164498244228036,-0.121191523925628,-0.0285667153378399,-0.259155789194292,-0.205060883035438
"TWIST2",0.0547548936353394,0.0353226838327656,-0.0796820644860948,0.0819231505324329,-0.0379396275019286,0.12245377881842,0.119487955549078,0.0531510497975001,0.0234162314746767,-0.023334072051162,-0.0617952437790696,-0.0726281879328791,0.0622065145325214,-0.0524357768681583,-0.0848002443237738,0.00807057493629083,0.00822693878104036,-0.119487955549078,-0.119554571061345,-0.023765429469899,0.038127334435788,-0.231632498763459,-0.0547548936353394
"miR200a",0.0105598177305907,0.0387909055426871,0.0326001494927663,0.00425154163273798,-0.00607354422807148,0.198343341556315,0.192486242185699,0.0782619777540429,0.0505651005052044,-0.0505366661707455,-0.0504663934398476,-0.0627094936172335,-0.0686597897893265,-0.0778789379859373,-0.0990410411246025,-0.0870938165259521,-0.0869858717936551,-0.192486242185699,-0.192495393133938,0.0935388172873072,0.00619601820235195,-0.215200088803081,-0.0105598177305907
"GSC",0.0759971681062832,0.0754323615582668,0.0972573433821565,0.0373370696827266,-0.0927818185182545,-0.0289184860745552,-0.0261655536611559,-0.204660381735777,-0.00782165001131742,0.00781590277478033,0.104067706961693,0.0389189967175839,0.133614978393278,0.204850453292128,-0.0594059355215718,-0.0232047081608589,-0.0233165588310461,0.0261655536611559,0.0261517980050473,-0.0276877106565295,0.0927925364230015,-0.144551937693565,-0.0759971681062832
"miR101",0.015299634889299,-0.00195464836563514,-0.0331783211090884,0.00900646462618427,0.0872815360848487,0.107192942024274,0.104597305660426,0.0263068461583479,0.03195818823048,-0.0320605396896444,0.0519828674401466,-0.0589207157652921,-0.0329630323536472,-0.0268819037186634,-0.0315819878490721,0.0165449066442461,0.0165641907834609,-0.104597305660426,-0.104556436869022,-0.064156587976387,-0.187415783898337,-0.143439295937103,-0.015299634889299
"TGFbeta",0.0544256067882003,-0.0405310768092396,0.0544486285361931,0.101413247589061,-0.0540557967072899,0.0192457448422243,0.0197094917403638,-0.099989319125472,0.00284819610052717,-0.00275825333683134,0.0171667788906873,-0.00923944063821667,0.149881464822374,0.100524794359742,-0.132419071405626,0.0837808351547952,0.183851642225077,-0.0197094917403638,-0.0197518630952693,-0.0332488982150425,0.0542420706060926,-0.136469679103125,-0.0544256067882003
"CDH1",0.0505160966979777,0.0283450841423713,-0.0854462344439432,0.0294585431403906,0.00848448675545561,0.0252519229181509,0.0249501639556264,0.0644397759804572,0.00681766775571752,-0.0067919872215624,-0.020555120377801,-0.0179531009639938,0.00617379368300347,-0.0641051146258756,-0.0168334984005969,-0.0051352637028647,-0.0051373096549485,-0.0249501639556264,-0.0249100555023688,-0.0180175498547012,-0.00837125845485065,-0.128733352332219,-0.0505160966979777
"KLF8",0.0504290534098644,0.0283731877411111,0.0145281825962031,0.0292269316861515,0.00837125845485065,0.0252551693551862,0.0250050226031778,0.0641493597171465,0.00641304347826087,-0.00681766775571752,-0.0205013537250739,-0.0180765893956907,0.00620665194069436,-0.0644397759804572,-0.0168070083343718,-0.0051373096549485,-0.00502855489692784,-0.0250050226031778,-0.0249501639556264,-0.0181610639599379,-0.00850536663544967,-0.128633154162506,-0.0504290534098644
"GRHL2",-0.184687382563619,-0.173737809095032,-0.0995675424416643,0.0800193467514118,0.0430355517575274,0.220200167829005,0.21122202312515,0.024884885075506,0.26373130551033,-0.263934370577932,-0.045931791871995,0.0343997041215855,0.0442662667695976,-0.0249484725661124,-0.220338078409101,-0.0144788618681958,-0.0143142249839905,-0.21122202312515,-0.211229665597206,-0.0501295192693815,-0.0431156609172616,-0.064003259998415,0.184687382563619
