"","miR101","ZEB2","ZEB1","miR200c","OVOL2","TWIST1","miR200b","miR205","NP63","miR200a","FOXC2","GSC","TGFbeta","TCF3","miR34a","CDH1","miR141","CLDN7","GRHL2","SNAI1","SNAI2","TWIST2","KLF8"
"TWIST1",-0.0650613433773605,-0.131167905086059,-0.0479240327119315,0.0434793873962349,-0.0438224140845069,0.255950408065085,0.0830539345439814,-0.0182185707400672,-0.0179082557113925,-0.0825683805419765,-0.39976242044553,-0.0228496607222962,-0.0228412001937952,-0.3550721903161,-0.0863145161479114,-0.16003052539686,0.0485863252287788,0.0485863252287788,0.0522174624744075,0.288709799375784,-0.0879776217837059,-0.118561591006755,0.0644439057435408
"SNAI1",-0.363344165900121,-0.0927702664710322,0.332839163342459,0.231828716776797,0.182445596718645,0.411389892327399,-0.150312079215927,0.0418001998064342,0.0433378131365003,0.13751245887662,-0.496660342300456,-0.0183743017243384,-0.0185189110741818,-0.407547138174762,-0.457433008203007,0.204486916668027,-0.329677302406895,-0.329677302406895,-0.319321794747175,0.418834103734898,0.172293735767279,-0.0544171481709468,0.360367617024633
"NP63",0.0163873904897179,-0.0926658864763712,0.15704848400694,0.130015939710014,-0.0203164477854134,0.127550788558642,0.0409653395331901,0.341203247914043,0.241842757802263,0.0692115735141946,-0.077634195322,-0.0181523774047003,-0.018080487909125,-0.126121415732433,-0.155598087820826,-0.0568871307345834,-0.155918331566984,-0.155918331566984,-0.267397544831105,0.0567102337841156,-0.0459227551266936,-0.0760942635886455,-0.0174565280520843
"ZEB2",-0.112711557189312,-0.0868207375389241,-0.0293809161297448,-0.0203830879755781,-0.0174447004620438,-0.0108349198766315,-0.0102949988246592,-0.00985662868534686,-0.00983338728466511,-0.00385561683771754,-0.00208625077593628,0.00635992790661197,0.00637285981702462,0.0109566988234872,0.0176304342180032,0.0231555756503829,0.0295800131963159,0.0295800131963159,0.0309035644835245,0.0399250193704665,0.09616642042658,0.107908386708268,0.112559419808262
"FOXC2",0.0962609963858212,-0.0643704394938898,-0.354314689186891,-0.274135695619744,-0.119327052693437,-0.161314534010851,0.29959320190497,-0.0746893451365417,-0.0758956341037415,-0.318800163339312,0.187861218716276,0.00750043156882584,0.00766868853520701,0.158143060374078,0.353806507108655,-0.213098134320568,0.351649717264957,0.351649717264957,0.338008574266361,-0.19547773064848,-0.0590191748542564,0.124563694025957,-0.0937773854791577
"KLF8",0.0764669386822859,-0.0448024117334072,-0.16184745784094,-0.0622611508088769,-0.0921363152618149,0.0753128362228128,0.104334835975719,-0.0288768115942029,-0.0292814358716596,-0.103274448499004,-0.0141881117250143,-0.0060663428926683,-0.00624760082270274,-0.0773941527765398,0.110527942563676,-0.27278095651006,0.159108182706536,0.159108182706536,0.157322891836949,-0.0368788533737443,-0.107873789896724,-0.0733000151700858,-0.0741870996121026
"CLDN7",0.0764669386822859,-0.0448024117334072,-0.16184745784094,-0.0622611508088769,-0.0921363152618149,0.0753128362228128,0.104334835975719,-0.0288768115942029,-0.0292814358716596,-0.103274448499004,-0.0141881117250143,-0.0060663428926683,-0.00624760082270274,-0.0773941527765398,0.110527942563676,-0.27278095651006,0.159108182706536,0.159108182706536,0.157322891836949,-0.0368788533737443,-0.107873789896724,-0.0733000151700858,-0.0741870996121026
"miR200b",0.221251062422408,-0.0426625526915114,-0.348982450536473,-0.166066007195641,-0.125982713226088,-0.126664378379027,0.227809191276254,-0.0708313615028965,-0.0721819923896923,-0.202789919799565,0.153901629673624,-0.108491731271455,-0.108331518563519,0.123101664860238,0.358265594746456,-0.21468526015728,0.345975806055276,0.345975806055276,0.336508712390936,-0.317166694778344,-0.175170885206649,0.0160534745973438,-0.218439564277529
"GRHL2",0.0708296709001438,-0.0400658251739762,-0.354819056524038,-0.284244036826409,-0.0161956255977663,-0.0935705260631171,0.235070250773008,-0.281353257430825,-0.282521315469251,-0.311353249043929,0.112179292460294,-0.0747546705178316,-0.0746443582620845,0.0905645719617239,0.354557709423574,-0.186353885336557,0.35226668921373,0.35226668921373,0.337370143985259,-0.18785272601713,-0.036288712130361,0.0646749003541389,-0.068471292450388
"miR101",0.315341634462563,-0.0341536721230182,-0.35780692180775,-0.176342709991874,-0.156059944623005,-0.361489405469078,0.209321010801449,-0.0583323578389372,-0.0598518833480701,-0.204362287876836,0.421645892766734,0.00785757365749252,0.00802274650207075,0.357529473995861,0.375212684383722,-0.130881375632548,0.354561807935432,0.354561807935432,0.344087638935725,-0.443939439230998,-0.154097797368398,0.0672671820189959,-0.412295139526763
