"","TWIST2","SNAI2","ZEB2","miR34a","ZEB1","miR141","CLDN7","GRHL2","CDH1","miR200a","miR200b","miR205","TCF3","TGFbeta","GSC","TWIST1","NP63","miR200c","OVOL2","SNAI1","FOXC2","miR101","KLF8"
"NP63",-0.0161805042009315,-0.0225921117062329,-0.111186415977854,0.000414263667618901,0.00511703843860447,0.00515741314300395,0.00515741314300395,-0.145180825550085,-0.0694048767453322,0.0409925061657678,0.112776167225209,-0.314917206331856,0.0544308680882752,0.0850883693370279,0.0849548602738165,-0.0541234519545379,0.215062305214058,0.0348973180648558,-0.0840490272647316,0.0203301666513299,0.00117389830629966,0.0109645716092566,0.0109097440419558
"ZEB2",-0.113651793846925,-0.0909560332697773,-0.0895559327445617,-0.0524252755166739,-0.0440777941936848,-0.0440485801974802,-0.0440485801974802,-0.0439889532323385,-0.0425199343618127,-0.0271795665446284,-0.0178136241719734,-0.0124255975615631,-0.00492250290367076,0.00376695379771506,0.00381190758153046,0.00463185715050857,0.0122086778218667,0.0130155114783544,0.0239873341154339,0.027575543601204,0.0295103021439108,0.0840264593057383,0.084339683325546
"TGFbeta",-0.138118760416494,-0.0995569035569018,-0.0681860253346824,-0.115132463168106,-0.106868362164551,-0.106897010003698,-0.106897010003698,-0.10814833055972,-0.0997712088308907,-0.0178412249956488,0.0876581551985102,-0.0126414714646121,-0.0116464065362599,0.0832824852142945,0.183210809345605,0.011678172016259,0.0128240825302976,0.0899549883096264,0.083743508977918,0.0299959279148535,0.098723557501384,0.0369367342904261,0.0367379959671682
"SNAI1",-0.0970929675521193,-0.0865037975990965,-0.0389974511848018,-0.121960142517304,-0.10286314508134,-0.102854883521913,-0.102854883521913,-0.103941316376878,-0.124273304097551,-0.025263377992417,0.0124022081227785,-0.0131017612094459,-0.000686951257803091,-0.00467921884452045,-0.00465755671519168,0.000721184009860889,0.0130270246252753,0.0780474416010336,0.0799646879437273,-0.0506121978274812,0.119389353257543,-0.0288714427805696,-0.0288118556476466
"GSC",0.00193671622978379,0.000685860461443899,-0.030575563412094,0.00479104812686055,-0.0950365941443304,-0.0950365941443304,-0.0950365941443304,-0.0973016953654706,-0.0139718680522566,-0.0277499623962554,-0.0220683146617608,-0.0171867745835739,0.00320288580370221,-0.0130231266278137,-0.0129687293073401,-0.00331149812161685,0.0170699141073195,0.0663175771745235,0.0695651909117515,-0.10334351740978,0.0612065545379596,0.10061580095808,0.100702518551033
"KLF8",-0.0337318798304973,-0.0203556338304481,-0.026646315409643,-0.0275119928025436,-0.0272939148844083,-0.0272683141822176,-0.0272683141822176,-0.0275432986566028,-0.112205119392213,-0.00104318879986138,0.00482675241868103,-0.00815217391304348,0.0556731140624536,-0.00236604720154917,-0.00198540554847685,-0.0566411682734894,0.00728512188992209,0.0267768676977392,0.0194024585635852,0.0221229082584426,-0.00130622571609288,0.00313822027300963,0.00407697753720275
"miR101",0.0152101325961801,0.0877299128329129,-0.0254583814073452,-0.0332585799710997,-0.104674153997936,-0.104683052847677,-0.104683052847677,-0.107342225274828,-0.011206803529251,-0.0421776834344838,-0.0509246315722281,-0.0319735640466797,0.00688058045602642,-0.0123220879967918,-0.0122784890733498,-0.00687512450194373,0.0318974565514036,0.0633240226698088,0.0587521536293885,-0.0165921051039242,-0.10383030463297,0.0136712100262773,0.113685831075271
"miR141",-0.000257432900637526,0.10383951694316,-0.013201109481106,-0.107651148193877,-0.190023250351103,-0.190075254520364,-0.190075254520364,-0.196157226527003,-0.000582158032975691,-0.0889024332505323,-0.0937313637425857,-0.0502435570968442,0.0486194384228034,-0.116651188490898,-0.116620509461718,-0.0488516285525045,0.0502577742640737,0.0998056419442103,0.0617958800209751,-0.00704341252080646,-0.0829666342922619,-0.0328676224720753,-0.0330081073249264
"miR205",-0.168943498629868,-0.0408064366501053,-0.00462484918583729,-0.244206789596064,-0.234142593565511,-0.234249424536555,-0.234249424536555,-0.237098157193296,-0.125654679219852,-0.118416621095854,-0.112419127815281,-0.060316795456059,0.00439792532355448,-0.000356798112087575,-0.000350449913388956,-0.0043073195000711,0.0605447213306006,0.121393249352025,0.0790962310775671,0.121034264438949,0.110497005677997,0.00718337813817968,0.00679662051880425
"miR200b",-0.157632182772634,-0.126921857629081,-0.00334489577718972,-0.237923940851972,-0.245809790201801,-0.245868936574566,-0.245868936574566,-0.245919478344379,-0.153170516286159,-0.124649016497765,-0.0814436478200862,-0.0610289880291546,-0.0406582133737911,0.107197153721202,0.107233514052081,0.0408134997662664,0.0611000738653018,0.127471790492853,0.0863982969328879,0.092375264100098,0.126468638233525,0.0205432643649369,0.0203865697213721
