"","ZEB2","OVOL2","KLF8","miR34a","SNAI2","miR141","GRHL2","miR200b","FOXC2","GSC","SNAI1","miR200c","TWIST1","NP63","miR205","CDH1","TCF3","TGFbeta","miR200a","CLDN7","ZEB1","miR101","TWIST2"
"TWIST1",-0.09689489882917,0.0863160043345817,-0.000153136205700854,0.0565521415672866,0.0929188383328753,0.0551959236034719,0.0500222528821446,0.0815356777172148,0.066178511422254,0.0275113513505016,-0.0546038682501321,-0.0271355651728709,0.144805173796698,0,0,0.0215855674733975,-0.241090516955178,-0.0259292325208121,-0.0718059439318159,-0.0551959236034719,-0.0501931285735657,0.00138801147334015,-0.136011993532743
"TGFbeta",-0.0845241778725395,-0.0504132220637956,0.00476549645674953,0.107917670562893,0.144681686992384,-0.0355476430722998,-0.0360339972270554,0.134456780200797,-0.0563364791778515,0.0106792943275198,-0.146398137850557,-0.0571215415149731,0.186139378200201,0,0,-0.12859885637436,-0.183636712168844,-0.109647596217591,-0.0302500544265215,0.0355476430722998,0.0388490063320465,-0.00396431095149023,-0.169055354646075
"ZEB2",-0.0830706983702636,-0.074608698647308,-0.0669923576581813,-0.0502440910047889,-0.0437260828214243,-0.0263144377561811,-0.0225827582372648,-0.0199027736246432,-0.0140293738396262,-0.00474607891238442,-0.00364372686814959,-0.0023233633718814,-0.00217362825719527,0,0,0.00177117780381189,0.00565001126010173,0.00639582119788406,0.0186324680867237,0.0263144377561811,0.0313743509979772,0.0681010712521037,0.093923237656493
"NP63",-0.0665509432887678,0.100555753137363,-0.0177123540062322,0.0650992745214276,-0.00137821233056241,0.0661823863696659,0.137776118490579,0.116141173410301,0.0094569993856123,0.0984622669179453,-0.0573204183619801,0.0194369963616605,0.106047518582643,-0.00418403674447556,0.0958159632555245,-0.111089421111387,-0.105273368464838,-0.0978340896589891,-0.0598787642249154,-0.0661823863696659,-0.0645473804831018,0.0177671815735331,-0.0157794980110322
"GRHL2",-0.0196399531185987,0.121590919630323,-0.0757893649881996,0.121553706350271,-0.0763869178268977,0.128316772377908,0.0529787271336219,0.0756838380375604,0.0326522957328225,0.0955748425615386,0.0133542814572093,0.113693102086384,-0.0293889646352328,-0.00853631481530386,-0.00853457921643547,0.0112401837362061,0.0308717093025546,-0.0949124146941129,-0.125896524804434,-0.128316772377908,-0.126262257532952,0.0762145597590962,0.00781825318879921
"miR34a",-0.0182149821978819,0.121112563534335,-0.0177613692121666,0.134734618243052,0.100887824856247,0.121818004825412,0.116289150550354,0.113945798139639,-0.0655761143143674,0.037414185067265,-0.151792634672154,0.104353570098198,0.184271378940028,0,0,-0.0662062254714823,-0.181544886376275,-0.0363678986599374,-0.120442334020506,-0.121818004825412,-0.118382923927888,0.0186804303676675,-0.256748951140302
"SNAI2",-0.0125939397959607,0.0776490640868658,-0.000431925290128189,0.0579692491235661,-0.0556194418256011,0.0522598130103025,0.049527913577559,0.0403717149048441,-0.00105514635501387,0.0127102793663199,-0.0681548883596026,0.0213795369120842,0.127422805355319,0,0,-0.101416620304423,-0.129465333465584,-0.0138612004047773,-0.0342405078501125,-0.0522598130103025,-0.0556090346217887,-0.000162573686667622,-0.0656418568373834
"miR200c",-0.00848089089732685,-0.083363051818276,0.0238022277894486,-0.0129502558064029,0.131519890980139,-0.0112038681265678,-0.00823742987276095,0.0339024835797729,-0.0482070099397043,-0.0908502421356022,-0.089360854893993,-0.00885791840335427,0.0988543142262391,0,0,-0.078384549711625,-0.100784302247003,0.0899230536981874,0.00260466284372806,0.0112038681265678,0.00838783120137573,-0.0244902433508477,-0.0443224142148815
"TWIST2",-0.00508183684035036,-0.0934043629711596,0.0491987983450972,-0.101224943036382,0.0133513210562781,-0.0880604531848992,-0.0863004871283413,-0.0300708695271469,-0.0249075622268964,-0.00977190441406289,0.120009923088968,-0.0479762229666242,-0.216857389695652,0,0,0.095038389298177,0.217130960218428,0.0100248700058305,0.0432327685867213,0.0880604531848992,0.088696798134873,-0.0492309518476565,-0.00968278718659705
"OVOL2",-0.00370296286225565,-0.0160187023250561,-0.0621123015604906,0.0231118900622331,-0.0800937394648245,0.0288511980680656,0.0235038824540959,0.0129245727009002,0.0669448516672049,0.0187586534164236,0.100114024251834,0.0174532019092434,-0.0764234674522295,0.00906664885944927,0.00906556846748307,-0.0374875538100882,0.077928754841626,-0.0181730603829139,-0.0196311249204363,-0.0288511980680656,-0.0269130424205124,0.0627966396498275,0.0785845220637977
