"","KLF8","miR101","ZEB2","SNAI2","TCF3","TWIST1","miR200b","OVOL2","FOXC2","miR34a","NP63","ZEB1","GRHL2","CDH1","GSC","miR200a","miR200c","TGFbeta","miR141","CLDN7","miR205","SNAI1","TWIST2"
"TWIST1",0.0355170510499686,0.0363954058774346,-0.0962717610965149,-0.0269362024972399,0.133525573940781,0.034954413794711,0.0244900554233703,0.0314181873687093,-0.0579176634459779,-0.0444656209569701,0.0199954412173651,0.0131039988856913,0.0111026737132419,0.181623129459538,-0.00797128635071469,0.0497609061529666,-0.0497609061529666,0.00825361732032259,-0.014114035079169,-0.014114035079169,-0.0228864774338786,-0.0284718386961626,0.0577020813638367
"ZEB2",-0.0988292500878065,-0.0985617667185104,-0.0935199463439046,-0.0841407424223766,-0.03081537858688,-0.0303201442030002,-0.0149418987608175,-0.011597005622377,-0.0107162259407377,-0.00931489858856746,-0.00898682092204828,-0.0083467398218928,-0.00555871202527486,-0.00532956109360431,-0.00518987321567985,-0.000881111572837859,0.000881111572837859,0.00528039658856841,0.00806221022860563,0.00806221022860563,0.00820436043242944,0.0217434967505471,0.0978200248423773
"KLF8",-0.157688396088465,-0.157494684272044,-0.0781701875567168,-0.128137925129969,-0.104662180229967,-0.105097804624933,-0.161039548246469,-0.0239742836846056,0.0467582828436222,-0.0210648262753009,-0.0282746921337019,-0.0379524768412182,-0.0360905701505647,0.0928030784448452,-0.206736505826085,0.0581857046094611,-0.0581857046094611,0.206863386377109,0.037758642953203,0.037758642953203,0.0280434782608696,0.00363504247949136,0.147613681276187
"CLDN7",-0.157688396088465,-0.157494684272044,-0.0781701875567168,-0.128137925129969,-0.104662180229967,-0.105097804624933,-0.161039548246469,-0.0239742836846056,0.0467582828436222,-0.0210648262753009,-0.0282746921337019,-0.0379524768412182,-0.0360905701505647,0.0928030784448452,-0.206736505826085,0.0581857046094611,-0.0581857046094611,0.206863386377109,0.037758642953203,0.037758642953203,0.0280434782608696,0.00363504247949136,0.147613681276187
"GSC",0.0781292908464931,0.0784566741187669,-0.0747291393135662,0.0529441427225493,-0.0885791725855726,-0.0880025689566434,-0.0192512132359004,-0.0934630207714026,-0.0493280036876177,-0.102394174006856,-0.111198837490955,-0.145942375946749,-0.136157760085457,-0.0490009876142887,-0.0319564934199053,0.114679292377909,-0.114679292377909,0.0320756785602687,0.145507504151877,0.145507504151877,0.109940192689331,-0.0289457940019566,0.0323034624160244
"TWIST2",0.114031595916292,0.114162816967277,-0.0524372252851826,0.159124569736154,-0.0129865099468773,-0.0126701940299174,0.0402689807940487,-0.0765781789544044,0.0228906979556966,-0.0796435445422529,-0.0921548492753886,-0.125358786243035,-0.118759147281744,0.0228761157223172,-0.00500157178499084,0.0890947587821562,-0.0890947587821562,0.00505751347464818,0.125118044884487,0.125118044884487,0.0914582058301701,-0.0234541041979841,-0.108180544424371
"GRHL2",-0.133243028484362,-0.133708717995344,-0.0457023396554717,-0.126593161174888,-0.0861031163300077,-0.0868863986006592,-0.157462123861876,-0.085781965195107,-0.0571753663693388,-0.107976598890965,-0.0281004427315749,-0.116757749704245,-0.0713082817596947,-0.0724914911553597,0.0358737067565839,0.127470843367681,-0.127470843367681,-0.0360095183277298,0.11735626444439,0.11735626444439,0.0298065364192019,0.0737249497561613,0.12428570990907
"miR200a",-0.0429925593287421,-0.0439093130479885,-0.0206324712261534,-0.13265765419731,0.0181080707745128,0.0167252824224711,-0.0366578678761639,-0.0258290851860636,0.034038215351297,-0.100822140596377,-0.00979660467281274,-0.00391012260108463,0.00237163427297615,0.0193216384670819,-0.137052715021152,0.0118129001915599,-0.0118129001915599,0.13676864993616,0.00500176376785285,0.00500176376785285,0.0129279357550946,-0.0306876453746002,0.124492418398816
"TGFbeta",-0.0305406952450968,-0.0299361706590196,-0.0190204492869147,-0.0973094995288401,0.0234917873060909,0.0242360071232125,-0.0891042912485463,0.00766321566937284,0.0481880543440104,-0.0578695290817307,0.00835402565422698,0.0116451277963626,0.0118325618409828,0.121328950763386,-0.199521198944562,0.00112377173534586,-0.00112377173534586,0.0997544713172075,-0.0123194670519648,-0.0123194670519648,-0.010365472915061,-0.0330604804261614,0.120566342657882
"miR200c",-0.0112785740544532,-0.0116387916258664,-0.00727162671868179,0.0666995312867636,-0.077502523684867,-0.0781074011565087,0.0228799523228789,-0.0288660940478106,-0.0397756574245223,-0.0206889241044671,-0.01644608243759,-0.0151828972972915,-0.00703205385848422,-0.0614733360729158,0.0810788241789076,0.0122619091503828,-0.0122619091503828,-0.0811856326508647,0.0156384359645117,0.0156384359645117,0.0176652045275136,0.0679214466677867,0.0070569141241353
