"","CDH1","SNAI2","GRHL2","miR200a","OVOL2","miR34a","miR200b","TWIST2","TCF3","GSC","NP63","miR205","FOXC2","TGFbeta","TWIST1","SNAI1","ZEB2","KLF8","miR101","ZEB1","miR141","CLDN7","miR200c"
"miR200c",0.0699190638390808,0.25039032390541,-0.210445486588292,0.228563827122703,-0.139703529999233,-0.210842848936595,0.114072040430618,0.235285887127803,0.179000898674046,0.128524544237008,0,0,0.0654733324603625,-0.128499546509529,-0.180117481781844,-0.0985811344208525,-0.250449172169654,-0.197159972960758,-0.198379309439991,0.212270074876099,0.211615893673932,0.211615893673932,-0.014784090311731
"TWIST1",-0.0501730065944663,-0.170386355905089,0.188965469776036,-0.0201776456090913,0.160952518729056,0.0958073027077732,0.0409691657636182,-0.171682182948663,-0.125905779306205,0.013674528333235,0,0,-0.120557307377729,-0.0137111906234061,0.0264294421686233,0.00535747021245275,-0.189144147865878,0.0754785079368207,0.0760600943531927,-0.194906358693067,-0.194698428212186,-0.194698428212186,-0.191147394788
"miR205",0.168056237416966,-0.00754814126177187,0.242100702988658,-0.0371136066083487,0.164232440348428,0.234209116314659,-0.024935612002322,-0.135085055217217,-0.011896034106041,-0.00697428363587138,0,0,-0.101718269902996,0.00692032394693312,0.0122172729347548,-0.094432913009699,-0.180214327634591,-0.0138669193147392,-0.0134426124119293,-0.249507343079354,-0.249370698814066,-0.249370698814066,-0.220723653858447
"miR200b",0.18121091443918,0.17411657926908,0.189093399521062,-0.00472421998428508,0.127171811419294,0.0862503126595879,-0.0568552217481675,0.0569728063024914,0.134669674730702,0.0841316971401097,0,0,0.0243055337380854,-0.0841714662520087,-0.135188774956976,-0.134040340746082,-0.171691215741686,-0.1592594725201,-0.159724153187223,-0.187750860393375,-0.187969813569535,-0.187969813569535,-0.180985692770914
"miR200a",0.18121091443918,0.17411657926908,0.189093399521062,-0.00472421998428508,0.127171811419294,0.0862503126595879,-0.0568552217481675,0.0569728063024914,0.134669674730702,0.0841316971401097,0,0,0.0243055337380854,-0.0841714662520087,-0.135188774956976,-0.134040340746082,-0.171691215741686,-0.1592594725201,-0.159724153187223,-0.187750860393375,-0.187969813569535,-0.187969813569535,-0.180985692770914
"TWIST2",-0.0306062817412586,0.255147335977701,-0.227508102317318,0.189196073197409,-0.179755826971049,-0.15298631889945,0.0377713388803037,0.257417418755717,0.24789070977036,0.0132125792795026,0,0,0.0840864124910903,-0.0131992078512431,-0.248705721952797,-0.0409428497303187,-0.144926582591547,-0.182002949683956,-0.182961471665655,0.230981788156758,0.230533128915013,0.230533128915013,0.0460031562935873
"miR101",0.014194092442501,-0.177616111902138,0.23923647816179,-0.0756911541749757,0.179124355029149,0.167263550722274,-0.0160245071908624,-0.174101131073697,-0.0581920254238099,-0.00418031961953621,0,0,-0.00206555980600738,0.00416355080282776,0.0588412839596501,0.000321191152987019,-0.100091008874613,0.250573676872345,0.151355238400378,-0.244310440920696,-0.243986786459736,-0.243986786459736,-0.175762142065465
"ZEB1",-0.111867897405178,0.0726775858040537,-0.200082741829039,0.233676265600466,-0.134044384130042,-0.198674592544005,0.204119815738168,0.176753232720486,0.0446924915489815,0.0352493972711409,0,0,0.100521367003995,-0.0352372769737591,-0.0449887531245162,0.0651192249658345,-0.0993195638095351,-0.036931035277624,-0.0373006300459844,0.0999867436862472,0.199776880955923,0.199776880955923,0.165349801677832
"FOXC2",-0.111859955759952,0.0723764823972598,-0.199714468483342,0.233452265442232,-0.13378398206926,-0.198372507299707,0.204134691830577,0.176183894298094,0.0441235415715142,0.0353112724136165,0,0,0.100432857676733,-0.0352493972711409,-0.0446924915489815,0.0651636056196465,-0.0992852367585569,-0.0362138519765269,-0.036931035277624,0.199776880955923,0.199362405341968,0.199362405341968,0.165091682290198
"KLF8",-0.206169394400285,-0.445016346273067,0.248497115738527,-0.10879880478694,0.196155169408718,0.18768697177645,0.205977056073748,-0.455190505171563,-0.249356300323855,0.202256138471861,0,0,-0.00957831428467351,-0.202002377369812,0.25327691987855,0.0761968014966775,-0.0414318122316934,0.376388110953284,0.381052095456338,-0.255194956461466,-0.253340734174226,-0.253340734174226,-0.151729112380915
