"","TWIST2","SNAI2","miR101","TGFbeta","TWIST1","ZEB1","CLDN7","SNAI1","FOXC2","NP63","miR205","OVOL2","miR34a","GRHL2","miR141","TCF3","GSC","KLF8","CDH1","ZEB2","miR200b","miR200c","miR200a"
"miR205",0.124884176949835,0.0473917587772959,0.023310557823928,0.011293055234385,0.100775149753765,0.0209905568732167,0.0211439711165181,0.0837820293492674,-0.0809267196190279,-0.0439890045624323,-0.0435926117371424,-0.0303612559514646,-0.0185288037318061,-0.0120320325859239,-0.0211439711165181,-0.100853400237682,-0.011343840823974,-0.0230239316270446,-0.0291365307487564,-0.33268683647179,-0.13826738065048,-0.167271336129502,-0.167271336129502
"miR200b",0.120309602779401,0.124239285868421,0.114594904900229,-0.082476574541095,-0.0475673596698861,0.00311193574314726,0.00314786995452523,-0.0919486395865632,-0.0362899239846263,-0.0402238981623295,-0.0401385951589529,-0.0209575300060873,-0.106364278829987,0.000957000120759587,-0.00314786995452523,0.047574754260004,0.0825095260909541,-0.11452646356166,0.0161338297603987,-0.25901983080356,-0.12143784709499,-0.126962634517565,-0.126962634517565
"TWIST1",-0.0915960844111756,-0.0510007222593987,-0.0526924608397016,0.0181486548951396,0.0258885869636598,-0.00177156740276394,-0.00197974468540254,0.0387461148783224,0.0554457478948912,0.0137350501607301,0.0134168790553801,0.0243408435139837,0.0117494283491891,0.000785361698861636,0.00197974468540254,-0.125492367793188,-0.0179697303849886,0.0524345312475092,-0.146991507287058,-0.208756387953887,-0.0419219084660338,-0.10242722214674,-0.10242722214674
"TWIST2",-0.0852707986372715,-0.109489072646788,-0.0388283780665708,-0.00588946325589221,0.036152671343015,0.0318795955543488,0.0320622232188348,-0.00200099183968372,0.0101980532157739,-0.0186096432055918,-0.0182467724184018,-0.0373022812610031,-0.0248701969758488,-0.028104829497529,-0.0320622232188348,-0.0363193783803317,0.00574838104343931,0.0391577342144074,-0.138120093033208,-0.18076244772755,0.000732237580587613,-0.105266504640891,-0.105266504640891
"TGFbeta",-0.104919447123259,-0.072762067322034,-0.100360796785764,-0.0958793654136895,0.0942340947000987,0.107541612943152,0.107311229422349,0.137421011489108,0.0189811260302827,-0.0112834795006313,-0.0116187207107703,-0.0828175938766322,0.0595332029972937,-0.105344627837369,-0.107311229422349,-0.0937916469429685,-0.00390734457705774,0.100092811659977,-0.113781452445993,-0.167062710230758,0.0751853302060841,-0.132743391740966,-0.132743391740966
"GRHL2",0.0962715792924582,0.0956119843325385,0.0899919076135741,0.0771321877843128,0.0770163262912116,0.100527508809256,0.100421169269508,0.0638625798868128,-0.00358609200209447,0.127402578073208,0.127220340192027,-0.0730390173117944,-0.0960328655372123,-0.116861468778845,-0.100421169269508,-0.0769093836933736,-0.0769365082552741,-0.0902040648388041,0.105528406192003,-0.161850043179891,0.0179952365743097,-0.152526105788912,-0.152526105788912
"NP63",0.145281631303108,0.12496017470661,0.167510967733729,0.0215112645515693,0.0614888955868068,-0.0281434511550244,-0.0282550753377759,-0.0767651694995955,0.0812087448786668,-0.160596578376941,-0.0608330358146024,0.0742882023740534,0.00210265965960487,-0.0342696388817874,0.0282550753377759,-0.0615629447285099,-0.021365773905762,-0.167716571111108,0.0451740490588216,-0.154248282718463,-0.151447290889699,-0.0380078592094488,-0.0380078592094488
"SNAI1",0.01437421157946,0.0940203095787447,-0.0170139290127353,0.0133291214505799,0.0276639595789535,0.0797879330285222,0.0799249822620117,-0.0700709504116142,-0.0348698119099842,-0.00906592525753124,-0.0087927079088422,-0.067744677928926,0.0248439583484646,-0.0783722396388867,-0.0799249822620117,-0.0278279702268722,-0.0134315774676754,0.0172419823853358,-0.0918246463403387,-0.137775580852757,-0.0497293294367964,-0.103579869677261,-0.103579869677261
"ZEB1",0.0981929126098939,0.0233937500588577,0.00376396487541526,-0.0238127571204366,0.076488679912819,-0.086518113792259,0.0133614582659136,0.0623988692476346,-0.0805128761141522,-0.0390168282378897,-0.0392122529993565,-0.0314154435331541,-0.015043552491323,-0.00367737213432311,-0.0133614582659136,-0.076358276744683,0.0239163513603225,-0.00391606451169874,0.10011689780642,-0.135373295144371,-0.0284159096754663,-0.055170413886055,-0.055170413886055
"FOXC2",0.0981945029406827,0.0232795632117926,0.00391606451169874,-0.0239163513603225,0.076358276744683,0.0133614582659136,0.0135361756785656,0.0624210595745406,-0.0804095026250604,-0.0392122529993565,-0.038873407783851,-0.0317356712981566,-0.0152135518798144,-0.00387038513909367,-0.0135361756785656,-0.0765892366365262,0.0238392788144317,-0.0036815678237505,0.100108085843909,-0.135206960389999,-0.0284034274370077,-0.0552890894665764,-0.0552890894665764
