"","miR200c","miR200a","SNAI2","TWIST2","miR101","TGFbeta","SNAI1","ZEB1","OVOL2","TWIST1","NP63","miR205","TCF3","miR34a","miR141","CLDN7","GRHL2","FOXC2","GSC","KLF8","ZEB2","CDH1","miR200b"
"miR141",0.243175769467723,0.00435360154705212,-0.0467822828115339,0.0648959007425316,0.00823316540300777,0.00809032492923299,-0.0222568141342223,0.233715056874234,0.157112963032868,-0.00804372954745277,0,0,0.00818422675969229,-0.20629376128192,-0.233978202434573,-0.233978202434573,-0.229814724008353,0.0344042277508656,-0.00855505540828035,-0.0079954218058751,-0.255651581643856,-0.156660232361708,0.0130593240123299
"miR205",0.0223516666088867,0.220821346155333,-0.0257702024375471,-0.13407920970738,0.0112209672723766,-0.0379967531530988,-0.128374608294655,-0.198851481905496,-0.134151062707781,-0.00567839990952266,0,0,0.00577724262604998,0.184022696597685,0.198839059699561,0.198839059699561,0.198752665504661,0.127422013534199,0.0381633933689376,-0.0110870414947935,-0.252026698938139,-0.00479400338614649,-0.207636782557722
"GSC",0.0466876229617682,0.157227958438589,-0.0858579627154024,-0.051183359677927,0.0246253182820758,-0.0123866487882938,-0.0459636766476688,-0.108626744443196,-0.10684743200563,-0.0958631459886275,0,0,0.0959126604276768,0.0299063171096871,0.108571721818762,0.108571721818762,0.108158746227996,0.159489880049714,0.0123780919064216,-0.0245405493990764,-0.222510523473138,-0.0410263793251529,-0.125559592767543
"miR200c",0.217817488017996,-5.90039326924773e-05,0.228018893042692,0.191992349087478,0.0588923378591191,0.175514765494412,0.174911962397224,0.215867178574483,0.145995399658376,0.0368784272391347,0,0,-0.0369242736978655,-0.0942864142521659,-0.21599953253316,-0.21599953253316,-0.213827569442465,-0.167859789933251,-0.175886322625582,-0.0588905367712621,-0.221648670931231,-0.136364803607959,-0.065590778191671
"TCF3",-0.0265084492534031,0.196913006842445,0.257812774485356,0.202807023940364,0.219219388915452,-0.260483750022229,0.0331904093831241,-0.21984398856897,-0.174005002193327,0.0864447897747336,0,0,-0.0873644412752176,0.152407702256192,0.220703440713943,0.220703440713943,0.218912713582245,-0.033436615720431,0.260936894847315,-0.220187947997556,-0.1764481052106,0.00596124147138219,-0.351691196448646
"CLDN7",-0.0265084492534031,0.196913006842445,0.257812774485356,0.202807023940364,0.219219388915452,-0.260483750022229,0.0331904093831241,-0.21984398856897,-0.174005002193327,0.0864447897747336,0,0,-0.0873644412752176,0.152407702256192,0.220703440713943,0.220703440713943,0.218912713582245,-0.033436615720431,0.260936894847315,-0.220187947997556,-0.1764481052106,0.00596124147138219,-0.351691196448646
"SNAI2",-0.0255501028931881,0.196237595027554,0.157751052049127,0.202518332058263,0.218653850310755,-0.259433368651626,0.0334653533638535,-0.219052329191842,-0.173113681423114,0.0859945136214577,0,0,-0.0861101284201519,0.151258558122366,0.219296909266536,0.219296909266536,0.217663484759198,-0.0327361764979157,0.259847458924167,-0.218789121373154,-0.176369171473253,0.105448479581702,-0.350888093541961
"miR101",-0.0358361501100124,0.163333941858422,0.0809788643812637,-0.0512412520690512,-0.00138450482853426,-0.0568685886955718,-0.0342962031828724,-0.199223254718488,-0.148398347756779,-0.00574637891395264,0,0,0.00577584106599917,0.123845129735374,0.199265112270975,0.199265112270975,0.199397851630396,0.018718841372131,0.0570278924543021,-0.098584923887206,-0.133140257775316,-0.0204039020890798,-0.163240772771264
"TWIST2",-0.0617630269194124,0.17626392014921,0.185079233388196,0.110846814834105,0.0885542028846584,-0.0853939380607653,0.00502391696139439,-0.233012542159437,-0.18089940773538,0.0939880147344022,0,0,-0.0940464334397867,0.144450398000969,0.233188282274997,0.233188282274997,0.230351465078987,-0.0202464845258255,0.0856818330977823,-0.08864544931084,-0.122831650843482,-0.0326701980301835,-0.18525922496499
"ZEB1",0.214378912122897,-0.21384444237161,0.101236325456621,0.195975692819978,0.0270133956555632,0.102598312008016,0.166683115694827,0.120039755643142,0.146097724736423,0.0177128945075726,0,0,-0.0178000302650828,-0.188348071056875,-0.220045118094892,-0.220045118094892,-0.215352571940583,-0.1665616169775,-0.102746271110016,-0.0271059780428662,-0.000608374114630425,-0.142833906353824,0.180345865195805
"FOXC2",-0.214340342559227,0.214092177645948,-0.101448763315852,-0.196308867120232,-0.0271059780428662,-0.102746271110016,-0.166873858079295,-0.220045118094892,-0.146210699168947,-0.0178000302650828,0,0,0.0178225629374577,0.188362747263076,0.220224936745869,0.220224936745869,0.215512345915178,0.166986596877099,0.103259726239683,0.027083726532331,0.000471065910717646,0.142814433004571,-0.180409986283777
"GRHL2",-0.11007280994638,0.0991774603255064,-0.0643360111195219,-0.0799571123755689,-0.0248980727472334,-0.140648230813422,-0.119433180554138,-0.10485431756515,-0.126351644117682,-0.0129030764176266,0.0255409753580788,-0.0256364332958402,0.0129811156106435,0.0861840553366063,0.104906941444163,0.104906941444163,0.0770945545259278,0.122956733104856,0.140868300991973,0.0249535329347417,0.0181502033284694,0.0920625864196783,-0.0768561198736839
"miR34a",-0.074730825822955,0.0396051526962956,-0.247509939886963,-0.280464328040439,-0.0842526153506602,0.00452523196657565,-0.116714461402288,-0.0277331591986473,-0.0546474402236232,-0.0509123060216965,0,0,0.0510453632678052,-0.0529218452420588,0.0275879981769993,0.0275879981769993,0.0313564631434708,0.12394740333401,-0.00462720567063468,0.0844062723881525,0.0423247392743257,0.0242695571535748,0.0925651010239014
"OVOL2",-0.113231557012335,0.066435921914374,-0.105425618393511,-0.117343180531358,-0.099627870148045,-0.0245974070162739,0.0376106162814477,-0.0831942613729863,-0.114881672293247,-0.020734566821126,0.0240834337367673,-0.0241428552949085,0.020748954275266,0.105685144945251,0.083206081880616,0.083206081880616,0.0587443689031805,-0.0428358853322509,0.0246725007111592,0.099627870148045,0.0627945844856014,-0.0571473441781707,0.0162173740976416
"TGFbeta",-0.063243605863649,-0.0277381907573007,0.213398662572811,0.136917630516231,0.0585796471186828,-0.133686636442204,0.0945099308411204,-0.0308327812528083,-0.0211795930721689,0.0408540202101017,0,0,-0.0409810821300981,0.12007046185627,0.0309966057221799,0.0309966057221799,0.0292313250918677,-0.101262987543728,0.0338521425389966,-0.058747916848828,0.0893998432058568,0.0356059498938251,-0.119756598064275
"SNAI1",-0.0882607084212199,-0.0104080827710164,0.061645681473568,-0.0232565074453244,-0.0221948984466966,-0.0451228113620749,-0.102852567742848,-0.0820396590858663,-0.0854610206680426,-0.011584101118086,0,0,0.0115866558010753,0.0902753329613204,0.082060119957345,0.082060119957345,0.0811525687845322,-0.0103656927992545,0.0451686726268701,0.0221945864721787,0.0984739948075415,-0.0467099982127452,-0.0148177184665123
"TWIST1",-0.0992827970471086,-0.00151001192131941,0.0325999042294954,0.0486843923263373,0.0338802170043058,-0.0491717887278642,-0.0192607521766917,-0.0989626409752138,-0.103389945871911,0.0827225171260823,0,0,-0.18273967300769,0.0179713931777866,0.0990488981895377,0.0990488981895377,0.096298668430184,-0.0776264934044001,0.0493538467670897,-0.0339240351589639,0.100998739073748,0.183353931680267,-0.0116016993015393
"KLF8",0.0265084492534031,-0.196913006842445,-0.257812774485356,-0.202807023940364,-0.219219388915452,0.260483750022229,-0.0331904093831241,0.21984398856897,0.174005002193327,-0.0864447897747336,0,0,0.0873644412752176,-0.152407702256192,-0.220703440713943,-0.220703440713943,-0.218912713582245,0.033436615720431,-0.260936894847315,0.220187947997556,0.1764481052106,-0.00596124147138219,0.351691196448646
"CDH1",0.0258736701522843,-0.196549972640802,-0.257650404512278,-0.202413986321049,-0.218789121373154,0.259847458924167,-0.0332725550273513,0.219296909266536,0.173457459147124,-0.0861101284201519,0,0,0.0864447897747336,-0.151628894309172,-0.21984398856897,-0.21984398856897,-0.218149800878937,0.0327018047998265,-0.260483750022229,0.219219388915452,0.176461464966562,-0.105615397754841,0.351154269799038
"ZEB2",-0.293010869514759,-0.239371136753554,-0.219609143946613,-0.192188561486286,-0.148995258115418,-0.0876130780444231,-0.0753734124052335,-0.0617524060101767,-0.0475054256639151,-0.0263167286636358,0,0,0.0262793831199334,0.0308194634968767,0.0619362823392294,0.0619362823392294,0.0624196200051589,0.0733141564061311,0.0879696292886576,0.148863007973722,0.226337436169971,0.243312802956429,0.275531456517641
"NP63",-0.0345041634202055,-0.156393574242268,-0.249076469412204,-0.210880729348166,-0.214783450219808,0.0315018467761128,-0.073917501632794,0.101910449737243,-0.0237312819421759,-0.0805531900577217,0.0215802590359401,-0.12148890048048,0.0806407026797345,-0.0954488407685284,-0.102116394658003,-0.102116394658003,0.0354566913319084,0.0749936733522883,-0.0317431900826872,0.214895846732774,0.253957148801916,-0.067789346702542,0.248646908867305
"miR200b",-0.0286796170510807,-0.218575408205773,0.155791130765913,0.136114858950721,0.020358331080862,0.122140655123923,0.148462934768988,0.191634515111914,0.129351610110564,0.0265734013385967,0,0,-0.0267375612392134,-0.0834708004030584,-0.191560191556704,-0.191560191556704,-0.192297072907946,-0.139376902281547,-0.122213375785681,-0.0205726605358528,0.254949211936428,0.0133949835047719,0.133953579271217
"miR200a",-0.0286796170510807,-0.218575408205773,0.155791130765913,0.136114858950721,0.020358331080862,0.122140655123923,0.148462934768988,0.191634515111914,0.129351610110564,0.0265734013385967,0,0,-0.0267375612392134,-0.0834708004030584,-0.191560191556704,-0.191560191556704,-0.192297072907946,-0.139376902281547,-0.122213375785681,-0.0205726605358528,0.254949211936428,0.0133949835047719,0.133953579271217
