"","miR101","KLF8","ZEB2","TWIST2","SNAI1","CDH1","TCF3","TWIST1","miR200a","NP63","miR200b","ZEB1","GRHL2","miR141","CLDN7","miR205","miR200c","TGFbeta","GSC","OVOL2","FOXC2","miR34a","SNAI2"
"CDH1",0.343270610767775,0.343105620958322,-0.172485864003144,0.376916844979166,0.04667574729621,0.278528439239378,-0.1953989437777,-0.19483055068341,0.105962746793193,-0.0427338380761969,0.339105021971296,-0.0476040879871847,-0.04359356875212,0.0474645105698483,0.0474645105698483,0.04229726899556,-0.105962746793193,-0.279648856592508,-0.278959370740267,0.0423923200078091,-0.056169845837025,0.0115345690237794,-0.404019349977651
"TWIST2",0.166439643076359,0.166591720453329,-0.1450978927365,0.16157848167914,0.112805262774902,0.16381954743253,-0.253860146357597,-0.253392796714521,0.105312447777711,-0.0803418807423767,0.140491185689325,-0.0762234743508569,-0.0689384165408349,0.0761252191607122,0.0761252191607122,0.0800252246309137,-0.105312447777711,-0.0744404198532833,-0.0745607627076193,0.0877547955523812,-0.0510638959510937,-0.0170763452586383,-0.193285404639881
"miR101",0.0050659603479092,0.105225462700569,-0.142046734049088,0.081718109918716,0.030960998043051,-0.0167817837312596,-0.0384941845009819,-0.0383403265958501,0.111572554776903,-0.0883747087239255,0.125484366258206,-0.090075477440513,-0.0821334207133687,0.0901031627508192,0.0901031627508192,0.0882986012286494,-0.111572554776903,-0.0637370595358253,-0.0636859146448646,0.093664396229995,-0.0143215246906551,0.0505451685898293,-0.0921628795870331
"ZEB2",-0.0825532154083324,-0.0824766495368238,-0.074190697984703,-0.0515209768858582,-0.0448513618200923,-0.0398538336728135,-0.0274503845357306,-0.0270136040463416,-0.0148430540446077,-0.0141546455037569,-0.013292782587821,-0.00382277012174669,-0.00124557407686153,0.00372334433634436,0.00372334433634436,0.0137750359592884,0.0148430540446077,0.0152053429941691,0.0154005532608743,0.0208928409596894,0.0227432447294427,0.037634436970944,0.041828426281143
"miR34a",0.150665641691829,0.150797210530181,-0.0731791124784157,0.244010991189447,0.116975904353606,0.0414229889058997,-0.152817450086544,-0.152364740521382,0.117489236132428,-0.0824565937019063,0.138032791357072,-0.0791414225827684,-0.0703121619404094,0.0790252937654499,0.0790252937654499,0.0821405871168589,-0.117489236132428,-0.0566073290796466,-0.0568511005378705,0.0902445340158632,0.041235454709116,-0.0164910912005976,-0.171517244940499
"TGFbeta",0.148300810568376,0.148085453012512,-0.0376237738111889,0.238840408863856,0.00750488052448126,0.142585122754739,-0.139272358734537,-0.139506061908816,0.0172377220357983,-0.000907495935322437,0.168243577168637,-0.00225157447047148,-0.00145250274686147,0.00232207903268275,0.00232207903268275,0.00091022147361625,-0.0172377220357983,-0.127846959556113,-0.0272322846821974,0.000759082318522277,0.00996462108525909,0.0502901019990478,-0.275952332039018
"miR205",0.00957188799802694,0.0101338756067634,-0.0309433030299296,0.0623143934622318,0.109319085891423,-0.0292124916000622,-0.077137807879731,-0.0760381826583645,0.0154338886955762,-0.0471039666284112,0.0104400472054441,-0.00148343049017435,0.00636759441035334,0.00127535854075757,0.00127535854075757,0.0463904595428895,-0.0154338886955762,-0.0199952518289108,-0.0208236917590806,0.0678665508512956,0.0807351189101097,-0.0142686881427269,0.0198356550188963
"GRHL2",-0.143988753727554,-0.143700888944773,-0.021277269223419,-0.0827779107431029,0.00455449578710863,-0.182710601105197,0.0125281079218749,0.0127882385652647,0.0943666692508172,-0.0787638333171671,0.0260762980892054,-0.0877194385958654,-0.0363758044020323,0.0877026251573425,0.0877026251573425,0.0786128362156172,-0.0943666692508172,0.120853154916015,0.120505588160471,0.204942144778577,0.0409934948791443,0.0875322262927037,0.15922447016483
"miR141",0.0714965927690184,0.0713398981254537,-0.0132687321632179,0.0830926828587761,-0.0558186544083306,0.148602254225369,-0.0395119424172653,-0.0395104634992417,0.002189940319667,0.0521388270348883,0.0538215918243398,0.00575465919377609,-0.00385255171045228,-0.00575175767360272,-0.00575175767360272,-0.0521708156611546,-0.002189940319667,0.0755332025620029,0.075897942131133,-0.0742184781587806,0.0108540928306988,-0.0152636974237005,-0.184824409098004
"OVOL2",-0.154187458918035,-0.153946185873718,-0.00218729523029553,-0.129364152175566,-0.06833836508924,-0.251828529378828,0.0170243242447594,0.0173318560770017,0.103174008443095,-0.269272721684889,-0.0271790461934533,-0.104592136579785,0.0415284171124024,0.104531403626791,0.104531403626791,0.269146315824843,-0.103174008443095,0.237136912554932,0.236660170932357,0.253911611119267,0.0389330023875848,0.128592493035152,0.16350686728031
