"","CDH1","miR200a","KLF8","SNAI1","TWIST2","SNAI2","GSC","CLDN7","ZEB1","miR205","NP63","OVOL2","FOXC2","miR141","GRHL2","miR34a","TGFbeta","ZEB2","TCF3","TWIST1","miR101","miR200c","miR200b"
"SNAI1",0.19508166637629,0.148575557621103,0.152613362982242,0.280664193611377,-0.00884562820773174,-0.133685883557112,-0.0412398042237278,-0.121448837487235,-0.121449532384757,-0.103757409203695,-0.104294042381837,-0.0872789018274156,0.184169344457568,0.121448837487235,0.126942611465965,-0.146849404905161,0.0413438214753696,-0.188426370795549,-0.306375619010591,-0.306332189399771,-0.152436473430581,-0.0236845921087619,0.0282973729629167
"miR205",0.0269147161512868,0.095871139310459,-0.0020532129057075,-0.141718519956478,-0.0552413065729412,0.0369783351705851,-0.00475146392166871,-0.00289261904312814,-0.00274852145427831,-0.0123517463469151,-0.0138580390830166,-0.0191481358014842,-0.101785676089776,0.00289261904312814,0.00624432556916813,0.0241903011317005,0.00480066246158301,-0.185918584999568,0.119726908521983,0.119747500754593,0.00265024651231617,-0.0926482146887564,-0.0970696061139992
"miR141",0.0929673161880293,0.0823872908287365,-0.0762256010638808,-0.135755842598619,0.0182363801269894,-0.0440577154388539,-0.0495294801520923,0.0194811928260414,0.0195698007882592,0.023917047964025,0.025249907391784,0.026152229233768,0.00443010101902633,-0.0194811928260414,-0.0235961770640292,-0.00892893562961197,0.0491681493639821,-0.184065956616848,0.102499264195555,0.102074814722789,0.0757303019031877,-0.104235982158562,-0.0869988603885194
"miR200c",-0.0153336761898642,0.090219796371105,-0.119218041814434,-0.300458449466722,-0.0610294134259485,-0.0273445921789333,-0.113799752163716,-0.00463570460072144,-0.00435202520530897,-0.0138024114577873,-0.0147158644522782,-0.0187513465284072,-0.0467453794141376,0.00463570460072144,0.00977792354888542,0.152768563031296,0.113596361562861,-0.170084808031961,0.251477336873869,0.251816009101268,0.119873637794406,-0.0850187166825137,-0.0379739920072875
"NP63",-0.00532507707214962,0.0146260293238448,0.0684029097046884,0.194891125307803,0.032933379032775,0.0143682588591041,0.117982140839368,0.0498973102159513,0.0502057186722466,0.148419825674538,0.0485380543933685,-0.0657862322661455,0.0514626315508614,-0.0498973102159513,-0.169435333064357,-0.0855012394782215,-0.118481943999082,-0.12788012912153,-0.205634492029861,-0.206834985690806,-0.0686715647844625,-0.0747480755598467,-0.132258729957761
"miR101",-0.0400897780803845,0.0267304882459044,-0.227915316008848,-0.357679996923617,-0.00700991988462356,0.136657882834659,0.00644661280433338,0.00904848270314253,0.00911670721782563,-0.00595846251781891,-0.00709220175779372,-0.016719283662675,-0.177747879117716,-0.00904848270314253,-0.00664069080125443,0.0994803815814358,-0.00638289130084128,-0.0565648772337731,0.299616884350054,0.299526315512282,0.128304767586592,-0.0373159241237493,-0.059276952442665
"SNAI2",0.0392872625736876,-0.00630070247409323,0.0565368529948725,0.201298546621232,-0.00252672678426219,-0.131325539409998,0.0144617273291038,0.0274352213317319,0.0273167876725774,0.0324575493477377,0.0308053966660416,0.0339332515278926,0.0600063995846139,-0.0274352213317319,-0.0300411092605581,-0.0893517716639678,-0.0140381573624982,-0.017855777648565,-0.204763563721504,-0.205294031621395,-0.0563183382017678,-0.0216837398593154,-0.00661327799923761
"CDH1",0.0388033435895685,-0.00610768108322025,0.0559965922462716,0.200909833115998,-0.00171373086050214,-0.0316442189143149,0.0135962895976555,0.0269763806264648,0.0274352213317319,0.0309937589008964,0.0324575493477377,0.0330309610205936,0.0594195346653874,-0.0269763806264648,-0.0294706504690751,-0.0887887683643992,-0.0144617273291038,-0.0177782320845994,-0.203812700507693,-0.204763563721504,-0.0565368529948725,-0.0213433881314475,-0.00660972898247657
"TCF3",0.138953998797596,-0.00760015502330899,0.0539849695372864,0.200080162109304,-0.00276651019795301,-0.0308910317488756,0.0157351331720619,0.0287647725366429,0.0269763806264648,0.0313405797101449,0.0309937589008964,0.0347015498041161,0.0594494050280136,-0.0287647725366429,-0.0310971154237873,-0.0897530067749953,-0.0135962895976555,-0.0176023286311025,-0.202167008348932,-0.203812700507693,-0.0559965922462716,-0.0219272150639147,-0.00695436785123276
"CLDN7",0.138953998797596,-0.00760015502330899,0.0539849695372864,0.200080162109304,-0.00276651019795301,-0.0308910317488756,0.0157351331720619,0.0287647725366429,0.0269763806264648,0.0313405797101449,0.0309937589008964,0.0347015498041161,0.0594494050280136,-0.0287647725366429,-0.0310971154237873,-0.0897530067749953,-0.0135962895976555,-0.0176023286311025,-0.202167008348932,-0.203812700507693,-0.0559965922462716,-0.0219272150639147,-0.00695436785123276
