"","TWIST2","ZEB2","miR101","SNAI2","miR200a","OVOL2","miR34a","SNAI1","miR200c","CDH1","NP63","GSC","miR141","CLDN7","ZEB1","TGFbeta","TCF3","TWIST1","GRHL2","miR205","miR200b","FOXC2","KLF8"
"GSC",-0.0623946161920498,-0.123138796320569,0.0300425050547129,-0.113807938126081,0.111360729094074,-0.0741619258866777,-0.0104951065438633,-0.0679100066188891,0.00919123787834985,0.0398030871223028,-0.081877770584335,0.0255756819307324,0.10165837747443,-0.10165837747443,-0.101603354849995,-0.025597074135413,0.210392981225623,0.210242840668505,-0.0948749641508045,0.0823624541989636,0.01876570559058,0.0108706577809963,-0.0302568631496541
"miR34a",0.199822127847381,-0.102360777650415,0.138121402289363,0.0387333707558711,0.0144112372801918,0.0138881484257765,0.0943881566580218,-0.299200388140031,0.0676666900536501,0.0451497344124552,-0.001497509202027,0.0128951943140402,0.0228282049706638,-0.0228282049706638,-0.0227770416597551,-0.0128583872374272,0.096622830624111,0.0965590576244968,-0.020577481416559,0.00162429028704601,-0.0575655705266973,0.244932575744943,-0.138090670881864
"ZEB2",-0.095052076987103,-0.0871459695238915,-0.086036021751221,-0.0819706620805926,-0.0083249301825523,-0.00753456998598398,-0.00581377327580436,-0.00569572486188856,-0.00561944205552445,-0.00327913588221242,-0.00312208501477052,-0.001051862653366,-0.000450122613143318,0.000450122613143318,0.000531381711830161,0.00105247845862375,0.00111954093575542,0.00117312367237192,0.00132165844410623,0.003354499021588,0.0129058068623949,0.0147950497329126,0.0860688356961532
"TWIST2",-0.129809325689124,-0.0857245078513191,-0.0122171765373171,-0.162246739298152,0.0755157395182795,-0.052220680677307,0.0554945721924848,-0.188307853127912,0.00740802202453447,-0.058074807924105,-0.0550022009186802,0.00359110384197331,0.06791193506471,-0.06791193506471,-0.0678870753178059,-0.00360884145088905,0.107427244222005,0.10736882551662,-0.0634442285176501,0.0551442682551744,0.0515950235048207,0.120823549584789,0.0121424413692064
"ZEB1",0.0948769974781183,-0.0177684936242367,0.0474084718936828,0.0120904745180492,0.0104277519870459,0.0278211661652553,0.0227671455856432,-0.141177895306554,0.00174000851371175,-0.0583154582497175,0.00847351020206062,-0.0299092742528294,0.00669756601202297,-0.00669756601202297,-0.106709290694661,0.0298939523674599,0.0160678552257241,0.0158713490691322,-0.0107959018382255,-0.0082579681857369,-0.00208997869441212,0.134551654676557,-0.0476502147938628
"KLF8",-0.202406500604071,-0.012934961799699,-0.268045325363907,-0.194736606838748,-0.0579219131178433,0.0793408491587046,0.00703354331476138,0.186054370063135,0.0724275760350888,-0.251470201788278,0.095252157158415,-0.219570642439015,-0.128325414281015,0.128325414281015,0.128636279950474,0.219461887680995,-0.00190584425231006,-0.00185744154175827,0.118849910840926,-0.0922463768115942,0.150170700781543,-0.100515478070978,0.267583397186288
"miR200a",-0.0279876775428187,-0.00672312866354443,-0.099544355027507,-0.111040547724293,-0.00446318590962575,0.0260247186873804,0.0129108437593938,0.0774802946616495,0.00995498864705003,-0.101069486069504,0.014963248264103,0.0660606796041159,-0.0126199268772992,0.0126199268772992,0.0126420230693888,-0.0660390906576565,0.0147338248719492,0.0148743220841887,0.00537873038074013,-0.0148317394672307,0.0303847203598692,-0.07795688846088,0.0996704311775016
"miR200c",0.122225119574583,-0.00594758370884302,0.14222965211247,0.120687029140268,0.0103804640477784,0.0181732539172515,0.115713913091482,-0.181680709262658,-0.00563235651015073,0.0431410222595677,0.000806825426203796,-0.104117619689812,0.0128967402577753,-0.0128967402577753,-0.0129442805498467,0.10416307010341,0.00155460634875992,0.0018222905110268,-0.0170540986812896,-0.00159232391562978,-0.0673619521102492,0.151860351677163,-0.141813600817488
"miR200b",0.122225119574583,-0.00594758370884302,0.14222965211247,0.120687029140268,0.0103804640477784,0.0181732539172515,0.115713913091482,-0.181680709262658,-0.00563235651015073,0.0431410222595677,0.000806825426203796,-0.104117619689812,0.0128967402577753,-0.0128967402577753,-0.0129442805498467,0.10416307010341,0.00155460634875992,0.0018222905110268,-0.0170540986812896,-0.00159232391562978,-0.0673619521102492,0.151860351677163,-0.141813600817488
"miR101",-0.0431249388258689,-0.000767234472043134,0.0921738326500347,-0.115427941392803,0.0607678919168023,-0.067616001089167,0.0200071265012312,-0.207764179046628,-0.0599939487512173,0.0661637163456346,-0.0787397371370522,0.0172594718626394,0.117755047146422,-0.117755047146422,-0.117722418030704,-0.0172754022385124,0.223151993235936,0.22289556339405,-0.106872534925679,0.0792121284870416,0.0915306473941752,0.228426212891745,-0.192480874678905
