"","TWIST2","SNAI2","miR101","OVOL2","miR205","ZEB2","miR200b","SNAI1","CLDN7","miR200a","TWIST1","TCF3","TGFbeta","GSC","miR200c","GRHL2","miR141","ZEB1","miR34a","FOXC2","CDH1","NP63","KLF8"
"TWIST2",0.155803324939266,0.127604003214869,0.0339746814891435,0.172687947741349,0.144054997405784,-0.13172684177292,0.126456983340612,-0.0547717315034091,0.113998348554786,0.126563003463387,0.08557442599755,0.0861728615161229,-0.0326720187624441,0.0325915173065957,0.0053823369510952,-0.0970688042114427,-0.113998348554786,-0.113824545562361,-0.088133504188588,0.0624447567073016,0.102735959661516,-0.143752034531574,-0.0342623249850114
"ZEB2",-0.149713810175325,-0.143501987838885,-0.140910729247104,-0.121381242792276,-0.085742734266187,-0.0793400732613737,-0.0478468441723469,-0.0314885742586208,-0.0283542744955002,-0.0225500139059553,-0.00668936778438415,-0.00616815389184189,-0.000979560810318062,0.000726464849384748,0.00142804462511294,0.0148079048238555,0.0283542744955002,0.028432096653457,0.0361623972729856,0.0434474494991697,0.0440748954050262,0.0859906425401256,0.141060877904218
"GSC",0.0363959506843206,0.0726821533429279,-0.0543547708752256,-0.201688149918957,-0.179188875666432,-0.0713027775632204,-0.0174667853806059,-0.108753342726589,-0.163835367361724,-0.0493248416074204,-0.204336110016767,-0.204185969459649,-0.0666426733526028,0.0666035561783297,0.124410251049947,0.145099438905758,0.163835367361724,0.163755488025374,0.0429164076868547,-0.134628420242469,0.0581269261886012,0.178646719686433,0.0543391811955935
"CDH1",0.266405994138559,0.24278497610432,0.231879333438186,0.189171236510196,0.163651042975622,-0.0482144226764559,0.280011394930671,0.0141780837155636,0.141764422365293,0.096575875981152,0.15263618768723,0.153735789280855,-0.194339854776287,0.194591506882595,-0.049018059520309,-0.124436874106902,-0.141764422365293,-0.141345690113283,-0.080692613980598,0.0299068729732105,-0.128900395100121,-0.163625362441467,-0.233137785122053
"KLF8",0.267409643773596,0.243475310376955,0.233137785122053,0.189168906539787,0.160760869565217,-0.0481320375146916,0.280462531647283,0.0142068346910432,0.141746136149442,0.0967011333957541,0.153735789280855,0.154026205544166,-0.194591506882595,0.195769683427819,-0.0488715720354354,-0.12474528562526,-0.141746136149442,-0.141764422365293,-0.0803005610004656,0.0289808917317983,-0.0291060062959821,-0.163651042975622,-0.235626236917613
"CLDN7",0.267409643773596,0.243475310376955,0.233137785122053,0.189168906539787,0.160760869565217,-0.0481320375146916,0.280462531647283,0.0142068346910432,0.141746136149442,0.0967011333957541,0.153735789280855,0.154026205544166,-0.194591506882595,0.195769683427819,-0.0488715720354354,-0.12474528562526,-0.141746136149442,-0.141764422365293,-0.0803005610004656,0.0289808917317983,-0.0291060062959821,-0.163651042975622,-0.235626236917613
"SNAI2",0.266022392183766,0.142670305764583,0.231412474848474,0.188860727598187,0.163625362441467,-0.0481249836210846,0.279654234789355,0.013983504332073,0.141345690113283,0.0963670025919948,0.152443496356073,0.15263618768723,-0.194150691790184,0.194339854776287,-0.0487401833150909,-0.124067502039417,-0.141345690113283,-0.141198462163625,-0.0803995753779538,0.0298266723443358,-0.128703501461695,-0.163497856405277,-0.231879333438186
"miR200b",0.101563287578477,0.11257212082634,0.0801586527165429,0.183984696437323,0.136527268958137,-0.0175475002319119,0.0895063594294969,0.0109288407445735,0.0369847065654263,0.0277397123151701,-0.0161674813957609,-0.0154857001868933,-0.0933852136516077,0.093189776873133,-0.0133152251226295,-0.0132197742508627,-0.0369847065654263,-0.0367528081454156,-0.0461589842296897,-0.0495052128926082,-0.0426581847777631,-0.135862616390161,-0.0803729821715337
"FOXC2",0.0333692986282463,-0.0775615659264104,-0.0853141725694838,0.166789471777338,0.119493543509954,-0.0175470581079909,-0.00264402434515887,-0.114263076493399,0.0239050117996354,0.0222214150092011,-0.0155868020590256,-0.0155699025547444,0.0445818574910812,-0.0447587986879853,-0.01037837992228,0.00504111085456351,-0.0239050117996354,-0.0237787561510767,-0.041077397949632,0.115024264055416,-0.0662649742936507,-0.11862609975826,0.085456239905978
"miR200c",0.0608858761044929,0.0678074251445805,0.0472354201270729,0.140321823083192,0.101624879994859,-0.00763145373037738,0.0284965591483651,0.00368570073848174,0.00972972147304368,0.00871977535211806,-0.0191931702676089,-0.0191976070216796,-0.0745722872764767,0.0745347906852577,-0.00237956008515581,0.0049147220148334,-0.00972972147304368,-0.00972057052480457,-0.0248261720594163,-0.0341093497068376,-0.0911670368474937,-0.101415176778225,-0.0471327581192201
