"","CDH1","miR200b","miR200a","SNAI2","SNAI1","TGFbeta","ZEB1","TCF3","NP63","FOXC2","miR205","OVOL2","miR34a","GRHL2","TWIST1","miR141","CLDN7","GSC","ZEB2","miR101","KLF8","TWIST2","miR200c"
"miR141",0.0669376149672532,0.0958371496109795,0.132108456239872,-0.0863786903741057,-0.218898263481849,-0.104519449147089,-0.0255658134571287,-0.0675972037919047,-0.0229030418489043,-0.0779175200590284,-0.0240155351846071,-0.0344346941255736,-0.00109154110007594,0.014576728552217,0.0675750200215511,0.0257959263262634,0.0257959263262634,0.104735338611684,-0.241902142536075,-0.0488227629224278,-0.0487237030902892,0.0152471930456371,-0.103526385494987
"TWIST1",-0.021267254797773,0.0804341035098838,0.141385547511937,-0.114717852218987,-0.218057028759875,0.000743191168600656,-0.0811746547685271,-0.316018114267551,-0.0635790051031702,-0.338547815790143,-0.0643292604256621,-0.0595981485373836,-0.0430588420229373,0.0745090336671288,0.215971548303186,0.0813393949418066,0.0813393949418066,-0.000592468420119635,-0.230543991183692,-0.0184358919731852,-0.0184398754417905,0.114507055396277,-0.0641733263103539
"miR205",0.0435011920754579,0.0877528076392403,0.112445637872986,-0.00027278558421906,-0.139774615342995,-0.0139432437664325,-0.02054052210793,-0.0128856369760391,-0.0206536499152656,-0.116020477501658,-0.0223383194227475,-0.0346584908841985,0.00603839172374991,0.0117006971975242,0.012897992315605,0.0209020083006481,0.0209020083006481,0.0142923946948565,-0.202004675824123,-0.0324377295367109,-0.0323513661848115,-0.0845076040493722,-0.0893421495509873
"NP63",-0.103416779674773,-0.130685502390738,0.134113692536372,0.160614200726546,-0.063894980296775,-0.139929833541798,-0.119781204225834,0.118606845627944,-0.0618104449889373,0.0180214051519175,0.0387323323111486,0.0194670470651507,0.0995774526658426,0.154430294161126,-0.118501381698852,0.119682472805831,0.119682472805831,0.139845962463627,-0.155960439195286,-0.190863536310731,-0.19083612252708,-0.199782016863118,0.0224900557769162
"GSC",0.0735946419908028,0.0726765685273071,0.0338348474488225,0.133854372782804,-0.0404471808724891,0.0406136258403936,0.0733415494309945,0.038208230898323,0.0619087290007499,0.109473042196957,0.0629566417960141,0.060566694477404,-0.0710681239360027,-0.0665502368694595,-0.0382289950179244,-0.0735642945290337,-0.0735642945290337,-0.040837327180768,-0.14631176163008,-0.152823908961216,-0.152904780424307,-0.0320184023804297,-0.104980416959691
"TWIST2",-0.121867436353057,0.0026615854006422,0.103965949938187,0.0316035557270192,0.057749090801644,-0.0237208107688829,-0.0808397182457009,0.0074351091040031,-0.0632987661246768,0.0113374384873719,-0.0639440599301986,-0.0590436923943392,0.0796126136194791,0.0743369514464148,-0.00739948794218329,0.0809711197650511,0.0809711197650511,0.0238586183458437,-0.12330539288176,0.031443593383771,0.0315391848778661,-0.081012763383182,-0.0207713949405744
"OVOL2",-0.0999536849078753,-0.0618988151892376,0.0486689549847912,0.0742762335640701,-0.148777660031989,-0.056288671285424,-0.0455263069657061,0.00532912861284694,-0.00778935365938724,-0.0278787418338102,-0.00961413569030806,-0.0760413840183396,0.0226169370444308,0.0308798944207372,-0.00535610508935942,0.0459291553004412,0.0459291553004412,0.056668962290715,-0.0505893449301022,-0.110565468406665,-0.110528180754361,-0.0845298944480875,0.0102902185658911
"miR34a",0.0233261531891204,-0.100351145164521,0.120965538246082,0.135096097265065,-0.222885760697656,-0.0747299163134802,-0.100807363234872,-0.0346566912308339,-0.0758181483192402,-0.165672849746979,-0.0766942623843716,-0.0692085479887479,-0.042983746567291,0.0902521784424453,0.0346039407249802,0.101007495069636,0.101007495069636,0.0749079177495596,-0.0501561227753649,-0.169036711520719,-0.169073205067124,-0.212056245734384,0.0794500409754931
"CDH1",-0.0667988454533612,-0.179544060916073,0.0346562796003665,0.157357715400995,-0.0120761897791994,-0.200923505905866,-0.0254515934549727,0.12854509522795,-0.0200344547704416,0.0473969931944356,-0.0206764681243193,-0.0191089472984495,0.0125585585804891,0.0234691409387845,-0.128518534802984,0.0256088185917425,0.0256088185917425,0.201093319928822,-0.0431472231831026,-0.17860207331947,-0.178637659356803,-0.165860791198329,-0.00864906126149348
"SNAI2",-0.0667649690713588,-0.179512119765224,0.0345453156123767,0.0573832730901278,-0.0121033507457736,-0.200978229594329,-0.0255227222082999,0.128518534802984,-0.0203301602586269,0.0473880820134495,-0.0200344547704416,-0.0189002611140798,0.012420115146169,0.0234006858838065,-0.128470928709404,0.0254515934549727,0.0254515934549727,0.200923505905866,-0.0431443687451653,-0.178670749397303,-0.17860207331947,-0.165963635558029,-0.00872086148901628
