"","miR200b","SNAI2","CDH1","CLDN7","OVOL2","FOXC2","SNAI1","TWIST1","TCF3","TWIST2","ZEB1","miR141","miR205","NP63","GRHL2","miR34a","KLF8","miR101","TGFbeta","GSC","miR200c","ZEB2","miR200a"
"miR205",0.11227942576688,0.00949278978252304,0.0133105235153601,0.0256031289026245,0.0848630524050674,0.0886414364537241,-0.074101521542529,0.0913255499730484,-0.0914408664756636,0.0777794053910748,-0.0256931898956556,-0.0256031289026245,-0.0760500289893365,-0.0758914718592206,-0.0337865289701179,-0.0195511382844678,0.00564191726005649,0.00554303748034562,-0.0704513135746433,-0.0702608676136847,-0.118453259913694,-0.280393033201422,-0.148536722132395
"miR200b",0.0395686131725918,0.0989064297297936,-0.0186468368855572,0.0273228029825415,0.088729497780319,0.0502986646752655,0.00864183578743591,0.0603376476585234,-0.0602533493311797,0.00189221851334085,-0.0273573980307625,-0.0273228029825415,-0.0790556158393304,-0.0788885641243846,-0.0359548120840707,-0.105180732476693,-0.069227015515306,-0.0691117458924538,-0.149806821767125,-0.149650017840209,-0.107202674635028,-0.252775663865192,-0.13827242460571
"TWIST2",0.0992269793252708,-0.081184396435555,-0.033756531521072,0.0141645317776787,-0.0297254789132544,-0.0440812040484277,0.0432579530237408,0.0851534942608717,-0.0851249973314158,0.0975085871498338,-0.0140985619731237,-0.0141645317776787,0.0145534723133982,0.014168350015673,-0.0123877563388645,-0.0417605499606501,0.00647556972552972,0.00647904577986045,-0.0804727858358317,-0.080576755512707,-0.107282246542305,-0.236286751636564,-0.123605550194471
"miR200c",0.116166688523274,-0.0476906533152704,0.136532727444992,0.0228292267318508,-0.0500784243567239,-0.0340717615013273,0.000487300908949601,-0.0491732868609981,0.0490594101731829,-0.0250940602581748,-0.0227370476678812,-0.0228292267318508,0.0364464222432203,0.0359239413475388,-0.0127345645884593,0.0598889698806139,0.0316456630229172,0.0315448021029215,0.0218890450136218,0.0217106521402467,-0.0972593722010337,-0.22437770143235,-0.123013134434515
"NP63",0.0909489083288579,-0.0157982043983249,0.0718519089316516,0.0867468811683138,-0.0181943254746111,-0.0454785737492454,0.0532973366958547,0.0494407315609846,-0.0491916571752559,0.0412587361568882,-0.0867797916416479,-0.0867468811683138,0.250894229351638,0.150496550933753,0.08417049862364,-0.105470617618924,-0.00430837356741951,-0.00453316659335295,-0.101540692634315,-0.101626275367143,-0.0191611895973153,-0.209696452056455,-0.136239374002663
"TWIST1",0.0407575915105219,-0.0601086319035693,0.143828218533975,0.0754729680702983,0.0857355931374277,-0.100564534188127,0.00661500575263238,0.090028986868887,-0.190051044430955,0.0773993332016772,-0.0755412087563085,-0.0754729680702983,-0.0849849564771053,-0.0849142517870276,-0.0819027353530642,-0.00727473214424052,0.0436254124689702,0.0434491439831862,-0.0262008885649594,-0.0261824007434201,-0.0329809654651959,-0.143221716570343,-0.103110990340433
"GSC",0.0617373050026134,0.100772346228447,-0.0279858673377469,-0.0346352858698749,-0.0561643758568202,-0.0526204506630325,0.0935197596665338,-0.203677488466926,0.203803670424504,-0.0358772114878724,0.0347231290071298,0.0346352858698749,0.0496644989132873,0.0493848000684819,0.0389254197205606,-0.0439249208047856,-0.148551325255116,-0.148402248943634,-0.0561856618223057,-0.0562718418468762,-0.079970624583792,-0.141947867185884,-0.0556697432685663
"SNAI1",-0.0161917512643488,0.0731911092481356,-0.112465071088544,0.0931874893888508,0.0960353301353269,-0.0199205789827126,-0.102972107396516,0.00868103721343404,-0.00873366368301542,0.0170214641471691,-0.0932133550188333,-0.0931874893888508,-0.0976498089019827,-0.0975946753562832,-0.0996915474727855,-0.0942481500319248,-0.083332982258563,-0.0833775946146258,0.00123835659273,0.00129865927707765,-0.0120158964764891,-0.119239478282563,-0.104121246839982
"GRHL2",-0.0749595146407464,-0.0151032533822815,-0.0220042387920299,0.0979875768823774,-0.0298900946923804,0.0213666291883705,-0.0105925529065853,0.0326147965171257,-0.0325627703884477,0.0436543716064425,-0.0980681503734804,-0.0979875768823774,0.178174924976064,0.178305094891193,0.0265416642572788,-0.0932467304312133,0.0147620447674501,0.0147241909886747,-0.0624920158578317,-0.0623440089619299,0.0703804196551973,-0.0850980910884518,-0.124664676693249
"TCF3",0.021192872955912,-0.0152762480945615,-0.087844466178495,0.0204940983178261,-0.000821525738347283,-0.0446996802436563,0.0469613775485591,0.0507158451263977,-0.0516838993374335,0.0308843295822144,-0.0202783209707902,-0.0204940983178261,-0.00572463768115942,-0.00728533132277792,-0.0211173330883596,-0.0290028732979093,-0.0102660651793036,-0.0104001733599026,-0.0184071546745482,-0.0188240479136274,-0.0245529284023794,-0.070257586250661,-0.0447906332956254
