"","TWIST2","miR101","ZEB2","TCF3","CDH1","FOXC2","NP63","miR205","miR200a","miR141","CLDN7","TGFbeta","GSC","GRHL2","ZEB1","miR200c","OVOL2","miR200b","miR34a","SNAI1","TWIST1","KLF8","SNAI2"
"ZEB2",-0.106463290333243,-0.104690008365787,-0.0916244424019756,-0.0392523062366492,-0.0262948584967316,-0.016021942288241,-0.00817782073768799,-0.00808485513496099,-0.00776413910883319,-0.00732655090226192,-0.00732655090226192,-0.0033718371832703,0.00349191920853063,0.00581409560821968,0.00731157566050997,0.00776413910883319,0.010853703428137,0.0119560119708198,0.027971863373014,0.0333015821498744,0.0390850631496341,0.104641284629373,0.127197790328977
"TGFbeta",-0.150381119411556,-0.0191579335175616,-0.0850213301762205,-0.250301625071121,-0.166457570473997,-0.0920316706758671,-0.00996653691810039,-0.00983298554170355,-0.00363031034818729,-0.0948046415824857,-0.0948046415824857,-0.135105130400499,0.0352489165370833,0.0937110042297202,0.0948096163569483,0.00363031034818729,0.0774111386470237,0.152797410273494,0.218250599868505,0.257538193026686,0.250018004713986,0.019240337212571,0.273662889054412
"TWIST2",-0.140799426223427,-0.139328205321641,-0.0705297261010463,0.231399076132775,-0.0181788221225895,0.0467921773037841,0.0229646464994157,0.0229577998807895,0.0967764730656727,0.124805835537265,0.124805835537265,-0.0137967110979307,0.0137686038099565,-0.123583298096736,-0.124797764190868,-0.0967764730656727,-0.0764672243310372,0.10108495625658,-0.161370780203699,-0.228451852895603,-0.231212421244839,0.139325598280893,0.094342516592112
"SNAI1",-0.0482882980396599,0.0571955620728083,-0.0651383479466055,-0.251108788435888,-0.18873210109424,-0.104580297954179,-0.00804492745577271,-0.00814171745822309,0.00282641665843443,-0.0727521792714504,-0.0727521792714504,-0.0355079127601369,0.0354807863098964,0.0715758905133473,0.0727199823529349,-0.00282641665843443,0.0642562695827481,0.0707144616390652,0.206337203292167,0.157120441276442,0.250991783954974,-0.0571846429646811,0.212845725454072
"GRHL2",0.00658586297575574,0.0434259097396667,-0.0231048425931901,-0.0595634464413646,0.0584113526163646,-0.0946186588446233,-0.132999554390286,-0.132803431718158,0.0165340507594414,0.0134986129701107,0.0134986129701107,0.0817905367025621,-0.0816602684608508,-0.0606179750808988,-0.013504508591411,-0.0165340507594414,-0.0587600850062849,0.0524482610396034,0.00659740414086256,0.115609236976516,0.0594073680553307,-0.0434584815958223,-0.0236079640665595
"TCF3",-0.201948308491543,-0.203567212458486,-0.0190687053013711,-0.108109011498351,-0.190507331997792,0.0635792462568544,-0.0076958197201977,-0.0077536231884058,-0.010847799841903,-0.0416020770985421,-0.0416020770985421,-0.204686677397546,0.204922312706591,0.0412061483485083,0.0416203633143926,0.010847799841903,0.0255499686743036,0.192359891572242,0.0192219131551762,-0.019015146603546,0.107866997945592,0.203611915185353,0.196964312287245
"CLDN7",-0.201948308491543,-0.203567212458486,-0.0190687053013711,-0.108109011498351,-0.190507331997792,0.0635792462568544,-0.0076958197201977,-0.0077536231884058,-0.010847799841903,-0.0416020770985421,-0.0416020770985421,-0.204686677397546,0.204922312706591,0.0412061483485083,0.0416203633143926,0.010847799841903,0.0255499686743036,0.192359891572242,0.0192219131551762,-0.019015146603546,0.107866997945592,0.203611915185353,0.196964312287245
"SNAI2",-0.201708060006989,-0.203256345154188,-0.0190593230577403,-0.107999800070426,-0.0904968620790358,0.0633479298766393,-0.00762167493716258,-0.00756741704942215,-0.0108838909613646,-0.0416139459618713,-0.0416139459618713,-0.204694305785982,0.204737826199641,0.041237430289628,0.0416254293991555,0.0108838909613646,0.0254821529631581,0.19222255453986,0.0192855342394695,-0.0188664027353342,0.108038338336657,0.203356931328792,0.0968719256649461
"miR141",-0.0783290929184723,0.0312913981187287,-0.0157005986696624,-0.209968363297248,0.0145756260272459,-0.11765362339942,0.0376937078028876,0.0378003365571084,0.00249575841996206,-0.00782676128480906,-0.00782676128480906,0.0717822605752681,-0.0717424914633692,0.0100396390223016,0.00783903694708104,-0.00249575841996206,-0.0154302495548985,0.0749420923215858,0.035111664422759,0.231065222065218,0.209872233625715,-0.0312391665708738,0.119758188254224
"miR34a",-0.0475688789419931,-0.147472602325512,-0.00751231083737784,0.141084647642907,0.0472040837758206,0.118512196078487,0.0225171783460868,0.0224831177560817,0.117071589589316,0.123170192494519,0.123170192494519,-0.00527203117218813,0.00521651885991931,-0.122096549253714,-0.123139256539086,-0.117071589589316,-0.0755643422080048,0.110227565537082,-0.164758179316297,-0.238285480305623,-0.14081302190381,0.147487968029261,0.0927065196823328
