"","ZEB2","KLF8","OVOL2","miR200a","CLDN7","ZEB1","CDH1","TCF3","miR200b","GSC","TGFbeta","FOXC2","NP63","miR205","miR200c","TWIST1","GRHL2","miR141","miR34a","SNAI1","SNAI2","TWIST2","miR101"
"TWIST1",-0.104817480329422,-0.0816957622509111,-0.115917104719568,-0.0146719437198328,-0.127619914975848,-0.127621765989031,-0.0768823105732952,-0.01499227301896,-0.0578223959869605,-0.0186229481515152,-0.0186464496195736,-0.170100006194071,0,0,-0.118671507556422,-0.0849905710994319,0.128145031395118,0.127619914975848,0.00806460112390935,0.152142971941306,0.0632155132590037,0.0736639063297043,0.0816260515503186
"TGFbeta",-0.0972338580202924,-0.0102963958951347,-0.0920973033194483,0.00496449540328985,-0.0892278492088821,-0.0892191004675858,-0.0778787160084036,0.0194151238217264,-0.153088297014717,-0.0181162568345329,-0.118094971273528,0.00740011967124438,0,0,-0.0927217901041106,-0.019403779007441,0.0894678868488299,0.0892278492088821,-0.0540744864730227,0.0894366990632009,-0.0727154599990129,-0.0593598156532173,0.0104175777995602
"ZEB2",-0.0927505205104517,-0.0780675266455143,-0.0215945654496628,-0.00678710943356058,-0.00643017013790168,-0.00641961381994538,-0.00411296167125817,-0.00379517979022011,-0.00268813272021227,-0.000739103885389324,-0.00069907654363588,-0.000214183271473014,0,0,0.00205843667723986,0.00378706119376307,0.00568908665612313,0.00643017013790168,0.00731455549637036,0.0223426344988756,0.0504807196254928,0.0637157356841914,0.0778855584054355
"SNAI1",-0.0914458420647186,-0.0839586988441679,-0.0922477044229271,0.00311857573737291,-0.0884492115144654,-0.088442339750082,-0.0967730529955722,0.147949669300914,-0.0840262708516524,-0.0286135217202915,-0.0285992754550573,-0.0416657410662382,0,0,-0.0897160607348214,-0.147950180237512,0.089226632630423,0.0884492115144654,-0.0809839946489522,0.0232479752998339,-0.0728308182587769,0.0125536233998884,0.0839571389715783
"miR34a",-0.0849809462844893,-0.0380217051429568,0.0505472064285281,0.0829142668005413,0.0155231505682395,0.0155290997904382,-0.00163723480374022,0.163774850975428,-0.0440457584667161,-0.0136411446714471,-0.0136194224622984,-0.0614131756803238,0,0,0.0152981704014,-0.163714227259745,-0.0141038093983872,-0.0155231505682395,-0.079812618259822,0.162941953639506,-0.0816943967461982,-0.156352670276416,0.0379160659296808
"GSC",-0.0796719891931525,0.0446488003159759,-0.0765536831893504,0.0106749361944384,-0.064676843435269,-0.06466236379726,0.0211600400520435,-0.161313329465706,-0.0605301712928993,-0.0143231389208857,-0.0143213053033416,0.0272005567976223,0,0,-0.0711516519007008,0.16132770462543,0.0634036717579145,0.064676843435269,0.0654669211411552,-0.0417136859591971,0.0788009667743289,-0.0025959761764592,-0.044675107900355
"GRHL2",-0.0533230417619619,-0.0238829876099435,0.137090203685827,-0.109512755341796,-0.135479666104502,-0.135483814875046,-0.0822520843206446,0.0337587183252925,-0.115657806731524,-0.155449140355749,-0.155508453980699,-0.0331088721305346,-0.306281053357567,0.306185595419806,-0.140084400561202,-0.033770279687221,0.181613627540329,0.135479666104502,0.131452657065002,-0.00496631035290943,0.0309645549608923,-0.0161671412571544,0.0239983095871432
"miR141",-0.0337176038783903,-0.0122182014904829,-0.0821582250933487,0.00355811942225391,-0.0199201285182575,-0.0199141022840513,0.00585881705171327,0.0541263822472285,-0.0848463850656297,0.079237619659619,0.079163762737521,-0.0123342911887794,0,0,-0.0259807777933148,-0.054107156312922,0.0172356717195448,0.0199201285182575,0.0131733095609437,0.123325308846726,-0.0925703677687469,-0.0743349086823462,0.0122200025783399
"miR200b",-0.0299717923145642,-0.0279178794741895,-0.0901090014220718,-0.00212929799628952,-0.0275373269353896,-0.0275424603941579,-0.0620448325260811,0.0521986956849832,-0.0527031782969506,0.0856827019069758,0.0856304339313372,-0.0123977549888741,0,0,-0.0285783813465874,-0.0521735540785824,0.0234574735064029,0.0275373269353896,0.0181643863845192,0.12992506436887,-0.0732975705698441,-0.0607498538695291,0.0280637675906118
"CDH1",-0.0196484039738742,-0.0164052309872278,-0.0238068970486144,0.000985298000411949,-0.0184788867994771,-0.0184115045980043,-0.0131957440965852,0.109397653096276,-0.0175460268270016,-0.00598103324691775,-0.00591760873231989,-0.00527721310380986,0,0,-0.019030206134723,-0.109296723481403,0.0188004728658201,0.0184788867994771,-0.011603544594638,0.0489589024537466,-0.00737797560549752,0.0123337312283233,0.0165961015511048
