"","miR200b","CDH1","miR200c","miR200a","miR34a","ZEB1","miR141","CLDN7","TGFbeta","GSC","OVOL2","miR101","TWIST1","NP63","miR205","FOXC2","TCF3","TWIST2","KLF8","SNAI1","GRHL2","SNAI2","ZEB2"
"miR205",0.264467327716948,0.118636963480681,-0.000408507666427093,-0.000408507666427093,0.279562327688226,0.271605580036588,0.271524835698009,0.271524835698009,0.000710643903712245,0.000850304275081869,0.177119951237809,-0.00620560151844198,0.0188812689210407,0,0,-0.134184717811202,-0.0191242572658371,0.11196306658937,0.00624690573021994,-0.151987738960498,-0.261349358182892,-0.0355854975836866,-0.300075474693528
"miR200a",0.260971428423258,0.153132161816316,-0.00738831368080715,-0.00738831368080715,0.154925490525087,0.268852019174941,0.268724575481172,0.268724575481172,-0.0898407611518091,-0.0897907656968505,0.177872499717756,0.124301994568088,-0.0973706404218907,0,0,0.0362952869498157,0.0973602879957257,-0.0129101350466549,-0.124498313144508,0.0970821620844142,-0.26086664600956,-0.138493394119339,-0.275867016081044
"miR141",0.260971428423258,0.153132161816316,-0.00738831368080715,-0.00738831368080715,0.154925490525087,0.268852019174941,0.268724575481172,0.268724575481172,-0.0898407611518091,-0.0897907656968505,0.177872499717756,0.124301994568088,-0.0973706404218907,0,0,0.0362952869498157,0.0973602879957257,-0.0129101350466549,-0.124498313144508,0.0970821620844142,-0.26086664600956,-0.138493394119339,-0.275867016081044
"miR200b",0.169926869134632,0.0739095930225293,0.00857182406987736,0.00857182406987736,0.256898856421952,0.238003972952647,0.238015355839481,0.238015355839481,0.0918731675805704,0.0920231539454463,0.15958587230613,-0.137493263496168,0.123518082924987,0,0,-0.123637166339498,-0.123856755152386,0.13398442084921,0.137749017971871,-0.230394036659572,-0.233414086061042,0.0920560037797242,-0.271014292086467
"NP63",0.205603774230808,0.142597522975168,-0.0278153766236183,-0.0278153766236183,0.148239968901226,0.154980113041915,0.154893595818202,0.154893595818202,-0.00367848342713294,-0.00364767364331492,0.164807723755339,0.00775790283029422,0.0720639604339774,-0.00418403674447556,0.0958159632555245,-0.0461309332008158,-0.0720841556544419,0.024721630922723,-0.00794979931584715,-0.0287912676120643,-0.194353525318429,-0.0230400396304381,-0.194548968741668
"TWIST1",-0.00955064750891537,0.156641291214093,0.198373246908748,0.198373246908748,-0.208123823466222,-0.201268511254858,-0.201309603747519,-0.201309603747519,0.0419575804728828,0.0418425799558505,-0.161552800798183,0.109504461910743,-0.160018023206421,0,0,0.136577747675483,0.0603292799155965,-0.0242062762657871,-0.109756416300027,0.2258507192461,0.201198306192424,-0.00157661139091111,-0.194298952141843
"GSC",-0.0178989673409423,0.0238259305344783,0.14276732347442,0.14276732347442,-0.0361074954479994,-0.136877765435848,-0.136830706612319,-0.136830706612319,0.0290155541178687,0.0290118868827806,-0.124067853516828,-0.126647826905459,0.170024363272615,0,0,0.00372852302149623,-0.170118600430806,0.0276701122965916,0.126797877571918,-0.0643197681132011,0.133342976882853,0.0828296751078505,-0.149593949824181
"SNAI1",0.0742221438908583,0.143834731558258,0.0665482371748732,0.0665482371748732,-0.156867966483349,-0.0335290763585622,-0.0335747079625015,-0.0335747079625015,0.0294656051683497,0.0294700937176701,-0.0530238106954333,0.219723163833239,-0.151173098063295,0,0,0.21000770894509,0.151211418308136,-0.137330065040614,-0.219800221539166,0.10291878135912,0.0360551825158743,-0.131443399634688,-0.11380479205736
"ZEB1",0.251387499598055,0.0682230119483898,-0.213896800812496,-0.213896800812496,0.274694130398735,0.166005644398784,0.265955200996735,0.265955200996735,-0.0368777293110034,-0.0368962527843605,0.171569236423295,-0.0234584312343651,0.00240605559073066,0,0,-0.133269044565356,-0.00229488238287282,0.131155809689863,0.0232152187724819,-0.142297581709554,-0.254351923386825,-0.0184192938405932,-0.0827730931731717
"FOXC2",0.251430417979604,0.0682907879069627,-0.213869109843707,-0.213869109843707,0.274585893378005,0.265955200996735,0.265883358556983,0.265883358556983,-0.0368962527843605,-0.0367431932213944,0.171524100066093,-0.0232152187724819,0.00229488238287282,0,0,-0.13320215583712,-0.00253710861090346,0.130874321140244,0.023234046973704,-0.14220976467116,-0.254288089340238,-0.0183472830377746,-0.0827405329556998
"KLF8",0.046501642386684,0.226495407596786,0.0154509220289078,0.0154509220289078,0.019806005362608,0.0276547107743138,0.0273292161321751,0.0273292161321751,0.00934560606467284,0.00849369379351098,0.0303836787483195,0.032442134651099,0.0997366331392652,0,0,-0.030788904516375,-0.0971228867694685,-0.0692959797188556,-0.0353478118974111,-0.0105089704826248,-0.0268761891013633,-0.0626380947204825,-0.0615348073798313
"CDH1",0.047426102871545,0.126873466892402,0.015508243218641,0.015508243218641,0.0201556742367802,0.0275793068821895,0.0276547107743138,0.0276547107743138,0.00897938064167225,0.00934560606467284,0.0305910461147539,0.0336617652033296,0.0986689040555998,0,0,-0.0318941079335445,-0.0997366331392652,-0.0707979449069522,-0.032442134651099,-0.0105130777648362,-0.0271651219975097,-0.0615748332838749,-0.0614323825841242
"TGFbeta",-0.138403530124519,-0.120873711321216,0.0258532037080225,0.0258532037080225,0.112720547782239,-0.0511082299055673,-0.0510418423980837,-0.0510418423980837,-0.0993416160410413,0.000540661774625739,-0.0359981470558422,-0.174260314635775,0.100475428480853,0,0,-0.0968738871355515,-0.100296180415144,0.173698279302927,0.174076810609073,-0.189690064992676,0.0489160830384376,0.151011827679796,0.00792977154862163
"GRHL2",-0.0673550271438923,0.0400627733835345,0.103666071636223,0.103666071636223,-0.108517466154748,-0.110163713943347,-0.11018445779607,-0.11018445779607,0.111026130619023,0.11084264641474,-0.109500387691492,0.069759572943184,0.0566216951488034,0.00853631481530386,0.00853457921643547,0.0256577177376413,-0.056107214542988,-0.0708108183424455,-0.0702710391168712,0.0040523639949788,0.0403381247617917,-0.0642324594741667,0.0109388888409402
"OVOL2",-0.0724025932007381,-0.10514719476877,0.0940357070530621,0.0940357070530621,-0.145932873196674,-0.103946110050747,-0.104001951759204,-0.104001951759204,-0.00144473904573861,-0.00161835015684972,-0.105742295420453,-0.0411710744884024,-0.0823245984323164,0.00906664885944927,0.00906556846748307,0.057133983840949,0.082828159327216,0.0466852697655981,0.0406150497908162,0.136337422664699,0.0353535561191595,0.0633581382249339,0.0226576268630886
"TCF3",-0.046501642386684,-0.226495407596786,-0.0154509220289078,-0.0154509220289078,-0.019806005362608,-0.0276547107743138,-0.0273292161321751,-0.0273292161321751,-0.00934560606467284,-0.00849369379351098,-0.0303836787483195,-0.032442134651099,-0.0997366331392652,0,0,0.030788904516375,0.0971228867694685,0.0692959797188556,0.0353478118974111,0.0105089704826248,0.0268761891013633,0.0626380947204825,0.0615348073798313
"CLDN7",-0.046501642386684,-0.226495407596786,-0.0154509220289078,-0.0154509220289078,-0.019806005362608,-0.0276547107743138,-0.0273292161321751,-0.0273292161321751,-0.00934560606467284,-0.00849369379351098,-0.0303836787483195,-0.032442134651099,-0.0997366331392652,0,0,0.030788904516375,0.0971228867694685,0.0692959797188556,0.0353478118974111,0.0105089704826248,0.0268761891013633,0.0626380947204825,0.0615348073798313
"SNAI2",-0.0470386147688171,-0.126698746885832,-0.0155091756891283,-0.0155091756891283,-0.0201026042536241,-0.0276411803278549,-0.0275793068821895,-0.0275793068821895,-0.00917199078925385,-0.00897938064167225,-0.030543663261298,-0.0329562745855918,-0.099262846746931,0,0,0.0315211113579841,0.0986689040555998,0.0699369049027483,0.0336617652033296,0.0106016848525127,0.0270980930895105,-0.0379133344107537,0.0615665411671812
"miR34a",-0.0742952361543553,-0.0861315119471701,0.035228045125163,0.035228045125163,0.0473641071804641,-0.0892856061284149,-0.0891887527910203,-0.0891887527910203,0.00834620621619104,0.00841197623833563,-0.0940491273575085,-0.110041875930751,0.0804971965346064,0,0,-0.177388058212521,-0.0807499265701146,0.0770785905707232,0.110371278204875,-0.210807403229813,0.0869992734072262,0.00870982756052143,0.14339835993065
"miR101",-0.0371996900074408,-0.105162758953675,-0.195734151664779,-0.195734151664779,0.19552759960887,0.185058749038384,0.185105550396283,0.185105550396283,-0.052722462605052,-0.0526830558857871,0.140460080733955,-0.228066340998592,0.157587196026807,0,0,-0.235968768108222,-0.157701771062544,0.143327275622389,0.128111533331846,-0.226579913521187,-0.186650799273712,0.128792380209611,0.210746806486707
"TWIST2",-0.0544530594309569,-0.214191709941794,-0.211780624931638,-0.211780624931638,0.20783121599597,0.198790922662736,0.198815136701929,0.198815136701929,-0.0592677280495241,-0.0592756417519634,0.15977491700562,-0.171866611814119,0.0117709784947716,0,0,-0.134258182357485,-0.0117225337146966,0.191279566202155,0.171728438654473,-0.231883796232916,-0.198988433544141,0.141588927203401,0.229445657615461
"ZEB2",-0.29434305145215,-0.264163942648391,-0.227558210811391,-0.227558210811391,-0.0935759512279365,-0.087553318565317,-0.0874828612803529,-0.0874828612803529,-0.0752572875591365,-0.0751877015650113,-0.0641592926465131,-0.0640563193098836,-0.0621619497901998,0,0,0.0375883225474115,0.0618485719669579,0.0644534941343654,0.0645047765572908,0.078930521292909,0.0852470923349322,0.0876183293445719,0.231844691893214
"miR200c",-0.260971428423258,-0.153132161816316,0.00738831368080715,0.00738831368080715,-0.154925490525087,-0.268852019174941,-0.268724575481172,-0.268724575481172,0.0898407611518091,0.0897907656968505,-0.177872499717756,-0.124301994568088,0.0973706404218907,0,0,-0.0362952869498157,-0.0973602879957257,0.0129101350466549,0.124498313144508,-0.0970821620844142,0.26086664600956,0.138493394119339,0.275867016081044
