"","TWIST2","SNAI2","miR101","ZEB1","miR141","CLDN7","ZEB2","OVOL2","CDH1","GSC","TCF3","NP63","miR205","FOXC2","miR200b","TWIST1","SNAI1","TGFbeta","miR200c","miR200a","miR34a","GRHL2","KLF8"
"SNAI2",0.294105666901346,0.269469556310908,0.331703583193696,-0.258576464828063,-0.25725004212445,-0.25725004212445,-0.146265145336683,-0.134295665163939,-0.204351131723648,0.161086619976283,0.12545260338163,-0.0376944397525319,-0.0369782356343582,0.0829568165191503,0.299134574942052,-0.125051352021456,-0.0752842732684406,-0.160069276445097,0.065025757246862,0.065025757246862,0.188814679397632,0.246404954341332,-0.332077486284119
"TCF3",0.296432493827094,0.370080073130081,0.33255304514666,-0.254872413015339,-0.250889675203102,-0.250889675203102,-0.145158467007168,-0.13244516417492,-0.302100666061309,0.164954868613004,0.127280654841489,-0.0360794169389294,-0.0334782608695652,0.0835220818271575,0.297311295120563,-0.125925378946039,-0.0762058063437763,-0.162852276624604,0.0622569168208245,0.0622569168208245,0.184740421701224,0.241148044209078,-0.332150720604863
"KLF8",0.296432493827094,0.370080073130081,0.33255304514666,-0.254872413015339,-0.250889675203102,-0.250889675203102,-0.145158467007168,-0.13244516417492,-0.302100666061309,0.164954868613004,0.127280654841489,-0.0360794169389294,-0.0334782608695652,0.0835220818271575,0.297311295120563,-0.125925378946039,-0.0762058063437763,-0.162852276624604,0.0622569168208245,0.0622569168208245,0.184740421701224,0.241148044209078,-0.332150720604863
"TWIST2",0.0731714964376742,0.139739815969939,0.165640586575646,-0.170016727925851,-0.169577323827975,-0.169577323827975,-0.124850644670687,-0.095965146625795,-0.0100623738448801,-0.0199265562111646,-0.0577528071029111,-0.0286254441824392,-0.0284405854795311,0.134826648381156,0.0620288630554722,0.0580206782397961,-0.217646226120373,0.0203083241322896,0.0295544829533657,0.0295544829533657,0.190574967081687,0.16382392630752,-0.165722273852418
"GRHL2",0.01878929242775,0.136111485963163,0.145077822033542,-0.315853468699898,-0.314672815945442,-0.314672815945442,-0.120106996266419,-0.0360464290741111,-0.207601068432788,-0.00197857110545619,-0.0154853753732414,-0.182259926932131,-0.181425103876436,0.0429823831195222,0.235121836906466,0.0161154695983411,-0.0911994037632081,0.00298246806604866,0.233448882381617,0.233448882381617,0.299599934810696,0.13533077255279,-0.145650910637794
"ZEB2",-0.176028644222421,-0.150819814153978,-0.146668268201714,-0.135010727884307,-0.1346437117135,-0.1346437117135,-0.0963873530420836,-0.0724953290377991,-0.0458257762418449,-0.040184747145915,-0.0381456668764431,-0.0327709336221013,-0.0327089565536166,-0.00883874015636323,0.0221582628473721,0.0383226522792067,0.0388805313129799,0.0407765359986082,0.0641291474617062,0.0641291474617062,0.111940296476248,0.127860405049813,0.145981164082073
"OVOL2",0.142616712323942,0.20171319246506,0.206845436678778,-0.178572928184244,-0.177795899642473,-0.177795899642473,-0.0961007285454585,-0.128575217882854,-0.207275015021149,-0.0100291248473754,0.0241585295971307,-0.0216647441411709,-0.0212941696967625,0.0432550919351797,0.164692843638774,-0.0238599899237259,-0.138790412006268,0.0105974945563701,0.110749780271459,0.110749780271459,0.199115747740055,0.0974820060984983,-0.207039551809888
"miR200b",0.000813744106724689,0.158408772648271,0.171250252796173,-0.257641480224832,-0.256883737071862,-0.256883737071862,-0.0766180986197606,-0.0894954250044389,-0.186375731666185,0.060092798565731,-0.0643136797759173,-0.0544470287966094,-0.054034730946956,0.0546932341858991,0.113869258822405,0.0647410870847302,-0.196954268964809,-0.0595087607509869,0.100601209790134,0.100601209790134,0.258544991471437,0.245621948653634,-0.171345710452597
"miR205",-0.153114354653465,-0.0155864472249906,0.00135173032255379,-0.302761832180041,-0.301872402235072,-0.301872402235072,-0.0595309812123476,-0.104434509917916,-0.155664475563511,-0.0712111871906281,-0.114621433281869,-0.0606053763631137,-0.0600405165870756,0.0869197559896728,0.119398346487348,0.115169186669291,-0.0734043561661357,0.0721015220581094,0.13535939438076,0.13535939438076,0.279118408661883,0.27975525368796,-0.0021014643484628
"GSC",0.0507614187502723,0.0638239344283782,0.195237355913275,0.185421396852931,0.185040582373293,0.185040582373293,-0.0567095996679265,0.107781317919477,0.00328194175861503,0.0725049064764792,-0.078504980929393,0.0275926163549664,0.027276518345426,0.00737118393109901,-0.104846818204935,0.0783260900528277,-0.209075878328836,-0.0729113583654108,-0.132225764090078,-0.132225764090078,-0.0288159581272018,-0.173794885309375,-0.19458843549859
"miR101",-0.120583189954552,-0.184033871678213,-0.251734248660677,-0.282843203250049,-0.282374860084036,-0.282374860084036,-0.026068309095148,-0.127245640259014,0.00313923085838346,-0.0903560062492511,0.140385021916904,-0.0462763672614454,-0.0459955568478406,-0.0722288183846931,0.0627297373721287,-0.140170057326046,0.188002022151312,0.0909471070382239,0.137475886033967,0.137475886033967,0.0966113783630149,0.268870778141296,0.150871606770043
"NP63",-0.256499536933216,-0.239054634048565,-0.233206689033314,-0.107551540853487,-0.107507094750325,-0.107507094750325,-0.0222265977246121,0.0229976729486322,0.0370873329415421,-0.051774682352418,-0.152334106506596,-0.180639773596669,-0.0805860332699281,-0.0456336879201551,-0.0892174175513557,0.152583180892324,0.0172716243315608,0.0520844918452547,0.0687564966890447,0.0687564966890447,0.100023585063828,0.129143418848815,0.232787258143462
"miR200c",-0.173291614787887,-0.180649670396066,-0.174878100039911,-0.292016648424793,-0.291495937150602,-0.291495937150602,-0.00769130078269888,-0.105527286308324,-0.0925452745596973,-0.185100421691699,-0.0362273235537211,-0.0611029203363092,-0.0607048396538852,-0.0328898690646776,0.0475097200048614,0.0365867006334496,0.165635373374596,0.1857912679784,0.149435827807791,0.149435827807791,0.152538735013506,0.27481079998299,0.173894706069954
